datetime,open,high,low,close,volume,return
20230829,117.4176,119.5289,116.9094,119.265,838300,0.01751151545811047
20230830,119.5777,120.1642,118.8838,119.9101,1157900,0.005409058272694001
20230831,120.3304,120.3401,117.9259,118.3364,2875100,-0.013123493177895962
20230901,119.9199,120.8875,118.7958,119.1575,840700,0.006938161999232584
20230905,118.8936,119.7732,115.9906,116.0493,1270600,-0.026084812424371107
20230906,115.6778,115.9808,113.8989,115.2771,1668900,-0.00665395246235756
20230907,115.3064,115.3455,113.4689,113.635,1317000,-0.014244456685376883
20230908,113.3906,113.5861,111.1426,111.4163,1789800,-0.019525365592862665
20230911,111.7095,111.8072,110.0772,110.5464,2046900,-0.007807621584640656
20230912,110.8396,111.3967,109.5494,110.2336,2035000,-0.0028292839271827352
20230913,107.5164,113.2831,106.5389,110.8689,2520500,0.0057634208916792495
20230914,111.2208,112.7065,109.1584,112.2862,1815800,0.012783266502933932
20230915,111.8464,119.1672,110.8689,113.2929,6889600,0.008966015730581756
20230918,112.4035,112.4035,110.1163,110.1456,1818000,-0.027780269438794414
20230919,109.8328,110.6734,109.1975,109.7742,2222400,-0.0033723053973510053
20230920,110.5268,110.908,109.6374,109.9306,1744900,0.0014249055588275716
20230921,109.5005,109.6667,107.0276,107.2525,1327900,-0.024362154746286002
20230922,107.2525,109.6276,106.6465,108.8945,2050500,0.015310296907181886
20230925,108.2592,109.5005,108.0344,109.4126,987400,0.00475722627224795
20230926,108.3765,109.7156,108.181,108.2299,1399800,-0.010809346092995553
20230927,108.4547,108.7381,107.1449,108.0051,2268300,-0.0020771319028103363
20230928,107.9855,110.1359,107.9464,109.4712,1959900,0.013574668943981072
20230929,110.5659,110.6148,108.9336,109.2953,1830100,-0.0016071940069456447
20231002,108.6146,109.496,107.5079,108.6146,1569000,-0.006227824148310135
20231003,107.9584,109.4569,107.7821,107.9878,1543400,-0.005771008993046833
20231004,108.1347,109.5842,107.1259,109.3687,1541700,0.012787959226727041
20231005,109.7801,109.927,106.5285,108.0759,1295700,-0.011820572567747156
20231006,107.2336,109.4667,107.1063,108.3599,1796100,0.002628033139421726
