datetime,open,high,low,close,volume,return
20230712,189.68,191.7,188.47,189.77,1003160,0.008985538068906784
20230713,190.5,191.19,189.78,190.54,686502,0.004057543341940084
20230714,190.25,191.18,189.63,190.69,714522,0.000787236275847647
20230717,191.9,194.32,191.81,193.99,858140,0.017305574492632037
20230718,193.4,194.33,192.41,193.73,865954,-0.0013402752719213762
20230719,193.07,198.23,192.65,195.1,1376574,0.007071697723636028
20230720,195.08,196.47,192.49,193.13,1085855,-0.010097385955920024
20230721,194.1,194.97,191.23,191.94,870633,-0.00616165277274372
20230724,193.4,194.91,192.25,192.75,690117,0.004220068771491059
20230725,193.39,194.44,192.91,193.62,584329,0.004513618677042919
20230726,193.71,195.64,193.32,194.5,721558,0.004544985022208348
20230727,196.05,197.2,192.55,193.22,840332,-0.006580976863753252
20230728,194.7,196.63,194.14,195.83,747876,0.013507918434944699
20230731,196.09,196.49,195.26,196.45,609382,0.0031660113363629616
20230801,196.24,196.73,195.28,195.61,576678,-0.004275897174853549
20230802,195.08,195.18,191.85,192.58,778122,-0.015490005623434389
20230803,191.56,192.37,190.69,191.17,880764,-0.007321632568283443
20230804,185.56,187.38,181.92,181.99,1999557,-0.048020086833708064
20230807,182.14,183.13,177.35,178.85,1742394,-0.01725369525798126
20230808,179.7,180.27,177.58,179.8,1192768,0.005311713726586564
20230809,180.83,180.93,177.01,178.19,1055145,-0.008954393770856606
20230810,179.41,180.75,177.6,177.97,985272,-0.0012346371850272542
20230811,177.35,178.62,176.66,177.79,863206,-0.0010114064168118553
20230814,177.95,179.69,177.3,179.46,721423,0.00939310422408468
20230815,178.93,179.48,177.05,177.45,675378,-0.011200267469073988
20230816,177.13,178.54,176.5,176.57,739293,-0.004959143420681822
20230817,177.2,177.51,173.48,174.0,1013820,-0.014555133941213105
20230818,172.3,175.1,171.98,174.49,938255,0.0028160919540229923
20230821,175.1,176.13,173.73,175.84,706947,0.007736833056335657
20230822,177.06,177.68,176.25,177.23,728759,0.00790491355777978
20230823,178.56,181.55,178.32,181.12,904435,0.021948879986458447
20230824,180.68,181.11,176.01,176.38,843955,-0.026170494699646718
20230825,177.41,179.15,175.82,178.61,811876,0.012643156820501211
20230828,180.09,180.59,178.54,180.19,699900,0.008846089244723077
20230829,179.72,184.9,179.5,184.12,928616,0.02181031133803213
20230830,184.8,187.79,184.74,187.65,1132424,0.01917227894851181
20230831,187.86,189.12,187.48,187.87,882400,0.0011723954169997608
20230901,189.57,189.92,188.28,189.46,754842,0.00846329908979615
20230905,188.22,189.98,187.61,189.7,749410,0.0012667581547554096
20230906,188.4,188.85,181.47,182.91,1524230,-0.035793357933579295
20230907,175.14,178.21,173.54,177.56,2068535,-0.02924935760756653
20230908,178.4,180.24,177.79,178.18,1241666,0.00349177742734863
20230911,180.08,180.3,177.34,179.36,1055969,0.0066225165562914245
20230912,179.49,180.13,174.82,176.3,1720958,-0.017060660124888494
20230913,176.49,177.3,173.98,174.21,1454077,-0.011854792966534355
20230914,174.01,176.1,173.58,175.74,1030343,0.008782503874634084
20230915,176.41,176.5,173.82,175.01,1440343,-0.004153863662228363
20230918,176.57,179.38,176.17,177.97,1221107,0.016913319238900604
20230919,177.52,179.63,177.13,179.07,952823,0.006180816991627758
20230920,179.3,179.7,175.4,175.49,1046741,-0.019992181828335176
20230921,174.55,176.3,173.86,173.93,1071105,-0.008889395407145728
20230922,174.67,177.08,174.05,174.79,1017706,0.004944517909503787
20230925,174.2,176.97,174.15,176.08,870978,0.007380284913324653
20230926,174.73,175.2,171.66,171.96,1158285,-0.023398455247614747
20230927,172.56,173.04,169.05,170.43,1220862,-0.008897418004186974
20230928,169.55,172.03,167.64,170.69,1083735,0.0015255530129671957
20230929,172.02,173.07,170.34,171.21,826319,0.0030464584920031346
20231002,171.29,174.3,170.93,173.75,916139,0.014835582033759565
20231003,172.29,173.63,170.82,172.4,917043,-0.007769784172661831
20231004,171.1,174.21,170.97,173.66,940892,0.007308584686774866
20231005,173.74,175.45,172.68,174.91,871837,0.007197973050788953
20231006,173.89,177.99,173.18,177.49,1006647,0.014750443085015164
20231009,176.84,179.05,175.8,178.99,775082,0.008451180348188592
20231010,178.1,179.72,177.95,178.39,776845,-0.003352142577797812
20231011,178.2,179.85,177.6,179.8,806597,0.007904030494983116
20231012,180.07,182.34,179.04,180.71,1059370,0.0050611790878754
20231013,181.39,181.93,178.14,178.85,863179,-0.010292734215040733
20231016,176.75,179.08,176.51,178.72,965173,-0.0007268660889012679
20231017,176.68,178.42,174.8,177.15,1095490,-0.008784691136973999
20231018,175.57,177.58,175.11,175.84,966904,-0.007394863110358418
20231019,176.0,177.84,175.19,175.46,972114,-0.002161055505004561
20231020,175.37,175.42,172.64,172.88,1052315,-0.014704206086857519
20231023,170.97,174.01,169.99,173.0,1011001,0.0006941230911614582
20231024,173.0,173.67,171.45,173.44,798985,0.0025433526011560126
20231025,171.92,173.06,170.65,171.1,934951,-0.013491697416974202
20231026,170.43,171.38,165.67,166.89,1237967,-0.02460549386323796
20231027,166.91,168.96,166.83,168.22,983657,0.007969321109713157
20231030,169.02,171.17,168.87,170.29,914485,0.0123053144691474
20231031,169.27,170.9,167.9,170.77,724276,0.0028187210053438605
20231101,171.05,174.23,170.12,173.97,955606,0.018738654330385796
20231102,175.5,177.78,175.46,177.57,1138614,0.0206932229694774
20231103,174.24,176.82,173.35,176.65,1402410,-0.005181055358450148
20231106,176.36,179.43,176.21,179.23,1083321,0.014605151429380125
20231107,179.18,182.44,178.97,181.82,1146719,0.01445070579702068
20231108,182.41,183.45,181.59,182.89,882353,0.005884941150588352
20231109,182.96,184.12,181.81,182.41,925677,-0.002624528405052118
20231110,183.97,186.57,183.53,186.4,1019943,0.021873800778466235
20231113,185.77,186.03,184.21,184.8,714381,-0.008583690987124415
20231114,187.69,188.11,186.3,187.44,956582,0.014285714285714235
20231115,187.84,189.5,187.78,188.01,853385,0.0030409731113956173
20231116,189.53,190.96,188.65,189.71,984536,0.009042072230200704
20231117,190.25,190.38,188.57,189.69,831304,-0.00010542406831481888
20231120,189.89,191.91,189.88,191.45,754940,0.009278296167430922
20231121,191.46,191.52,189.74,190.64,650607,-0.004230869678767291
20231122,191.49,192.93,190.82,191.31,724931,0.0035144775493076708
20231124,190.87,190.9,189.25,189.97,421738,-0.0070043385081804965
20231127,189.91,190.67,188.9,189.79,610152,-0.0009475180291624863
20231128,189.78,191.08,189.4,190.4,649370,0.0032140787185837016
20231129,190.91,192.09,188.97,189.37,650588,-0.005409663865546199
20231130,189.84,190.32,188.19,189.95,657660,0.003062787136294043
20231201,190.33,191.56,189.23,191.24,708257,0.006791260858120651
20231204,189.98,190.05,187.45,189.43,730494,-0.009464547165864867
20231205,190.21,194.4,190.18,193.42,1163092,0.02106318956870612
20231206,194.45,194.76,192.11,192.32,658373,-0.005687105780167512
20231207,193.63,195.0,193.59,194.27,699534,0.010139351081530856
20231208,194.08,195.99,193.67,195.71,809504,0.007412364235342528
20231211,193.22,193.49,191.42,193.18,960740,-0.012927290378621392
20231212,192.92,194.72,191.72,194.71,753454,0.007920074541878153
20231213,195.08,198.0,194.85,197.96,1134033,0.016691489908068347
20231214,198.01,199.62,196.16,198.11,1131421,0.0007577288341078514
20231215,197.53,198.4,197.0,197.57,1234604,-0.0027257584170411464
20231218,196.11,196.63,194.39,195.89,854568,-0.008503315280660062
20231219,196.15,196.95,195.89,196.94,576301,0.005360151105212152
20231220,196.86,197.68,194.83,194.83,786442,-0.010713923022240168
20231221,196.13,197.08,193.5,194.68,769998,-0.0007699019658163886
20231222,195.17,195.41,192.97,193.6,639628,-0.005547565235257901
20231226,193.61,193.89,192.83,193.05,491332,-0.0028409090909089496
20231227,192.49,193.5,191.09,193.15,771245,0.0005180005180005498
20231228,194.09,194.66,193.17,193.58,579235,0.0022262490292519477
20231229,193.88,194.4,191.72,192.53,630724,-0.00542411406137
20240102,187.17,188.44,183.88,185.64,1331980,-0.0357866306549629
20240103,184.29,185.88,183.43,184.25,932824,-0.007487610428786873
20240104,182.17,183.09,180.88,181.91,1135368,-0.012700135685210334
20240105,181.94,182.76,180.17,181.18,1055979,-0.004012973448408452
20240108,182.14,185.6,181.5,185.56,879223,0.024174853736615542
20240109,183.92,185.15,182.73,185.14,688690,-0.0022634188402673727
20240110,184.31,186.4,183.92,186.19,744673,0.005671383817651643
20240111,186.54,187.05,183.62,185.59,787304,-0.0032225146355873147
20240112,186.05,186.74,185.19,185.92,626147,0.0017781130448837335
20240116,182.25,184.26,180.93,183.63,997789,-0.012317125645438853
20240117,181.33,182.93,180.3,182.68,822265,-0.005173446604585297
20240118,186.19,189.14,185.83,188.63,1331696,0.03257061528355587
20240119,189.4,191.95,188.82,191.56,1093628,0.015533054127127244
20240122,192.29,195.33,192.27,193.89,985877,0.012163290874921628
20240123,195.01,195.75,193.82,195.18,738659,0.006653257001392632
20240124,195.41,196.38,194.34,194.5,853203,-0.003483963520852562
20240125,195.22,196.27,193.11,194.17,922209,-0.0016966580976864876
20240126,194.26,194.76,191.94,192.42,718974,-0.009012720811659936
20240129,192.01,192.2,189.58,191.73,707285,-0.003585905830994718
20240130,190.95,191.8,187.47,188.04,962128,-0.019245814426537278
20240131,187.13,187.15,184.4,184.4,810035,-0.019357583492873753
20240201,184.01,186.95,183.81,186.86,867344,0.013340563991323329
20240202,179.87,187.33,179.25,185.85,1711678,-0.005405116129722942
20240205,188.13,189.25,185.84,187.68,1125736,0.00984665052461664
20240206,186.9,189.31,186.76,189.3,723886,0.008631713554987153
20240207,190.61,191.05,188.61,189.41,850693,0.0005810882197569978
