datetime,open,high,low,close,volume,return
20230725,190.6571,191.7518,190.2528,190.9431,37283200,0.004513614816421541
20230726,190.9924,192.9352,190.6473,191.811,47471900,0.004545037182999145
20230727,193.3099,194.4736,189.8879,190.5486,47460200,-0.006581109904408078
20230728,191.9786,193.9115,191.456,193.1226,48291400,0.013508068197142231
20230731,193.3494,193.7735,192.5605,193.734,38824100,0.0031659666564531896
20230801,193.5269,194.0102,192.5802,192.9056,35175100,-0.004275806533931448
20230802,192.3435,192.4815,189.1976,189.9175,50389300,-0.015490184353055714
20230803,188.9215,189.7104,188.0536,188.527,61235200,-0.00732161575931034
20230804,182.9551,184.7894,179.4049,179.4739,115956800,-0.048020020549877196
20230807,179.612,180.5981,174.8981,176.3773,97576100,-0.01725377896944935
20230808,177.2057,177.7777,175.1249,177.3142,67823000,0.00531176226725627
20230809,178.3694,178.4286,174.5628,175.7265,60378500,-0.008954376430612143
20230810,176.9986,178.2511,175.1446,175.5095,54686900,-0.0012344993999431342
20230811,175.1046,176.3884,174.3442,175.5687,52036700,0.00033732700688693384
20230814,175.7465,177.445,175.0947,177.2179,43675600,0.009393301206528148
20230815,176.6451,177.2376,174.838,175.233,43622600,-0.011200387251690813
20230816,174.917,176.3094,174.2949,174.364,46964900,-0.004959130774989218
20230817,174.9269,175.2923,171.3126,171.8261,66062900,-0.014555026035436014
20230818,170.1474,172.9124,169.8116,172.31,61172200,0.0028161419494678874
20230821,172.8827,173.9295,171.5694,173.6431,46311900,0.0077367224357955955
20230822,174.8479,175.4601,174.048,175.0157,42038900,0.007904919869506477
20230823,176.2896,179.2818,176.102,178.8571,52722800,0.02194879576265807
20230824,178.4128,178.8374,173.811,174.1764,54945800,-0.026170360465879172
20230825,175.1639,176.9118,173.6234,176.3785,51449600,0.01264312201774831
20230828,177.84,178.3338,176.3193,177.9388,43820700,0.008846071793217947
20230829,177.4549,182.5899,177.2574,181.8197,53003900,0.02181025511956336
20230830,182.6294,185.5031,182.4319,185.3056,60813900,0.019172383268406534
20230831,185.4932,186.7572,185.1377,185.5228,60794500,0.0011723305291930775
20230901,187.1226,187.5472,185.9277,187.0929,45766500,0.008463186385273769
20230905,185.9277,187.6065,185.2661,187.33,45280000,0.0012669106969052102
20230906,186.0462,186.4906,179.2028,180.6248,81755800,-0.03579336598881666
20230907,172.9914,175.9835,171.3718,175.3416,112488800,-0.029249348633731742
20230908,176.1218,177.9882,175.5688,175.9539,65551300,0.003491805765269307
20230911,177.8202,178.0474,175.1243,177.1191,58953100,0.006622315548774349
20230912,177.2475,177.8795,172.6359,174.0974,90370200,-0.017060518046761786
20230913,174.3047,175.0849,171.8063,172.0335,84267900,-0.0118547947810822
20230914,171.8261,173.8998,171.4113,173.5443,60895800,0.008782385133877746
20230915,174.2751,174.2949,171.6484,172.8235,109259500,-0.004153814311672055
20230918,174.2751,177.1389,173.969,175.7465,67257600,0.016913412569963038
