datetime,open,high,low,close,volume,return
20230829,236.6069,238.2099,235.7309,237.0449,1139600,-0.0001572976622052913
20230830,237.4457,238.7597,236.3832,237.5854,1587500,0.00228020936239548
20230831,238.4429,238.9834,236.7187,237.2872,2400100,-0.0012552021784925094
20230901,237.4549,239.2909,236.7653,238.3496,1491300,0.00447730980211003
20230905,237.5389,238.1819,233.2891,235.647,1616500,-0.011339022701092105
20230906,235.3953,235.4792,232.8977,233.9694,1311000,-0.007118916665873498
20230907,234.9154,235.646,233.9788,234.2692,1021600,0.0012810578930819716
20230908,235.3556,235.4587,233.089,233.5667,1191000,-0.002998684822781983
20230911,233.4824,234.0537,231.2438,232.4708,1297200,-0.004691832671600116
20230912,231.3937,232.9204,231.2532,232.3022,1303300,-0.000725096810302639
20230913,231.759,233.3419,231.3,232.1055,1364400,-0.0008467462244222679
20230914,232.6863,232.9766,230.7381,232.5551,1350200,0.001936985007628289
20230915,232.6956,233.1358,229.1833,229.764,2898800,-0.012002178635371452
20230918,230.5601,232.4146,230.1292,231.6091,1218500,0.008030649342058993
20230919,230.8224,231.3937,228.5089,230.2604,1030700,-0.005823278422081968
20230920,231.5436,231.5436,228.3497,228.4152,1364700,-0.008013401946741494
20230921,227.2538,227.6847,223.4979,223.5916,1260100,-0.02111771865576617
20230922,222.5613,225.6616,222.5613,224.1817,1026200,0.0026391324821029016
20230925,224.6594,225.2869,222.9547,224.8092,1077200,0.0027992838537944653
20230926,223.6572,224.1443,221.1658,222.2054,1557700,-0.01158228828843133
20230927,222.9172,228.1624,221.8214,227.2538,2256300,0.02271945062014269
20230928,226.9354,228.9117,226.5326,227.8907,1391000,0.0028026011952886343
20230929,228.537,228.537,224.4439,225.3337,1337000,-0.011220252604494663
20231002,225.3337,225.6803,222.9641,224.2004,1206400,-0.005029499971288209
20231003,223.7696,225.315,223.1795,225.1839,1216600,0.004386451173771011
20231004,225.9987,228.8648,224.6781,228.5182,1388600,0.014807303330814925
20231005,229.0146,229.3987,225.8208,227.9375,935300,-0.0025411702363707933
20231006,226.8042,231.9557,225.0527,230.7662,1574900,0.012409732580699329
20231009,230.2042,234.5501,229.7546,234.3253,1022800,0.01542322368405391
20231010,234.3254,235.3744,231.9932,233.3606,1648900,-0.004116888051471812
20231011,233.8383,234.0818,231.7403,233.651,1134400,0.0012442522236373321
20231012,234.7281,234.9248,230.6913,231.9557,1400800,-0.007255746788647599
20231013,232.7518,233.7259,229.7921,231.8152,1443800,-0.000605665986555981
20231016,233.1358,234.2598,231.9744,233.4637,1037900,0.007111064128063838
20231017,234.5314,234.5408,232.3304,233.5292,1054600,0.0002809100020038091
20231018,233.754,234.4752,232.143,232.527,1074800,-0.004291528047958515
20231019,232.3584,233.6884,230.0731,230.4852,1156800,-0.008781150230607326
20231020,230.6913,230.9722,226.1486,226.364,1562200,-0.01788034579366926
20231023,226.3641,228.1905,225.5586,225.877,1162400,-0.002151467142586405
20231024,225.7365,227.207,222.8423,225.212,1562100,-0.0029441178306455207
20231025,215.0964,215.4804,203.2481,204.4938,4914400,-0.0919942783946387
20231026,204.4657,208.3621,203.3605,204.9715,2603800,0.00233589681312929
20231027,204.4938,204.728,200.3445,201.225,2070000,-0.018278181881797195
20231030,202.0117,203.3511,199.7451,202.3864,1704200,0.005771762745555797
20231031,202.939,205.0745,201.6089,204.3907,2557200,0.009903575154667665
20231101,201.3748,201.3748,192.5049,197.0382,3416600,-0.03597288261823428
20231102,198.2184,204.8871,198.1153,204.7092,2262700,0.03893140730929279
20231103,207.0227,208.231,202.7048,205.4117,2455300,0.0034317691030611996
20231106,205.5241,206.9571,204.7748,206.5637,1127100,0.00560843705041969
20231107,207.0133,209.2519,205.318,208.1654,1668400,0.007753653019964446
20231108,209.8607,212.1179,209.1301,211.1907,1389200,0.014533226557789769
20231109,212.0805,212.7174,211.097,212.1648,1513200,0.0046123749619957355
20231110,213.6634,214.6656,211.9962,214.0099,1429600,0.008696868551965053
20231113,213.0358,213.1108,211.762,212.0055,1229200,-0.009365894838312516
20231114,215.0871,216.5669,214.2816,215.8176,1297600,0.01798114941023088
20231115,215.8363,217.747,215.546,215.8551,1553600,0.00017343257569990556
20231116,217.0259,218.5151,212.8485,215.34,1588400,-0.002386352084979504
20231117,216.3234,216.3234,213.551,214.8529,1664600,-0.0022619631362790216
20231120,214.1504,217.7096,213.9631,217.0258,1403700,0.010113774997340341
20231121,217.1195,217.438,215.4898,216.5576,1715600,-0.0021577014029242614
20231122,217.9531,218.9366,215.2369,216.5014,1439200,-0.00025957706553481064
20231124,216.8479,217.2787,214.5813,216.0424,659800,-0.0021199364308034374
20231127,215.6115,215.7708,213.7289,214.6375,1551600,-0.006503065214145454
20231128,214.8716,215.6958,213.9631,214.4782,1162300,-0.0007417633978080707
20231129,215.2744,216.417,214.3377,214.6375,1291200,0.000742314019177126
20231130,214.9559,215.4242,213.0639,215.3493,4351800,0.0033163947199299493
20231201,215.087,218.5244,214.703,218.1779,1647700,0.013135073509561668
20231204,216.7355,218.5057,216.5201,217.8407,2795100,-0.001545406104287661
20231205,217.7939,218.1311,215.2931,216.8854,1665900,-0.004385626358447303
20231206,217.4754,218.2247,215.6396,217.6253,1676900,0.0034116846593932326
