datetime,open,high,low,close,volume,return
20230829,217.0,219.57,215.7,219.4,1151900,0.010640737010278123
20230830,219.4,223.45,218.48,221.55,1331100,0.009799495055081264
20230831,221.74,224.26,220.89,221.94,1729100,0.001760322203910425
20230901,224.07,224.13,218.45,220.02,1160700,-0.008650978407789278
20230905,218.09,220.79,216.59,219.46,1189800,-0.0025452120158141467
20230906,219.08,222.69,218.15,222.2,1709700,0.012485146042793271
20230907,221.14,221.62,218.18,221.01,1288200,-0.005355546614536855
20230908,220.56,221.92,217.86,219.19,1002200,-0.008234885800032843
20230911,219.49,220.43,217.5,218.74,838800,-0.0020529994216432756
20230912,215.13,217.07,211.25,211.8,1574600,-0.03172717503485267
20230913,212.2,213.83,210.57,212.26,1095000,0.002171819869925651
20230914,213.34,217.2,211.6,216.67,1137200,0.020776424084790746
20230915,216.67,217.36,212.81,213.35,1944400,-0.015322804696019654
20230918,212.44,214.21,212.19,213.52,880400,0.0007968041438106699
20230919,212.13,212.6,209.07,212.06,1146000,-0.006837798260832528
20230920,213.12,213.43,207.61,207.73,1230300,-0.0204187582802281
20230921,206.78,207.11,203.2,204.06,1425000,-0.017667155656032052
20230922,204.55,206.28,203.79,204.04,1122700,-9.803132755203947e-05
20230925,203.01,205.7,202.0,205.67,1141900,0.007988653873981955
20230926,204.05,204.58,200.26,201.66,1544400,-0.019497226345779328
20230927,202.06,203.64,200.09,202.28,1065000,0.0030744575321257628
20230928,202.28,208.57,201.95,207.89,1466200,0.02773383747383007
20230929,209.71,210.99,206.58,206.91,1073900,-0.004714010921238465
20231002,206.06,209.42,205.54,208.99,855100,0.0100526885807386
20231003,207.89,209.05,201.21,203.28,1103100,-0.027321912836898554
20231004,204.28,207.62,204.05,207.06,892700,0.018595035428944806
20231005,206.23,206.46,200.41,203.96,958600,-0.01497146180468456
20231006,202.08,211.28,201.33,210.04,1238100,0.029809699804506984
20231009,208.1,211.05,206.61,210.56,766000,0.0024757393309975395
20231010,211.15,214.91,210.0,212.47,914200,0.009071066129632932
20231011,214.1,215.18,211.63,213.2,965500,0.0034357590405469374
20231012,213.83,215.0,211.12,212.77,1207100,-0.0020168512285937412
20231013,212.83,213.75,208.63,209.47,1313900,-0.015509719347150175
20231016,211.02,213.97,210.1,211.78,786400,0.011027820428376689
20231017,209.32,215.44,208.23,213.99,1004200,0.010435389208639734
20231018,211.35,212.09,209.07,209.64,1307500,-0.020328080713351793
20231019,210.33,210.93,205.2,206.07,1383500,-0.01702915510314562
20231020,206.25,206.72,201.34,202.69,1060600,-0.016402216541364978
20231023,201.62,203.17,198.82,199.72,1012500,-0.014652924095561626
20231024,201.82,205.71,201.47,205.04,998700,0.026637252317812443
20231025,203.15,204.41,199.82,200.21,1155800,-0.023556314526041677
20231026,201.0,202.42,192.92,196.12,1944200,-0.02042860726000062
20231027,196.25,197.11,192.88,195.15,1157400,-0.0049459578056970654
20231030,196.08,198.67,194.62,197.79,1084400,0.013528052637546084
20231031,198.29,198.63,195.32,197.63,1057700,-0.0008088801696295445
20231101,198.12,199.46,195.94,198.93,1066700,0.006577886762385132
20231102,199.51,200.28,192.01,199.24,1940000,0.0015584015925043104
20231103,200.74,205.35,200.28,203.98,1354500,0.023790353863133218
20231106,203.17,203.33,199.84,201.99,1005500,-0.009755810746427729
20231107,204.02,206.75,202.79,205.31,910200,0.01643641752137115
20231108,206.16,207.92,205.36,206.93,745300,0.007890483349332067
20231109,208.02,208.88,204.4,204.68,844800,-0.010873242544039097
20231110,205.26,211.05,203.72,210.58,1013800,0.028825529443022857
20231113,209.26,211.97,208.42,210.1,1055700,-0.0022793984393834066
20231114,214.54,218.07,213.97,217.36,1155500,0.03455494667267622
20231115,217.21,218.26,215.52,216.11,1031500,-0.00575082810310068
20231116,216.1,217.5,213.89,215.02,1130400,-0.005043710771422849
20231117,215.3,217.54,214.33,217.33,1131100,0.010743175112519543
20231120,217.49,221.97,217.18,219.7,1522200,0.01090505267206443
20231121,219.0,221.99,216.63,217.67,2109800,-0.009239867125601764
20231122,201.25,208.55,200.05,202.66,4286500,-0.06895757170533845
20231124,202.66,203.57,201.11,203.42,912500,0.0037500961862364512
20231127,202.21,203.02,200.85,202.26,1441400,-0.005702505518390355
20231128,201.8,207.65,201.8,207.37,1573200,0.025264514729228083
20231129,210.03,217.39,210.03,213.85,2799400,0.03124854674692057
20231130,215.22,218.78,212.7,218.43,3073700,0.02141681758965519
20231201,218.27,225.26,217.0,224.93,1977300,0.029757818147474024
20231204,222.94,224.28,217.96,221.31,1747000,-0.01609387469462753
20231205,220.01,220.84,216.79,220.45,1386500,-0.003885954633043087
20231206,221.71,221.97,218.58,219.55,1463000,-0.004082530773160675
20231207,220.0,224.46,219.05,223.84,1330400,0.01953993726486747
20231208,222.07,225.31,221.9,224.01,1073600,0.0007594628829814543
20231211,224.51,228.28,224.51,226.09,1487000,0.009285308165083661
20231212,224.83,228.95,224.25,227.94,1369300,0.008182609286041975
20231213,228.99,235.0,227.9,234.91,2051500,0.030578227367066946
20231214,235.36,242.64,235.26,240.81,3303500,0.025115975499156784
20231215,241.35,243.17,238.89,242.29,3179500,0.006145906492852182
20231218,240.79,242.47,236.35,239.14,1764800,-0.013000924444966144
20231219,239.65,240.8,237.75,238.16,1528600,-0.004098000041984906
20231220,237.33,241.56,235.72,236.71,1353500,-0.006088331062924279
20231221,240.65,242.65,239.06,241.89,1024300,0.021883285576696387
20231222,243.74,244.03,240.31,242.76,719900,0.0035966559981095436
20231226,242.49,245.36,241.96,245.07,595000,0.009515623948153307
20231227,245.36,245.88,244.38,245.11,771900,0.00016319127162667257
20231228,245.63,245.85,244.02,244.91,537200,-0.0008159477285470951
20231229,243.72,245.4,242.79,243.48,721400,-0.005838911899014199
20240102,240.79,241.2,232.22,234.12,1443500,-0.038442585734335455
20240103,231.71,231.71,227.04,227.19,1278800,-0.02960017435637008
20240104,227.19,229.57,225.45,228.92,1552800,0.007614752889424592
20240105,228.77,231.86,228.41,229.52,1138100,0.0026210296536557376
20240108,231.0,235.95,230.78,235.45,1447500,0.025836496015143817
20240109,233.5,236.68,232.63,235.96,878500,0.002166106486453323
20240110,236.19,239.18,235.77,238.82,964900,0.012120700665260165
20240111,239.53,241.02,237.34,240.65,1035400,0.0076626183575199125
20240112,242.47,243.34,239.83,242.44,1012600,0.00743822393651028
20240116,240.28,242.68,240.13,241.5,1364800,-0.0038772580099830645
