datetime,open,high,low,close,volume,return
20230725,56.4013,56.5136,55.8865,56.055,2816400,-0.006140031984546823
20230726,56.3732,57.225,56.0737,56.9442,3262800,0.01586248389956957
20230727,57.1688,57.7491,56.7476,56.757,3178600,-0.0032874732357716097
20230728,57.2811,57.3934,55.7649,56.3077,3904800,-0.007915515676983564
20230731,56.523,56.8974,56.0924,56.42,3675800,0.0019945491852062514
20230801,56.523,56.5885,56.1205,56.5136,3819100,0.0016591425250689351
20230802,56.523,58.2171,56.392,57.3466,5055700,0.014739945280059175
20230803,57.3747,57.5151,57.0565,57.225,3865000,-0.00212178784157091
20230804,57.1875,57.8708,56.757,56.8038,3240700,-0.007360220995948352
20230807,57.225,58.3294,57.225,57.9457,2560700,0.02010218680460274
20230808,57.0658,57.721,56.6259,57.5619,2277900,-0.006622469034940792
20230809,57.4496,57.6274,56.4481,56.4762,2133400,-0.018861912604313358
20230810,56.8131,57.4683,56.4013,56.5511,1895700,0.0013258455380829037
20230811,56.1673,56.9348,55.9801,56.654,1732200,0.001820632180965509
20230814,56.4668,56.5043,55.7555,55.9895,2207800,-0.011729648249258928
20230815,55.3624,55.3998,54.7634,55.0161,2911100,-0.017385545087695964
20230816,55.0161,55.6338,54.7072,54.857,2305800,-0.002892082205581903
20230817,55.1003,55.2688,54.0988,54.3422,2879300,-0.00938407592265178
20230818,53.9865,54.6417,53.9772,54.2392,2584700,-0.0018945661212631526
20230821,54.3515,54.5013,53.7057,54.0895,1900400,-0.0027609825488489337
20230822,53.9678,54.2299,53.3688,53.6683,3135300,-0.007786811020512263
20230823,53.79,53.9865,53.4811,53.9304,2360600,0.004883138395179065
20230824,53.7244,54.8195,53.7151,54.3703,3379300,0.008156734126159693
20230825,54.4826,54.8102,53.8087,54.1456,2286900,-0.0041313178562274455
20230828,54.1831,54.6511,53.7712,54.1643,2048700,0.00034556967001586614
20230829,54.3328,54.7072,53.9023,54.6136,3136100,0.008294469295032858
20230830,54.8102,55.2033,54.389,54.6042,1865800,-0.00017147889052948617
20230831,54.7166,54.8476,54.3983,54.7727,3113300,0.0030855426117437634
20230901,55.1097,55.7836,55.1097,55.4466,1995500,0.012303439192112853
20230905,55.1939,55.9333,54.8476,54.8476,2428600,-0.010803577571379397
20230906,54.7447,55.587,54.5855,55.3998,2787400,0.010068389348426798
20230907,55.3718,56.0644,55.1846,55.8304,4405200,0.007771608828723853
20230908,55.7274,56.3077,55.5122,55.8397,2060600,0.00016767336736078775
20230911,56.2609,56.7383,55.7742,55.8678,2719400,0.0005027991429460421
20230912,56.0363,57.0471,55.9333,56.6915,2091300,0.014742637489474575
20230913,56.8225,56.9816,56.2796,56.7663,2723700,0.0013209455631275624
20230914,57.4348,57.7926,57.143,57.6232,2556400,0.015093722143504795
20230915,57.1994,57.6514,57.1147,57.6043,7130500,-0.00032689941269326006
20230918,57.6985,58.3011,57.2089,58.0751,2704300,0.008172641319637908
20230919,58.4046,58.9225,58.2446,58.7154,3029200,0.011024604641685753
20230920,58.9884,59.2615,58.6024,58.6777,3144900,-0.0006414422360573324
20230921,58.4705,58.5741,57.7079,57.7456,3698300,-0.01588570643981113
20230922,57.6985,58.2257,57.5761,57.9809,2670300,0.004076260185695846
20230925,57.8868,58.6024,57.8868,58.4988,1988900,0.008931497422094647
20230926,58.141,58.8001,57.6514,57.6796,3072400,-0.014002835845694728
20230927,57.8397,57.9433,56.7287,57.4442,2387600,-0.004081116252886097
20230928,57.3972,58.3293,57.3595,57.6985,3172300,0.004425624715072685
20230929,57.5384,57.8115,56.7004,57.0582,2913900,-0.011096698917027137
20231002,56.9076,57.0394,55.9189,56.5404,2982900,-0.009075800797300748
20231003,56.305,56.4274,54.9397,55.2128,2865500,-0.023480478003999106
20231004,54.9397,55.9566,54.3465,55.8907,2980700,0.012278342726004476
20231005,55.6835,57.0959,55.6176,56.6345,4251700,0.013308549368869604
20231006,56.4744,57.6137,56.305,57.3124,3304600,0.011970041487504135
20231009,57.077,57.6702,56.9641,57.5196,1856900,0.0036143904697183427
20231010,57.5196,58.0374,57.4913,57.5949,2472700,0.0013094216214928345
20231011,57.6137,58.1598,57.2654,57.9339,3050900,0.0058852878533453
20231012,58.2822,58.2822,57.2371,57.5667,2739400,-0.00633830982179906
20231013,57.9904,58.3764,57.1806,57.5196,2313300,-0.0008177855129041234
20231016,58.1222,59.1767,58.028,58.9507,3022300,0.024881332007552714
20231017,58.8472,59.93,58.7907,59.4874,3377000,0.009103907546624823
20231018,59.2991,59.6475,58.8283,58.9413,3269900,-0.009180101514197014
20231019,58.6871,58.979,57.4913,57.5949,2388000,-0.022843529415191077
20231020,57.5478,57.6796,55.5988,56.0413,3142400,-0.026973888269939184
20231023,55.9189,55.9378,55.2599,55.5329,2821100,-0.0090725545015925
20231024,55.7589,56.4744,55.6553,56.3709,3001400,0.015089694968620115
20231025,56.4085,57.6985,56.4085,57.3972,3594000,0.018206183584307478
20231026,57.3972,58.2917,57.2371,57.2936,2788200,-0.0018044273269386402
