datetime,open,high,low,close,volume,return
20230725,203.0815,207.9809,201.9068,202.9573,2097700,0.008111803691121855
20230726,201.9641,203.5304,198.7838,200.5793,1626900,-0.011716929766987572
20230727,201.4484,201.4675,195.89,196.6922,2250200,-0.019379067418182627
20230728,200.8753,202.4321,196.377,198.6978,1828100,0.010196562998480596
20230731,198.7169,206.1186,197.5136,202.7377,3307800,0.020331657689454552
20230801,200.5601,201.5534,196.6731,198.6405,1944300,-0.02020935955400527
20230802,196.2529,196.4725,191.9647,193.7698,2041500,-0.024520241122707453
20230803,204.8961,205.3259,189.8827,190.3889,3202400,-0.01744781731008882
20230804,191.8692,196.6062,190.3029,191.0956,2148800,0.0037119328522847717
20230807,191.1529,191.4299,185.967,187.9058,1723500,-0.016692428608227505
20230808,185.1934,186.9029,182.9204,186.8552,1505900,-0.005590928225636671
20230809,187.667,188.6603,185.3844,185.4895,1077800,-0.007308826202609864
20230810,186.7597,187.0176,182.567,183.0541,1954200,-0.01312963547939161
20230811,181.7743,181.9462,178.3648,179.062,1783100,-0.021808202351443096
20230814,176.4738,177.6199,173.8952,177.1997,2802500,-0.010400589415874295
20230815,174.6592,176.6457,171.2211,175.7671,2676500,-0.008084590341633002
20230816,174.0098,178.3935,171.7654,173.3699,1851200,-0.013638339411225053
20230817,173.1312,176.3879,171.9469,174.4682,2091300,0.006335080976274332
20230818,172.6632,175.4137,172.2143,175.1463,1775100,0.0038867586343092064
20230821,177.6199,180.0648,177.3525,179.616,1787100,0.025519345483120848
20230822,181.23,181.9081,177.5244,179.7019,1869900,0.00047853633295380504
20230823,180.0457,183.7036,178.3648,183.1592,1189200,0.019238946877899732
20230824,183.4075,184.2575,180.8384,182.1659,1281300,-0.005422909279944599
20230825,181.4592,182.2901,177.3143,181.2109,1761100,-0.005242734678759131
20230828,180.953,184.3052,180.5137,181.1154,1176300,-0.000527036580835194
20230829,182.0609,189.8541,180.9435,188.8608,1713000,0.04276529820734143
20230830,188.3451,190.2647,186.9125,189.663,1081400,0.0042475739431178106
