datetime,open,high,low,close,volume,return
20230725,135.3279,137.9722,135.1425,136.6647,5038500,0.012359859556349884
20230726,134.2936,136.8891,133.4935,135.6499,4050400,-0.007425258383449873
20230727,140.7336,146.7833,140.7141,142.5973,8928900,0.051215687103822294
20230728,145.9539,149.5642,145.0952,148.2469,7802000,0.03961934915219567
20230731,148.2469,148.9787,146.8711,147.9151,4184400,-0.0022380708784202064
20230801,147.2614,149.1544,146.6369,148.93,3088100,0.006860904214110342
20230802,146.9687,146.9687,143.3193,143.7584,5468300,-0.03472463990252728
20230803,142.4705,145.0952,141.8362,144.2268,4338600,0.00325823724662877
20230804,143.9438,145.4563,141.5532,142.1289,3984500,-0.014545735004124483
20230807,143.4852,147.037,143.4657,146.7345,3896100,0.03240420751936601
20230808,144.5585,144.7147,142.3631,144.4219,3443700,-0.01576027518842049
20230809,144.3927,145.3001,141.2898,141.6411,4796600,-0.019255272885869368
20230810,143.212,144.3927,139.631,141.1044,4018300,-0.003789029524955745
20230811,138.7723,139.0163,135.1718,135.4645,5193200,-0.03996943578616985
20230814,134.8498,138.4991,134.3326,138.4503,4850400,0.02204137916119331
20230815,137.8454,138.4113,136.3524,136.6842,3384900,-0.012756405176800434
20230816,137.1233,137.8356,134.8205,134.8985,4613000,-0.013064126917783692
20230817,135.8158,136.4012,133.2593,134.2545,7065700,-0.004773937299839326
20230818,134.0009,140.1677,132.2445,139.2017,11541800,0.036848755913788
20230821,139.8066,145.6026,139.6895,145.1635,8121900,0.04282889313713456
20230822,147.1053,147.4858,143.3779,144.2659,4865900,-0.006183780497393321
20230823,143.7573,145.2828,142.8186,144.7254,5300400,0.003185748492771756
20230824,146.2313,146.6323,138.6822,139.3667,6771000,-0.037027212275060783
20230825,140.413,141.7527,137.8412,141.166,4720600,0.012910446274136511
20230828,142.095,143.9334,140.8531,142.2025,3565800,0.007342955462558809
20230829,140.677,147.1897,140.677,146.6616,5017200,0.03135732669054869
20230830,145.8891,148.2165,144.9015,147.6102,4000000,0.006467590881699792
20230831,146.1042,149.9962,146.1042,149.3801,6593800,0.01199065928726939
20230901,151.0816,151.1207,149.1259,150.5829,3693100,0.008051972593854373
20230905,150.5633,151.3945,148.9499,150.2113,4266700,-0.0024678267499287365
20230906,149.8593,151.8248,148.1969,149.7908,3109600,-0.002799401234101384
20230907,145.9184,146.1825,141.9189,144.9503,6720300,-0.03231476190039617
20230908,144.4516,145.2144,142.9457,144.2658,4473300,-0.004722475979176077
20230911,146.6812,146.6812,140.8531,143.464,4145000,-0.005558032302777294
20230912,142.799,143.1999,140.5401,140.7846,4470600,-0.01867644693883974
20230913,141.0193,143.8551,140.6184,141.3811,4625200,0.004237053456802808
20230914,143.1706,143.464,140.7553,141.3713,5629800,-6.918098349673052e-05
20230915,137.7336,138.0954,133.6852,135.1911,13654600,-0.04371590833414374
20230918,134.8293,137.8607,134.4773,137.1665,5607700,0.014611247299203711
20230919,136.6189,136.9513,133.6461,134.6631,6365400,-0.018250392325755538
20230920,135.6899,136.57,133.8613,133.9395,5806900,-0.0053736526492864645
20230921,132.0326,134.4675,131.9544,132.1989,5241000,-0.012995653381496997
20230922,133.9591,135.2498,132.7465,133.1572,5301100,0.007249257368374007
20230925,132.8834,134.0079,131.7393,133.5679,5161300,0.0030842516951066212
20230926,132.6096,133.0203,130.5854,131.1134,5343000,-0.018376181883714038
20230927,132.2282,133.0594,130.1551,132.0717,6296200,0.007308921847034577
20230928,131.7002,136.7069,131.309,135.1618,5341600,0.023397391609357943
20230929,137.1176,138.4279,135.0152,135.3867,4448200,0.0016638129268262691
20231002,135.7877,138.2813,134.2231,136.4233,4896900,0.0076562897109730965
20231003,135.6116,136.9122,132.4335,133.695,6173000,-0.019998686894457274
20231004,134.5262,136.5211,133.9395,136.2179,5543600,0.018870816573147486
20231005,136.3646,137.0491,134.7316,136.1984,4310400,-0.00014360639570465406
20231006,134.9956,138.0368,132.1597,137.186,5234400,0.007251484080535553
20231009,136.3842,137.8119,134.712,137.0491,3271500,-0.000997817392632272
20231010,137.9194,139.5721,137.2447,138.2715,3342900,0.008919071903476183
20231011,139.6601,139.7774,137.6945,139.0342,5136900,0.005516146973656433
20231012,139.8361,145.1166,139.6112,141.7918,8109900,0.01983406912352481
20231013,143.7965,143.8454,137.6065,138.0172,6600500,-0.026620696824493084
20231016,138.6235,139.5036,136.6482,137.8803,6097400,-0.0009920291623185529
20231017,136.0517,139.6307,133.783,139.5623,5915900,0.012198593113595946
20231018,136.8047,139.3276,135.0445,138.3204,5357900,-0.008898411082363777
20231019,139.6796,139.8849,130.8103,131.4557,9400300,-0.04962909946470828
20231020,131.5437,133.1376,130.4094,131.1525,6149500,-0.002305840991805308
20231023,130.2529,132.8051,128.9816,131.2601,3820100,0.0008199913137696413
20231024,132.3358,132.5509,130.556,131.9153,5238800,0.004991478403177929
20231025,130.1258,130.3116,126.8792,127.2313,7118100,-0.03550762683426956
20231026,128.2092,131.4362,127.6224,127.9451,5462700,0.0056107841131962655
20231027,128.3656,130.1649,127.6713,128.3949,4397300,0.003515617895620382
20231030,129.0403,130.0182,126.9477,128.1309,4604600,-0.0020566900600405003
20231031,128.8839,129.6173,126.3512,129.4217,4108100,0.010074209392790578
20231101,130.0867,132.8247,129.8422,132.2966,5127800,0.022213851337808732
20231102,134.7609,136.6873,133.6461,135.4454,6088400,0.02380050824704827
20231103,136.4037,138.6333,135.993,136.658,5560300,0.008952579313489917
20231106,137.2936,137.675,136.1299,137.2545,4823200,0.004365110558087526
20231107,136.9025,138.78,136.5993,138.604,4886800,0.009832008724740549
20231108,139.22,141.3322,138.4768,141.0389,4305900,0.0175672506894331
20231109,141.694,143.9529,139.7285,140.0023,4979900,-0.007349464028553965
20231110,141.9776,147.6493,141.4691,147.3462,6699400,0.052455256789749605
20231113,145.7033,146.9256,144.2854,146.4269,4125200,-0.006238609977675114
20231114,149.6441,151.4825,148.7738,150.6709,6505000,0.028983554487775676
20231115,151.5412,153.3014,150.6513,151.9324,4383300,0.008372282661533337
20231116,151.9617,154.2695,147.8546,151.3848,10513800,-0.0036041839346014903
20231117,138.8973,145.7522,138.7995,145.3024,18912700,-0.04017839863757755
20231120,145.586,149.6148,145.5175,149.1943,7087400,0.026785196716504922
20231121,148.2165,148.4511,144.8917,145.9478,6517900,-0.021760454688313557
20231122,148.0057,150.7104,146.036,146.4868,5071300,0.0036929025637035817
20231124,146.3398,147.6431,146.3398,147.3295,1992000,0.005753344008159855
20231127,146.5064,148.7211,145.791,147.7901,3429700,0.0031262334433133088
20231128,146.3692,146.9866,143.5762,145.0952,5799600,-0.01823474788381152
20231129,147.2316,149.7599,145.8694,146.3692,4975600,0.008780139994279068
20231130,147.3981,147.4667,144.0956,146.7807,7555600,0.002811898941355029
20231201,146.5652,148.9367,145.6538,148.5545,4929400,0.012084404646723668
20231204,147.0355,147.6431,142.7432,145.301,5859600,-0.021901219310272335
20231205,143.5958,144.517,142.3121,143.2234,5206300,-0.014298218577266653
20231206,145.7028,145.742,141.7927,141.8025,4491100,-0.009921277744318835
20231207,144.0172,145.5656,141.6751,145.4186,5753600,0.025501102046266988
20231208,144.468,145.8302,143.0667,144.762,4990200,-0.004515142621529744
20231211,146.2222,152.543,146.1536,152.0334,6945800,0.05023008555913111
20231212,152.0334,155.0125,151.5434,154.0718,5705200,0.013407319517663385
20231213,153.8856,155.2086,151.5337,153.8464,5561700,-0.0014627748075515257
20231214,154.6108,159.7948,154.552,158.5013,7401200,0.03025655002668981
20231215,158.9619,160.9218,158.2563,158.7071,8577200,0.0012983826101640172
20231218,157.6683,158.1191,154.5715,157.1489,4772300,-0.009817973726822693
20231219,157.3645,159.4714,156.8157,159.0795,4958200,0.012284990575215371
20231220,157.5899,158.7561,153.6896,153.7778,5488700,-0.0333270634086974
20231221,157.7761,158.5797,156.3845,158.1583,4257300,0.028485762328212205
20231222,158.3641,159.736,157.6193,158.8051,2770600,0.004089508011578591
20231226,159.0501,161.6666,158.8541,160.9904,2520500,0.013761105146899988
20231227,161.2452,161.6862,160.2554,160.9218,3319600,-0.00042622897680311134
20231228,161.696,161.7058,159.589,159.8536,2909700,-0.006637765179207222
20231229,159.8438,160.2848,157.4821,158.8247,2980700,-0.006436800787921748
20240102,156.7961,156.9039,150.3577,151.2788,8607300,-0.04751048494466281
20240103,148.6721,150.1029,147.7117,148.4173,6100100,-0.01891567759811419
20240104,146.8004,148.9563,145.7714,146.3202,6196100,-0.014130007003420264
20240105,147.0748,148.4859,145.0854,146.0164,5400100,-0.0020760773692340972
20240108,146.8297,149.7305,146.7219,148.5251,6515500,0.017181035662893862
20240109,146.8689,148.6525,145.9477,148.0057,5606700,-0.0034971138023910386
20240110,148.7309,148.8583,145.2716,146.8102,5035700,-0.008077465480636925
20240111,147.2414,149.3875,145.5068,148.9073,5995600,0.014284686809088676
20240112,149.1523,149.3483,147.3589,148.2213,4083700,-0.004606821132537964
20240116,148.2703,151.1515,146.8396,150.6811,6528000,0.01659499396376285
20240117,150.0441,150.6713,147.1924,150.2989,6630600,-0.0025363963303822734
20240118,155.483,157.5213,153.6406,157.1293,8133700,0.045445643735367414
20240119,159.3147,164.9103,159.0501,164.5771,9159000,0.04739927435702174
20240122,164.8123,168.4676,164.2831,164.9299,7176400,0.0021436665459515503
20240123,164.4007,164.6359,161.4118,163.7049,5053600,-0.007427341695187328
20240124,167.958,172.4365,167.2524,170.653,9729000,0.04244239164861363
20240125,173.6223,174.8277,168.9772,169.1732,7234400,-0.008670937324971817
20240126,165.6845,166.1745,163.2836,163.558,6653700,-0.03319239569955168
20240129,162.9798,165.1357,162.7544,165.1063,5370700,0.009466612121446838
20240130,163.9793,165.7825,162.4996,162.9112,5255300,-0.013295340923867305
20240131,160.716,163.2835,157.7369,161.01,6049400,-0.011669879003940009
20240201,162.1468,164.3811,161.5294,163.6265,4082600,0.016250737304339458
20240202,162.5976,165.7923,162.1468,164.8123,4740800,0.007246749150854548
20240205,165.2239,168.8302,164.9103,167.664,5749100,0.01730289740739388
20240206,167.566,169.2516,164.1459,165.3219,4550100,-0.013969292038700343
20240207,167.0761,169.4476,165.4493,167.4778,5103400,0.013040891925680143
20240208,166.5861,171.4958,165.9883,170.408,7327900,0.017495811477349354
20240209,175.4548,182.4225,175.0335,182.1187,9539900,0.06872150415952638
20240212,181.5601,184.4412,180.9427,181.8247,7085400,-0.0016142829733237773
20240213,175.0237,178.5418,173.3969,176.6994,9692500,-0.02818808527615202
20240214,178.9828,183.2359,178.9828,182.4617,8437900,0.03261074187844537
20240215,185.2154,185.676,182.6479,183.9023,8622900,0.007895091157996248
20240216,197.9747,202.6296,193.3492,195.5738,15557900,0.0634658284475107
20240220,191.6734,191.938,182.3931,185.3526,11216100,-0.05226243457774682
20240221,184.4691,186.8741,182.4764,186.8349,6977500,0.007997024516129825
20240222,194.6389,197.8489,193.0585,196.0623,10225900,0.04938800644539021
20240223,195.6598,197.6427,192.9995,193.5394,5108100,-0.012867478959870948
20240226,196.131,200.2441,195.4733,199.8121,6466600,0.03241039495968123
20240227,199.9888,200.6858,197.5249,199.1348,5167100,-0.0033898724448807593
20240228,194.845,195.5223,192.8818,193.9125,6207900,-0.026225129493142707
20240229,196.239,198.2906,193.6376,197.9176,9449600,0.020654146870138668
20240301,200.0281,207.4983,199.8219,206.3891,7647400,0.042803235748194446
20240304,208.107,209.4518,205.2013,205.6431,7089800,-0.0036146170972253255
20240305,203.935,206.8897,201.0195,203.5816,6100200,-0.010024469053736884
20240306,206.0946,209.5892,205.2896,208.2738,5642400,0.023048326691736953
20240307,209.3143,210.3254,207.6259,208.7057,6363100,0.0020738591906241943
20240308,208.5781,209.6776,201.6183,201.7852,6940800,-0.03315928166197646
20240311,199.5471,199.5471,193.9812,197.6721,6566600,-0.020383395737888055
20240312,200.1361,201.2453,195.6794,201.1766,7211300,0.017728627138335895
20240313,199.2428,200.1361,196.2684,196.877,5050300,-0.02137214775533558
20240314,198.2219,198.6832,195.3948,197.0635,4934900,0.000947410942286453
