datetime,open,high,low,close,volume,return
20230829,235.2358,237.5117,234.7422,237.3198,2216600,0.01204426579204676
20230830,237.6489,238.4441,234.8611,235.7111,1694300,-0.006778375526402036
20230831,236.0219,236.7348,234.2578,234.3035,2065000,-0.005971879710491623
20230901,236.4423,236.7623,234.0841,234.6417,1350200,0.0014434091025425921
20230905,234.6417,235.2633,232.0916,232.1738,1763600,-0.010517654455431513
20230906,232.5669,232.5669,227.0278,227.6036,1988900,-0.019684283573927375
20230907,229.0021,232.8045,228.8741,232.5211,2228300,0.02160552343245925
20230908,233.7642,237.9596,233.0513,237.1279,2449000,0.019812048491633538
20230911,236.0127,240.2173,235.2815,239.221,2135100,0.008826986622168409
20230912,240.0985,240.4092,235.6928,237.9322,1574000,-0.0053873089900448035
20230913,237.0456,237.85,234.925,235.117,2182800,-0.011832008540173411
20230914,236.6434,240.519,236.3144,239.7511,3072400,0.019709931344958243
20230915,241.0856,241.241,237.4843,238.307,6161100,-0.006023676563331026
20230918,240.7383,242.4201,239.4129,240.5281,1770100,0.009320331406351245
20230919,240.519,242.9228,239.8791,241.5884,1528200,0.004408228837624595
20230920,242.219,249.6044,241.2775,248.1236,3575300,0.027051295938446573
20230921,248.6812,249.056,244.6869,246.2499,2437100,-0.007551612194823365
20230922,244.6595,246.3322,243.6084,244.687,1894100,-0.0063470389634949775
20230925,244.5407,244.7875,242.2282,243.9192,1705300,-0.0031378532688476346
20230926,243.7546,246.6887,242.8315,245.9118,2367600,0.00816909789292608
20230927,248.3705,250.0889,243.8278,245.8569,2331900,-0.00022300718047130186
20230928,244.7692,248.0506,243.6267,247.5388,2430700,0.006840784711030556
20230929,247.7032,247.7032,244.2482,245.6558,2118100,-0.007606809741485088
20231002,244.6961,245.409,241.6523,243.4164,1912300,-0.0091158633127979
20231003,241.3416,243.1513,237.3472,238.5721,2797900,-0.019901596855522508
20231004,239.5684,243.2611,238.4807,242.6212,2526400,0.016972562557810766
20231005,243.3067,244.888,239.9705,242.2921,2883700,-0.001356441730331115
20231006,240.5281,245.5004,239.6872,244.4767,2838000,0.009016266095223324
20231009,247.7399,249.1657,245.4913,248.1969,2284300,0.015216865533538959
20231010,247.6027,248.6996,245.0708,247.9318,1808700,-0.0010680672305071193
20231011,251.2314,259.8873,250.5825,259.2201,4523100,0.045529923241326875
20231012,259.5674,263.1047,259.2201,260.5363,3052600,0.005077627781275629
