datetime,open,high,low,close,volume,return
20230718,329.5867,331.0458,325.6892,327.7261,1051600,-0.008385335971624053
20230719,326.6195,329.6945,325.3171,325.699,950000,-0.006185347364280669
20230720,325.0625,333.1415,324.3476,332.5735,941000,0.0211070429207616
20230721,334.0326,336.3241,332.5441,333.8367,2135200,0.0037983003677175553
20230724,333.8662,336.4025,331.702,335.4722,674800,0.004899004146752706
20230725,335.0609,337.0684,333.7291,336.0989,522800,0.001868139855412121
20230726,335.4624,336.6963,333.3472,334.1796,520900,-0.005710646474454628
20230727,334.914,335.7562,329.528,330.0764,968700,-0.012278460066649677
20230728,327.9416,336.5592,311.1665,313.1936,1683000,-0.05114801836030558
20230731,310.6572,315.2589,308.3417,312.5018,811000,-0.002208866882177918
20230801,312.0112,315.6612,311.0399,313.4731,709100,0.0031082828721982203
20230802,312.3056,318.2613,311.0497,317.2997,870800,0.012207103504243921
20230803,314.7389,316.0144,311.1772,311.3441,1464900,-0.01876991266367989
20230804,308.8911,313.9736,308.5673,309.1266,854000,-0.0071221457653614095
20230807,311.3538,312.9531,309.7251,312.2859,829700,0.010220188418712528
20230808,312.5509,312.8747,307.125,308.224,1440100,-0.013007249301425827
20230809,308.4103,312.6686,307.439,310.8829,711200,0.00862653557471904
20230810,312.3056,314.4642,309.2346,311.0399,633900,0.0005051531312916246
20230811,310.4512,314.9155,310.3629,314.7585,505400,0.011955370384833186
20230814,315.2098,317.7608,313.9834,316.191,574200,0.004550995553910253
20230815,315.2785,316.7503,311.4912,311.5697,569600,-0.014615460789005219
20230816,312.2663,317.4077,311.6188,315.2295,950000,0.011746198350636838
20230817,315.2001,318.2025,312.9336,312.9925,746200,-0.0070964163687883275
20230818,312.9924,319.5465,312.3055,317.9571,977400,0.015861722595944316
20230821,318.3986,320.1058,314.0324,317.6529,723800,-0.000956538539836127
20230822,317.5058,318.3398,315.3766,317.3684,450200,-0.0008957761043942858
20230823,319.37,321.6071,317.7904,319.7232,486000,0.007419952849778699
20230824,320.0863,322.3625,316.868,320.8712,425500,0.0035904466400698
20230825,323.7852,327.965,322.7256,325.8163,1041500,0.01541138184380575
20230828,325.6887,327.4647,323.2849,325.2668,540700,-0.0016862509245906265
20230829,325.7476,327.0231,323.226,326.925,446600,0.005097790050687001
20230830,327.082,329.5153,326.0321,328.3281,490400,0.004291737322824396
20230831,329.4073,330.2904,327.1114,327.1114,537900,-0.0037055750654310105
20230901,329.0345,330.6141,327.8865,328.0435,364000,0.002849389581115913
20230905,328.0435,329.2797,323.1278,323.2456,489100,-0.014625843157279883
20230906,322.5588,325.6004,321.4795,325.3944,541700,0.006647683356037382
20230907,325.5807,328.9854,325.1687,328.0926,515100,0.008291939131860326
20230908,328.4948,329.996,327.0035,327.1703,750300,-0.0028110107984076205
20230911,327.9061,329.7998,326.0615,326.8759,805300,-0.0008998466147224216
20230912,325.9438,330.6534,325.257,328.6812,760000,0.005523071506681632
20230913,329.113,331.6346,327.7983,329.0247,735300,0.0010450104719241793
20230914,331.2323,332.4784,328.1122,332.3705,773300,0.010168731905316974
20230915,330.3395,333.0573,327.7688,329.8293,1555700,-0.007645772940073403
20230918,329.7605,334.3524,326.8465,332.9297,568400,0.009400208829789758
20230919,333.5185,335.9518,332.6158,334.9412,472900,0.006041647780119952
20230920,336.0302,338.1888,335.0294,335.5789,442000,0.0019039024898699353
20230921,335.2453,336.3933,330.5063,331.8406,837100,-0.011139617804181934
20230922,331.3893,333.6264,329.4662,329.6919,705100,-0.006475224655624889
20230925,328.3084,329.947,326.8759,329.2111,507000,-0.0014583447495516433
20230926,328.1809,328.2888,324.4721,325.0902,475600,-0.012517440180563
20230927,325.2275,327.2291,321.4108,323.7067,467900,-0.00425569224888378
20230928,324.4034,326.6993,322.6176,323.1769,426600,-0.0016367150607388137
20230929,323.8637,324.7468,317.4665,318.1141,639900,-0.015665833574208365
20231002,317.8001,318.8892,313.6792,315.308,661700,-0.008821118112287807
20231003,315.0823,316.2106,312.1486,313.0022,675900,-0.007312613197953399
20231004,314.0422,319.3013,312.5312,318.8401,617500,0.018651274996814182
20231005,319.5074,321.8033,318.2024,319.7134,490300,0.002738962148128854
20231006,319.9195,322.4803,318.6341,320.881,456100,0.0036520286752022013
20231009,319.4387,321.6855,318.5066,321.3716,582000,0.001528822367389271
20231010,321.5187,321.5187,316.7699,319.3602,1061700,-0.00625884081444128
20231011,319.5172,321.3716,317.859,321.1558,698000,0.005622470924893541
