datetime,open,high,low,close,volume,return
20230725,40.7066,41.4192,40.6383,41.1459,6187800,0.008613407149000718
20230726,41.546,43.3615,41.4484,43.2395,10875800,0.05088373614355768
20230727,43.6934,44.0594,43.1712,43.3225,8750000,0.0019186629139167355
20230728,43.6006,43.6543,42.5172,42.7368,9105000,-0.013518157743539594
20230731,42.7368,43.3127,42.6685,43.098,5590000,0.008450440467784093
20230801,43.0492,43.3713,42.8491,43.2493,4158400,0.0035104831660821567
20230802,42.893,43.3518,42.8735,43.1321,5910400,-0.002708260419195141
20230803,42.9028,43.3273,42.732,43.1809,5791200,0.0011315283654633745
20230804,43.1517,43.3371,42.566,42.6051,3224000,-0.013336484203319454
20230807,42.9809,43.5811,42.9418,43.3762,4060600,0.018098678077882457
20230808,43.1517,43.425,42.8052,43.3225,3587000,-0.001237731842766765
20230809,43.4103,43.4933,43.0833,43.1614,5105600,-0.003717533003572804
20230810,43.2883,43.6006,42.8442,42.9028,3086200,-0.005992661102482089
20230811,42.8247,42.8247,42.4098,42.5611,2839200,-0.007962778777280688
20230814,42.4977,42.8198,42.4587,42.7027,5598400,0.0033254917229288417
20230815,42.4294,42.6197,42.2537,42.3659,3582600,-0.007885834245259793
20230816,42.2244,42.3806,41.8877,41.9121,2697200,-0.01071306307758324
20230817,42.1561,42.1854,41.4972,41.668,3840400,-0.00582206508695049
20230818,41.2679,41.7266,41.2044,41.5948,2999800,-0.0017567473048681892
20230821,41.5509,41.8535,41.4582,41.712,3414000,0.0028158889726819236
20230822,41.8925,42.1219,41.6729,41.873,3066800,0.0038610667130760667
20230823,41.995,42.2976,41.546,42.1463,4035600,0.006526605933516727
20230824,42.117,42.4196,41.7315,41.7461,3971800,-0.009495037427581177
20230825,42.0731,42.2683,41.6339,42.117,2954400,0.008884636338399199
20230828,42.3513,42.4782,42.1951,42.2878,2399600,0.00405562061266429
20230829,42.2586,42.9223,42.2098,42.9028,3028800,0.014541332536617269
20230830,42.7954,43.1321,42.7808,43.0882,1836000,0.0043226005276923996
20230831,43.2395,43.4201,42.9955,43.1321,4757200,0.0010193605013475437
20230901,43.4347,43.4591,43.0687,43.2249,3556800,0.0021498508291137863
20230905,43.2493,43.259,42.8784,42.9321,3124200,-0.00677416453897528
20230906,42.9028,43.3518,42.7564,42.9272,4006800,-0.00011382235183099443
20230907,42.5319,42.7222,42.117,42.3366,4544000,-0.013756299486923584
20230908,41.9901,42.3562,41.7901,41.9169,4784000,-0.009913502052296685
20230911,42.1805,42.1951,41.5802,42.1902,4768400,0.006519767661439024
20230912,42.0731,42.4538,42.0438,42.2634,4349600,0.0017352753854549263
20230913,42.2195,42.4098,41.9657,42.2195,4935000,-0.0010393436005858847
20230914,42.4098,42.4391,42.0194,42.2195,4173400,0.0
20230915,42.0682,42.3415,41.6339,41.834,5692600,-0.009131886219523988
20230918,41.8046,42.3966,41.7557,42.1862,3420800,0.008420078374872686
20230919,42.103,42.2596,41.7753,42.2156,3987400,0.0006958219216730566
20230920,42.3868,42.4113,41.4524,41.4915,4516000,-0.017151401804300637
20230921,41.2665,41.3643,40.7675,40.7723,4635000,-0.01733293174285855
20230922,40.8066,41.1246,40.7039,40.7675,3733800,-0.00011975794673502183
