datetime,open,high,low,close,volume,return
20230829,40.46,42.3,40.38,41.22,2865400,0.014022132187654135
20230830,41.25,43.04,41.25,42.98,2481800,0.04269767756943277
20230831,43.1,43.236,42.54,43.22,2226600,0.005584031666425293
20230901,43.49,43.76,42.85,43.19,1467600,-0.0006941830899294121
20230905,42.71,43.46,42.13,42.54,2090000,-0.015049727526031398
20230906,42.26,42.7,41.78,42.23,1971700,-0.007287291175818056
20230907,41.72,42.9,41.503,42.48,1468700,0.00591996217641344
20230908,42.34,42.615,41.725,42.12,1284700,-0.008474590730483067
20230911,42.62,43.64,42.28,42.4,1798800,0.006647735068724847
20230912,41.96,42.34,41.31,41.7,3087200,-0.016509451361981786
20230913,41.41,41.85,40.7,40.81,2640100,-0.02134291063225635
20230914,41.72,42.97,41.305,42.6,3400500,0.04386172606212124
20230915,42.12,42.84,41.09,42.82,6482800,0.005164348088809723
20230918,42.49,44.89,42.085,44.01,5615400,0.027790720111864564
20230919,43.6,43.79,39.02,39.73,5802800,-0.09725060083001091
20230920,39.67,40.56,39.31,39.33,3764600,-0.010067901228048348
20230921,38.38,39.3,38.24,38.44,2582200,-0.022629116778808855
20230922,38.82,38.97,37.482,37.76,2103800,-0.017689914918553096
20230925,37.35,38.34,37.12,38.2,2219500,0.011652607546736249
20230926,37.65,39.05,37.37,38.59,2240000,0.010209407902075363
20230927,38.96,39.56,38.39,39.56,1734600,0.025136077140908597
20230928,39.24,40.35,38.9,39.74,1485900,0.004550058112417377
20230929,40.38,40.53,39.61,39.96,1539100,0.005535918387368
20231002,40.15,41.05,39.97,40.82,1356600,0.02152153728866657
20231003,40.32,40.96,39.0,39.13,2126900,-0.04140124055226946
20231004,39.3,40.47,39.24,40.33,2205600,0.03066702607164662
20231005,40.29,40.34,39.32,39.7,1230600,-0.01562115148802512
20231006,38.99,41.06,38.79,40.38,1828500,0.017128470833949416
20231009,39.71,40.94,39.57,40.85,1543000,0.0116393609106904
20231010,41.5,42.22,40.422,40.53,3160600,-0.007833530153665502
20231011,40.5,40.64,39.8,40.28,2003700,-0.006168270602754156
20231012,40.16,40.21,38.98,39.69,2033100,-0.01464747195799665
20231013,39.68,39.83,38.21,38.52,2091600,-0.02947841293594744
20231016,38.69,39.43,37.91,38.89,2298800,0.009605371949319208
20231017,38.89,40.25,38.815,39.64,2237000,0.019285163583716347
20231018,39.36,39.98,38.63,38.95,1546400,-0.017406625563399225
20231019,39.37,39.68,38.45,38.54,2165900,-0.01052631166575535
20231020,38.34,38.56,37.39,37.58,1993400,-0.024909160915091766
20231023,37.05,38.23,36.83,37.64,1440700,0.0015965288895800622
20231024,38.18,38.95,37.717,38.47,1352200,0.02205105856837375
20231025,38.32,38.38,36.06,36.15,1709900,-0.060306722672409996
20231026,36.4,36.65,34.45,36.37,3996700,0.006085681790313879
20231027,36.77,37.0,36.133,36.22,2358200,-0.00412421544093422
20231030,36.82,37.16,35.87,36.73,1631000,0.014080571627415939
20231031,36.88,37.28,36.265,36.44,1023800,-0.007895478332197281
20231101,36.57,36.766,36.045,36.7,2246500,0.007135075357546761
20231102,37.63,38.92,37.28,37.36,2093800,0.017983646694596178
20231103,37.26,39.51,37.26,39.27,2235500,0.051124192082665276
20231106,39.36,39.48,38.42,39.42,3293900,0.003819651373393018
20231107,40.0,41.5,39.665,40.89,5125600,0.037290748071652
20231108,41.1,41.91,39.818,40.12,5230800,-0.018831021502988876
20231109,45.105,45.105,37.14,39.68,14358800,-0.010967064766277956
20231110,39.87,44.06,39.13,43.79,5897800,0.10357864361748659
20231113,43.65,44.52,41.325,41.41,3429900,-0.05435033154501068
20231114,42.58,43.81,42.57,42.8,3557900,0.03356675669573339
20231115,42.44,42.7,39.87,40.45,5182300,-0.054906507383444714
20231116,40.2,40.4,38.9,38.93,2850300,-0.03757726647946835
20231117,39.19,39.42,38.57,39.1,2328700,0.0043667651583017
20231120,39.16,40.11,39.16,39.5,1991400,0.010230218452403683
20231121,39.02,39.65,38.66,38.77,1830000,-0.018481001069274083
20231122,39.0,39.54,38.61,39.24,1329400,0.012122806684388587
20231124,39.21,39.638,38.73,39.49,811900,0.006371049676513918
20231127,39.25,40.42,38.79,39.39,3201600,-0.0025323445066575134
