datetime,open,high,low,close,volume,return
20230718,100.2197,100.9529,98.958,99.6315,760300,-0.0051923275133710645
20230719,101.1916,102.9392,100.2283,101.8054,880100,0.021819064253569165
20230720,102.1378,103.7405,100.842,103.3654,908600,0.015324006578619098
20230721,103.6382,105.5905,102.8625,105.0534,1342200,0.0163299273747326
20230724,104.8573,106.0252,104.0986,104.9511,762100,-0.0009738874697358124
20230725,106.0764,107.2358,104.4652,105.4967,982200,0.005198693704080437
20230726,105.4882,108.8641,105.4882,108.5657,1164900,0.02909089041950841
20230727,108.7362,110.6202,107.2017,107.2443,1324900,-0.012171114653412363
20230728,108.864,108.9237,107.2784,107.8496,894000,0.005643774685244907
20230731,107.9689,108.9578,106.5026,107.142,1863800,-0.006560738989506265
20230801,106.8948,107.1846,103.8769,104.056,1080700,-0.02880330907576889
20230802,103.212,104.5248,102.8199,104.1924,880200,0.001310963563351475
20230803,103.7832,104.4907,101.7798,104.3288,899000,0.0013090275156455444
20230804,104.2606,104.5504,102.3254,102.9392,1157500,-0.01331909279846255
20230807,103.0926,106.1361,103.0926,105.8974,637100,0.028736966689585586
20230808,103.8514,104.738,102.53,104.4225,600600,-0.01392683768703562
20230809,104.0219,105.6757,103.3825,104.3714,971600,-0.0004898854902712912
20230810,105.096,106.0849,103.3825,103.7405,674300,-0.006044297558648215
20230811,103.1353,105.0193,102.8284,104.1071,469700,0.003533522387971999
20230814,103.391,103.8769,101.7457,102.1293,701900,-0.018997580672406422
20230815,100.9188,101.183,99.0433,99.3757,978100,-0.02696167983747555
20230816,99.1456,100.1856,98.958,99.5121,726600,0.0013725513378575194
20230817,99.5122,100.5181,99.0006,99.0433,686200,-0.004711706954153128
20230818,97.8924,99.0092,97.5258,98.1226,848100,-0.009295783327427642
20230821,97.918,98.1226,96.4176,97.415,674200,-0.00721118931751219
20230822,97.7986,97.9691,96.7927,97.5429,542100,0.0013125392571335937
20230823,98.0373,100.1345,98.0373,99.981,493600,0.0249957391937623
20230824,100.2623,101.5326,98.8557,99.0262,631500,-0.009549922993353666
20230825,99.461,100.1089,98.1481,98.3272,755300,-0.007059173944517716
