datetime,open,high,low,close,volume,return
20230829,225.88,229.4,225.66,227.25,3716700,0.0008367939903515254
20230830,227.08,231.17,226.65,228.85,3328300,0.0070407309285616115
20230831,229.33,230.43,222.93,224.03,6953800,-0.021061862336322235
20230901,226.0,226.23,221.95,223.4,3658400,-0.0028121451870075642
20230905,223.1,224.09,221.2,222.57,3246500,-0.0037152488582887777
20230906,221.77,222.79,216.42,217.95,4233500,-0.02075756042568022
20230907,217.5,220.55,214.86,216.05,4929600,-0.00871756789671152
20230908,215.83,216.0,210.51,211.27,5752000,-0.02212450225308149
20230911,213.76,214.2,208.77,211.01,4522300,-0.0012306989178155758
20230912,209.35,212.26,208.58,210.65,3256500,-0.0017060832174937701
20230913,210.0,212.18,207.75,208.4,3538100,-0.010681225089926527
20230914,209.14,210.44,208.1,209.05,3974800,0.003119045941989418
20230915,209.28,209.83,206.88,208.11,4670600,-0.004496543543094367
20230918,207.91,207.91,204.98,205.12,4299200,-0.014367428208134525
20230919,205.4,205.66,202.39,204.48,4039900,-0.0031201219036827155
20230920,205.87,206.25,202.31,202.37,3738800,-0.010318860790485607
20230921,201.0,203.6,199.71,199.95,4745700,-0.011958285454046425
20230922,199.96,200.74,197.14,197.71,4450900,-0.011202752030823104
20230925,196.84,198.98,195.19,198.78,3527100,0.005411926706260228
20230926,197.79,199.39,195.42,195.64,3666300,-0.01579635480899033
20230927,196.01,196.4,192.77,195.46,4015500,-0.0009200198136515292
20230928,193.7,195.26,190.03,190.43,8009500,-0.02573423649498463
20230929,191.92,192.95,190.17,191.68,5158400,0.006564092044724301
20231002,191.47,192.44,186.93,187.83,5244700,-0.020085512269601646
20231003,188.63,192.49,188.2,188.92,7285500,0.005803100288903851
20231004,188.85,190.63,184.34,186.73,7419800,-0.011592221377473177
20231005,186.16,188.1,184.14,186.29,4331700,-0.0023563565119353314
20231006,185.37,188.64,182.55,187.38,5364300,0.005851154844401574
20231009,188.0,189.49,185.68,188.49,4575800,0.005923794329313559
20231010,190.01,194.3,188.76,193.53,8062400,0.026738782637022007
20231011,195.47,199.62,194.27,196.07,7394000,0.013124624404191376
20231012,195.1,195.7,189.96,191.3,5668300,-0.02432806698769241
20231013,186.27,187.29,183.18,184.91,8215700,-0.03340302816367213
20231016,185.91,186.23,182.5,184.93,4701000,0.0001081013102373074
20231017,183.75,188.33,183.3,185.6,5121800,0.0036230652369573235
20231018,187.22,190.25,185.05,185.69,6268100,0.0004848940459647455
20231019,185.5,187.05,182.54,182.79,4043700,-0.015617475993025098
20231020,182.68,183.39,179.85,180.04,4523500,-0.015044587236760054
20231023,179.44,183.72,178.43,181.03,4146200,0.005498808765176166
20231024,183.21,184.35,181.8,182.36,4652900,0.00734685875282004
20231025,186.0,187.0,176.25,177.73,13806400,-0.025389366458192897
20231026,177.11,182.95,176.53,179.09,6961800,0.007652060108280567
20231027,180.0,182.33,179.01,179.69,4606300,0.0033503049627829906
20231030,179.42,184.16,179.42,182.35,5507100,0.01480329248132084
20231031,183.38,187.29,181.32,186.82,5043000,0.02451330447538136
20231101,189.69,190.78,187.5,189.38,5832200,0.013703016048762784
20231102,190.9,192.94,190.34,192.01,4313000,0.013887366967018755
20231103,194.0,197.14,193.71,195.05,4485100,0.01583255367893699
20231106,195.88,196.15,192.46,192.95,4222200,-0.0107665012594661
20231107,192.17,192.17,189.57,191.41,4012900,-0.007981307647006108
20231108,191.45,192.44,190.14,191.83,2984200,0.0021942331169206852
20231109,193.03,197.07,192.56,193.33,4576300,0.007819423373206513
20231110,195.0,197.26,194.21,196.65,4788500,0.017172668670075053
20231113,203.49,206.85,202.51,204.54,13040300,0.04012204238257788
20231114,207.25,208.56,205.98,207.47,7280100,0.01432486570228586
20231115,208.21,211.09,207.6,208.71,5205900,0.005976794167195987
20231116,207.5,207.89,204.81,206.6,4655100,-0.010109724222491567
20231117,208.36,209.42,206.82,208.04,3564600,0.00696992807394059
20231120,211.01,218.88,210.94,217.71,11568100,0.046481511919847396
20231121,216.5,219.38,216.07,218.27,5362100,0.0025722178187690403
20231122,218.0,221.5,217.7,219.91,5384400,0.0075136269645244
20231124,220.61,221.59,218.96,220.0,2312100,0.00040924167337519357
20231127,218.81,219.53,217.66,219.3,3691200,-0.0031818043101917715
20231128,222.01,224.8,219.41,222.37,7817800,0.01399905163113524
20231129,223.35,224.99,221.34,224.43,5424400,0.00926382877109
20231130,225.0,233.0,225.0,231.63,8736200,0.032081327995374664
20231201,231.77,235.38,231.38,233.87,6956200,0.009670552981718705
20231204,231.3,234.94,230.07,234.87,5228500,0.0042758798515343255
20231205,233.54,234.74,231.49,234.16,3589800,-0.0030229125466787465
20231206,234.78,239.23,234.43,236.89,4740600,0.011658676481225205
20231207,236.9,238.3,230.0,237.33,6363700,0.001857412480644749
20231208,237.32,244.7,237.32,244.7,7171200,0.03105378612196663
20231211,243.5,248.08,243.31,248.08,7545000,0.013812852165778322
20231212,247.95,250.57,247.4,248.63,5719200,0.002217039050702585
20231213,249.1,251.87,247.53,250.91,5513400,0.009170247896554296
20231214,250.91,257.12,249.26,256.24,7883600,0.02124262283078715
20231215,255.7,265.52,255.7,264.27,14995900,0.03133780473513159
20231218,260.63,263.13,260.25,260.41,6140100,-0.014606219063954318
20231219,261.04,265.34,260.8,263.51,6089500,0.011904328020892807
20231220,262.25,266.13,260.15,260.25,5151700,-0.01237148360521323
20231221,265.95,267.54,260.19,262.02,6487200,0.0068011105232348434
20231222,261.83,262.84,259.2,260.44,4434000,-0.0060300230460019755
20231226,259.8,263.76,259.54,262.79,3938600,0.009023214872854846
20231227,262.63,264.66,260.9,262.1,3484900,-0.002625679892575894
20231228,261.53,262.1,257.68,260.35,5096400,-0.006676840744936241
20231229,260.67,262.22,259.56,260.66,3686600,0.0011906954151192917
20240102,257.28,258.59,250.87,251.76,5815200,-0.034144130400651784
