datetime,open,high,low,close,volume,return
20230829,50.4554,51.6733,50.0621,51.6446,1170600,0.02610512172077284
20230830,51.7309,52.2104,51.4432,52.1816,1237000,0.010399374693185637
20230831,52.3742,52.6437,52.0854,52.4127,1387600,0.00442726365703483
20230901,52.6341,53.5004,52.3068,52.8747,1098000,0.008815425994738613
20230905,52.4704,52.48,51.4597,51.6811,1281600,-0.022574260940180446
20230906,51.5271,51.9314,50.8244,50.9495,1595800,-0.014155268027365775
20230907,50.1987,50.5356,49.2746,49.3709,1820600,-0.030984309434292867
20230908,49.342,50.2372,48.9089,50.141,2310000,0.01559747757061447
20230911,50.5356,50.8051,50.0543,50.064,1330100,-0.0015357400005721056
20230912,50.0543,50.218,49.6789,49.9388,1196900,-0.0024995492978265865
20230913,49.342,49.6789,48.8415,48.9762,1660500,-0.01927521789127662
20230914,49.5634,50.9592,49.2843,50.6126,1990300,0.03341200874503558
20230915,50.4586,50.6223,49.6019,49.7463,2445100,-0.017116856919286882
20230918,49.5442,50.0543,49.0917,49.5345,1342100,-0.00425698170227895
20230919,49.4094,49.4768,48.5816,48.6586,2019400,-0.017683619504418102
20230920,48.9185,50.5067,48.6586,50.0158,2485800,0.027893021676201446
20230921,49.5827,49.7848,48.4276,48.5142,1637900,-0.030022925943459455
20230922,48.6105,48.9762,47.6286,47.6864,2156300,-0.0170633760522535
20230925,47.6094,47.9848,47.1185,47.4457,1324100,-0.005046437803198023
20230926,47.2436,47.4842,46.1847,46.3484,1341400,-0.02312854996717617
20230927,46.4061,46.7815,45.9345,46.4254,1394400,0.0016614881821335192
20230928,46.2329,46.743,45.8478,46.3676,2821800,-0.001244192958206436
20230929,47.9559,48.4661,47.6479,47.9174,3288100,0.03342337586947797
20231002,47.8789,48.4757,47.1762,47.4169,1812500,-0.010445929097700923
20231003,46.8201,48.0522,46.8201,46.9067,1727800,-0.010759174364883495
20231004,47.3976,47.8019,46.8297,47.4265,1776400,0.01108153944770085
20231005,47.2147,47.4554,45.4821,45.9345,1984300,-0.031459389564569396
20231006,45.7901,45.973,44.3655,44.404,2956700,-0.033319334462045935
20231009,44.2211,44.3847,43.4414,44.2211,2713500,-0.004118817542671405
20231010,44.2692,44.7697,44.0093,44.5195,2114300,0.006747847060416978
20231011,45.4339,46.0789,43.8842,44.2692,2201100,-0.005621603780399331
20231012,44.0863,44.2884,42.0071,42.2093,3236400,-0.046531958121849515
20231013,42.6232,42.9986,41.9494,42.4307,2352600,0.0052454123654179785
20231016,42.6521,43.7109,41.7569,43.3066,2151700,0.020644259115861985
20231017,42.8927,44.1826,42.7579,43.8649,1844900,0.012891704188266795
20231018,43.4029,43.8649,42.989,43.4703,2317100,-0.008997275049861142
20231019,43.528,44.4425,43.3644,43.4703,2344100,0.0
20231020,43.528,43.6243,42.4692,42.4884,1633100,-0.02258626171266176
20231023,42.4211,42.4981,41.2082,41.2178,1944000,-0.029904689189866218
20231024,41.7954,44.3366,41.6799,44.25,3637200,0.07356368645826628
20231025,43.8649,44.6446,43.7109,43.759,3112500,-0.011094357078933914
20231026,43.836,45.6938,43.7975,45.2414,3368200,0.033876062141187324
20231027,45.2607,45.4724,44.5869,45.2992,3928400,0.001276585052352619
20231030,45.7227,46.4639,45.3377,46.1174,3094000,0.018062037712130108
20231031,46.0885,46.743,45.8767,46.3484,2687300,0.005009350760514009
20231101,46.6468,46.8104,45.1933,45.7708,4647500,-0.012461037908712558
20231102,46.3291,48.7452,45.7805,47.0126,3733200,0.027129278121106326
20231103,47.4554,49.6404,46.7623,49.3035,3138400,0.04873068635974076
20231106,49.2843,49.3324,48.3698,48.6008,1713900,-0.01425233171229301
20231107,48.3698,48.9089,47.9944,48.2254,1866700,-0.007724394556661296
20231108,48.3602,48.3891,47.8115,48.1195,1485300,-0.0021954588845249923
20231109,48.4757,48.6105,46.6564,46.82,2008100,-0.02700549196388946
20231110,46.8201,47.0896,46.2521,46.9837,1519400,0.0034952269485835075
20231113,46.8682,47.3302,46.5409,46.7816,1296500,-0.004302441912446886
20231114,47.7056,49.0918,47.1281,49.034,1500100,0.04814815147026108
20231115,49.2361,50.1602,49.2361,50.0255,1796900,0.02021982628243668
20231116,49.7752,50.3624,49.6885,49.9292,2100700,-0.001924221776434809
20231117,50.2565,50.5356,49.8522,50.4009,2168100,0.009446818725766581
20231120,50.3046,51.4405,49.7174,50.9784,1938200,0.01145910794385685
20231121,50.9399,52.1335,50.9399,51.7389,2948700,0.014916842553768461
20231122,51.7389,51.9506,51.2383,51.5848,1191100,-0.002976768465453472
20231124,51.7388,52.6052,51.6811,52.249,573900,0.012875355255653975
20231127,51.8544,52.326,51.5656,52.1239,1589500,-0.002394872073807175
20231128,52.3742,52.3742,51.6811,51.7003,1456100,-0.008125534297772963
20231129,51.8832,52.9228,51.7774,52.7688,2148300,0.020666665879629287
20231130,52.9524,53.6576,52.6336,53.4161,2378500,0.012266437649596673
20231201,53.2712,54.5754,53.1456,54.4305,1784800,0.018990678377160064
20231204,54.2373,55.271,54.0441,54.7493,2430500,0.005857393626985896
20231205,54.5851,54.7397,53.6963,54.3532,2291100,-0.0072349833231258875
20231206,54.5754,55.6961,54.5754,55.416,2354700,0.019552198665222953
20231207,55.5126,55.6575,54.4402,55.271,2495400,-0.0026150689900067414
20231208,55.1068,55.7348,55.0682,55.5609,2048800,0.00524385101218372
20231211,55.4063,55.8121,55.0682,55.6285,1257600,0.0012172374388155216
20231212,55.5802,55.5802,54.4692,55.2807,1739000,-0.0062522813883898465
20231213,55.0295,57.2805,54.8942,56.9521,1741000,0.030234202086160566
20231214,57.725,58.7007,57.0197,57.1356,2870200,0.003223118358974597
20231215,56.981,57.6477,56.2468,56.4497,4433400,-0.0120053992048611
20231218,56.527,56.8748,55.3193,55.5126,3236600,-0.01660128935453009
20231219,55.8797,56.1502,55.1648,55.4449,2361500,-0.0012180220256864382
20231220,55.271,55.271,53.7253,53.8122,2998400,-0.029447612335209095
20231221,54.1987,54.8749,53.8702,54.8073,1337400,0.01849183666394949
20231222,54.8846,55.6671,54.8846,55.2614,1014700,0.008284933848527354
20231226,55.0585,55.957,55.0199,55.6575,686200,0.007167945633012041
20231227,55.6575,56.0053,55.4642,55.9473,803600,0.0052071667458517545
20231228,55.9473,56.556,55.7637,55.986,1066400,0.0006908378078922528
20231229,55.928,56.3048,55.5222,55.5705,936000,-0.007420153005011754
20240102,54.3919,55.4546,54.102,55.0488,2129500,-0.00938803352480777
20240103,54.1214,54.3629,53.2905,53.9571,2755600,-0.019831580140728944
20240104,53.9185,54.9426,53.7736,54.73,1790300,0.014324258192403239
20240105,54.6914,55.4932,54.3822,55.4449,1587100,0.01306252734428659
20240108,55.5416,55.9087,54.4982,55.2324,1937200,-0.003833278165959908
20240109,54.8556,55.3387,54.6141,55.1358,1321000,-0.0017491730346943513
20240110,54.7493,55.5609,54.3725,55.358,1014700,0.004029884493157221
20240111,55.4932,55.7154,54.3146,54.7204,1805200,-0.011518174016360017
20240112,55.1068,55.329,54.2953,54.4498,1090900,-0.004943597990409332
20240116,53.2712,54.0731,52.962,53.5997,1792300,-0.015613892376461047
20240117,52.962,53.5997,52.6046,52.7785,1689500,-0.015320802022314561
20240118,52.7785,53.3002,52.6336,52.991,1209300,0.004026941878251256
20240119,53.0973,53.6866,52.2278,53.648,1982000,0.012397565205672922
20240122,53.7253,54.5175,53.5127,54.4402,1137100,0.014766956205904513
20240123,55.0102,55.4159,54.5561,54.8073,1170500,0.006743385913235311
20240124,55.271,55.5319,53.9185,53.9764,981100,-0.015159522544259008
20240125,54.6624,54.9619,53.9668,54.9426,1828100,0.017898595310313237
20240126,55.2421,55.8314,55.1261,55.3,1760800,0.00650620779484079
20240129,55.0199,55.0875,54.3919,55.0682,1008100,-0.0041927854924006525
20240130,54.6431,55.1551,54.2953,54.6237,1266700,-0.008070221595816052
20240131,54.8846,54.9426,53.5031,53.5707,1998400,-0.019278404015507178
20240201,56.8168,57.7249,52.991,57.3965,5448600,0.071415672486836
20240202,56.8168,57.8216,55.1165,57.4641,2668200,0.001178175852532659
20240205,56.3338,56.7202,55.3676,56.4883,2812800,-0.016980432914043053
20240206,55.841,56.4014,54.6817,55.3097,4284200,-0.020865437152980726
20240207,56.1599,56.7202,55.5512,56.5077,1748200,0.021659551282493306
20240208,56.5946,57.5511,56.3627,57.1356,1973300,0.011112900812953574
20240209,57.1453,57.2516,56.2371,57.1646,1703300,0.0005072186690653346
20240212,57.3482,58.6041,57.1936,58.4688,1537800,0.022815604405313605
20240213,57.609,58.0921,56.8071,57.7926,2172400,-0.011566387151570101
20240214,58.7973,60.459,58.6331,59.8987,3482600,0.03644269558957092
20240215,59.8987,60.3624,59.4736,60.1306,2256900,0.0038708877032429534
20240216,59.8407,60.5556,59.4833,59.9856,1654200,-0.0024100315780177795
20240220,59.9277,60.3914,59.5316,59.7828,1689000,-0.0033821572508525577
20240221,59.7828,59.7828,58.9326,59.5799,1565000,-0.0033936988675951074
20240222,59.5412,59.7538,59.1645,59.5316,1788800,-0.0008107049419451284
20240223,59.9277,60.8068,59.8794,60.7585,1503500,0.020610227809530812
20240226,60.5653,61.145,60.2561,60.2658,2107100,-0.008109441516312321
20240227,60.5943,61.3962,60.1885,60.488,1720500,0.0036870373756805463
20240228,60.1016,61.1836,60.0823,60.6909,1563000,0.003354193246080328
20240229,60.9817,62.513,60.9817,62.0478,3167300,0.022357036776679662
20240301,61.7473,62.3676,61.1464,62.2998,1595000,0.004061369094530587
20240304,63.1914,63.4822,62.3579,62.5324,2254200,0.0037334573634981716
20240305,62.5324,62.8522,61.7086,61.8733,1423300,-0.010539220291445717
20240306,62.2125,62.4936,61.6698,62.0865,1314300,0.0034459904363330907
20240307,62.6971,63.2786,62.3773,63.172,1957100,0.017483642551589407
20240308,63.143,63.7245,63.046,63.2593,1485400,0.0013807225408917212
20240311,63.1042,64.3545,63.0945,63.8989,1698900,0.010112021110731506
20240312,63.9668,64.1994,62.8522,63.4822,1646100,-0.006522106538326744
20240313,63.5112,63.7245,62.794,63.2883,1286300,-0.003053575846320822
20240314,62.9394,63.1236,62.1738,62.6777,1717100,-0.009647658920318825
20240315,61.883,62.7747,61.5729,62.1059,3474000,-0.009123162665553908
20240318,62.6874,63.4531,62.5905,62.7844,2112200,0.010923672371029314
20240319,62.5324,63.298,62.0478,62.6293,1642500,-0.002469781345151967
20240320,62.4064,63.5597,62.4064,63.2399,1195400,0.009749180360719922
20240321,63.3465,64.0443,63.143,63.5113,1270300,0.004291422210485063
20240322,63.7729,64.2575,63.4046,64.18,1629800,0.010529399882768464
20240325,64.1897,64.6452,63.9765,64.4514,1301400,0.0042282632095929085
20240326,64.5677,64.6743,64.1509,64.4126,1672500,-0.0006014605037779619
20240327,64.7421,65.3139,64.5386,65.0716,2044400,0.010231574324246706
20240328,65.1589,65.7598,65.0038,65.2849,1555900,0.0032770274746218853
20240401,65.5563,65.8761,64.9069,65.7501,1278400,0.00712572751662055
20240402,65.2849,65.4303,64.3545,65.343,1356000,-0.006191114500401218
20240403,65.0232,65.4593,64.5386,64.684,1429000,-0.010085886845695002
20240404,64.1606,64.9651,63.7051,63.9571,2679200,-0.011237625554963548
20240405,63.8989,64.7227,63.8408,64.4223,1159300,0.0072738423020872744
20240408,64.6355,65.0232,64.4126,64.558,1513800,0.002106239252672948
20240409,64.8875,65.5466,64.6161,65.2849,1446400,0.011259616072098577
20240410,63.676,64.7518,63.6663,64.7131,1721000,-0.008759123063972862
20240411,64.7034,64.7227,64.18,64.306,1237700,-0.00629032845641786
20240412,63.6663,64.1412,63.1817,63.5016,1976600,-0.012509440941999017
20240415,64.1025,64.3932,62.3773,62.6293,2016000,-0.01373605859856497
20240416,62.513,62.5518,61.6019,61.8055,2377200,-0.01315388034262377
20240417,62.2804,62.4258,61.8346,61.9702,1530500,0.002665854582545535
20240418,62.2707,62.8037,61.9315,62.3676,1478700,0.0064122617454613895
20240419,62.2804,63.0364,62.1544,62.9491,1513700,0.009324072342206335
20240422,63.1623,63.8989,62.6584,63.4143,1877000,0.007390313358546008
20240423,63.1914,63.9183,62.7941,63.4822,1297900,0.001069798646978981
20240424,63.2496,63.5694,62.5615,63.1817,1901800,-0.0047327541257916605
20240425,63.6857,63.7826,62.4839,63.4337,2233900,0.003988114749075233
20240426,64.4514,68.5704,64.3351,67.6497,4554100,0.0664630757048914
20240429,68.0859,68.6383,67.7369,68.5414,2588200,0.013180582392004148
20240430,68.1925,69.1229,67.2911,67.4268,3500500,-0.016261504665870063
20240501,67.4365,67.6206,65.8276,66.1765,3401100,-0.018542586111147563
20240502,66.8743,67.0197,65.7016,65.8955,2116900,-0.004247114529595697
20240503,66.3025,66.8065,66.0699,66.477,2208400,0.008825003907584117
20240506,66.7387,67.4462,66.4285,66.7775,1929300,0.004519771677046203
20240507,66.8744,67.514,66.5448,67.0779,1768400,0.0044989782527675715
20240508,66.8162,67.9502,66.6224,67.7369,2062200,0.009825373702006646
20240509,68.0083,68.2894,67.2523,67.4656,2017000,-0.004006457457449875
20240510,67.6303,67.6594,66.729,67.0294,1810000,-0.0064644346401599995
20240513,67.3783,67.6788,66.8841,67.136,1717600,0.0015904286087295993
20240514,67.5625,67.9986,67.1166,67.8726,1973900,0.010971452858095088
20240515,68.4251,68.7837,68.0762,68.3572,1677600,0.007140014837795805
20240516,68.3572,68.6189,68.018,68.0568,1538000,-0.00439522712710072
20240517,68.1537,68.3669,67.5722,67.9502,1111400,-0.0015666444963582382
20240520,67.9114,68.5511,67.5916,67.9308,1273900,-0.0002854138905618031
20240521,67.9308,68.2603,67.6109,68.144,1141200,0.0031387644541860382
20240522,67.4752,68.0761,67.2523,67.9598,1631200,-0.0027022642435110544
20240523,67.892,68.1149,66.2638,66.4479,1593700,-0.022247661078987013
20240524,66.855,67.0004,65.9149,66.7581,1640200,0.0046676837218018186
20240528,66.7096,66.7581,65.1298,65.3818,1877600,-0.020615621834326192
20240529,64.8972,65.2752,64.4029,64.4901,2018300,-0.013637663667775524
20240530,64.5483,66.6127,64.5483,66.5448,1904400,0.03186048921713058
20240531,66.4382,67.3783,66.3219,67.2911,3792800,0.011214877408863178
20240603,67.0967,67.7771,66.4649,67.7091,1940200,0.0062110104079577955
20240604,67.155,67.3397,66.4649,67.1647,1807800,-0.00803920059611729
20240605,67.0287,68.0881,66.7565,68.0298,1534600,0.01287977157051623
20240606,67.9424,68.1076,67.087,67.8354,1404500,-0.0028571899592264582
20240607,67.4758,67.7674,66.4163,66.5524,1533700,-0.018914051739864268
20240610,66.183,66.5038,65.5804,66.4844,1506100,-0.001022336528469392
20240611,66.3872,66.3872,65.6096,65.9595,2217700,-0.007894667083302886
20240612,66.5913,66.9217,64.9777,65.2596,2056400,-0.010610332081382512
20240613,65.143,65.3277,63.5101,64.3654,1809300,-0.013702475300191419
20240614,64.0252,64.3168,63.3837,64.1613,1320300,-0.003171337697621901
20240617,64.0641,64.7445,64.0641,64.5792,1616700,0.006514226109985755
20240618,64.6667,65.0944,60.147,60.5163,5058800,-0.06291388146608479
20240620,60.1761,60.3316,57.4642,58.7376,7354600,-0.029392985585151354
20240621,59.1166,59.6512,58.6015,58.9611,4669000,0.003806153114176425
20240624,58.9903,60.1372,58.6112,59.8554,2439600,0.015166626176178699
20240625,60.215,60.8468,59.068,59.6804,2406400,-0.002923128153734078
20240626,59.5152,60.0498,58.8639,58.9611,1418100,-0.012052138021825587
20240627,58.8153,59.797,58.8153,59.3694,1891900,0.006923841112089768
20240628,59.486,59.7776,57.9016,58.339,4820900,-0.01735432833684225
20240701,58.6112,58.8639,57.6101,57.8822,1507600,-0.00783071935551094
20240702,57.7364,58.0475,57.2893,58.0377,1515500,0.00268692588131092
20240703,57.96,58.7376,57.7753,58.3488,1097600,0.005359188402657367
20240705,58.1446,58.1835,57.3379,57.9697,1670500,-0.006496824614370733
20240708,58.2516,58.7667,58.0766,58.2419,1336500,0.00469492589234588
20240709,57.6489,57.9988,57.0657,57.2115,1556900,-0.017690292585313183
20240710,57.6684,58.1933,57.4934,57.6295,1904500,0.0073055391770757705
20240711,58.3196,59.1847,57.9016,58.8056,2344200,0.020408047088986025
20240712,59.3402,59.7582,58.689,59.0972,2455500,0.004958763678408529
20240715,59.0097,59.9914,58.9708,59.3985,1526400,0.0050987033418199434
20240716,59.4374,60.4774,59.2916,60.3608,1017100,0.016200149932884766
20240717,59.8359,60.8857,59.6512,60.1858,1421300,-0.002898525262147955
20240718,59.8068,61.0412,59.8068,59.9817,1059300,-0.0033913796070380586
20240719,59.9914,59.9914,58.9903,59.3305,1672700,-0.010857329579884056
