datetime,open,high,low,close,volume,return
20230725,205.5705,210.3206,203.7402,209.9426,2120042,0.011929824200116013
20230726,209.6907,211.2024,208.9719,209.5647,2359560,-0.0018000841788466948
20230727,210.4095,212.2769,209.8019,210.1501,2476584,0.002793498254045401
20230728,211.2691,211.5581,207.5713,207.727,2087988,-0.011530742644709657
20230731,207.8381,207.8381,205.0,206.4672,2067636,-0.0060645263844359976
20230801,204.7406,206.4894,203.8662,206.4079,1441303,-0.00028711774724676786
20230802,205.7632,206.6821,203.9847,204.7036,1776221,-0.008257246223871695
20230803,204.0366,205.4594,196.9004,199.1161,2726023,-0.027295241338122667
20230804,198.7826,203.5697,197.9675,200.6649,1935475,0.007778133863998837
20230807,201.1169,205.4075,200.8576,203.9477,1878744,0.016359570650333666
20230808,204.7258,209.3424,203.2882,208.305,3209129,0.021364794057480818
20230809,206.7933,210.8097,206.7933,208.6236,2605819,0.0015297249220120879
20230810,208.9719,209.8537,205.3186,205.4372,1630831,-0.015273664957695332
20230811,205.5705,209.3646,204.6072,209.2016,1685909,0.01832402052062121
20230814,209.0164,210.291,207.8455,209.4536,1370962,0.0012045015125925485
20230815,208.9867,209.6388,207.1415,207.2379,1032737,-0.01057861474857491
20230816,206.2227,206.8081,204.7406,205.0815,1036298,-0.010405373764683534
20230817,205.3631,205.3631,203.6365,204.1848,1176346,-0.004372175780766652
20230818,203.4957,204.4145,201.9988,202.8139,1239437,-0.0067139928569805996
20230821,202.636,204.7109,201.895,204.2441,1361422,0.007051589600148622
20230822,204.4664,205.5038,201.9913,204.3034,1313722,0.00029024290753909554
20230823,205.4001,205.6298,204.0292,205.326,1104986,0.0050055174963450355
20230824,205.4075,207.2527,205.2371,205.2667,1093411,-0.00028863921547206406
20230825,205.8448,208.8608,205.3779,207.4973,1708296,0.010866493993136217
20230828,208.4606,209.4313,207.9048,208.6384,1066572,0.00549970765246055
20230829,209.0608,209.2757,207.7566,208.5791,1117070,-0.0002842029179580541
20230830,209.1201,210.0835,207.186,207.7122,1185377,-0.0041565702421085815
20230831,208.0827,208.8682,206.4598,207.0823,1403398,-0.0030326259630306662
20230901,208.2309,208.2309,205.7558,206.3486,1061484,-0.003542685495459108
20230905,206.3412,206.3412,201.8283,202.2137,1540646,-0.02003865339018751
20230906,201.4726,201.6653,193.4843,197.5896,3129756,-0.022867392740688497
20230907,198.519,200.3482,197.716,198.5785,1329622,0.005005007633271719
20230908,198.1845,198.9206,195.7158,198.3555,1504649,-0.001123171417458213
20230911,198.7049,199.746,196.2958,198.6678,1533396,0.0015743773282279605
20230912,198.5265,198.7719,195.3663,196.0802,1414082,-0.013024840223316736
20230913,195.8199,197.2922,195.344,197.0542,1255464,0.0049677404644510315
20230914,198.0506,198.5339,195.924,196.7642,1545989,-0.0014716420272776753
20230915,194.9946,197.5524,194.6153,196.1099,3820706,-0.003325438628394961
20230918,196.4817,198.1621,194.9796,196.727,1041005,0.003146839789020639
