datetime,open,high,low,close,volume,return
20230725,64.1104,64.8444,63.9246,64.8258,1013900,0.00984224338447759
20230726,64.5099,65.4391,64.4356,65.374,844100,0.008456427970365388
20230727,65.5041,66.043,64.8351,64.9187,1015600,-0.006964064456429386
20230728,65.6713,65.9315,65.2439,65.8014,773100,0.013596614420209985
20230731,65.7364,65.9687,65.2625,65.597,1747600,-0.0031064182459635825
20230801,65.2532,65.885,65.2346,65.7921,664100,0.0029743198713365615
20230802,65.6156,66.2195,65.2904,65.5877,734100,-0.003106857362522586
20230803,65.885,65.9315,65.309,65.3926,729400,-0.002974974272143327
20230804,65.5691,65.8014,64.928,65.0024,674700,-0.005967585634486294
20230807,65.2439,65.6249,64.7515,65.5506,638500,0.008433578963541022
20230808,65.3275,65.3275,64.482,64.8072,1025300,-0.011339709070568471
20230809,64.9094,65.8014,64.9094,65.4576,844100,0.010035889468066994
20230810,65.7735,66.1917,65.2811,65.4112,618600,-0.0007095849802025711
20230811,65.3276,65.4948,64.9373,65.3183,704000,-0.0014205276095444752
20230814,65.4391,65.4484,64.8072,65.309,742800,-0.00014214971483617056
20230815,65.1603,65.1603,63.748,63.7759,789300,-0.023474392299506874
20230816,63.9246,64.1661,63.525,63.5436,719000,-0.003642080123609448
20230817,63.6458,63.9803,62.8375,62.8468,749500,-0.01096642020826799
20230818,62.6331,63.3206,62.5959,63.0512,1301200,0.003252401349349343
20230821,62.9862,63.1627,62.6052,62.9676,914900,-0.0013260741893676986
20230822,63.0047,63.1069,62.1406,62.1685,887200,-0.012690281063254316
20230823,63.8781,64.4356,62.6517,64.3798,1800700,0.0355703862823169
20230824,64.129,64.5192,62.5773,62.5959,1119200,-0.027709653316774108
20230825,63.014,63.5622,62.7353,63.2649,918700,0.010687336447857687
20230828,63.5715,63.7945,63.2556,63.6087,736000,0.005433805400340441
20230829,63.8038,64.2869,63.5901,64.1383,970800,0.008326123277000441
20230830,61.5924,62.0663,60.2173,61.5831,2847500,-0.039837898940741634
20230831,61.2487,62.2893,60.8491,61.4438,2169400,-0.0022628713000387712
20230901,61.9527,62.4094,61.4028,62.2043,1793600,0.012377633292312229
20230905,62.0552,62.2043,60.5546,60.5732,1631700,-0.02622097734606954
20230906,60.7037,60.7783,58.7651,59.2591,2382400,-0.021695690272017343
20230907,59.343,59.9301,58.4855,59.8369,1746600,0.009751448558393827
20230908,59.781,60.2843,59.4268,59.9394,1564000,0.0017132591686046528
20230911,60.2284,61.0393,60.0327,60.5732,1251800,0.010574012839368097
20230912,60.6105,60.6105,59.6319,59.6692,1106200,-0.01492545396996292
20230913,59.6971,60.014,59.3336,59.6598,2111100,-0.00015618293260022398
20230914,59.5387,60.247,59.3523,60.1818,2075200,0.008748633505570647
20230915,60.0233,60.2657,59.3616,59.3989,2186300,-0.013009138077096027
20230918,59.3989,59.4268,58.588,59.0354,1872800,-0.00611955808529141
20230919,58.9235,58.9235,58.2338,58.56,1927500,-0.008051747470287585
20230920,58.8676,59.1565,58.5321,58.8583,760700,0.005093033987520368
20230921,58.793,58.793,56.9756,57.0035,1371700,-0.03151228425206298
20230922,56.9849,57.4323,56.3604,56.3977,1243300,-0.01062782412310559
20230925,56.0435,56.3604,55.6148,55.7639,969900,-0.01123764831675389
20230926,55.5216,55.5868,54.3193,54.3286,1483200,-0.02573972956961812
20230927,54.3006,54.7387,52.595,52.7907,1800400,-0.02830673297237052
20230928,52.7534,53.3127,52.4086,53.2101,1718100,0.007944925741232733
20230929,53.7973,54.2167,53.322,53.7694,2138500,0.010509783049596377
20231002,53.5923,53.9837,52.8,52.9678,1438300,-0.014907292606990863
20231003,53.294,54.1701,53.294,53.8253,2332600,0.016188611854368817
20231004,54.1329,54.3659,53.1169,53.8066,1320800,-0.0003463507199693572
20231005,53.527,53.9371,52.8,53.0237,1192400,-0.014550565015971517
20231006,52.8466,53.1542,51.7934,52.9958,1328700,-0.0005271998958837898
20231009,52.5857,52.8094,51.9332,52.3154,1416400,-0.012838632694723628
20231010,52.6229,53.0703,52.5204,52.7814,1355000,0.008907872023095509
20231011,53.1262,53.1822,52.0824,52.3713,1428100,-0.007769764892790132
20231012,52.4459,52.7255,49.016,49.3981,2367700,-0.05677166305832093
20231013,49.3329,49.9666,49.2303,49.8455,1560600,0.009056703960248935
20231016,50.3301,51.5045,49.8548,51.1596,1871700,0.026364897863973447
20231017,50.8148,51.9426,50.7029,51.9053,1839600,0.0145745412377154
20231018,52.0078,52.6229,51.9705,51.9892,1870400,0.0016160473227220251
20231019,52.0544,52.5391,51.5325,51.9612,1280300,-0.0005376910177057326
20231020,52.3993,52.6602,51.5231,51.5511,1228000,-0.00789240864154328
20231023,51.2529,51.9985,50.9453,51.4393,1387800,-0.002169558078801148
20231024,51.7934,52.9398,51.7934,52.5204,1542000,0.021018291158592328
20231025,52.3713,52.7255,51.8866,52.1663,1143100,-0.006743505225265012
20231026,52.5857,53.0703,52.1103,52.1569,1372100,-0.00017886562920699234
20231027,52.2967,52.362,51.141,51.2995,1355000,-0.016440077632501215
20231030,51.8307,52.101,51.1969,51.4765,1216300,0.0034519285431977575
20231031,51.7841,52.4459,51.4952,52.3433,3288700,0.016838781746261633
20231101,52.3993,52.6323,51.8214,52.3527,1213400,0.00017796897174382487
20231102,52.8932,54.1049,52.8373,53.9092,1390500,0.02973112303431913
20231103,54.6362,55.9224,54.2633,55.5029,1647500,0.029564328748950208
20231106,55.5123,55.8758,54.9437,54.9624,1429700,-0.009739676207828785
20231107,54.9717,55.4563,54.8785,55.0742,1016900,0.0020349033925814997
20231108,55.0462,55.4377,54.3379,54.7294,888000,-0.006261665036868869
20231109,55.0369,55.0649,54.3752,54.4125,1093300,-0.005790141641037527
20231110,52.6602,53.527,52.2222,53.1449,1793000,-0.023295590736363114
20231113,53.3313,54.1235,53.3313,53.6482,1528300,0.009470402390534094
20231114,54.5989,55.3165,54.5429,55.0742,1719900,0.02658083629364505
20231115,55.2699,55.5123,54.8971,55.1954,1233500,0.002200053832504434
20231116,54.7946,55.0649,53.6389,53.7694,1873000,-0.02583574956820156
20231117,54.3659,54.6362,53.5457,54.5336,3361200,0.014213799818322714
