datetime,open,high,low,close,volume,return
20230829,104.345,104.8307,103.6668,104.3725,828500,0.002817942321539757
20230830,104.2533,105.5365,104.2533,104.9407,798700,0.0054443206737040395
20230831,104.8674,105.4448,104.4733,104.7758,972800,-0.0015719613624082251
20230901,105.6648,105.9947,104.6841,105.4173,912000,0.006123131521937886
20230905,105.399,105.509,103.5568,103.6485,794100,-0.016779666647342983
20230906,103.6118,104.0792,101.0272,101.5588,1064100,-0.020160966801885283
20230907,101.5863,103.1719,101.4671,103.071,1345500,0.014890341182051792
20230908,103.2727,104.1159,102.6769,102.9977,911100,-0.0007114132867811485
20230911,103.7584,105.564,103.7584,105.2798,1068300,0.022156993157911087
20230912,105.2798,105.6739,104.6566,104.8582,931000,-0.004004496189971007
20230913,104.8399,105.1057,102.7136,103.7034,1193300,-0.011013039890919507
20230914,104.2075,106.1689,103.9876,105.674,835600,0.019001418196363584
20230915,105.124,105.399,102.5945,103.0252,1902100,-0.025065021064341275
20230918,103.8043,104.6841,103.6393,104.4183,963000,0.013521974643585288
20230919,104.3725,104.8766,103.401,103.4468,947900,-0.009303961912332848
20230920,104.1434,105.0416,103.1444,103.1902,647700,-0.0024807907790724837
20230921,103.1444,104.7116,102.8511,103.7768,1026800,0.0056843647474895675
20230922,103.4652,103.6118,101.0364,101.183,1065800,-0.02499340365465097
20230925,100.8164,101.9712,100.6148,101.4488,1010400,0.0026267764407930105
20230926,100.8347,101.8521,99.515,99.8632,1198100,-0.015629347752517453
20230927,100.1932,100.8531,99.6066,100.4223,1144100,0.005598476615396919
20230928,100.5598,101.8429,100.5598,101.3755,984900,0.009491546284137176
20230929,100.9631,101.3755,98.9467,99.2125,1560600,-0.0213360870015461
20231002,98.8367,99.0017,96.7654,97.7828,1306800,-0.014411197798213427
20231003,97.1595,98.1952,95.9681,96.9029,1395900,-0.008997874784400395
20231004,96.5821,97.0312,95.2899,95.7939,1082800,-0.01144437638470519
20231005,95.5923,96.518,95.0424,95.1707,1177700,-0.0065058647319802265
20231006,94.8499,94.9141,92.6228,94.5108,1296700,-0.006933823090270574
20231009,94.8866,97.4253,94.8866,96.683,1282000,0.022983000666547238
20231010,97.2878,98.0119,95.6473,95.7664,1467700,-0.009479635630993521
20231011,96.0781,96.5272,92.1646,93.4752,2348300,-0.023925579204700176
20231012,93.6126,93.6585,90.8448,92.8244,1453100,-0.006961651984818462
20231013,93.2644,94.1717,92.3937,93.6401,1153900,0.008787522449627438
20231016,94.41,95.0699,93.0536,94.7033,1058100,0.011353720400488987
20231017,94.0892,96.5088,94.0892,96.3438,852600,0.017323200151712514
20231018,96.1972,98.7084,95.9589,96.518,1233000,0.001807335630295892
20231019,96.5455,96.6096,94.6116,94.9966,920600,-0.015763029764748526
20231020,94.9874,95.7573,93.0994,93.1177,1302800,-0.019778114714751882
20231023,93.2185,93.8326,92.2195,92.9711,1198400,-0.0015746665089186873
20231024,93.2094,93.576,91.303,92.3112,1034400,-0.007097544252970933
20231025,92.5678,94.0251,91.9721,93.6493,1244800,0.014495328906397598
20231026,96.2247,99.2309,95.1707,97.4986,1876100,0.041103887639717174
20231027,97.0404,97.7644,95.6106,96.6188,1007700,-0.009024251796375782
20231030,97.4528,98.3327,96.4447,97.572,973900,0.00986558926242842
20231031,97.7095,98.0486,96.3988,97.132,1042600,-0.004508890326935244
20231101,97.6911,98.3143,96.5546,97.2054,902700,0.0007546759590464358
20231102,97.0954,98.131,96.1239,96.6646,1056900,-0.005562715349779035
20231103,97.407,98.4518,97.1595,97.2054,855500,0.005593832246279629
20231106,97.2237,97.3245,95.9589,96.6188,793000,-0.00603426759491088
20231107,96.1697,96.3805,94.9324,95.8856,677000,-0.007588586813442655
20231108,95.3448,96.353,93.5851,94.1809,1142700,-0.017778763002553433
20231109,95.9039,96.0964,93.9792,95.1982,1206500,0.010801918332040694
20231110,95.189,96.0872,94.7125,95.8031,804400,0.006354235972988231
20231113,95.4731,95.9406,94.3458,95.3907,938700,-0.004305132432993131
20231114,96.3438,97.7919,96.188,97.3337,787300,0.020368958121801617
20231115,97.3337,98.9376,97.242,97.8744,1041000,0.005555773724127411
20231116,97.7573,97.7757,96.9918,97.6927,1102500,-0.0018563213220961217
20231117,98.1446,98.7625,97.6651,98.4951,730900,0.008212867940607271
20231120,99.0761,99.9799,97.8311,99.3251,955000,0.008426834871836819
20231121,99.3251,99.9338,98.7625,99.7862,839500,0.004642615897178404
20231122,99.5372,101.1603,98.7256,101.022,1037600,0.012384416483633975
20231124,101.2618,101.3448,99.4265,99.611,367000,-0.013967435020972863
20231127,99.6018,100.2934,98.947,99.1775,901400,-0.004351491841584676
20231128,99.5095,100.5332,99.0945,99.9799,703100,0.00809006694002301
20231129,99.694,100.3857,99.2882,99.694,603700,-0.0028595380968035045
20231130,99.6018,101.354,98.7256,101.3264,1751100,0.016373805003730313
20231201,101.105,101.852,100.4687,100.7177,1034500,-0.006007206207883087
20231204,100.026,101.3632,98.8179,99.362,1225300,-0.013460298924338088
20231205,99.2513,99.2513,97.8311,97.8495,1061200,-0.01522178167068422
20231206,97.6927,98.2184,95.6638,96.1065,1211300,-0.017813418007424642
20231207,95.7837,97.1486,94.8061,96.0051,1191000,-0.0010554209938993253
20231208,96.1157,97.2132,95.7468,96.3739,700900,0.003842390087267722
20231211,96.4846,97.3054,95.5532,96.8351,958000,0.004784781416925732
20231212,97.3792,97.3792,95.7376,96.2633,1103300,-0.005905045599851166
20231213,95.3779,97.1671,93.0262,96.9549,1616100,0.00718538509110056
20231214,97.7573,98.5689,96.4754,97.1209,1500200,0.0017122180081048377
20231215,97.1209,97.5544,95.7099,96.6321,2730800,-0.005032900264158924
20231218,96.9549,97.0011,95.175,95.6638,1946400,-0.010020789104870031
20231219,96.5307,97.3515,95.8483,97.0841,1495800,0.01484610069441783
20231220,96.3739,96.3739,93.6072,93.681,1125400,-0.035052649504703326
20231221,93.6902,94.013,92.3714,93.3582,1460100,-0.0034454883623656896
20231222,93.3582,94.76,92.9801,93.7363,741100,0.004050128429768707
20231226,93.9853,95.1289,93.4228,94.5202,484900,0.008362709766698506
20231227,94.1329,94.3635,93.6533,94.0776,665300,-0.004683203708464534
20231228,94.6586,94.7231,93.2014,93.7179,869700,-0.003823229949715845
20231229,93.6626,93.6626,92.5374,93.1,745800,-0.006593160043182111
20240102,93.1,94.1974,93.1,93.6072,976600,0.005448174935559935
20240103,93.3213,93.7548,92.2515,92.4729,1230500,-0.012118228568331446
20240104,92.9155,92.9155,90.8128,91.2555,1668700,-0.01316444404622441
20240105,91.1633,92.0947,88.9591,90.3978,2053200,-0.00939867947959716
20240108,89.8353,91.4861,88.747,91.4492,1750100,0.011630380034002297
20240109,91.0526,91.2463,88.6271,89.1528,1631600,-0.025110983856074576
20240110,88.5165,88.5165,86.6997,87.5297,2221200,-0.01820625107986973
20240111,87.3175,88.332,87.1239,87.9078,1444200,0.00431973707297395
20240112,88.6087,88.913,87.3913,87.5112,1223700,-0.004511185664464068
20240116,86.921,87.6035,86.0449,87.4282,1341800,-0.0009481904914349082
20240117,87.0593,88.1015,86.8011,87.1516,909600,-0.0031646527874557018
20240118,87.0501,87.4375,85.9342,86.7827,1006900,-0.004232728548607678
20240119,86.8195,86.921,85.4177,85.4731,1802400,-0.015090405728393597
20240122,83.6194,85.0212,81.5351,81.8579,4338300,-0.04229604823724664
20240123,82.3375,83.6563,82.0424,83.1675,2004600,0.01599837230442036
20240124,83.3888,83.8315,81.9317,82.1807,1744700,-0.011865409648534553
20240125,82.817,83.2043,81.2031,81.572,1517700,-0.007406801561069987
20240126,82.07,82.4297,81.0279,81.4337,1468500,-0.001695691549872369
20240129,81.7565,82.2821,81.1478,82.0885,1603200,0.008040905881227634
20240130,82.1254,83.481,81.0463,83.2782,1712700,0.01449277517475478
20240131,82.817,83.0107,81.2216,81.24,1317700,-0.024474061223768162
20240201,82.236,83.4626,82.0977,83.3704,1448300,0.026223180080856112
20240202,83.1767,83.896,82.4758,83.4349,1370800,0.0007742835726418651
20240205,82.7248,83.4072,81.8856,82.0792,1854300,-0.0162485636863704
20240206,82.4481,83.7116,82.2914,83.0292,2197800,0.011573309805426257
20240207,80.493,84.1912,79.4047,81.1109,3610000,-0.02310371129774813
20240208,81.1847,81.4152,79.414,79.7737,2291600,-0.016486313515368334
