datetime,open,high,low,close,volume,return
20230829,119.8834,122.194,119.8541,121.8461,4197500,0.013438293641552246
20230830,121.3534,123.3392,121.3534,122.6189,4100000,0.006342146559388029
20230831,122.389,122.9996,121.0291,121.6178,5752500,-0.008164495237839242
20230901,122.8101,122.8101,121.1442,122.004,4940000,0.0031754591254442577
20230905,121.0146,123.7959,121.0146,123.1692,6552500,0.00955081467392338
20230906,122.3346,123.7152,122.0177,123.0349,5820000,-0.0010906814132476406
20230907,121.8414,122.2723,120.1639,121.5559,6072500,-0.012020826930799533
20230908,122.0083,123.2985,121.7341,123.1089,4110000,0.012776026474063285
20230911,123.4532,124.8202,123.1743,124.6592,4447500,0.012592672468553445
20230912,123.935,125.414,123.4089,124.2969,4130000,-0.0029062396511190247
20230913,124.0536,124.3114,121.8058,122.0334,6272500,-0.018210649121851885
20230914,124.1132,126.3783,122.4677,125.242,7657500,0.026293147750481527
20230915,125.367,126.0183,123.1547,123.7767,21440000,-0.011699457087441578
20230918,123.5358,125.4621,123.1857,123.7054,5287500,-0.0005760104499205054
20230919,122.6734,123.0161,121.0726,121.9202,7035000,-0.01443156508762411
20230920,122.7881,122.7881,120.1646,120.203,4557500,-0.0140841976828876
20230921,119.1134,119.4929,118.0739,118.9246,6682500,-0.010635628718323797
20230922,119.2665,121.2907,118.9481,119.9536,5907500,0.008652215428539556
20230925,118.4166,121.5962,118.0915,121.3389,4880000,0.01154914291267728
20230926,120.6374,121.1595,119.084,119.8768,5422500,-0.01205001165105879
20230927,120.1799,121.4611,119.4761,120.7416,4460000,0.007214133928749256
20230928,120.7416,122.0937,119.9199,121.6099,6760000,0.007191908474247999
20230929,122.257,122.868,120.16,120.7921,6307500,-0.006724987027639684
20231002,120.3162,121.9115,120.1231,121.1764,4017500,0.0031809323437632653
20231003,119.6582,120.928,117.3845,117.9266,5705000,-0.026818336559354283
20231004,118.0813,119.8286,117.9552,119.3241,4655000,0.011850648216366721
20231005,119.0319,119.3065,117.1185,118.2387,4550000,-0.009095942787906708
20231006,117.4056,119.6414,117.4056,119.4404,5140000,0.010163127140264905
20231009,118.3433,118.3433,114.9365,117.8847,6062500,-0.013025241619528782
20231010,118.2681,120.7925,118.0958,119.8697,5512500,0.01683881848489799
20231011,120.7549,121.2245,119.0499,120.3221,3630000,0.003773971833739731
