datetime,open,high,low,close,volume,return
20230718,143.03,146.92,142.75,146.42,1680800,0.024202513238567924
20230719,148.85,149.21,143.33,144.32,1262500,-0.014342240615954016
20230720,144.22,144.92,137.77,139.14,1513600,-0.03589251435480656
20230721,139.89,141.89,138.07,138.73,961700,-0.002946698748799048
20230724,138.53,139.41,137.67,138.25,852000,-0.003459927501776594
20230725,137.41,142.97,136.15,142.01,1140500,0.027197066957221905
20230726,140.91,142.76,139.95,141.77,952900,-0.0016899531276542978
20230727,143.7,145.06,140.96,141.5,1223000,-0.0019045232723703398
20230728,142.7,143.9,142.15,143.65,865800,0.015194303155366518
20230731,144.29,145.0,142.55,144.43,1055900,0.00542985598634238
20230801,144.43,147.03,144.27,146.76,1468400,0.016132395964909563
20230802,156.85,156.85,145.43,148.64,3145200,0.012810063731127475
20230803,148.15,151.8,144.12,144.65,2120100,-0.02684341704485993
20230804,147.29,151.0,145.96,149.64,1961900,0.034497101304650224
20230807,150.4,153.0,149.91,152.22,1264700,0.017241391617067725
20230808,151.25,152.89,150.06,151.7,982000,-0.003416136304630446
20230809,151.95,151.95,148.22,150.12,1171300,-0.010415305621883197
20230810,150.57,153.41,146.98,150.32,1094600,0.0013323488778100856
20230811,149.25,151.41,147.76,147.89,923200,-0.016165565567922924
20230814,148.0,151.92,147.17,151.85,1051000,0.026776703835353244
20230815,152.18,152.53,148.09,150.69,924500,-0.007639141359787716
20230816,151.0,151.71,147.06,147.24,928100,-0.022894663828701423
20230817,147.0,147.24,129.2,130.06,3492300,-0.11668029946771452
20230818,128.95,134.69,128.33,134.14,2588600,0.03137015152731015
20230821,134.73,136.08,129.73,132.76,1475600,-0.010287795505379949
20230822,133.34,135.21,130.97,131.81,1289700,-0.007155747119236833
20230823,133.4,137.33,132.59,136.61,1287200,0.03641607723741935
20230824,136.37,136.61,132.74,132.84,1061200,-0.027596839584343447
20230825,132.94,133.67,122.62,129.19,2317500,-0.02747661846662719
20230828,130.56,133.57,129.64,132.88,1175000,0.02856260060123339
20230829,131.67,140.31,131.67,139.67,1384300,0.051098683297919445
20230830,139.39,140.84,138.5,139.87,1248800,0.00143192490058075
20230831,140.0,145.6,139.34,145.04,2367500,0.036962882315207946
20230901,146.65,149.55,145.46,148.74,1445400,0.02551028942570288
20230905,147.24,148.21,133.83,136.56,2329400,-0.08188790832826809
20230906,136.03,140.81,136.03,140.56,1464700,0.029291154595134872
20230907,140.2,140.75,137.36,139.18,1011900,-0.009817906280463862
20230908,138.62,142.43,138.47,139.89,939500,0.005101356166336002
20230911,140.69,143.97,140.09,141.89,880000,0.014296947664065751
20230912,139.71,140.84,135.37,136.32,1105900,-0.03925570575367865
20230913,135.24,135.89,128.53,131.71,2213100,-0.03381749092330444
20230914,133.55,134.6,131.42,134.26,1421000,0.01936062305811337
20230915,132.1,132.1,126.6,127.24,4764900,-0.052286585209930014
20230918,127.23,130.34,126.35,129.11,1340200,0.014696658110479932
20230919,128.99,130.6,127.66,130.01,993500,0.006970752786227052
20230920,130.94,132.0,126.87,127.16,1027500,-0.02192132116870993
20230921,125.0,125.0,120.32,121.02,2503100,-0.04828567821811525
20230922,122.29,124.51,121.19,121.84,1650500,0.006775737213435162
20230925,121.05,124.6,120.84,123.09,917100,0.010259356841520795
20230926,122.01,124.33,121.82,121.91,1376600,-0.009586422218602508
20230927,123.35,125.06,122.6,123.31,1162700,0.011483831141246181
20230928,123.12,127.92,123.01,126.22,1199500,0.02359908944711986
20230929,127.22,127.92,124.3,124.49,1097100,-0.013706253685646708
20231002,123.81,125.92,122.54,123.0,1472800,-0.011968815883506179
20231003,121.35,122.25,116.14,117.18,1693500,-0.04731707068962776
20231004,119.11,120.43,117.6,120.14,1225300,0.02526027544601317
20231005,119.46,121.11,118.75,119.97,866700,-0.0014150005810634747
