datetime,open,high,low,close,volume,return
20230725,702.4165,702.8178,692.7654,696.3215,610700,-0.013957537328583958
20230726,693.7362,699.9152,691.6454,693.6522,552800,-0.003833534410912831
20230727,696.4149,698.1603,679.8754,680.5007,555200,-0.018959687533354086
20230728,689.0226,696.5363,685.8304,689.1533,522800,0.012714941282538694
20230731,690.6933,693.8015,686.6051,689.6292,367700,0.0006906332401832582
20230801,684.4676,686.885,681.8354,683.4782,359600,-0.008919287168601131
20230802,674.3124,675.5724,665.7533,669.6454,649200,-0.02023877785772188
20230803,663.1491,665.3893,658.6129,662.8598,585500,-0.010133189979721013
20230804,662.7666,672.9124,661.8425,662.9626,475100,0.0001550602446802607
20230807,665.7906,670.9428,664.2318,665.0812,387900,0.0031956423410504087
20230808,656.5315,656.5315,641.7188,650.5485,676900,-0.021850947397787812
20230809,648.9432,653.3394,644.967,645.9844,447400,-0.0070158455337466785
20230810,650.5858,659.0515,648.299,650.5764,496900,0.007108594562561965
20230811,647.5524,651.7806,644.2949,649.2698,381100,-0.002008435278060605
20230814,646.6562,647.9256,642.7641,646.7682,395000,-0.003852829707653105
20230815,639.3573,640.4027,625.8326,627.998,519700,-0.02902152765057564
20230816,625.3658,631.3955,625.3658,627.4566,494700,-0.0008621728583202426
20230817,629.7621,635.6797,627.6899,629.0994,471200,0.002618127245750612
20230818,620.9136,630.3222,620.9136,625.5992,530500,-0.005563703070990189
20230821,627.4193,631.8529,622.099,626.85,434300,0.001999255011162049
20230822,626.85,629.8088,620.335,621.4831,332500,-0.008561669511436332
20230823,623.8724,635.0076,622.6777,633.5516,386800,0.019418841117581742
20230824,633.561,642.7081,628.138,628.3153,317900,-0.008264942111879559
20230825,630.9661,636.7531,626.5419,630.9288,275200,0.004159479044653525
20230828,635.9224,638.0038,629.6874,633.7663,430900,0.00449737678817641
20230829,633.4395,645.3962,631.4794,644.9948,502600,0.017717123313462535
20230830,645.6949,652.9006,643.8561,649.4564,483900,0.006917278718573172
20230831,651.3792,657.5116,647.5804,653.8713,617100,0.006797864876106674
20230901,657.2875,659.8917,654.6741,659.145,454500,0.008065226750084031
20230905,658.5662,661.105,649.1577,649.5684,556800,-0.014528728411709824
20230906,646.7964,652.7327,642.8201,647.9351,426600,-0.002514533904488303
20230907,641.8241,651.1974,639.2575,649.7026,453000,0.0027279232176136148
20230908,650.7555,652.0435,645.6223,649.2889,352400,-0.0006367471894770382
20230911,653.8392,656.1802,650.5769,654.2811,563500,0.007688700143232419
20230912,651.8555,660.6741,650.6615,655.6068,404000,0.002026168356119795
20230913,657.017,662.075,652.4667,655.5034,645200,-0.00015770666578784898
20230914,661.5955,666.6253,656.5375,664.5099,660100,0.013739962887463042
20230915,659.8561,662.9492,653.7169,655.6724,2816100,-0.013299402764552659
20230918,654.6478,657.6186,648.7624,653.3033,494400,-0.003613113328175044
20230919,652.1469,653.9426,644.6257,647.7282,428100,-0.008533760499385146
20230920,649.6461,653.1153,641.8146,642.5762,334100,-0.007954012950347922
20230921,636.2395,636.2395,625.8132,628.8029,547700,-0.02143443065176487
20230922,630.8336,631.5199,619.8714,620.5953,468300,-0.013052804580566235
20230925,615.8195,620.4732,613.9486,618.1981,458300,-0.0038627699727169507
20230926,613.0929,615.3211,607.1699,608.0161,589000,-0.016470460698399636
20230927,608.9187,609.6427,601.9898,604.8855,548800,-0.005148801890433763
20230928,604.5375,608.787,602.3281,606.6246,696100,0.00287514868153238
20230929,613.7323,617.5117,606.9068,607.7999,539900,0.0019374303371244572
20231002,606.1264,607.5742,600.5136,604.5563,569000,-0.005336710652554033
20231003,599.5641,599.5641,586.2797,588.0378,678600,-0.02732333506645601
20231004,591.3848,600.1658,587.9532,598.436,546700,0.017682866134733022
20231005,595.7283,604.3965,594.1864,601.9803,496900,0.0059226244355428115
20231006,597.0164,612.5195,596.5651,609.4641,608300,0.012431909859680346
20231009,603.1084,609.0878,602.1683,605.1016,536100,-0.007157908314480044
20231010,605.1017,610.5358,603.2966,603.5316,626700,-0.002594516997404872
20231011,607.0008,609.8212,599.912,604.2085,515000,0.0011215317717108153
20231012,604.735,605.7128,594.2335,598.0975,744200,-0.010114096357014102
20231013,590.5763,597.9471,582.8953,590.0968,1263400,-0.01337686873120325
20231016,592.7763,603.2214,590.8113,597.4207,695400,0.01241127306103973
20231017,593.5188,601.576,591.9958,598.0316,578500,0.0010225640417893533
20231018,596.9974,596.9974,578.6174,579.7832,664500,-0.030514028721139064
20231019,588.2071,591.8267,582.0585,585.255,1040800,0.009437668646348873
20231020,585.9507,588.602,576.427,578.0347,850300,-0.01233707845951404
20231023,574.8474,582.3968,573.9167,577.9405,469500,-0.00016292663971984034
20231024,580.3286,583.2901,574.2082,575.7407,657200,-0.003806324590290955
20231025,571.8484,574.9886,567.3733,572.2527,562000,-0.0060582416819366935
20231026,570.8518,580.9115,570.1937,570.739,856400,-0.0026451110029365177
20231027,570.7391,572.5253,560.5008,562.2871,543000,-0.014808702567044252
20231030,566.7622,574.1424,564.3366,570.786,528100,0.015114878547783706
20231031,572.5065,576.1919,568.2381,575.6372,508900,0.008499150640981057
20231101,577.715,580.9867,571.3031,579.3321,537100,0.0064187742014836235
20231102,586.4396,606.5307,586.4396,605.9196,1174000,0.04589330322446461
20231103,615.6314,622.5321,615.105,618.5929,894200,0.02091587856057986
20231106,617.3237,620.7459,611.4383,614.1271,469400,-0.0072192217365796285
20231107,613.7511,614.3904,608.1948,609.7743,440800,-0.00708785523629385
20231108,609.6238,616.4211,609.6238,615.7536,482200,0.009805774301334225
20231109,617.4271,621.0655,611.6922,612.811,437100,-0.004778903360031395
20231110,617.286,625.6252,614.7476,625.2021,522700,0.02022012301431375
20231113,621.2723,624.6099,618.7527,621.8646,356400,-0.005338215348533293
20231114,632.7234,657.2332,632.7234,655.6161,1011000,0.054274716031497805
20231115,656.3869,668.75,655.9451,666.4184,747400,0.016476479561034374
20231116,666.8887,672.3039,666.3339,672.1159,558900,0.008549448514411084
20231117,676.7601,677.7003,670.9406,673.9584,715600,0.002741386241688293
20231120,671.6363,678.4712,669.4928,677.7755,668300,0.005663669208898492
20231121,676.7225,683.1156,675.7165,681.2729,642900,0.00516007944042296
20231122,683.4917,686.5754,682.5327,683.6233,498100,0.0034500166861151094
20231124,683.2284,687.0078,683.1532,686.4061,279600,0.004070716944017727
20231127,683.6797,688.2394,681.1789,686.9514,868100,0.0007944102824113397
20231128,682.4198,694.6137,682.4198,692.6675,610200,0.008321004011368371
20231129,697.8573,706.3092,697.8573,702.5768,750000,0.014305911752615863
20231130,703.3852,706.892,700.1229,706.2715,961300,0.005258787711043489
20231201,705.1151,715.8141,703.8553,711.0851,746700,0.0068155075481664
20231204,706.845,712.5611,704.645,711.1603,767900,0.00010574727876710988
20231205,710.3988,710.3988,703.404,709.1578,860700,-0.002815824368222475
20231206,714.0982,716.0573,702.6843,703.2616,624800,-0.008314340475095605
20231207,705.5046,709.7162,702.8167,705.5046,784300,0.0031893977541515017
20231208,703.3373,707.7287,702.4571,704.8326,456000,-0.0009524191003934535
20231211,705.8453,714.7701,704.4446,712.1011,781300,0.010312368104615333
20231212,714.5524,718.7545,712.3472,718.6125,607600,0.009143944942451299
20231213,718.3382,735.5537,714.3726,731.9951,600000,0.018622786898445653
20231214,740.9861,764.3344,740.0491,763.8896,1197400,0.04357205465050962
20231215,749.4756,775.1238,747.1758,775.1238,2703000,0.014706483956621108
20231218,768.4988,771.3381,753.1667,753.7724,916300,-0.02754576748232307
20231219,758.1543,770.7891,756.1479,758.4477,756400,0.0062025260799623005
20231220,755.0217,762.2619,746.5796,746.9487,547900,-0.015161261014547511
20231221,752.4095,756.5453,749.2484,756.2898,341100,0.01250571273574197
20231222,759.0156,764.2588,757.2837,759.432,426600,0.004154772330872358
20231226,760.3974,765.7542,760.3974,763.3976,280600,0.005221765920028876
20231227,765.8203,769.6818,765.3093,769.6818,298000,0.008231856934547865
20231228,766.4923,773.8176,766.4923,770.7795,311500,0.0014262756031377943
20231229,769.0666,772.4454,765.3188,768.3095,318500,-0.0032045891293722706
20240102,761.0693,764.8456,752.8164,757.4255,660000,-0.014166129712758546
20240103,749.9584,749.9584,740.4184,742.1409,638700,-0.0201796826021019
20240104,741.2985,750.034,740.7968,743.8444,580200,0.0022952920483414463
20240105,740.8726,746.5038,739.5949,740.8915,471000,-0.003969674278128776
20240108,742.4056,755.2581,740.9671,754.4821,513200,0.01834346107804863
20240109,750.1854,752.542,744.9706,751.9552,454700,-0.003349125999459246
20240110,752.3053,756.2424,745.6614,749.9108,510800,-0.0027187424969769003
20240111,754.2646,757.1227,744.9139,750.1476,735800,0.00031571136509644937
20240112,742.9452,759.3563,740.8253,756.7631,880500,0.008818902660592931
20240116,760.7286,765.65,746.4091,748.9835,895200,-0.010280102777638467
20240117,732.8847,745.7182,727.1872,745.245,617100,-0.004991384399998577
20240118,751.9931,753.3465,743.002,752.6556,506700,0.00994382189031473
20240119,755.0123,765.4987,751.5105,762.2903,681500,0.012800947556377729
20240122,763.2082,764.0506,750.9994,751.4821,760500,-0.014178624307851107
