datetime,open,high,low,close,volume,return
20230829,41.246,41.4505,40.9485,41.2181,2571200,0.0020338227948775156
20230830,41.2646,41.5992,41.153,41.3575,2849100,0.0033830405403092456
20230831,41.5248,41.7479,41.2924,41.7108,5077200,0.00854096898924861
20230901,42.064,42.5381,41.8967,42.222,5147600,0.012257933232579399
20230905,42.2035,42.6868,41.9711,42.0175,4542900,-0.004843671848573039
20230906,41.8316,42.0733,41.3854,41.5341,3895000,-0.011504501506857445
20230907,41.4784,41.8874,41.4784,41.6922,3860500,0.0038049483616118263
20230908,41.655,41.7944,41.1437,41.6271,5480500,-0.0015609338336983747
20230911,42.064,42.5939,41.6085,41.7573,8145300,0.0031265650351277596
20230912,41.8223,42.5846,41.5992,42.1849,5926900,0.01024043218541082
20230913,42.5102,42.5474,41.8595,42.0826,5613400,-0.0024239253230250446
20230914,42.4823,43.0029,42.1942,42.5939,4336000,0.012149165713655874
20230915,42.222,42.408,41.8316,42.0268,16217200,-0.013312967445926027
20230918,41.8874,41.9246,41.4505,41.6457,3872200,-0.009068826851686085
20230919,41.655,41.7944,40.9485,41.0136,3372800,-0.015178477130838641
20230920,41.2367,41.3854,40.5767,40.6231,4151400,-0.009519448655499252
20230921,40.4744,40.6046,40.0561,40.1212,3411200,-0.012357083194237228
20230922,40.1584,40.2327,39.582,39.6936,2981100,-0.010657927726899219
20230925,39.4519,39.9538,39.3217,39.8702,2196500,0.004449408520245335
20230926,39.5076,39.8144,39.1637,39.2752,3160400,-0.014921650261401798
20230927,39.4519,39.5169,38.9592,39.2009,3108000,-0.0018934962507414221
20230928,39.2009,39.8795,39.1823,39.675,2793100,0.012093780294297307
20230929,39.9724,40.3164,39.5076,39.6471,3394800,-0.0007027510941004511
20231002,39.5913,39.675,38.9127,39.1079,2738000,-0.013599122660836183
20231003,38.6059,38.7733,38.2806,38.4107,3426300,-0.017827515959229046
20231004,38.4014,38.513,37.8437,38.3364,3056500,-0.0019359152753776199
20231005,38.0482,38.8383,37.9924,38.7547,3936400,0.0109116281309809
20231006,38.6245,39.3868,38.262,39.1823,3673100,0.011033925158652647
20231009,38.7082,39.1637,38.6989,38.9778,3415500,-0.005219443774028498
20231010,39.2009,39.6099,39.0521,39.3217,3103700,0.008824119501379402
20231011,39.2102,39.5727,38.9685,39.1823,2979300,-0.003545999870197325
20231012,39.3403,39.3496,37.9087,38.3457,6274700,-0.021352296536762627
20231013,38.5223,39.0335,38.1411,38.2806,3921000,-0.0016970611961719673
20231016,38.6152,39.1358,38.4851,38.8941,4289800,0.016026867499270514
20231017,38.1133,40.8277,36.8676,40.3815,17157700,0.03824132828893001
20231018,40.2606,41.0043,40.0561,40.1119,6832300,-0.006675951469507613
20231019,40.2048,40.3629,39.1451,39.2195,5829300,-0.022248032755221137
20231020,39.0893,39.2752,38.262,38.7268,4388800,-0.012562217036678924
20231023,38.6245,38.9499,38.4479,38.5687,4688200,-0.004080676572570496
20231024,38.6431,39.3961,38.4851,38.829,3848200,0.006748682516883875
20231025,38.6617,39.0428,38.3735,38.9034,5640300,0.0019152554245349673
20231026,38.9128,39.9363,38.9128,39.5513,5049300,0.016654452205437487
20231027,39.4199,39.4668,38.9691,39.0912,5848600,-0.011633425895731908
20231030,39.5325,39.9551,39.2508,39.7579,3817800,0.01705514424752752
20231031,39.7391,40.049,39.6077,39.9081,3662000,0.003778917449771324
20231101,39.9081,40.7251,39.833,40.5373,5906000,0.015764577818366154
20231102,40.9411,41.6453,40.8096,41.542,7494400,0.024785806493625495
20231103,42.1712,42.7534,41.9928,42.4904,4432800,0.022830038030320576
20231106,42.5562,42.6501,41.8331,42.2463,4017700,-0.005745777706274713
20231107,41.9646,42.4529,41.8425,41.8707,3717600,-0.008890964506753862
20231108,42.0022,42.3402,41.6172,42.2275,4320900,0.00852220496257794
20231109,42.6501,43.2041,42.19,42.2932,6671300,0.001556502345006816
20231110,42.5562,42.9318,42.3778,42.8754,3596900,0.013765679398274777
20231113,42.5562,42.8661,42.4623,42.6313,2005200,-0.005694272185516436
20231114,43.1947,44.0116,43.1947,43.6173,7886300,0.023127654066618097
20231115,43.7299,44.2746,43.7112,43.7299,8012600,0.002583347231936095
20231116,43.7112,44.0117,43.2323,43.6454,3904100,-0.0019322999760719162
20231117,44.1055,44.3215,43.8332,44.3215,5925000,0.015490338149473093
20231120,44.3591,44.4999,43.9083,44.2464,4790100,-0.0016950376468946038
20231121,44.2182,44.4812,44.0398,44.068,9193200,-0.004032097106913435
20231122,44.1431,44.4248,43.8614,44.3403,2850900,0.006179450958041732
20231124,44.3685,44.5751,44.1713,44.4624,1552200,0.0027528606806270783
20231127,44.2464,44.3403,43.9553,44.1337,4074500,-0.007391504625739009
20231128,44.1525,44.5093,43.9553,44.2276,3977000,0.0021275104281635038
20231129,44.3873,44.9601,44.3497,44.6502,2818500,0.009554248079071792
20231130,44.8098,45.4202,44.5469,45.3732,6043900,0.01619347382696823
20231201,45.2887,45.993,45.1197,45.7394,3274200,0.00807108066221196
20231204,45.3544,45.9836,45.2042,45.7113,3668400,-0.0006158302056709086
20231205,45.6174,45.7582,45.1385,45.4765,2862000,-0.005135553613163535
20231206,45.7207,46.331,44.5845,44.622,6061500,-0.018789915106411592
20231207,44.8755,45.4859,44.6971,45.4765,4773100,0.01914973703969758
20231208,45.5422,46.2371,45.392,46.0681,3668800,0.013008460838685343
20231211,46.1526,46.7066,46.1526,46.5282,4174400,0.00998776629668563
20231212,46.5188,47.0822,46.4625,46.8663,3382200,0.007265502897371157
20231213,46.9038,47.8522,46.6972,47.8428,5107400,0.020837381057942972
20231214,48.3405,48.8194,48.1903,48.472,7383100,0.013150119628813073
20231215,48.1621,48.5846,47.9837,48.4814,8085700,0.00019359962778509043
20231218,48.8757,48.9039,48.1903,48.2936,4751200,-0.0038736035985564854
20231219,48.2748,48.6316,48.0025,48.5565,3933700,0.005444133452913391
20231220,48.3687,48.7631,47.7677,47.7959,3440800,-0.01566394223864831
20231221,47.9367,48.3405,47.7959,48.2654,3020200,0.009823132064132434
20231222,48.4438,48.7161,48.1997,48.3311,2484600,0.001361867073838452
20231226,48.3029,48.81,48.2184,48.8006,1497700,0.009714347143116253
20231227,48.7725,48.9603,48.5095,48.8945,1651300,0.0019240522319130537
20231228,48.8382,49.1293,48.8382,49.0354,1783300,0.0028809261405935427
20231229,49.0166,49.1105,48.7161,48.8757,1853100,-0.0032555561813714107
20240102,48.8288,49.3734,48.7725,49.1856,2778600,0.0063402225516926425
20240103,49.242,49.2983,48.6316,48.641,3172900,-0.011073066744596072
20240104,48.81,49.3359,48.7067,48.8382,3868300,0.004053895613226999
20240105,48.6973,49.5424,48.6973,49.195,2778800,0.007306464075054642
20240108,49.2044,49.5612,48.9133,49.4861,3496300,0.0059171019506709666
20240109,49.3171,49.9368,49.1575,49.7209,4932300,0.004743886406969322
20240110,49.5612,49.7021,49.2232,49.5143,4502600,-0.004154817552151524
20240111,49.2889,49.5894,49.026,49.5143,6656200,0.0
20240112,51.6458,51.9088,50.7632,51.505,8419300,0.04020463375910022
20240116,51.6458,52.0872,51.2515,52.0121,7344500,0.009845113842136932
20240117,51.4956,51.9463,51.289,51.5144,5553100,-0.009568489808575165
20240118,51.505,51.6271,50.6974,51.3078,3682200,-0.004010238010643485
20240119,51.6012,52.2257,51.3646,52.0838,7173800,0.015123756963831614
20240122,52.15,52.5758,51.7999,51.885,5682700,-0.003815520272318018
20240123,51.6674,52.0554,51.5728,51.8661,3234500,-0.00036474317882095875
20240124,51.9986,52.3392,51.7904,51.9607,3884500,0.0018243077758139936
20240125,52.1784,52.5758,51.9134,52.3676,5024700,0.007831104967743752
20240126,52.4812,52.8313,52.1689,52.3582,3115500,-0.00018072732806262426
20240129,52.1973,52.9354,52.1784,52.8976,5418900,0.01030193549440006
20240130,53.1436,53.2288,52.7272,53.03,3817200,0.0025044747230431597
20240131,52.8786,53.3991,52.4717,52.4812,3993400,-0.010349883598967602
20240201,52.519,52.8313,51.7431,52.519,3594600,0.0007212724866128006
20240202,52.5096,53.1152,52.4528,52.6421,4148500,0.002342464198249239
20240205,52.3014,52.396,51.8377,52.0554,4354400,-0.011145231565986902
20240206,51.9513,52.3582,51.9418,52.1027,3844200,0.000909057532679336
20240207,52.1689,52.4717,51.7242,52.3014,3391000,0.003814061465151841
20240208,52.1121,52.4244,51.7336,52.15,2901300,-0.0028949345392217385
20240209,52.0554,52.3866,51.885,52.2541,2625600,0.001996004771919413
20240212,52.1595,53.0395,52.0838,52.6326,4404100,0.007243634443794278
20240213,52.0554,52.1784,50.5318,50.9955,3888800,-0.03110386654799624
20240214,51.4687,51.6768,51.2794,51.5538,3624500,0.010948170168392446
20240215,51.8472,52.4433,51.7809,52.3203,3641500,0.014868000929666225
20240216,52.2446,52.6988,51.8377,52.1879,3057600,-0.002532105920464489
20240220,51.1375,52.2257,51.128,51.9229,4865800,-0.005077213704646755
20240221,52.0175,52.3298,51.6958,52.1595,3154300,0.004556297163115897
20240222,52.3393,52.6421,52.0838,52.3866,3041400,0.004354109680560381
20240223,52.6137,53.049,52.3582,52.6515,3745200,0.005057881758333105
20240226,52.3582,53.1625,52.2257,52.3109,3677700,-0.006470161494297688
20240227,52.3298,52.6042,52.2068,52.5664,2530300,0.004884058753093834
20240228,52.5569,53.0963,52.4055,52.6515,3186500,0.001620324594673983
20240229,52.8881,53.2288,52.6421,53.0774,7158700,0.00808764752903568
20240301,52.9354,53.1815,52.3014,52.5096,2833500,-0.010696920513578068
20240304,52.1973,53.1909,52.1973,52.5096,3890200,0.0
20240305,52.4244,53.3329,52.3676,52.8881,3945400,0.00720831524710186
20240306,52.8219,52.9354,52.0459,52.784,4466900,-0.0019681486938609716
20240307,52.8786,53.0963,52.519,52.7367,2745800,-0.0008963641063810535
20240308,52.784,53.1436,52.4528,52.4907,3290100,-0.004665231737493003
20240311,52.0838,52.8881,51.9324,52.6231,3013000,0.0025238164831931087
20240312,52.7556,52.8219,51.9986,52.1595,3223600,-0.008811410004653242
20240313,52.273,52.5853,52.0838,52.3109,4519600,0.0029028129223334087
20240314,52.0932,52.3203,51.3078,51.5254,5194300,-0.015014606599003333
20240315,51.0239,51.7147,50.9766,51.4876,8966900,-0.0007345774458367149
20240318,51.639,51.9986,51.2983,51.9891,3178700,0.009740787749247692
20240319,52.0364,52.3203,51.9229,52.273,3589200,0.005460634505169759
20240320,52.1784,53.2004,51.9986,53.1341,2352700,0.016473550390982084
20240321,53.4559,54.2697,53.3612,54.2034,3447300,0.020124641076274097
20240322,54.2129,54.3643,53.3802,53.437,2769100,-0.014141001260670305
20240325,53.5221,54.0142,53.3896,53.5032,2862900,0.0012394904233070658
20240326,53.56,53.929,53.4369,53.5694,2607600,0.0012380985857298743
20240327,53.8439,54.1561,53.4275,53.8722,3021700,0.005652748178012201
20240328,54.0426,54.7807,53.9858,54.5252,3116300,0.012120134949832773
20240401,54.3738,54.4306,53.7114,53.9006,2450000,-0.011454268315505889
20240402,53.9196,54.2602,53.7965,53.9858,2766600,0.0015800021061975755
20240403,53.9385,54.6198,53.9385,54.563,3289600,0.010692370923144567
20240404,54.8848,55.1497,53.6451,53.7208,2465300,-0.015435311337774094
20240405,53.5978,53.9006,53.0584,53.6924,3671100,-0.0005284537402374667
20240408,53.9101,54.2508,53.6451,53.9574,3564700,0.004934795380199475
20240409,54.1656,54.3359,53.3329,54.1277,2759800,0.0031568206435652613
20240410,53.4653,53.683,52.538,52.6894,3432000,-0.026573473195894648
20240411,52.6042,52.7272,51.7431,52.396,3396500,-0.005567539723020376
20240412,52.2446,52.9733,51.7242,52.0932,4933900,-0.005779194564663803
20240415,52.8124,53.0584,51.639,52.1311,6132700,0.0007264977856500376
20240416,52.396,52.6988,49.8127,51.0996,8232800,-0.019785747637888873
20240417,51.2321,52.027,51.1848,51.5349,4513900,0.00851840974754281
20240418,51.9324,52.5569,51.8188,52.2825,3473900,0.014506165483036293
20240419,52.4433,53.3802,52.4433,53.2666,4420700,0.018823339879105783
20240422,53.6735,54.3832,53.295,54.0899,2936300,0.01545577111562535
20240423,54.071,54.7334,54.0236,54.3548,2861400,0.004898535820322847
20240424,53.9669,54.8942,53.929,54.8375,3226000,0.008878925006791771
20240425,54.6182,54.99,54.1035,54.5038,3254100,-0.0060839031586864545
20240426,54.5706,54.9995,54.4085,54.6373,2058000,0.0024484434435321223
20240429,54.704,55.1139,54.4085,54.6468,2638500,0.0001744068004410071
20240430,54.5134,54.6182,53.8175,53.8461,3530000,-0.014651944589913257
20240501,53.8843,54.2655,53.4553,53.8175,4054000,-0.0005311205318431211
20240502,54.256,54.4943,53.6746,53.951,3187600,0.002479666950738313
20240503,54.2465,54.5324,53.8366,54.3323,2214000,0.007067137309493043
20240506,54.8089,54.9042,54.3132,54.7898,2403000,0.008421052040332277
20240507,54.7326,55.2569,54.6754,54.7135,2820100,-0.0013917883512536422
20240508,54.5515,55.0472,54.4466,54.8184,2939800,0.0019162890214243777
20240509,54.6373,55.7811,54.6373,55.6191,3793600,0.014606086117412431
20240510,55.8002,55.9908,55.6,55.7049,3255500,0.0015425023173543106
20240513,55.8669,56.0004,55.1329,55.1425,2144300,-0.010095807657422129
20240514,55.1901,55.7144,55.1043,55.6191,2878900,0.008642938433037761
20240515,55.886,56.1815,55.6667,56.048,2710800,0.007712237242206044
20240516,56.048,56.4484,56.0004,56.0194,2604200,-0.0005101870315983303
20240517,56.2959,56.7629,55.9432,56.7153,2903200,0.012421319352774907
