datetime,open,high,low,close,volume,return
20230829,355.04,358.59,354.01,358.29,2285600,0.007706429042401153
20230830,358.63,362.68,358.6,361.06,3058300,0.007731136642412428
20230831,362.18,362.47,359.25,360.2,2842300,-0.0023818350340041317
20230901,362.0,363.39,360.6,362.46,2637900,0.006274234235028153
20230905,363.88,366.47,360.0,360.47,2976800,-0.005490234181119602
20230906,360.02,362.8,359.26,361.67,2655800,0.0033290210085930028
20230907,360.96,363.3,360.87,361.8,3263800,0.00035937279953768275
20230908,362.52,364.83,361.77,363.15,3019100,0.0037313602793378475
20230911,364.87,366.61,364.51,365.52,2921600,0.0065262154950305185
20230912,365.65,370.43,365.47,367.78,2898400,0.006182999106898235
20230913,369.33,370.84,365.97,367.82,3261400,0.0001087839062881013
20230914,370.1,370.22,368.26,369.5,3670100,0.00456743146737093
20230915,368.52,370.2,367.52,367.86,11595000,-0.004438469955175939
20230918,369.33,371.33,367.79,370.43,3130900,0.006986373692595471
20230919,371.64,373.34,368.46,370.48,2603700,0.00013502770168671852
20230920,371.33,371.34,366.73,366.82,2268400,-0.009879085385377073
20230921,366.56,367.2,362.94,363.28,3178600,-0.0096505328887172
20230922,362.78,363.42,359.76,360.16,3969400,-0.00858840323626786
20230925,359.01,361.89,357.27,361.71,2556200,0.004303608888295285
20230926,359.8,360.79,357.95,359.42,3063900,-0.0063309780803446625
20230927,360.01,360.52,354.27,357.78,3535400,-0.004562947490867053
20230928,357.8,359.47,356.67,357.06,2731700,-0.0020124132795563687
20230929,357.3,357.5,348.55,350.3,4932900,-0.01893241979456317
20231002,349.64,350.0,345.41,348.08,3527600,-0.006337428769809583
20231003,347.39,348.24,342.13,343.04,3151700,-0.014479367449347413
20231004,342.92,344.01,339.51,343.69,3244600,0.0018948049215643525
20231005,343.7,345.94,342.37,345.06,3027300,0.003986136074531466
20231006,344.1,348.76,341.86,346.34,3174700,0.003709496285727809
20231009,344.24,345.9,342.83,345.45,2762800,-0.0025696833754975668
20231010,347.0,349.51,345.5,348.56,2858600,0.009002707314129887
20231011,349.38,349.6,344.92,348.43,2620800,-0.0003729770591092141
20231012,348.21,348.66,343.02,345.66,2677500,-0.007949915540851227
20231013,346.0,348.44,343.88,345.09,2804800,-0.0016490404391014124
20231016,348.0,349.94,345.83,346.23,3117800,0.0033035285303411044
20231017,346.18,348.41,344.15,345.39,2998600,-0.002426122263340713
20231018,344.72,344.83,339.96,340.89,2977100,-0.013028749556006747
20231019,340.31,342.69,338.45,338.66,2741300,-0.006541731615776314
20231020,338.15,340.0,334.35,335.86,3466100,-0.008267933267196548
20231023,334.07,338.88,333.49,336.84,2794200,0.00291791528931995
20231024,338.18,339.85,337.77,338.63,2355700,0.005314121138768391
20231025,338.59,339.62,336.55,336.9,2623200,-0.005108853206693298
20231026,337.07,338.32,335.46,336.16,2685400,-0.0021964685300718267
20231027,336.12,336.19,330.58,331.71,3608200,-0.013237780100407659
20231030,332.96,338.36,332.18,337.41,2634700,0.017183721786695694
20231031,337.95,341.49,337.5,341.33,3066900,0.011617862148751934
20231101,341.21,345.33,340.58,343.75,2789700,0.007089952605796146
20231102,346.39,349.39,344.5,349.02,3433700,0.015330877130681708
20231103,350.17,354.35,349.79,351.81,4409100,0.007993835977149644
20231106,354.03,354.03,344.06,346.63,5486200,-0.014723835910656624
20231107,346.81,346.95,344.3,346.17,3062900,-0.0013270387692884134
20231108,346.85,348.0,344.69,346.3,2602400,0.0003754639633495316
20231109,347.64,350.11,346.88,348.18,3052100,0.00542883323442811
20231110,349.6,351.2,348.6,350.56,3701100,0.006835559000739844
20231113,350.09,350.65,348.81,350.01,2196200,-0.0015688834915535965
20231114,352.52,355.95,351.25,354.25,3387500,0.012113911362747087
20231115,355.02,357.31,354.48,356.79,3572900,0.007170101749955915
20231116,357.79,360.0,357.23,359.86,2822500,0.008604436035529073
20231117,360.47,360.56,358.07,358.93,3260000,-0.0025843181060342113
20231120,359.35,362.61,358.18,361.33,3215300,0.00668652368277356
20231121,360.58,363.03,360.25,361.0,2918800,-0.0009132554300185225
20231122,361.76,362.46,360.05,361.8,2110200,0.002216032667503365
20231124,362.51,363.19,361.24,362.68,1282000,0.0024322966072516383
20231127,362.64,362.64,359.58,361.34,2580300,-0.0036947070832454854
20231128,361.55,362.12,359.21,360.05,2953500,-0.0035700685171745627
20231129,360.95,361.52,358.3,358.69,3141100,-0.0037772126028914332
20231130,359.45,360.43,358.42,360.0,4606800,0.0036521719302944344
20231201,359.94,360.24,355.3,357.07,4705700,-0.00813886854383683
20231204,355.91,357.83,353.79,356.66,3053400,-0.0011482444722306084
20231205,355.23,356.6,352.29,355.03,3061200,-0.004570192525306882
20231206,356.15,357.45,351.89,352.38,3039100,-0.007464140792597496
20231207,352.0,353.02,350.85,352.7,2830000,0.000908131334878659
20231208,353.0,353.67,351.02,353.08,3289000,0.001077330173187896
20231211,355.0,357.49,354.21,357.06,3108400,0.01127226446609586
20231212,357.9,360.41,356.76,360.02,3188800,0.008289899387545985
20231213,360.19,362.15,359.04,362.03,3132700,0.005583050460980621
20231214,364.05,364.05,356.38,358.12,5512300,-0.010800220079256517
20231215,357.63,358.0,354.2,356.5,8578200,-0.004523609793576022
20231218,357.42,361.14,357.0,359.65,4526400,0.008835887507669948
20231219,360.15,362.55,359.09,361.8,3084600,0.005978017330658503
20231220,361.52,361.66,355.12,355.35,3926700,-0.017827479013470704
20231221,356.02,357.2,353.63,356.14,2851200,0.0022231842728370754
20231222,356.5,358.26,355.41,356.47,2332200,0.000926564156491505
20231226,356.9,357.77,356.08,356.83,1964400,0.0010098615601026317
20231227,355.93,357.08,355.5,356.95,2478500,0.000336366446997971
20231228,357.48,358.68,356.73,357.57,2740600,0.001736924207829782
20231229,357.56,357.86,355.31,356.66,3269400,-0.002544966421873962
20240102,356.32,362.57,355.94,362.46,4737000,0.0162619518124143
20240103,362.08,367.85,361.07,366.75,4321800,0.011835812630519138
20240104,367.41,369.37,363.41,363.68,4142800,-0.00837084478314587
20240105,364.83,366.3,364.19,365.59,2965200,0.00525187995098797
20240108,366.01,368.3,364.2,368.18,3445700,0.007084428906246387
20240109,368.0,368.0,364.77,366.9,2998800,-0.003476557131728897
20240110,366.26,368.83,365.75,367.92,2448100,0.0027801023391071933
20240111,367.81,367.89,362.13,363.34,3577800,-0.012448404334338692
20240112,366.51,366.85,362.57,363.62,2623100,0.0007706247099659169
20240116,362.94,363.6,359.89,361.1,3046500,-0.006930281743334099
20240117,359.01,362.53,357.98,359.29,2550300,-0.005012455076156663
20240118,359.25,362.64,358.3,362.38,3007800,0.008600284629134869
20240119,362.25,368.31,361.02,366.99,4063700,0.012721412024521817
20240122,368.05,369.27,366.53,368.06,3552500,0.0029156308147135768
