datetime,open,high,low,close,volume,return
20230725,95.6887,96.354,95.0872,95.1419,2228600,-0.006943661941548052
20230726,94.7318,96.0259,93.7385,95.4244,3588500,0.0029692609957800986
20230727,96.0623,97.1468,94.0119,94.1212,3388300,-0.01365687755742151
20230728,95.0304,96.9681,95.0028,96.4722,3679400,0.024978077531208287
20230731,96.4079,96.6834,95.563,96.2334,2631400,-0.0024750087071337967
20230801,95.8753,97.8773,95.609,97.4181,4241900,0.012310453206197725
20230802,95.3243,95.9396,94.1672,94.4886,3613700,-0.030071692015200213
20230803,93.5519,94.5529,92.6978,94.2314,4667200,-0.0027213181440776113
20230804,94.7549,95.9487,93.8825,94.3416,2972100,0.0011694501155523618
20230807,94.7641,95.6732,94.5896,95.4437,2093300,0.011681083604220266
20230808,94.158,95.7467,93.3682,95.2967,2632000,-0.0015394095807103048
20230809,94.9661,95.0947,91.807,91.9172,4689800,-0.035463251035787846
20230810,92.7988,94.0018,91.2835,92.0182,4317600,0.0010990414741449683
20230811,90.5673,91.9448,90.1356,90.3377,3713000,-0.018263226999525428
20230814,90.0897,90.9529,89.3091,90.0346,4290600,-0.0033548581722813164
20230815,89.0612,89.8418,88.6204,89.5112,2015400,-0.005813821946671571
20230816,89.2999,90.0713,88.9234,88.9877,2108100,-0.005848075833720712
20230817,89.1806,89.8969,88.3265,88.8959,1649800,-0.0010318254934886806
20230818,87.8857,91.0264,87.4081,90.6591,3063600,0.019834515973081723
20230821,91.1458,91.7152,90.3285,90.7234,2283000,0.0007090881947167116
20230822,91.0999,91.2284,89.9428,90.2366,1972600,-0.005364934272911626
20230823,90.6132,91.7244,90.0071,91.5591,1796600,0.014655088448138232
20230824,91.8346,92.808,90.5121,90.9346,2135900,-0.006820612142711124
20230825,91.3295,91.9723,90.2734,91.5223,1742800,0.006463390814781311
20230828,92.1743,93.2764,92.0274,92.6427,2251600,0.012241567260722341
20230829,92.5692,96.0589,92.5692,95.7834,3323600,0.03390172482387399
20230830,95.912,96.6834,95.159,96.3253,2919300,0.005656923594174357
