datetime,open,high,low,close,volume,return
20230725,88.7387,89.5502,88.395,89.4834,1521400,0.007308004494458897
20230726,88.8437,89.2638,87.8985,88.099,2650700,-0.01547025888407838
20230727,88.099,88.7673,88.0227,88.2422,1618800,0.0016255725572937862
20230728,88.3282,88.4714,87.4212,87.5358,1807700,-0.008005992000578943
20230731,88.0131,88.0131,86.8007,87.3257,1992800,-0.002399357335854835
20230801,87.173,87.784,86.9916,87.488,1528500,0.0018583849672721975
20230802,87.4403,88.9678,87.2685,88.8723,2344500,0.015822825928944795
20230803,88.9678,89.9225,88.7864,89.5215,1725700,0.0073047792989331395
20230804,89.3402,89.6552,87.0966,87.1157,2503700,-0.02687415106113422
20230807,87.5931,88.6814,87.574,88.0418,1502400,0.01063009444992935
20230808,88.3377,88.7769,87.3544,87.6026,2059000,-0.00498812372127444
20230809,88.3568,88.7291,87.6312,87.8031,1945500,0.002288663334914842
20230810,87.8031,88.8151,87.7649,88.1563,1609300,0.004022930128243063
20230811,88.29,88.6814,88.0131,88.1945,1539700,0.00043306584046054475
20230814,88.5286,88.9105,87.994,88.7769,2156600,0.006603211864120162
20230815,89.9798,91.1254,86.3901,86.4665,4357600,-0.02602413287337635
20230816,86.457,87.0298,86.0083,86.3042,2984500,-0.0018768518371460319
20230817,84.6717,84.729,81.8172,82.4759,5412400,-0.04435864031593162
20230818,82.5618,82.8769,81.7312,81.9604,5215200,-0.0062506238274472326
20230821,81.9985,83.3924,81.8172,83.001,2964400,0.012696423900486975
20230822,83.0583,83.2874,81.588,81.6453,2129400,-0.016333054633910993
20230823,81.7026,82.2468,81.2634,81.5021,1662300,-0.0017540671023411614
20230824,81.5689,82.8578,81.5689,82.2659,2206900,0.00937108828114086
20230825,82.6859,83.9461,82.4568,83.6597,2165900,0.01694326272179869
20230828,83.6693,86.0083,83.6597,85.6741,3420100,0.024078635371636015
20230829,85.6741,85.9223,84.4139,85.76,2046100,0.0010028068975589388
20230830,86.0178,86.3424,84.0225,84.0511,2208300,-0.019926622275168504
20230831,84.2516,84.538,83.2874,83.3733,2386600,-0.0080643558159752
20230901,83.6406,84.1562,83.421,83.612,1454300,0.0028625790041423294
20230905,83.4974,83.6215,82.6382,82.9723,2110800,-0.007650109177776865
20230906,82.7623,83.4211,82.6955,83.2969,1352800,0.0039121495940683815
20230907,83.9175,85.0536,83.6406,84.5762,2410400,0.015357994309709966
20230908,84.4712,85.2063,84.4712,84.7576,1524600,0.0021447694093241765
20230911,84.7481,85.7314,84.6335,85.6646,1878000,0.010700626049228834
20230912,85.3591,85.7314,84.6431,84.9008,1773400,-0.00891565516087267
20230913,85.044,85.34,83.8697,83.9652,2031100,-0.011020010567822758
20230914,84.1084,84.433,83.0774,83.7265,2084200,-0.002842400082576968
20230915,83.2778,83.8316,83.2492,83.7743,4155900,0.0005700640210326569
20230918,84.118,84.7003,83.7934,84.1753,1954100,0.004786410626438142
20230919,84.1753,84.6812,83.927,84.2612,1278600,0.0010207541562285982
20230920,84.7099,85.6741,84.4044,85.3209,1728500,0.012576644871676201
20230921,85.2732,85.846,84.9581,85.0631,2006100,-0.0030212334039840805
20230922,84.8054,85.55,84.7099,84.9295,1541500,-0.0015713858528992874
20230925,84.1084,85.6646,84.0225,85.1681,1388500,0.0028103983210734373
20230926,84.7672,85.4164,84.4139,84.6526,1444800,-0.006053304445453156
20230927,84.7767,85.0249,83.2301,84.0511,1951000,-0.007104988155198666
20230928,84.3089,84.5762,83.6693,83.822,1477600,-0.0027259397984034095
20230929,83.5547,83.822,82.791,82.8864,2318600,-0.011161656982247692
20231002,82.5609,83.5884,82.4073,82.945,2742200,0.0007065479023093957
20231003,82.8682,83.6172,82.8106,83.3771,2555500,0.005209733174904585
20231004,83.5019,85.3936,83.2523,85.3744,3267000,0.023954822318535962
20231005,85.6913,86.4883,85.48,86.2482,1951100,0.010234854751834943
20231006,86.2578,86.6419,85.4608,86.3538,1844200,0.0012247978123833825
20231009,86.0561,87.3717,85.8353,87.122,1303500,0.00889564749748839
20231010,86.8724,88.1879,86.7955,87.967,1413600,0.009699319263822392
20231011,87.8134,88.2647,86.6035,88.0342,1974100,0.0007640060107472202
20231012,88.1303,88.6872,87.6309,88.2263,1906000,0.002181591658005244
20231013,88.6776,89.8011,88.668,89.513,1919900,0.014584145480506905
20231016,89.8683,90.2044,88.9273,88.9753,1576200,-0.00600716956710623
20231017,89.0521,89.5994,88.8792,89.3402,1951800,0.004100953107599947
20231018,89.5898,90.6173,89.2153,90.0699,2118900,0.0081685787514989
20231019,89.9163,90.2236,88.5432,89.1001,1913500,-0.010767643653922576
20231020,89.3689,89.465,88.4087,88.7064,1890900,-0.004418793190374637
20231023,88.2839,88.86,87.5637,88.3319,1591600,-0.004221581238647576
20231024,88.6296,89.7339,88.6296,89.705,1535900,0.015545301675036205
20231025,90.0123,90.4444,89.3017,89.8107,1384200,0.001177429149280984
20231026,89.369,89.6858,88.7928,88.8696,1616800,-0.010477957916569802
20231027,88.5912,89.1673,87.3717,87.7558,1512400,-0.012533823544182865
20231030,88.0823,88.3991,86.9876,87.4197,1636000,-0.003829574252088075
20231031,87.7846,87.8038,86.6035,87.3813,3349200,-0.00043950773039636015
20231101,87.4485,89.8779,87.4197,89.8587,3341600,0.028351632961787665
20231102,89.2345,90.1371,87.5253,90.0507,2827500,0.0021372129425514252
20231103,92.4417,98.3856,92.2881,96.225,5293100,0.0685647906216047
20231106,95.5433,98.0399,94.8615,97.6174,2612100,0.01446964088615288
20231107,97.7038,99.1921,97.2909,98.9041,2808400,0.013181107103265477
