datetime,open,high,low,close,volume,return
20230725,249.3657,252.9897,248.7329,251.2448,2016600,0.010371391899357318
20230726,249.7779,251.705,246.6333,247.6591,2622800,-0.014271531450127717
20230727,248.2823,250.3244,246.221,247.6399,2284400,-7.76311985739575e-05
20230728,249.2026,252.1268,248.3014,249.682,2101200,0.008246305700396306
20230731,251.9063,254.2648,250.8613,254.2265,3568700,0.0182010076293333
20230801,261.4936,276.862,259.3364,276.7374,11823200,0.08854662023003912
20230802,275.8745,281.7515,274.283,275.7019,6288300,-0.0037415652400218935
20230803,273.7558,276.0567,269.451,269.8346,4743500,-0.021281572105823154
20230804,271.5123,271.7999,263.9958,265.0312,3888200,-0.01780095972161766
20230807,265.6833,270.3235,264.504,270.0263,2438200,0.01884704597040443
20230808,266.5268,272.2313,263.4397,271.215,2519500,0.004402240359701715
20230809,272.9121,275.2706,272.1643,272.7874,3088600,0.005797681017610357
20230810,272.7491,275.7882,269.5853,272.1067,2647100,-0.0024954414507077916
20230811,272.2217,274.2351,270.9466,273.4489,1874100,0.004932599987461206
20230814,272.3367,273.8132,269.6619,272.7969,2194000,-0.002384275477786968
20230815,270.8604,270.9754,265.6161,265.9229,2593600,-0.025198316144628974
20230816,265.5681,270.0837,262.7686,263.1809,2831300,-0.010311275428454447
20230817,265.5874,268.013,263.3248,263.8138,2534700,0.002404593182305126
20230818,261.7428,264.3122,259.9212,262.5002,2533000,-0.00497903385088283
20230821,263.4111,264.8395,257.7066,261.4936,2207400,-0.003834748553380729
20230822,262.6344,262.8166,258.5407,259.0488,1668800,-0.00934934462040693
20230823,259.1447,262.4619,258.0038,261.762,1677800,0.010473803945120652
20230824,260.391,263.3535,258.0901,258.1859,1433600,-0.013661570416645175
20230825,260.3143,262.3276,257.7353,261.3113,1291700,0.012105216437790167
20230828,262.2126,265.5681,261.7716,263.4493,1550700,0.008181812873351069
20230829,263.6507,268.569,262.1455,268.4731,2065800,0.019069334906265833
20230830,268.4731,272.0971,268.2622,270.6782,1431000,0.008213289307844374
20230831,271.9342,273.0559,269.2497,269.5277,2579000,-0.004250256184535339
20230901,273.0463,275.2226,271.9438,274.4365,2336600,0.018212306885789342
20230905,274.5227,277.466,269.7674,270.0071,2515600,-0.016139807982755827
20230906,268.8469,272.7298,267.5239,271.2246,1688900,0.004509022962516429
20230907,269.3359,271.7807,266.1913,269.8153,1593200,-0.005195956967363191
20230908,269.9496,271.6945,267.6007,270.6303,1240100,0.003020480680008042
20230911,272.8162,273.2381,268.3965,270.4098,1515300,-0.0008147259143620467
20230912,268.6937,272.96,268.2718,270.1797,1587300,-0.0008509401195468946
20230913,268.6457,271.0713,261.762,264.5327,2119300,-0.0209006909102738
20230914,267.4856,271.4931,266.3639,270.8987,2660500,0.02406483276995286
20230915,270.2372,270.2372,265.8845,267.6294,4940900,-0.012068189376181149
20230918,267.5431,271.0808,267.3418,269.3456,1363200,0.006412319900803709
20230919,268.521,271.7999,266.1913,268.128,2313500,-0.004520437824293566
20230920,269.8824,274.7719,266.6035,267.1117,2380300,-0.0037904543332372143
20230921,264.8108,264.8108,260.391,260.8033,2277600,-0.02361701483482559
20230922,260.7841,263.7466,260.4006,261.7907,1707800,0.0037862148873823998
20230925,259.5761,263.4877,258.9242,262.9508,1257400,0.004431267098987224
20230926,259.9596,262.136,258.0422,258.3969,1756400,-0.0173184258989747
20230927,259.8158,262.9125,258.09,261.4552,1991600,0.01183550545342893
20230928,262.203,266.7666,260.9854,264.8395,1994700,0.012944239668612134
20230929,267.5623,268.0129,260.1609,261.7332,2257800,-0.011728962749564698
20231002,261.3881,265.386,259.0871,260.506,1778200,-0.0046886401101431385
20231003,260.0171,262.2892,256.4985,257.8695,2187900,-0.010120823376789545
20231004,256.4602,256.767,251.935,254.0921,2970100,-0.014648335334942475
20231005,253.0088,254.9646,249.682,250.0367,2639300,-0.015960550037193322
20231006,250.775,257.3423,247.6112,255.0605,2293400,0.02009238756151821
20231009,255.0605,260.4006,253.7278,260.1034,1640800,0.01977123589652252
20231010,261.3977,263.7466,260.6115,261.9346,2009000,0.007040187876008908
20231011,262.2414,263.0851,258.7612,261.5703,1538200,-0.0013907607905421226
20231012,262.5002,262.5002,255.2043,258.4832,1910500,-0.011802287561682334
20231013,259.3268,262.6345,255.118,256.8821,1918300,-0.006194114363488157
20231016,260.8896,262.6632,258.4544,259.6145,1678600,0.01063675347299764
20231017,257.4957,264.1876,257.4957,261.3977,2110100,0.006868775968911445
20231018,257.4189,257.8983,248.0713,248.5219,4257100,-0.04925742632053309
20231019,247.266,249.2698,241.3698,242.4532,3850000,-0.024419337645244288
20231020,242.1834,244.2842,239.1478,240.15,3103500,-0.009499596334968219
20231023,238.637,242.4725,237.6059,238.3383,3193200,-0.007544062894554782
20231024,241.1618,242.5785,238.2708,240.4873,2304600,0.009016605081122675
20231025,240.7957,241.663,235.6207,236.0447,2542400,-0.01847318505023987
20231026,236.6133,237.7697,231.6792,233.6259,3859200,-0.010247374401609943
20231027,234.2233,235.0617,229.2218,229.8964,3229900,-0.015963458724353674
20231030,232.19,234.7534,230.4939,233.3657,4478300,0.01509057517709822
20231031,219.3826,222.1677,215.6339,217.8407,12093300,-0.06652620935523634
20231101,216.9348,224.201,215.7881,223.4108,4932800,0.025569453384989727
20231102,227.2366,230.889,224.4227,230.4361,7749900,0.03144551939869333
20231103,232.7393,235.3701,229.5302,232.0069,3929500,0.006816644680409434
20231106,232.7393,234.098,227.7763,229.6266,2891500,-0.010259653496309862
20231107,226.0609,228.5279,225.0876,226.3886,4074000,-0.01410111871998354
20231108,227.4293,229.1543,225.9356,226.2922,2532500,-0.0004256365726893474
20231109,228.8171,230.5903,225.3286,225.6466,2708800,-0.00285314794333702
20231110,226.7933,231.4287,226.0995,230.9757,2525200,0.023617300356174598
20231113,230.2048,234.4739,230.2048,232.8934,3035700,0.00830271070159827
20231114,237.789,240.4873,235.8038,238.8587,3441800,0.02561347266460734
20231115,240.4584,243.7445,239.5718,241.9713,3739900,0.013031434265877717
20231116,241.4028,243.7349,237.6444,239.196,2625000,-0.01146985215445262
20231117,241.0077,245.0262,240.921,243.8795,2792500,0.01958025372121086
20231120,243.4362,243.7156,239.6296,241.3546,2661400,-0.010352886853656318
20231121,240.3813,240.7764,239.302,240.3524,1765500,-0.004152574605106207
20231122,233.0573,238.637,233.0284,237.0759,3593700,-0.013632150824293476
20231124,237.789,239.8609,237.7408,238.3768,982200,0.005487609161174856
20231127,237.9914,239.2056,237.3746,238.4057,1743300,0.00012123722912371626
20231128,238.743,239.8319,237.0758,238.5117,2149900,0.00044450395342909843
20231129,240.6126,242.4436,239.2923,240.3909,2224700,0.00787897053714004
20231130,241.9232,242.3665,238.8394,241.6148,3210500,0.005091130906815122
20231201,242.7616,248.0907,241.8942,247.4354,3731500,0.02409061195428941
20231204,244.3613,246.2501,243.2531,245.4985,3028700,-0.007828228650976432
20231205,244.5637,247.8595,244.5637,245.9225,2682200,0.001727082009575831
20231206,247.474,251.5311,246.2887,246.6741,3632600,0.0030565670276196943
20231207,247.8691,249.9603,246.52,248.0619,2162500,0.0056257452352574955
20231208,248.0329,252.1382,247.6667,250.0759,3258200,0.008119280688137609
20231211,250.4036,252.7164,250.0759,251.4444,2898300,0.00547203159782339
20231212,250.5481,252.9574,249.7097,251.9359,2375700,0.0019546494623530197
20231213,251.9069,258.4889,249.8639,258.2383,3708300,0.025016249902791277
20231214,262.5556,275.0931,260.7246,274.8137,6464100,0.06418612060524076
20231215,269.9278,276.4327,269.8122,275.363,7321200,0.001998979688607294
20231218,276.3266,278.3889,274.2355,275.334,2691700,-0.00010517455485059557
20231219,276.3845,282.3883,275.7678,282.3208,3659600,0.025375559207310605
20231220,281.3281,287.4379,279.0056,279.1888,3818400,-0.011093938356223632
20231221,279.3719,280.1718,276.1918,279.5357,3209300,0.0012428325344919777
20231222,279.767,282.1955,278.4179,279.8152,2833800,0.000999691369717004
20231226,281.0006,286.3008,280.432,284.8939,2019000,0.018150102563162962
20231227,284.8939,288.286,284.0266,287.2934,1876500,0.008422668889888296
20231228,286.3104,288.3342,285.2889,286.0984,2267400,-0.004159535909750045
20231229,286.0695,287.409,282.5521,284.9324,2300600,-0.004075681878570547
20240102,282.7737,285.8672,280.7693,282.0799,2433100,-0.010011070335186112
20240103,277.9168,278.4371,273.0309,273.9753,3043400,-0.028731626751531958
20240104,274.0813,277.753,273.4839,275.71,2995400,0.0063315207523773065
20240105,275.8545,280.432,275.1029,278.4372,2684800,0.00989167702699345
20240108,277.1169,282.0509,274.8811,281.6366,2369100,0.011490459598655356
20240109,278.7263,281.7426,277.5409,281.6751,1974500,0.0001369645258626484
20240110,281.5402,283.853,280.8752,282.6966,2048000,0.0036264626463622385
20240111,283.9012,284.8649,278.8997,281.4535,1941400,-0.004397520004257638
20240112,284.5469,285.0866,278.4371,279.8634,1955600,-0.005649450424698221
20240116,278.3889,279.6706,275.228,276.7989,3140100,-0.01095014439678954
20240117,268.7039,271.7781,266.8826,268.5112,3789200,-0.029941086939624495
20240118,269.8508,272.2696,267.5765,271.6625,2479300,0.011736218649042618
20240119,273.3277,276.9679,270.065,276.1934,3116000,0.016678355265323352
