datetime,open,high,low,close,volume,return
20230725,182.0044,183.47,181.1039,182.9048,441700,0.005000077972944883
20230726,182.56,183.5083,181.0656,181.65,428800,-0.0068607676861921485
20230727,182.7803,183.2784,179.8778,180.1556,462800,-0.008226475587780557
20230728,181.5063,181.6116,177.6363,178.4409,593500,-0.009517833084138227
20230731,178.3834,179.2743,177.2052,179.1977,1100500,0.004240867670203485
20230801,179.1977,180.7687,178.2973,179.4468,1056000,0.0013899983301968177
20230802,179.5042,192.6565,177.3489,188.7098,2036600,0.0516201946170578
20230803,187.3304,191.4878,185.1368,190.8939,920100,0.011573596410142661
20230804,190.3479,194.0071,189.2654,189.5432,721100,-0.007075620630543122
20230807,192.5415,195.0704,191.0472,194.3041,839400,0.025117649042984747
20230808,193.7772,194.4765,191.7368,194.1508,433800,-0.0007889955576887431
20230809,194.5532,194.7256,192.4553,193.1067,489600,-0.005377689876464475
20230810,193.4515,196.4977,193.0684,194.1317,588800,0.005307756980397427
20230811,193.7964,196.0666,193.7964,194.9171,463500,0.004046181711742758
20230814,195.4727,198.5381,195.147,197.925,514500,0.015431471048035439
20230815,197.4652,197.5897,195.9038,196.0666,523200,-0.009389330049549005
20230816,196.0666,197.5706,192.8959,193.0588,426200,-0.015341001330643533
20230817,193.9688,194.9746,191.823,191.8901,339400,-0.006053366269640037
20230818,188.0585,192.4649,188.0585,191.871,350500,-9.971603988956357e-05
20230821,192.2062,193.4803,191.3537,192.9438,350600,0.005591573901884805
20230822,193.6431,194.9842,193.4803,194.3424,593000,0.007248611223915846
20230823,194.5052,196.6318,193.9401,196.2103,473600,0.009611410549774435
20230824,197.1326,197.6225,193.2994,193.3667,360900,-0.014492832517772447
20230825,194.9518,196.5369,193.213,195.9797,300300,0.01351353697358948
20230828,196.5754,198.9195,196.095,198.7177,338100,0.013970787920765781
20230829,198.7177,200.5238,198.1989,199.3806,431300,0.003335671474637758
20230830,199.2269,200.3317,198.9483,199.9282,487600,0.0027465433640534442
20230831,200.9753,204.0591,200.9753,202.8487,784600,0.0146076006598439
20230901,204.1456,205.8556,203.7325,204.7989,486500,0.009614115958534342
20230905,205.0775,206.4512,204.1552,204.2801,619000,-0.0025331368256731324
20230906,203.6652,205.1255,201.6478,204.8949,548100,0.0030097029362772254
20230907,204.2705,206.1438,203.7421,204.5298,947600,-0.0017817256830562345
20230908,205.1255,207.2198,203.6076,204.3089,475300,-0.0010802690645854707
20230911,205.0775,205.3176,201.3212,202.9159,415500,-0.006818058927578696
20230912,201.7246,202.7622,200.0531,200.7255,474800,-0.010794464885240607
20230913,200.6391,201.3019,197.44,200.1395,877800,-0.002919477977116891
20230914,201.2539,201.9552,198.8618,201.5421,653000,0.0070081266548056576
20230915,201.619,201.7631,198.026,198.8618,1189700,-0.013299021483896611
20230918,198.7657,201.715,198.7657,200.4854,503500,0.008164137216434275
20230919,200.4854,200.7928,198.7561,200.4661,337500,-9.582154147402822e-05
20230920,200.2932,201.4364,199.5823,200.7832,610700,0.001581549472440047
20230921,199.3806,199.7744,195.4898,196.9789,437400,-0.018947485535425024
20230922,196.8636,198.8907,196.8636,197.6706,414000,0.0035116799592476156
