datetime,open,high,low,close,volume,return
20230829,103.2239,104.146,102.8021,103.528,1131500,0.0016133290787563315
20230830,103.3318,104.2421,103.0865,103.7242,1167400,0.0018948946249046639
20230831,103.9302,104.0675,101.7917,102.1743,2035500,-0.01494211285593372
20230901,103.6163,105.3623,103.1945,105.2446,1338800,0.030049902219129176
20230905,104.5187,104.6953,103.1464,104.0283,1433200,-0.011557400912123428
20230906,104.3029,105.7351,103.9694,104.607,1337800,0.005563470530745684
20230907,105.8038,108.8398,105.1367,106.4708,1951100,0.01781686643615199
20230908,106.1667,107.5694,106.1667,106.5689,1428100,0.0009211526970211992
20230911,106.7258,108.2924,106.5787,107.8834,1820700,0.012334520506442015
20230912,107.4517,107.9962,106.0882,106.4316,1557100,-0.013457103705126983
20230913,106.7062,107.9912,106.4414,107.1869,1894600,0.007096817342436168
20230914,107.6675,110.473,107.437,110.3161,2308300,0.029193692821918082
20230915,110.3161,110.5319,107.7068,107.8343,4287700,-0.02249686655974159
20230918,108.3248,110.1101,108.3051,108.6289,1358500,0.007368301967368707
20230919,108.9722,109.2567,108.1972,108.4327,1972100,-0.00180598658496256
20230920,108.8152,109.0605,107.8147,108.0305,924500,-0.003709132680297267
20230921,107.54,108.5308,107.4223,107.8441,1443800,-0.0017252397655300733
20230922,107.3733,108.6289,106.5444,108.2561,1210500,0.003820353267717236
20230925,107.6283,110.7673,107.4076,110.0708,2115200,0.01676335424667985
20230926,109.5313,109.5853,105.8724,106.4218,2309700,-0.033152090096453146
20230927,106.9024,109.1684,106.9024,108.6387,2819500,0.020831300618191495
20230928,108.6583,108.8643,106.7602,107.2359,1550700,-0.01291198201171151
20230929,107.9422,108.5994,106.5689,107.0005,2867500,-0.0021952062330623523
20231002,106.2354,106.2354,100.801,102.7335,2892500,-0.039878937069351306
20231003,101.2424,102.9198,100.4528,102.8904,2557000,0.0015276099721368563
20231004,102.6452,104.5678,102.2381,104.1362,1973900,0.012107919821439106
20231005,104.9406,106.4316,104.5776,105.8234,1589200,0.016202032377103714
20231006,104.5187,108.4719,103.1258,108.0697,2095800,0.021227161215138457
20231009,108.0697,109.3616,107.8735,109.2566,1258400,0.010982910945812163
20231010,108.8447,111.3264,108.8447,110.8458,1464400,0.014544826583062331
20231011,111.7384,112.9823,111.1499,112.8763,1353300,0.0183186801145534
20231012,112.7194,113.9455,112.2779,113.5139,1299700,0.005648694106167751
20231013,114.5439,115.1521,110.836,111.5226,1699400,-0.01754223007486777
20231016,112.582,114.8872,112.4251,114.6027,1701700,0.02761875599196406
20231017,113.8376,115.7406,113.5041,114.9167,1214600,0.00273919326477734
20231018,115.0932,116.3831,113.6022,113.8572,1050700,-0.0092190750757003
20231019,113.7886,114.3869,111.9346,112.1112,981000,-0.015335548721291614
20231020,111.9346,112.6017,109.7864,109.9629,1654400,-0.019161685937644224
20231023,109.6981,110.8752,108.2944,109.9727,950800,8.915523987895746e-05
20231024,111.1008,113.1019,111.1008,112.0916,1930900,0.01926677635830476
20231025,112.0523,112.0916,109.5411,109.8943,1575000,-0.01960262223179654
20231026,109.8648,110.8752,109.0212,110.5711,1652700,0.006159026530155209
20231027,110.8458,111.1989,107.798,108.6681,1128700,-0.01721084923890015
20231030,109.7275,111.0714,109.3793,110.8752,1271600,0.02031053943512151
20231031,110.9635,111.346,109.0507,110.7673,1942000,-0.000973257841627384
20231101,111.4245,113.1804,110.679,112.6605,2751300,0.017091722348536287
20231102,112.7194,115.6524,112.1995,114.9559,1894600,0.020374511838715303
20231103,116.3881,116.4077,114.6224,114.8382,1853200,-0.0010240584718140822
20231106,116.7216,123.2291,115.8093,122.3522,2530800,0.0654310713032209
20231107,122.0677,122.5915,116.3979,117.5848,2271500,-0.03896422397736421
20231108,118.1243,119.1641,116.6971,118.8698,1730200,0.010928508977538609
20231109,119.272,121.9843,118.2224,118.3303,1603200,-0.004538748613170829
20231110,119.1347,120.3854,119.0621,119.4486,1219700,0.009450289139956158
20231113,119.066,119.9057,118.605,119.3995,891600,-0.00041056792120675034
20231114,121.6851,124.2944,121.0279,124.108,1433300,0.039434798894359524
20231115,124.1669,124.8143,119.3701,119.6644,1982200,-0.03580444586080134
20231116,120.9347,121.7508,119.4697,119.627,1474500,-0.0003123435572558453
20231117,120.1481,121.446,119.5582,119.6467,1487900,0.00016441585527537939
20231120,120.3939,120.7872,119.4402,120.2268,1041600,0.004848386378275116
20231121,120.8364,121.1117,119.804,120.4529,984700,0.00188096925029968
20231122,120.8364,121.7606,119.9269,121.1805,1376700,0.00604028146429636
20231124,121.0035,122.2129,120.9839,121.7803,532500,0.0049492645452444695
20231127,121.8491,123.2747,121.2985,122.9994,1073200,0.010011288699065535
20231128,122.8814,124.3759,121.6819,122.3603,2003000,-0.005195889957815503
20231129,121.4755,121.8589,117.7491,118.5553,2078800,-0.03109668067380411
20231130,118.5652,119.8138,118.4914,119.0076,2650000,0.003814847336927052
20231201,118.5946,118.9093,117.6409,117.8671,1454900,-0.009583830307467345
20231204,117.0019,117.5426,116.0678,116.9232,1946900,-0.008007860149001789
20231205,116.7118,116.9429,113.9392,116.3234,1805900,-0.005129472677210756
20231206,117.3361,117.6606,110.3357,110.7388,2629800,-0.04800952281883619
20231207,111.3582,111.5352,107.6122,108.6741,3497000,-0.018645093403906077
20231208,108.1431,109.7359,107.8088,109.3426,2627300,0.006152078947900597
20231211,109.6769,114.3472,108.8117,114.1997,2582900,0.04442057670659971
20231212,114.2095,114.4455,111.9383,112.5676,1846200,-0.014291923563692688
20231213,112.6659,114.7896,111.6237,114.475,1731100,0.01694491366235984
20231214,114.6815,115.8318,113.4328,113.6589,2456400,-0.007129008888684507
20231215,113.7278,118.8405,113.6688,116.7561,6046800,0.027249264524397132
20231218,117.5623,119.4992,116.9134,117.3558,2019800,0.005136881235073165
20231219,117.7589,119.0174,117.2526,118.7815,1012700,0.0121481120117779
20231220,117.8179,118.108,115.0354,115.0453,1324300,-0.0314543895262126
20231221,115.5172,116.4414,114.8486,116.3234,904600,0.011110195207137075
20231222,113.069,115.999,112.1055,113.3935,1188400,-0.025187997491399106
20231226,113.6491,115.8613,113.6491,115.5959,740700,0.019422432421648983
20231227,115.3107,115.7827,114.9175,115.4484,541300,-0.001275791295856088
20231228,116.7167,116.7855,114.9863,115.1436,559700,-0.002640157636264906
20231229,114.77,115.3009,113.9834,114.9273,849900,-0.0018785987370876223
20240102,114.4455,115.2616,113.0395,113.3148,1362800,-0.014030240017291806
