datetime,open,high,low,close,volume,return
20230725,75.5268,76.003,74.8079,75.7043,1934000,0.006579529325264399
20230726,75.3961,76.862,75.1721,76.2365,2285500,0.007030238116449761
20230727,76.4139,77.1328,75.9844,76.0777,2125400,-0.00208216849752918
20230728,76.6099,76.666,74.9106,75.8443,2051600,-0.003068395526081402
20230731,75.3308,76.7127,75.3308,76.638,1949400,0.01046437282769741
20230801,76.6473,77.1328,75.5175,75.891,2380100,-0.009746750925402226
20230802,75.2934,76.6753,74.145,75.3028,2128300,-0.007750836819747198
20230803,78.6547,78.7108,73.9302,75.8443,2852000,0.007191326113199725
20230804,76.1524,78.6174,75.807,75.8536,1925600,0.00012312565335048653
20230807,75.6296,75.8163,74.4718,75.1534,1891800,-0.009231879020201395
20230808,74.089,74.6772,73.2113,74.0049,2588300,-0.015281048620669258
20230809,75.8723,77.693,75.4521,77.2729,2381600,0.04415804740135432
20230810,77.3102,77.5063,74.5558,74.6585,2499000,-0.03383260066735727
20230811,74.6585,75.3121,74.313,74.5932,2459400,-0.0008754664104272392
20230814,73.1949,73.6829,72.097,73.2512,2209400,-0.01798973803409898
20230815,72.5005,74.3304,72.1909,72.3973,2026100,-0.011657621083726366
20230816,72.2566,73.2512,71.9563,72.0126,1655100,-0.005314323772348972
20230817,72.463,73.9551,72.463,73.0542,1733300,0.014464503072467272
20230818,72.1346,74.687,72.0032,74.1803,2636900,0.015414356788084893
20230821,74.4712,74.9967,73.9644,74.2553,1395000,0.0010118321000494035
20230822,74.3116,74.7808,71.9844,72.0219,1715700,-0.030077074468331078
20230823,71.7029,71.7029,69.4977,69.8167,2258000,-0.030618764010105437
20230824,69.3569,69.4695,67.9399,69.0285,2350400,-0.011290547128199324
20230825,69.4226,69.6478,68.6531,69.0472,1629100,0.00027200288957485164
20230828,69.1692,71.7498,69.1129,70.6894,1236600,0.02378356004574056
20230829,70.7551,71.7686,70.5674,71.7498,1129700,0.015000749022924476
20230830,71.5621,72.1908,70.483,72.0407,1154500,0.004054169583743494
20230831,72.0876,73.073,71.2243,72.3222,1948700,0.003908067328220355
20230901,73.1949,74.5462,73.1949,74.3304,1387600,0.027766885762326554
20230905,77.0611,79.2382,76.8922,77.474,3300200,0.04229266517733654
20230906,77.1268,77.352,75.0811,76.0383,2153500,-0.018532051782641612
20230907,75.738,77.0236,75.1187,75.8694,2941300,-0.0022214440590418993
20230908,76.5544,78.6939,76.3198,78.5813,3123200,0.035745222161327694
20230911,79.013,79.9983,76.6858,76.7796,2765900,-0.022927989080966826
20230912,76.6858,77.8775,76.0758,76.6482,1755400,-0.0017111072622790768
20230913,77.1925,77.1925,75.4659,75.8882,1094400,-0.009916648077990642
20230914,76.8735,79.0787,76.2541,78.7878,2269700,0.03820922723783249
20230915,78.816,79.013,76.7327,77.0424,4109500,-0.022153174746428528
20230918,77.7743,77.8682,75.4283,76.2541,1345800,-0.010231628745172694
20230919,76.5356,77.9995,76.4981,77.7931,2287700,0.020182037041539314
20230920,78.1497,80.6552,77.9808,78.4969,3978600,0.00904722740973507
20230921,78.3374,79.2758,77.8869,78.3843,2089100,-0.001434577437245954
20230922,78.647,79.7919,78.3937,79.0224,2609700,0.008140658969295611
20230925,78.9661,80.9461,78.7972,80.6458,1932900,0.020544196394133296
20230926,80.552,82.4851,79.4916,79.8857,2807000,-0.00942546221007512
20230927,80.4112,80.4112,77.9245,78.3092,1760900,-0.01973444382695877
20230928,78.4593,80.8335,78.1684,80.674,2150800,0.030197744692592066
20230929,80.918,81.9877,80.1766,80.4581,2231500,-0.0026753109343227166
20231002,80.2235,80.2235,77.962,78.5532,2132800,-0.023676135230592532
20231003,77.6617,77.9995,76.4981,77.2207,2162200,-0.016963469266350173
20231004,77.3427,78.4781,76.0101,76.9673,2428900,-0.003281046117129094
20231005,76.4699,77.9995,76.0101,76.0571,1877900,-0.011826323236380332
20231006,75.616,76.8922,74.9404,75.9257,1614300,-0.001727363290280004
20231009,77.1081,80.8241,77.1081,80.7303,1998800,0.06328014694127071
20231010,80.8429,82.41,79.4634,80.1485,2905000,-0.00720683821296042
20231011,79.942,80.1297,78.1403,78.8253,1831800,-0.0165083659845644
20231012,79.2194,79.9795,78.5626,79.8012,1940000,0.01238052051942562
20231013,80.4394,81.1432,78.7221,79.3415,1423800,-0.005761537511372206
20231016,79.9983,79.9983,78.5063,79.1256,1874200,-0.002720530059106996
20231017,79.4259,81.5748,79.257,81.2182,1871800,0.026447013793646112
20231018,80.8053,81.4153,78.4969,79.5197,2507600,-0.02091290184584227
20231019,79.2664,81.4435,78.769,80.4018,2435800,0.011092784854296989
20231020,79.6042,79.698,77.3614,77.8682,2227300,-0.03151266664129915
20231023,76.7233,77.5116,75.3157,75.3251,1708800,-0.03265844203624513
20231024,76.2541,76.348,75.1562,75.4096,1531000,0.001121238381964984
20231025,75.3063,76.3574,75.1656,75.8975,1167800,0.0064710106613845575
20231026,76.0571,76.4043,75.0436,75.3251,1132100,-0.007542187698845626
20231027,75.1093,75.2313,73.7674,74.9591,1676100,-0.004858598368967848
20231030,75.5409,77.5491,75.5409,76.226,1798100,0.016900180487759764
20231031,75.6817,76.4136,74.8184,74.8653,1829300,-0.01785040828386253
20231101,75.2313,75.7099,74.0395,74.3773,1978100,-0.006517647512015778
20231102,73.636,75.6629,72.1158,75.372,2820100,0.013373458667216731
20231103,75.0717,76.8172,74.7902,76.5263,2069800,0.01531374827136145
20231106,76.0852,76.0852,74.2929,74.3116,2119600,-0.028939282777869613
20231107,74.1333,74.4806,73.148,73.6454,1894700,-0.00896575266871491
20231108,74.6025,76.2353,74.3773,75.0061,1646500,0.01847599987858506
20231109,75.8975,76.8547,75.0154,75.3345,1579900,0.004378715787595633
20231110,75.5034,75.5785,73.6454,74.6307,2044400,-0.009342186401972596
