datetime,open,high,low,close,volume,return
20230829,91.0804,92.1704,90.5209,92.0643,1004500,0.010588816306561055
20230830,92.0064,92.7685,92.0064,92.6142,964400,0.00597229448049208
20230831,92.701,93.6174,92.4502,93.3473,2718900,0.007915728995886218
20230901,93.4823,93.8778,92.6334,92.8553,1481100,-0.00527019883268065
20230905,92.5563,92.9035,91.4277,91.8039,1144100,-0.011323478542371701
20230906,91.9003,92.3923,90.5981,90.791,1511700,-0.011032904329499549
20230907,91.2926,93.7621,91.2926,93.1061,1629000,0.025499411478352663
20230908,92.8456,93.3762,92.0836,92.2862,971800,-0.008806660720882098
20230911,93.5016,93.5016,92.4309,92.9132,778800,0.0067943212585908075
20230912,93.0675,93.1929,91.6592,91.9293,747300,-0.010589395118339895
20230913,91.9486,92.4598,91.5916,92.3151,1134800,0.004196988137539215
20230914,92.3055,92.4598,91.582,92.2186,1242100,-0.001044965068381365
20230915,92.1897,93.1254,91.6977,91.8521,2241300,-0.00397492174005698
20230918,92.2572,92.2572,91.5241,91.7846,852500,-0.0007350134177949164
20230919,91.6013,92.2862,90.6077,91.4855,989100,-0.0032579999296781237
20230920,91.8232,92.3055,91.4373,91.746,841100,0.0028470063693417647
20230921,91.7363,92.209,91.4373,91.6592,1133800,-0.0009465020131254054
20230922,91.5241,92.0933,91.119,91.3408,837700,-0.0034727964968055414
20230925,91.254,91.3794,90.2026,90.5209,685500,-0.008976859526636072
20230926,90.5884,90.5884,89.7492,89.7878,1047300,-0.008098945835708027
20230927,89.7781,90.1254,88.3601,88.717,1099500,-0.011925144931513865
20230928,89.0161,89.1125,88.3215,88.6399,1503100,-0.0008697731804571118
20230929,89.0161,89.2669,88.09,88.3891,1158500,-0.0028294387988505587
20231002,88.2347,88.7363,87.955,88.4084,1191300,0.0002182069534131248
20231003,88.3119,88.8617,87.5402,87.7524,1174600,-0.007419489016953995
20231004,87.8971,88.8424,87.3183,88.7942,1380500,0.011871968105399144
20231005,88.3312,88.6688,86.9421,87.0386,1503900,-0.019771732176339207
20231006,86.8842,86.9325,82.6978,82.9486,4247000,-0.046991047412581755
20231009,82.881,83.8264,82.1286,83.5756,2178400,0.007558888776574291
20231010,84.2315,85.3408,83.7588,85.0322,1989600,0.01742849800742441
20231011,84.9839,85.2058,83.6431,84.5498,1687600,-0.005672149439397645
20231012,84.5402,84.5884,82.717,83.045,1577900,-0.017798225537433487
20231013,83.2476,84.6174,83.1029,84.5981,1341700,0.018701456718745568
20231016,85.1768,86.508,84.5788,85.7942,1420800,0.01413914332561017
20231017,85.5916,86.1801,85.0032,85.9678,1102600,0.0020238825072131927
20231018,86.4887,87.627,86.2283,87.0579,1443500,0.012679560847523863
20231019,87.3376,87.5691,86.0064,86.4309,1082000,-0.007202180380953216
20231020,86.7203,87.3569,86.2476,86.9325,1759600,0.005803683699061812
20231023,87.4341,88.4662,86.9421,87.8296,2175000,0.010319441586075229
20231024,87.8103,88.881,87.6752,88.3408,1850700,0.0058209699288542804
20231025,88.1286,89.4598,87.8199,88.9775,1729600,0.0072066610185153035
20231026,88.9389,89.836,88.5627,88.9582,1509600,-0.00021676394749103878
20231027,88.5337,89.2669,86.6913,86.9228,1274500,-0.022880158436655917
20231030,87.5209,87.8971,86.5563,87.5498,1215000,0.007213634652480039
20231031,87.9067,88.0804,87.164,87.7235,1842900,0.001983210421867554
20231101,88.1383,88.1383,86.8457,87.0772,1852600,-0.007367396900929024
20231102,87.6656,88.717,87.299,88.7074,2378400,0.018721360368269435
20231103,82.2829,83.7878,79.3408,83.7299,4526200,-0.056111376106105615
20231106,83.7396,84.5884,83.1801,83.8071,2165500,0.0009218522259126782
20231107,83.6045,85.7653,83.3537,85.5723,2443400,0.02106345326948844
20231108,85.8328,86.2572,85.2444,85.4855,2049300,-0.0010145203277633907
20231109,85.746,86.701,85.3312,86.4791,1848300,0.011622650696904824
20231110,86.6045,86.7492,85.9485,86.5466,1372600,0.0007808565831741721
20231113,86.344,87.9357,85.9003,87.7138,1580500,0.013486263336424331
20231114,88.1521,89.0326,87.8038,88.8004,1736100,0.012387506985624297
20231115,88.8487,89.6615,88.5391,88.6746,1726900,-0.0014165870939018
20231116,88.6746,90.1356,88.6649,89.8646,1539600,0.013420657444870532
20231117,90.0582,90.0582,89.0326,89.4002,1773600,-0.005167870686327292
20231120,89.0519,89.2164,88.2392,88.4811,1709100,-0.010281392485390728
20231121,88.8391,90.3291,88.3359,89.8066,1295500,0.014980781886134498
20231122,90.213,91.0741,90.213,91.0451,1270300,0.013790264825891851
20231124,90.9676,91.761,90.3968,91.7514,695700,0.007757684969242451
20231127,91.403,92.1867,91.3063,92.1577,1231800,0.004428808735183143
20231128,92.3802,92.7866,91.7997,92.0126,1837600,-0.0015748436953352263
20231129,92.1093,92.3512,91.432,91.5869,1602300,-0.004626678786902927
20231130,91.4127,93.5413,90.6484,93.4929,3966400,0.020811410947520148
20231201,93.4058,93.7348,91.9836,92.2738,1490500,-0.013039339164319652
20231204,91.6062,92.8253,91.3546,92.0126,1308600,-0.002831283671257845
20231205,91.7804,91.8384,90.1356,90.4549,1337600,-0.01692930449075314
20231206,90.1065,91.0741,89.9033,90.4935,1630300,0.0004277123529417004
20231207,90.571,91.2676,89.9614,91.0934,915100,0.0066290256357508515
20231208,90.8612,90.8612,89.555,89.9227,963100,-0.01285197622271328
20231211,90.2517,90.5226,89.6228,90.3291,971900,0.004519126704896292
20231212,90.6,91.3934,90.242,91.3934,1049100,0.011782311785217381
20231213,90.271,92.0319,88.5391,91.8868,1620400,0.005399065539927417
20231214,91.5385,91.6933,88.3359,88.394,2178900,-0.03801196733319567
20231215,87.7457,88.7616,87.3297,88.5294,2904600,0.0015322832479054416
20231218,89.3035,90.0291,88.4714,89.913,951000,0.015628335403500726
20231219,89.826,90.3388,89.3422,89.7099,1257100,-0.002259467438399665
20231220,89.4293,90.1065,88.423,88.452,1153200,-0.014020895611241313
20231221,88.8874,89.2358,87.7457,88.81,1166900,0.004047324097997018
20231222,89.0326,89.5647,88.5004,88.9165,813700,0.0011984871108299266
20231226,89.0132,89.5744,88.6069,89.2841,778600,0.004134811908917291
20231227,89.139,89.9808,88.8488,89.9614,828900,0.007585803863723539
20231228,90.0582,91.1224,89.7872,90.9386,1046600,0.010862302200506324
20231229,90.9483,91.5675,90.9193,91.4901,1196600,0.006064681377288661
20240102,91.3063,92.6124,91.2095,91.4998,1419700,0.00010540542185810686
20240103,91.9642,91.9642,90.5516,90.8999,1230200,-0.006555793072608562
20240104,90.987,91.7804,90.658,91.4514,1162600,0.006067095261688138
20240105,91.4804,91.4804,90.2904,90.8225,1056400,-0.006876860965874032
20240108,91.1224,91.3353,90.4161,91.3063,1244600,0.005326568040020518
20240109,91.2676,92.893,90.8612,92.864,1372900,0.01706059235958257
20240110,92.806,93.551,92.7092,93.3478,1165500,0.005209305092158001
20240111,93.4155,94.5475,92.9608,94.3734,1324100,0.0109867530616381
20240112,94.6926,94.8378,93.8122,94.4798,984800,0.0011276743359946995
20240116,94.4991,95.0313,93.9864,94.9732,1408800,0.0052228522193165094
20240117,95.0797,96.202,94.8668,95.4957,1369400,0.005501138184526466
20240118,94.8765,95.5054,94.3444,94.654,1262100,-0.008814464193081739
20240119,94.8571,94.8571,93.58,93.7832,1430800,-0.00919978617632522
20240122,93.5606,94.8765,93.4155,94.4508,1260700,0.007118656835834569
20240123,94.8184,96.6761,94.8184,96.2794,1295800,0.01936065148436339
20240124,95.457,95.8343,93.9186,93.9476,1194200,-0.024218643889703073
20240125,94.2572,94.9152,93.9186,94.8861,1134300,0.009989600375380547
20240126,95.0119,95.9214,94.7991,95.9021,1201000,0.010706753128608915
20240129,96.1343,96.5987,95.8924,96.3665,1814300,0.004842611930110818
20240130,96.7535,97.4985,96.1053,97.2373,1504400,0.009036138855135878
20240131,97.5178,97.721,96.1439,96.6084,1850700,-0.006467749170405601
20240201,96.6568,98.4854,96.0569,98.4757,2111100,0.01932912784218721
20240202,98.4564,99.8593,95.2538,96.144,2343800,-0.023678493491606223
20240205,96.7535,97.6533,96.0375,96.9277,2771300,0.008151387490387352
20240206,97.1405,98.0113,96.7051,96.9083,1931700,-0.00019953555050522542
20240207,97.4695,98.4467,96.7245,97.4792,1981800,0.005890504526542717
20240208,97.2082,97.721,96.5116,96.6954,1385100,-0.00803981344608573
20240209,96.5987,96.8309,94.9635,95.6215,1377200,-0.011106853948843254
20240212,95.3893,95.5925,94.4314,95.3796,1370100,-0.0025294222262506327
20240213,95.6215,96.2117,94.1702,94.7023,1308200,-0.007100933920831665
20240214,94.7547,94.9682,93.241,94.124,1372600,-0.006106669377841767
20240215,94.5607,95.1623,94.0852,94.5024,883700,0.004020581629876396
20240216,94.9876,95.5698,93.9784,94.8809,1321400,0.0040045620182354025
20240220,95.4243,96.3267,94.9488,95.1429,1019700,0.0027612878698086707
20240221,95.269,96.2491,95.1914,95.6862,707400,0.005711208296399706
20240222,95.1137,96.7731,94.1531,96.6857,1032400,0.010445241141055828
20240223,97.4135,97.7434,96.4043,97.4232,1164200,0.007627523221011234
20240226,97.4038,97.8987,97.2,97.4426,838700,0.00019922546402151298
20240227,97.0836,97.724,96.2102,96.9283,891700,-0.005277875126174503
20240228,96.938,97.5008,96.6372,97.1515,767800,0.0023025541877119693
20240229,97.1321,97.6658,96.5887,97.1515,1597700,0.0
20240301,97.2485,97.365,96.1811,97.3067,956200,0.001598025418883875
20240304,96.7439,98.2189,96.5111,97.9472,1056900,0.006581602326890312
20240305,98.083,99.3057,97.6076,98.8884,1575800,0.009609731384597087
20240306,98.607,99.9849,98.607,99.4027,1050900,0.005200708590662684
20240307,99.5774,101.1493,99.1116,101.0329,1367600,0.01639991121284723
20240308,100.6642,101.6539,100.0528,101.0329,954100,0.0
20240311,101.6636,102.1779,100.3731,100.7709,1318500,-0.002593300326182546
20240312,100.538,101.9062,100.3148,101.4016,897600,0.006259045960919973
20240313,101.8868,102.5369,100.9747,102.2943,1122500,0.00880383395754425
20240314,101.8771,102.2555,100.8291,101.2852,1037000,-0.009865284896805382
20240315,99.8685,101.2464,99.82,101.2464,1892100,-0.0003832580124878415
20240318,101.0135,102.1488,101.0135,101.1687,907200,-0.0007667345562705208
20240319,101.7607,101.9644,101.0329,101.751,1255600,0.0057548839630572335
20240320,101.7413,101.7704,99.8297,99.9558,1190600,-0.017642518940778507
20240321,99.7423,101.1008,99.2474,100.8,1047200,0.008445657138530516
20240322,101.0426,101.7121,100.538,101.4987,762800,0.006931168482608774
20240325,101.5957,101.6927,99.8491,99.9364,1011200,-0.015392036145314592
20240326,100.4216,100.6739,99.752,99.7908,1251900,-0.0014565386323988072
20240327,100.441,101.3725,100.2275,101.1202,981300,0.013321779625718566
20240328,101.5472,101.5957,100.8097,101.2172,1731300,0.0009594817576239478
20240401,100.8388,102.0324,100.4604,101.9062,1505300,0.006806717577413579
20240402,101.8868,102.3332,100.9941,101.5375,1477100,-0.003618239057276873
20240403,101.3919,101.7606,99.8782,100.1013,1786900,-0.014143883548238811
20240404,100.5283,100.9359,99.0243,99.0728,1469300,-0.010275230700330873
20240405,98.8981,99.4221,98.4226,98.9757,1075000,-0.0009795414452302698
20240408,98.6555,99.1116,98.3935,98.4809,1092600,-0.00499994295822348
20240409,98.772,98.9952,97.6755,98.869,819200,0.003941328550387535
20240410,98.5391,99.8393,98.51,99.5385,1170000,0.0067719174047853326
20240411,100.0722,100.0722,98.5003,98.5682,1242100,-0.009748506827311987
20240412,98.2383,99.131,97.7143,98.083,1164600,-0.004922083078873651
20240415,98.772,99.3348,98.2868,98.5682,1218500,0.004946429817378473
