datetime,open,high,low,close,volume,return
20230829,432.0,452.25,432.0,451.1,1636400,0.04421297709147143
20230830,451.1,451.69,438.49,439.51,1510600,-0.0256927425871748
20230831,439.5,441.97,435.88,438.12,936900,-0.0031626461685793084
20230901,423.2,433.26,420.0,422.32,1580800,-0.036063151577326646
20230905,422.32,422.32,408.32,408.99,1905600,-0.031563783052338756
20230906,408.04,423.31,407.57,419.98,1144800,0.026871124023488235
20230907,419.49,422.27,413.91,416.98,916400,-0.007143197108249177
20230908,416.47,423.17,416.39,422.42,661600,0.01304619477691138
20230911,424.37,439.54,423.82,435.84,2010300,0.03176928763687026
20230912,434.97,441.06,434.83,436.61,1026700,0.0017666781849798863
20230913,438.41,439.58,427.64,439.4,930800,0.006390162017653633
20230914,442.01,450.2,436.77,449.37,1016800,0.022690034954920613
20230915,449.66,452.42,445.31,447.95,2066300,-0.0031599415305553213
20230918,451.45,456.9,450.17,455.73,1969900,0.017368006624143506
20230919,450.01,457.66,444.81,449.68,949700,-0.013275444154869143
20230920,450.12,454.84,448.16,448.17,731600,-0.0033578973328608486
20230921,449.15,451.99,446.29,446.82,1004400,-0.0030122633444178426
20230922,454.22,456.92,444.73,445.21,704400,-0.0036032761352433607
20230925,441.77,444.41,435.58,440.02,1006900,-0.011657425801347765
20230926,429.9,437.66,426.01,428.72,983600,-0.025680623778702172
20230927,428.73,435.17,428.19,433.42,1062600,0.010962894648369081
20230928,433.42,445.4,432.17,444.48,796700,0.025517966904954337
20230929,446.6,447.42,437.05,439.82,921400,-0.01048416924704565
20231002,440.13,446.03,435.0,438.5,976300,-0.0030012443777840403
20231003,435.26,440.41,430.4,432.17,865600,-0.014435545204710687
20231004,432.52,436.7,429.12,432.84,783800,0.0015502762555001937
20231005,433.29,434.58,428.34,431.78,678600,-0.002448936252569145
20231006,428.69,435.65,425.43,431.16,1453900,-0.001435905134421045
20231009,429.17,444.19,429.17,442.42,623100,0.0261156175665338
20231010,441.6,445.68,438.63,444.72,727100,0.005198652238060264
20231011,446.19,450.1,444.65,449.82,650600,0.011467903601179996
20231012,450.87,451.91,445.38,447.68,706300,-0.004757491026616378
20231013,449.76,451.9,445.34,449.27,752600,0.0035516359093628047
20231016,454.73,458.3,453.93,454.45,686400,0.01152986693976965
20231017,452.53,457.72,447.95,452.68,1058700,-0.0038948607849165207
20231018,453.3,454.87,448.02,448.32,557300,-0.009631495586519545
20231019,449.69,449.69,435.82,435.87,808500,-0.027770369387122962
20231020,436.99,439.11,429.11,429.65,997300,-0.01427031291527836
20231023,431.11,435.5,421.48,430.27,785500,0.0014430236843827604
20231024,431.9,435.02,428.62,431.18,875100,0.002114959642422143
20231025,426.65,430.57,420.9,423.73,994700,-0.017278124718219545
20231026,404.71,416.6,397.73,411.71,1622600,-0.028367165930189064
20231027,373.01,395.54,369.07,372.0,3721200,-0.0964513669312077
20231030,370.36,394.6,370.36,389.8,2161000,0.04784942955099125
20231031,391.28,405.47,390.34,402.8,1456200,0.033350437165494684
