datetime,open,high,low,close,volume,return
20230829,266.5663,268.1909,263.5249,266.0185,1117400,0.00031994106107280373
20230830,267.2463,268.767,266.3679,266.9913,744800,0.0036571516938432858
20230831,266.9723,267.2935,260.814,260.9368,1747500,-0.02267701112796172
20230901,262.4009,264.5828,260.8519,261.3241,1118600,0.001484496120404577
20230905,262.2823,266.5896,261.9977,264.4644,1236300,0.012016953267572683
20230906,263.0887,263.8952,260.8117,261.5043,1004100,-0.01119285998072228
20230907,262.548,268.3259,261.7889,266.8743,1029500,0.020534780476635817
20230908,266.0963,269.6257,265.0622,267.0546,1065200,0.0006755909934617055
20230911,267.5574,272.5478,266.5138,270.2234,1191800,0.011865941159504123
20230912,268.8192,273.6104,266.5991,271.8457,970900,0.006003604195340184
20230913,272.6807,273.0697,268.0223,270.5934,1177900,-0.004606615677132053
20230914,272.8419,274.0278,267.3676,268.7907,892700,-0.006662038167971618
20230915,268.5726,272.5953,267.6523,268.7054,1595000,-0.0003174482429364467
20230918,270.3941,271.5326,268.3259,270.7167,626300,0.00748511715981226
20230919,270.0716,271.9406,269.0279,270.0526,735700,-0.002453092123692824
20230920,271.1626,274.0943,269.7205,272.6047,768000,0.009450356669684634
20230921,272.5763,277.4908,271.4283,275.9348,1696000,0.01221600027136227
20230922,274.5402,277.2157,273.9994,274.6066,1170900,-0.004813625732746907
20230925,274.6066,279.2744,274.3694,279.2555,806600,0.01692918080497119
20230926,278.6484,278.7527,273.212,273.6864,1051400,-0.01994264228207787
20230927,274.3314,276.3333,271.5326,273.8191,1217600,0.0004849380948477311
20230928,274.5781,278.5154,274.5781,275.4415,1016900,0.0059251018444794745
20230929,273.5536,274.0659,270.6504,271.4094,1358500,-0.014638696508524007
20231002,271.0678,273.4112,269.0375,272.804,978600,0.005138447073342878
20231003,271.4472,272.1873,269.2082,269.8344,989100,-0.010885598577597522
20231004,269.7775,270.9255,267.2633,270.4701,992900,0.002355819705939899
20231005,270.6787,273.2973,268.5441,270.7262,1095400,0.0009469958747627683
20231006,271.267,274.4833,270.508,273.4586,1051200,0.01009304762536023
20231009,272.4624,275.47,272.2822,274.8249,762100,0.004996042158792902
20231010,274.3979,277.4339,273.544,276.8077,1070800,0.007215066502425538
20231011,276.2575,279.6635,274.9672,279.3599,1220600,0.009220063952824376
20231012,279.8817,283.0221,277.377,280.6407,1527600,0.004584629387640371
20231013,284.5305,291.5608,284.5305,289.4546,2387900,0.0314062562187134
20231016,291.2572,296.684,290.2894,296.1338,2283000,0.02307512182326188
20231017,297.908,299.9383,293.9327,294.6822,1183400,-0.004901629902209548
20231018,297.5001,298.8568,294.0181,295.9536,1049400,0.004314350226855446
20231019,295.3368,297.4715,291.1054,294.2742,1190400,-0.005674375660394193
20231020,294.5304,296.0294,290.3559,291.0579,1263100,-0.010929630444670657
20231023,290.7069,290.9821,284.7962,285.6216,1595100,-0.018677864144326373
20231024,287.5665,292.0256,287.0068,289.0276,864400,0.011924996538183352
20231025,289.502,289.9953,285.0144,288.316,1144600,-0.0024619736102022838
20231026,286.5988,290.0618,286.1434,288.6292,968900,0.0010859969896925836
20231027,287.6994,288.6197,285.9442,287.6994,1269800,-0.003221256529002514
20231030,288.3919,290.7543,286.3142,289.5779,1725200,0.006529311468120191
20231031,291.4565,294.1983,290.4603,293.354,1592500,0.013039989511942851
20231101,291.9783,295.8587,289.9859,293.5532,1755300,0.0006791070449760905
20231102,290.612,303.5245,290.612,302.5473,2231400,0.03063887862868553
20231103,301.4278,302.8889,294.5683,294.7296,1580400,-0.025839654359028907
20231106,295.242,299.1793,286.7412,291.1149,2272600,-0.012264514325357023
20231107,291.9403,292.0257,278.2688,279.9101,3558000,-0.038489177297216015
20231108,281.2858,283.3731,278.8475,280.2137,1565700,0.0010847031130838403
20231109,280.4035,281.6274,273.7243,274.1038,1389700,-0.021804622151669006
20231110,274.4168,278.9329,271.7793,278.1834,1224600,0.014883376255158565
20231113,278.6768,280.8209,276.7698,279.0468,1002800,0.003103610295986714
20231114,278.1644,279.5116,270.6693,275.2138,2766800,-0.013735968093804285
20231115,275.0999,275.8874,266.6371,268.4777,2401900,-0.024475935066900822
20231116,268.1171,269.9198,265.7453,267.7756,1774300,-0.0026150682309334927
20231117,268.4682,268.4682,262.8611,268.0792,1517200,0.0011338576574995152
20231120,266.9597,271.1816,266.9597,269.73,1394900,0.006157948522264256
20231121,270.5934,272.1873,266.3335,271.8078,1274500,0.007703218855932059
20231122,271.9027,274.341,271.2955,273.5345,905900,0.006352706162330524
20231124,273.7148,275.8779,272.6047,273.0981,416200,-0.0015954160906526127
20231127,273.2119,274.8153,270.4036,271.5896,1220100,-0.005523820357834719
20231128,272.3201,274.2271,270.7263,271.4188,1437000,-0.0006286907489869709
20231129,268.6389,272.8609,249.0567,249.3983,7568700,-0.08113126910589474
20231130,250.366,253.2312,246.1251,249.4078,7046800,3.81166461145277e-05
20231201,250.4324,259.1325,250.2712,255.2331,3401900,0.0233567212564334
20231204,254.5026,256.049,247.719,249.4362,3027800,-0.022712139290359867
20231205,250.0177,250.418,245.0991,245.7187,3121000,-0.014903664899110547
20231206,246.5957,247.8253,243.8028,245.4423,2035000,-0.001125040379616249
20231207,245.4995,246.405,243.86,245.8712,2919500,0.001747744292072806
20231208,247.3297,247.5489,242.0679,246.691,2781400,0.0033340536439878665
20231211,284.8385,289.4806,277.7942,287.8411,9029500,0.16680828106837198
20231212,287.8411,287.8411,282.4555,282.8272,2933200,-0.017418829583659923
20231213,283.0751,284.3428,279.653,283.2752,2443600,0.0015839989347929961
20231214,279.7579,285.9633,276.8029,284.6669,2817400,0.0049128653986059145
20231215,283.1228,283.647,275.4113,276.9078,4357000,-0.027256746004434396
20231218,277.8514,280.0153,275.3636,278.4043,1364700,0.005404290810953283
20231219,278.004,280.6253,276.517,280.5491,1182000,0.007703814846242052
20231220,283.1036,285.3818,280.7778,282.0074,2105500,0.005198175618427614
20231221,283.1036,285.277,282.0742,283.3324,1089700,0.0046982843513887484
20231222,283.4945,285.725,283.2657,284.1426,1167500,0.0028596860312468664
20231226,283.3324,286.7736,282.2267,286.0777,752500,0.006810166187902977
20231227,285.744,286.8974,284.0092,285.1435,992200,-0.0032654540753049854
20231228,285.6296,287.517,285.2865,285.3913,825800,0.0008690456327085094
20231229,285.9728,286.6686,284.0569,285.439,1187000,0.00016713533353240884
20240102,287.1929,296.4582,286.2683,295.5907,2881800,0.03556522395492645
20240103,298.6124,299.1938,288.8801,289.452,3004600,-0.020767574200770023
20240104,290.8151,294.4564,290.0716,291.8922,1769800,0.008430468064360985
20240105,293.0743,299.089,292.4928,298.9174,2341100,0.0240678116725781
20240108,299.3082,300.1661,294.3039,298.9556,1597700,0.00012751498811569562
20240109,299.0223,299.0986,293.732,298.2311,1215500,-0.0024231904367582047
20240110,297.7737,297.7737,291.5873,293.3221,1151700,-0.016460375599210764
20240111,293.1505,293.3888,290.5673,293.0075,1226800,-0.0010725603906953651
20240112,288.823,292.3499,287.4217,290.7389,1344400,-0.007742516589730686
20240116,291.2822,293.9321,288.8229,292.5786,1144000,0.006327429824477537
20240117,293.8082,298.0786,293.3316,294.0465,1356500,0.005017307426328443
20240118,287.5075,294.9806,285.2674,294.6184,2249300,0.001944928427879189
20240119,295.3429,296.4963,286.9165,287.9269,1760600,-0.022712319050148477
20240122,288.0222,292.5309,286.9641,290.7579,1234300,0.009832333311075248
20240123,290.6817,293.4269,289.0613,290.1574,1032500,-0.0020652725630790902
20240124,293.0552,295.1046,289.3948,290.2527,1697300,0.0003283592481562181
20240125,283.1037,287.1453,277.8039,284.6003,2464100,-0.01947429087642827
20240126,285.5725,287.5742,283.6184,283.8853,1157600,-0.0025120684262261994
20240129,283.1036,284.991,281.7692,284.8957,1219100,0.00355909912695207
20240130,285.7441,286.8879,283.0656,284.9625,1079800,0.00023437511716073445
20240131,286.0968,288.8801,281.712,286.8689,2463500,0.0066900130118392465
20240201,289.4234,294.6089,287.6123,292.9408,2981900,0.021166115024713994
20240202,301.0621,313.0059,300.3091,308.6878,3376600,0.05375513473526583
20240205,312.0431,315.3316,305.9807,306.238,2305400,-0.007936267057818469
20240206,306.9339,313.8637,306.4764,312.2528,1857900,0.019640935794779102
20240207,314.064,318.239,313.3777,315.0839,1809800,0.00906664451372663
20240208,315.0457,317.8958,314.4738,316.7425,1417000,0.00526389756417367
20240209,316.0943,320.1169,315.1983,319.259,1508300,0.007944972052748245
20240212,318.8777,322.0709,317.5718,321.4704,1021100,0.0069267459148698585
20240213,321.2321,325.96,320.3551,321.6325,1140800,0.000504179726829701
20240214,323.0432,324.1489,319.9262,322.7668,1198400,0.0035266256536397034
20240215,325.9981,326.0458,321.6134,323.3292,1572300,0.0017424608948528597
20240216,324.2633,326.7035,322.7001,325.1307,1282600,0.0055719524108410745
20240220,324.5111,328.3049,324.1298,325.3785,1624900,0.0007621633575136677
20240221,326.0268,328.2668,323.8153,327.3136,1396200,0.005947193416922403
20240222,327.9617,328.0857,325.2451,326.1506,1373900,-0.0035531498880275736
20240223,327.1038,329.4869,325.4071,328.1333,998800,0.006078988676657904
20240226,328.61,330.8977,326.1316,326.2937,2311200,-0.00560634998816989
20240227,325.9981,329.0865,324.6159,324.7971,1697100,-0.004586704197562463
20240228,324.5111,324.5111,316.9522,319.4496,1981200,-0.01646404427343917
20240229,319.3828,320.9651,315.5318,320.4123,2185000,0.003013644608894861
20240301,320.2788,320.2788,315.2363,317.3811,1473100,-0.00946037200681571
20240304,317.057,322.8906,316.2563,321.0414,1294100,0.011532947824810291
20240305,321.8167,322.5442,317.7966,318.4857,1468200,-0.00796054329491247
20240306,319.1557,326.2485,319.1557,325.2722,2449800,0.021308451083595026
20240307,329.0436,333.0925,324.2289,328.0672,2072700,0.008592938662491445
20240308,327.3876,331.0441,326.2677,327.1579,1485400,-0.0027718793868749536
20240311,326.2772,329.6848,325.0808,327.6173,1326500,0.0014043438486708304
20240312,327.4354,330.2783,326.4017,329.2158,1313500,0.004879201115118192
20240313,330.9962,334.1837,329.6945,333.7912,1584200,0.013897901173776539
20240314,333.5902,335.227,332.5181,334.5474,1527700,0.0022652902980899725
20240315,331.2163,337.9837,331.044,336.9786,3818800,0.007267263662276813
20240318,335.5046,338.9983,334.9494,337.5338,1499100,0.0016476915880698773
20240319,338.826,339.2567,336.2703,337.2849,1134600,-0.0007375019992660325
20240320,336.5,339.5918,336.0502,338.6824,1049400,0.0041434464527814185
20240321,338.9505,340.1374,337.6104,338.5772,1290800,-0.00031068812192813766
20240322,338.5293,340.5394,336.2895,336.7202,1102300,-0.005484700614664995
20240325,337.9646,340.5777,337.218,340.3288,1034000,0.010716945111897802
20240326,339.8406,344.4255,339.362,342.4155,1205100,0.006131244958816451
20240327,344.5787,349.0967,344.0619,347.7853,1467500,0.015682242940677993
20240328,348.3693,350.0539,347.6035,347.6418,1162700,-0.000412680369971552
20240401,347.1631,348.7521,344.5213,348.4936,1036800,0.0024502423994818834
20240402,344.5405,349.0393,343.7173,347.5461,2054800,-0.002718960425197814
20240403,348.7712,348.9148,344.9041,345.6125,1567500,-0.0055634734640693795
20240404,348.5223,348.5511,344.4256,344.9424,1147900,-0.0019387145111315895
20240405,345.3924,348.666,343.9853,346.9334,992500,0.005771969642948349
20240408,345.4402,346.3783,342.0422,342.6548,1612500,-0.012332698381422369
20240409,344.081,345.0286,341.1233,342.1762,1129200,-0.0013966727980027072
20240410,340.9989,344.3203,340.2905,342.5208,1005700,0.0010069181250702552
20240411,342.0901,342.9994,337.553,337.9646,1081100,-0.013301916539087189
20240412,336.7202,338.2038,333.5806,334.8633,1442000,-0.00917654949819513
20240415,338.9601,339.9173,332.5852,333.9635,1357000,-0.0026868258499950226
20240416,340.884,340.884,331.6088,332.0013,1799900,-0.005875640813475469
20240417,332.0108,334.9494,330.9771,331.2642,1426500,-0.0022200533173122317
20240418,334.7388,338.2517,332.1448,333.8486,1621700,0.0078015702819362875
20240419,336.2416,337.6966,333.1212,337.3041,1305100,0.010350607625486674
20240422,337.6487,341.1329,337.553,338.0603,1404000,0.0022416980629853533
20240423,338.8451,341.9177,336.8255,337.5529,1188500,-0.0015007818960838248
20240424,336.0119,338.8355,335.0738,337.1988,1120800,-0.0010491880703745737
20240425,337.4668,340.6256,337.285,339.3334,922200,0.006330429657764647
20240426,337.4094,339.9459,336.3756,339.295,830500,-0.00011295699468205633
20240429,338.8643,342.8941,338.8643,341.1807,1073600,0.005557644256801053
20240430,341.3243,342.6261,340.4724,341.7551,1216200,0.0016833917571050794
20240501,334.9877,343.9757,333.5136,341.889,1904100,0.00039192294057399657
20240502,344.5883,346.2251,328.0098,329.7519,3108800,-0.03550016294714842
20240503,327.6364,328.9382,320.3905,326.8802,2413500,-0.008708496100528373
20240506,327.7992,329.637,324.9181,327.7513,1339300,0.002664871164906435
20240507,328.7946,332.2022,328.5075,331.8577,1567900,0.012528776258976526
20240508,333.6668,333.8582,330.6516,332.4799,1355200,0.0018748772336125707
20240509,332.7192,336.2607,331.6375,335.9449,1388800,0.010421764711281645
20240510,336.5479,336.9499,332.4799,333.4754,1675300,-0.007350946681586423
20240513,332.8149,334.9878,331.9917,334.1933,1361100,0.002152860705748383
20240514,333.5519,336.1172,330.8526,331.5897,1853000,-0.007790722287574825
20240515,330.2305,330.8239,327.4355,328.5841,2244500,-0.009064168147879803
20240516,329.1872,330.039,323.6833,324.7362,2275000,-0.011710456463259522
20240517,324.2097,324.8319,319.9216,324.2097,2010200,-0.0016212827474070268
20240520,324.0566,324.1045,318.0072,319.0984,1306700,-0.01576568626482
20240521,320.649,324.3055,319.6631,321.9795,1175800,0.009029079834337761
20240522,321.0702,322.9367,319.8641,322.0657,968800,0.0002675670872578362
20240523,321.3477,324.8989,321.118,323.3674,1510900,0.004041712244187812
20240524,324.4107,324.4107,316.8776,318.3708,1311600,-0.015451625512853728
20240528,318.6197,321.2807,317.4232,318.9452,1445800,0.0018039995686505161
20240529,317.1361,320.0077,315.2122,318.6676,2930700,-0.0008701397304327063
20240530,317.3467,320.3714,316.4756,316.8298,3686500,-0.0057672301771454215
20240531,318.725,329.9146,317.3371,329.8667,3915500,0.04114794633996399
20240603,326.0284,329.972,324.6979,326.8707,1500500,-0.009082370808520812
20240604,325.1023,325.1023,318.3936,323.9585,1654900,-0.008909335349970626
20240605,324.4967,325.4194,316.7116,321.1904,1552000,-0.008544602769937848
20240606,321.152,326.2941,320.4696,324.7755,1632300,0.011161766226105874
20240607,325.2848,328.1298,323.8239,324.9581,1208100,0.0005621935150323942
20240610,324.3911,326.3614,323.132,325.4867,1002700,0.0016268437578241812
20240611,324.6793,326.4671,322.7186,324.8043,896500,-0.0020966571903612286
20240612,324.9388,325.8231,320.9598,322.9877,1249600,-0.005592779681499516
20240613,321.3827,324.5064,316.6924,321.1616,1177600,-0.005653808672272387
20240614,319.5662,321.796,315.837,320.3351,907500,-0.00257358922004014
20240617,318.4993,321.1231,316.4809,320.9213,1157000,0.0018299967418455854
20240618,322.5168,324.4294,320.4888,321.7863,1206200,0.0026954295803449657
20240620,321.7863,325.0061,318.4705,324.7466,1692600,0.009199667611695883
20240621,321.8152,326.7842,321.6037,326.765,4073500,0.006215219233593583
20240624,328.8603,332.5125,326.8899,329.8022,1276100,0.009294662139470278
20240625,330.6095,330.9844,324.1988,325.6309,986200,-0.012647962544131253
20240626,325.4291,325.4291,319.9699,324.4583,1491600,-0.003600845414249987
20240627,323.8528,323.8528,318.5281,321.1616,1300700,-0.010160602341078961
20240628,326.3036,326.7842,315.5006,317.7208,2645300,-0.010713786167461548
20240701,317.7303,321.9785,313.165,313.5879,1386200,-0.013007975930245053
20240702,314.2511,314.6067,311.6176,313.2419,1056400,-0.0011030935570285338
20240703,314.6932,315.1449,309.1859,312.7805,900700,-0.0014729676962275118
20240705,311.9155,312.3769,304.2457,306.7158,1612000,-0.019389721707845697
20240708,307.6481,311.4254,305.6586,311.1947,1753500,0.014602708889858151
20240709,309.6761,315.9138,307.2444,315.6063,1379400,0.014176205533503738
20240710,316.702,319.8737,310.7045,317.0865,1982000,0.004690002287806028
20240711,314.2991,320.8636,314.2991,320.5945,1144000,0.011063407379717782
20240712,320.5945,322.5648,317.6823,321.7767,820200,0.0036875879382491927
20240715,323.5164,325.602,317.7015,318.5378,1266500,-0.01006593335723327
20240716,320.8541,329.1486,320.8541,326.5055,1166600,0.02501359236509071
20240717,326.3902,332.0608,326.198,331.3592,1441900,0.014865594541063176
20240718,329.7253,333.8677,327.2263,327.284,1028800,-0.012298513378963039
