datetime,open,high,low,close,volume,return
20230725,239.9342,242.2412,239.1371,241.7723,628800,-0.00031028962804868776
20230726,240.4875,242.4944,238.6213,240.2812,653800,-0.006167390037987275
20230727,241.3597,243.8636,238.5744,242.4756,802900,0.009132747179808609
20230728,244.4075,244.4075,240.7783,242.6539,783700,0.0007350126484475528
20230731,243.1603,244.6982,242.8977,244.5763,542200,0.00792262228421925
20230801,244.5482,248.7776,244.1074,248.5057,837400,0.016065954300428675
20230802,247.3991,248.6933,244.9327,245.908,1186600,-0.01045310694104351
20230803,222.3881,232.9289,222.3881,227.546,2049600,-0.07467019843288214
20230804,227.8836,229.2903,220.7282,221.7973,1290500,-0.025263848239609143
20230807,222.1537,224.5263,221.3472,222.4819,647200,0.003086674341100215
20230808,219.4435,224.32,217.943,223.5041,612000,0.004594468695886977
20230809,222.9883,225.9705,222.6507,223.7479,679800,0.0010908296982583554
20230810,223.8323,225.7454,220.9908,222.4632,650300,-0.0057419952502614224
20230811,222.285,224.9577,221.3472,223.8698,627000,0.0063231917261583614
20230814,223.204,223.8699,221.9192,222.3412,395300,-0.006828052199585932
20230815,221.2628,221.2628,217.5022,218.1024,822400,-0.019064457693573567
20230816,217.7273,220.7189,217.7273,217.8867,705700,-0.0009890467462936314
20230817,218.6276,220.4281,217.943,218.4119,486900,0.0024102512818444666
20230818,216.602,221.8536,215.983,219.0871,616200,0.0030914832713315743
20230821,219.5747,220.3812,217.6148,219.0683,538600,-8.559633132310118e-05
20230822,219.8655,220.897,219.0027,219.9967,421500,0.004237973156113517
20230823,219.8749,221.938,219.1528,219.7061,543600,-0.0013213612955236265
20230824,218.0814,221.189,217.5902,217.9586,601500,-0.007953589557247565
20230825,219.2149,220.4995,216.1639,219.1866,614700,0.005633872824640784
20230828,220.5561,221.7274,218.7237,219.7249,639000,0.0024561752807767956
20230829,219.3282,220.6978,211.9039,217.373,1122000,-0.010704108058588235
20230830,217.6752,219.6116,217.3352,219.1676,776100,0.008256214448178811
20230831,219.4982,219.9516,216.8724,217.2879,1087600,-0.008576469171232115
20230901,218.922,223.9471,218.922,223.5221,809300,0.028690642528961918
20230905,223.3899,223.3899,218.9504,218.9882,826600,-0.02028392470261786
20230906,218.327,223.541,218.1759,222.6248,862300,0.016606361001055614
20230907,221.1134,222.5586,218.3742,219.6588,802300,-0.013322675759326441
20230908,219.5455,223.0026,218.8371,221.8502,748200,0.009976409392896235
20230911,223.3426,223.7016,220.4617,220.6317,633200,-0.005492402045342848
20230912,219.9989,223.711,219.8288,222.3508,529600,0.007791652180624498
20230913,221.9824,223.8432,218.7142,220.6223,1366000,-0.007773959110438211
20230914,222.1147,224.9012,221.633,223.8999,1195100,0.014856383018087227
20230915,224.0983,224.0983,221.2646,222.3225,1185600,-0.007045351468514149
20230918,222.1431,225.3263,221.5574,225.1279,1128400,0.012618766139617987
20230919,224.7311,226.1196,221.4535,221.6707,1211600,-0.01535653222296196
20230920,222.7948,225.978,219.6872,219.895,884000,-0.008010717944806678
20230921,219.0921,219.0921,216.06,216.1261,639900,-0.017139294000841132
20230922,216.4756,219.3754,216.3434,217.9869,575100,0.008609759841152753
20230925,216.6929,219.8572,216.6929,218.6765,486200,0.0031631687294217947
20230926,216.5606,218.9504,215.8617,216.3528,614400,-0.010625782384981575
20230927,218.0247,218.9221,216.1072,217.2029,554800,0.0039292187687338664
20230928,216.0411,220.8679,215.6727,218.4875,659600,0.005914316456254731
20230929,219.7438,220.15,214.6715,215.7955,815900,-0.012321144229963443
20231002,215.2855,215.6728,212.499,213.0469,660600,-0.012737392924640156
20231003,211.9039,213.9159,210.5438,211.4883,543000,-0.007315445610120319
20231004,211.101,215.2855,210.2793,215.0399,767900,0.01679317009207515
20231005,213.1697,214.7943,211.2616,212.9241,581000,-0.009839170972749778
20231006,212.8579,217.6847,211.9795,215.0021,767400,0.009759432864332007
20231009,214.1331,216.145,212.4518,215.446,478500,0.002064813453891201
20231010,216.9479,218.5159,215.3044,216.4945,632100,0.0048666129205547914
20231011,216.4851,217.7791,214.7093,217.2974,529100,0.0037085786518853414
20231012,217.8075,217.8075,212.8579,214.9265,560700,-0.01091076114176992
20231013,214.8604,216.8818,212.858,215.0966,581300,0.0007911724353364402
20231016,214.5393,216.8629,214.3881,215.5972,484200,0.00232737483851575
20231017,211.9323,217.5052,211.5355,216.1167,562900,0.0024096603834691255
20231018,214.7187,214.7187,210.9121,211.4978,592700,-0.021372444968109416
20231019,211.5544,213.3113,208.7963,209.4102,635000,-0.009870124323294371
20231020,210.9027,210.9027,206.8033,207.0394,863600,-0.011321409131945681
20231023,206.4632,208.2485,204.2435,204.3096,575700,-0.013184915454401258
20231024,205.9248,207.644,204.1774,207.0489,1049100,0.013407309952264468
20231025,207.4267,209.4953,205.8493,206.4632,660500,-0.0028284738438023593
20231026,206.4066,208.2863,205.6981,206.0099,634500,-0.0021959569943332813
20231027,205.5659,206.5388,202.8833,203.3084,638300,-0.013113338787719031
20231030,205.0086,205.9626,203.025,205.5942,643900,0.011243305135132609
20231031,203.9696,205.3486,202.4299,204.3096,1198800,-0.0062482632992683085
20231101,205.122,206.5955,203.2139,205.9626,1369400,0.0080906605676212
20231102,211.3467,212.5935,201.0037,205.8587,1612500,-0.000504446336252018
20231103,208.0312,214.9171,207.9179,213.3586,1167800,0.036431935642589064
20231106,213.9159,214.7093,207.7478,207.8045,881900,-0.026031514588740423
20231107,206.7655,208.6357,205.0369,207.4645,835400,-0.001636429148000218
20231108,207.6345,207.8518,205.2826,205.4337,789300,-0.009788479898820257
20231109,206.8977,207.2283,202.77,203.4973,857000,-0.009425918736286287
20231110,204.6685,207.1339,202.685,206.8788,999400,0.016617154300797354
20231113,205.0464,207.03,204.8953,205.377,711100,-0.007259618888078911
20231114,208.5035,212.3006,208.1257,210.6193,964600,0.025525376486319917
20231115,211.205,212.6029,210.7232,211.3466,840800,0.00345327047520394
20231116,210.846,212.9619,210.4587,211.0349,522100,-0.0014748592736036903
