datetime,open,high,low,close,volume,return
20230829,51.7268,52.0451,51.4723,51.745,1514700,0.0017602337820876723
20230830,51.6632,51.9633,51.2722,51.5814,1074300,-0.0031627060042094257
20230831,51.7632,51.9269,50.9176,51.0904,1988600,-0.009518960897735962
20230901,51.4177,51.4177,49.8538,50.363,2417800,-0.014237249866273838
20230905,50.1721,50.4448,49.381,49.8629,2474100,-0.00992959135475513
20230906,49.9084,50.0811,49.5629,49.9447,1869800,0.0016411575255701472
20230907,50.3903,51.054,50.2993,50.6812,2344400,0.014745834973558525
20230908,50.8267,51.1631,50.5539,50.8904,1950200,0.004126442887006254
20230911,50.6721,51.3268,50.6267,51.0449,1570500,0.0030371947288727608
20230912,51.0995,51.1631,50.7631,50.9449,1520000,-0.001959253329953392
20230913,50.8722,51.8451,50.8722,51.6268,1352900,0.013385647710904003
20230914,51.9996,52.2178,51.7632,52.0542,2014400,0.00827758038934756
20230915,51.9996,52.3815,51.745,52.0178,3474100,-0.0006989019464093138
20230918,52.036,52.236,51.645,51.836,2551100,-0.0034957804084640998
20230919,51.8269,52.0996,51.5905,51.6541,3248600,-0.003508117350830453
20230920,51.8905,52.3997,51.3995,51.6814,4068000,0.000528180910823961
20230921,51.6541,51.8451,51.0722,51.3813,2670000,-0.005805889547856102
20230922,51.1358,51.5086,50.9449,51.254,2580800,-0.0024774099398863214
20230925,50.9449,51.0631,50.2993,50.8631,1695100,-0.007628197208382925
20230926,50.4448,50.8358,49.0173,49.0991,2182800,-0.03468007675133988
20230927,48.99,49.3537,48.4081,48.5081,2241500,-0.012036864456128393
20230928,48.79,48.8264,47.808,47.9171,2471800,-0.012183830345681046
20230929,48.3899,48.79,48.0171,48.2899,2807300,0.007779839242874065
20231002,48.0626,48.0626,45.5804,45.9804,4085700,-0.047825132481795984
20231003,45.5804,47.3261,45.344,47.1624,4346800,0.025706817815081884
20231004,47.3625,47.6625,46.4896,47.5352,2805400,0.007904571511027081
20231005,47.8626,48.0535,46.9988,47.1079,4882700,-0.008990072208032718
20231006,46.4351,48.3263,46.0986,48.2263,4374800,0.02374052488073386
20231009,48.2081,48.5991,47.7989,48.5081,2430400,0.00584469855229619
20231010,48.5991,48.9718,48.3354,48.6809,3019900,0.0035613861968544214
20231011,48.89,49.3628,48.3899,49.2628,2110200,0.01195354460634146
20231012,49.1173,49.4537,48.4081,48.6082,2619700,-0.013288888362326445
20231013,48.8809,49.1628,48.5536,49.1173,1916800,0.010475160164914898
20231016,49.1355,49.6265,48.7082,49.3628,2377900,0.004997975661808596
20231017,49.1173,49.581,49.0173,49.3628,1536800,0.0
20231018,49.3628,49.4174,48.6445,49.0537,2748000,-0.00626259354014469
20231019,48.9355,49.3174,48.6263,48.6536,1800600,-0.008155763606658484
20231020,48.7718,48.9264,47.9899,48.1081,4017500,-0.011212653726196842
20231023,47.5989,48.499,47.3898,47.8353,2796000,-0.0056701790354986015
20231024,48.3172,48.8809,48.1808,48.7718,3971900,0.019578166490612947
20231025,48.5809,49.5628,48.5354,49.5083,4649400,0.015100538988751078
20231026,49.5174,50.6721,49.1355,50.1721,5237100,0.013406991653685418
20231027,50.0447,50.2812,49.2901,49.3446,3007200,-0.016491712516051416
20231030,49.3537,49.872,48.6718,49.181,2833700,-0.003316789841581236
20231031,49.4083,49.5628,48.7718,49.4083,2582300,0.004621991321307473
20231101,49.5174,50.072,48.9082,49.7629,2481100,0.007176991748972572
20231102,49.6877,51.284,49.6601,50.9262,2053600,0.023376699237664278
20231103,51.7335,51.7794,51.1097,51.1372,2426900,0.004143448486219947
20231106,51.1005,51.3574,50.495,50.5225,2378300,-0.012020016551654966
20231107,50.5133,50.7152,50.0179,50.6968,3038600,0.003450120785184474
20231108,50.5042,50.8895,49.7886,50.8253,4098100,0.0025335842312355084
20231109,50.8344,51.1831,50.1831,50.2198,2691100,-0.011913351249994486
20231110,50.5592,51.284,50.4308,51.0087,2755600,0.015710442026095173
20231113,50.9537,51.073,50.4491,50.7427,3265000,-0.005215816523871819
20231114,51.9078,52.55,51.7243,52.5225,2470300,0.035075010381981686
20231115,52.3849,53.2197,52.1831,52.3665,2038000,-0.002969250873155249
20231116,52.8895,53.1188,52.3941,52.7519,3112600,0.007357964342424861
20231117,53.0913,53.0913,52.4216,52.6601,2110700,-0.0017390793748107702
20231120,52.4858,52.5225,51.6968,52.4216,1958300,-0.004529526969838549
20231121,52.5317,52.5775,51.7977,52.1372,2274100,-0.005425336799494418
20231122,52.3115,52.495,51.9445,52.3574,2233600,0.004223099716706535
20231124,52.5592,52.8344,52.2564,52.8344,858200,0.009111655318171596
20231127,52.8161,52.8161,52.3115,52.5959,2950300,-0.0045146552471666546
20231128,52.5684,53.3207,52.4583,52.6968,2458000,0.0019185943875474898
20231129,52.7794,53.073,51.9904,52.0638,2296900,-0.0120124646096601
20231130,52.1739,52.2931,51.5776,52.073,3234700,0.00017614032727664153
20231201,52.0271,53.5959,51.9445,53.5775,3880100,0.028893574229963193
20231204,53.2289,53.8895,53.0638,53.5133,1843700,-0.0011985736162292149
20231205,53.6051,53.6051,52.495,52.5959,2511500,-0.017143760629486637
20231206,52.7427,53.1922,52.6051,53.0546,2280900,0.008721470400642639
20231207,53.0729,53.3757,52.6326,53.1555,2082400,0.0019020060976648878
20231208,53.0913,53.4583,52.6693,53.3482,2281700,0.003624483293145131
20231211,53.1647,53.5775,52.8986,53.284,2559100,-0.0012037979521490882
20231212,53.4032,53.4032,52.761,53.183,2640600,-0.0018940340361982555
20231213,53.2473,54.9628,52.7518,54.9628,2646300,0.03346549402386256
20231214,55.3206,55.3757,53.8895,54.0913,3043700,-0.01585682907698871
20231215,53.4583,53.7243,52.7519,53.1922,4149300,-0.016621568185919755
20231218,53.5225,53.6418,53.0913,53.3023,3406700,0.0020696327171074724
20231219,53.4399,53.5225,52.9812,53.2473,2055600,-0.0010325717412996704
20231220,53.1005,53.2289,52.3574,52.3849,2005200,-0.016195851531090377
20231221,52.3482,52.7702,51.8711,52.2106,2022600,-0.0033274635092440663
20231222,52.5041,53.0638,52.3665,52.5041,1602200,0.005622908917044089
20231226,52.4766,52.917,52.3665,52.7519,1067200,0.004717790277533274
20231227,52.55,52.8161,52.3207,52.7152,1847900,-0.000695660675524068
20231228,52.4766,53.2289,52.4766,53.2106,2828500,0.009397812179946063
20231229,53.1463,53.4766,52.9812,53.2748,1538900,0.0012070547283933308
20240102,53.0638,54.394,53.0087,54.3206,2188100,0.019631430395084637
20240103,54.4124,54.5775,54.0271,54.394,1908000,0.001351139535915813
20240104,54.4491,54.9537,54.1647,54.4766,1829600,0.0015179108430056765
20240105,54.3757,54.8619,54.1463,54.4399,1675100,-0.0006735656671555956
20240108,54.2014,54.6784,54.0454,54.6509,1934800,0.0038758758349131117
20240109,54.4124,54.6142,54.0821,54.4674,1213300,-0.0033572960706834687
20240110,54.3298,54.8895,54.3115,54.5867,1412900,0.0021896846069759945
