datetime,open,high,low,close,volume,return
20230829,26.2059,26.2522,25.9743,26.0577,3006700,-0.0031891711336270445
20230830,26.0577,26.1225,25.8076,25.8632,2806100,-0.007465231533949623
20230831,26.0021,26.0484,25.7983,25.8354,4449600,-0.0010746514775904492
20230901,25.9743,26.0114,25.3815,25.613,3785500,-0.00860520570685952
20230905,25.5667,25.6316,25.1592,25.3166,3764400,-0.011573048417357179
20230906,25.3722,25.5204,25.2703,25.3444,3368000,0.0010975496195191337
20230907,25.5482,25.9651,25.4926,25.891,4084600,0.02156448801198585
20230908,25.9651,26.2893,25.8909,26.2059,4031000,0.012164443497558075
20230911,26.1318,26.3726,26.0855,26.2244,4776100,0.0007069429321719944
20230912,26.243,26.2985,26.0299,26.2152,3551300,-0.0003531853925837769
20230913,26.2615,26.6691,26.243,26.5301,4655700,0.012014146667523207
20230914,26.6876,26.8543,26.5764,26.8451,5308100,0.011871448585609956
20230915,26.7895,27.1137,26.7247,26.9377,8456500,0.003450768010454075
20230918,26.9099,27.0118,26.6413,27.0025,5725500,0.0024069759109817124
20230919,26.9933,27.1322,26.8265,26.8451,4838000,-0.0058318399729888615
20230920,26.9562,27.0952,26.6876,26.6969,3662100,-0.005521171976535233
20230921,26.6783,26.6783,26.2893,26.2985,4918100,-0.014920081961356968
20230922,26.2152,26.4467,26.1596,26.2152,2790000,-0.0031700740484157386
20230925,26.0762,26.243,25.9651,26.2059,2530800,-0.0003533829340270911
20230926,26.1503,26.1503,25.261,25.2796,3681900,-0.035348092789807994
20230927,25.2888,25.4185,25.0572,25.1499,5282400,-0.005130311155831291
20230928,25.2796,25.2796,24.6497,24.733,4844000,-0.01657436901158904
20230929,24.9368,25.1592,24.733,24.872,4214300,0.005618005688953653
20231002,24.6867,24.7423,23.6122,23.853,7172600,-0.04096844460753135
20231003,23.6955,24.4922,23.5473,24.4088,6963100,0.023301009535295236
20231004,24.4922,24.6033,24.029,24.5848,3956500,0.007210610527947692
20231005,24.5663,24.8442,24.4459,24.6589,4371300,0.003014229846119987
20231006,24.3255,24.9276,23.8993,24.8905,5079400,0.009391663920769622
20231009,24.8905,25.2888,24.8813,25.2796,3576700,0.015630738833601887
20231010,25.224,25.4834,25.1128,25.4463,3255100,0.006595629306272555
20231011,25.5204,25.7242,25.3166,25.7057,3409600,0.01019301570758957
20231012,25.6038,25.7149,25.2425,25.5019,5048000,-0.007927770651740884
20231013,25.7149,25.8261,25.3629,25.5389,5951900,0.0014527681688203398
20231016,25.5667,25.7705,25.2703,25.7335,5888200,0.007616939540593837
20231017,25.5667,25.9465,25.5482,25.8817,6732500,0.005759519706487248
20231018,25.8632,25.9928,25.4834,25.6408,5417500,-0.009305531481881069
20231019,25.5297,25.8354,25.437,25.4463,6387400,-0.007586818153584862
20231020,25.4834,25.7242,25.1406,25.1406,5241500,-0.012013092681209758
20231023,24.8442,25.2147,24.733,24.8257,3954200,-0.012527572988997315
20231024,25.0943,25.3444,25.0109,25.3074,4975800,0.01940303323652781
20231025,25.2518,25.5019,25.2055,25.437,4717800,0.0051243010997754634
20231026,25.7705,25.9928,25.1406,25.5667,7106400,0.005098476440719812
20231027,25.4185,25.4834,24.6867,24.7238,5272600,-0.032971057416363636
20231030,24.8257,25.1036,24.733,24.909,4116300,0.007493455868472276
20231031,25.048,25.0943,24.6497,24.8998,4969600,-0.00037198945442817877
20231101,24.9368,25.4278,24.7423,25.3074,4320400,0.01636918395067144
20231102,25.3166,25.8076,25.2796,25.4648,6677100,0.0062224786721720715
20231103,25.8168,25.9465,25.3629,25.3722,7074300,-0.0036375803053994016
20231106,25.3722,25.4648,25.1869,25.2333,6047200,-0.005476478842862509
20231107,25.2703,25.2888,24.9276,25.1869,6142600,-0.00183552007624177
20231108,25.0387,25.085,24.5848,24.8813,8021800,-0.012136800550691773
20231109,24.9739,25.1869,24.733,24.7886,5000500,-0.003722975826414232
20231110,24.9739,25.1591,24.8998,25.1221,5228400,0.01345282819247684
20231113,25.1221,25.1869,24.6867,24.7608,3980900,-0.01438045227876883
20231114,25.3166,25.6408,25.2518,25.6316,4842800,0.03516637324316618
20231115,25.6036,26.0141,25.5476,25.5943,3732600,-0.0014562079449169651
20231116,25.8369,26.0608,25.7715,25.8089,6325400,0.008385052596890707
20231117,26.0048,26.0141,25.7435,25.9395,3174100,0.005061237388107376
20231120,25.8369,25.8928,25.5289,25.7435,3001200,-0.007553662156268737
20231121,25.7342,25.8462,25.5476,25.6596,2315700,-0.0032621243498478503
20231122,25.7062,25.9675,25.5476,25.9302,3047500,0.010545600075641204
20231124,25.9861,26.0608,25.8275,26.0608,1260800,0.005037707594788943
20231127,26.0515,26.1914,25.8182,26.0795,4174900,0.0007160756420034886
20231128,26.1261,26.49,26.0048,26.2661,2842800,0.007155486173810122
20231129,26.3034,26.3874,25.9768,26.0235,3129600,-0.009236305062608863
20231130,26.1541,26.462,25.9675,26.378,5842900,0.013625099770664839
20231201,26.4247,26.8819,26.3221,26.8632,5747200,0.018394051984397697
20231204,26.6766,27.1432,26.6113,26.9192,6529600,0.0020841273745262345
20231205,26.9006,26.9286,26.5087,26.6486,3948900,-0.010051989506445147
20231206,26.7886,26.9006,26.546,26.8539,4840800,0.007703006901807807
20231207,26.8912,27.1898,26.6766,26.8352,5405500,-0.0006949978620913733
20231208,26.8726,26.9659,26.5926,26.8446,5594400,0.000347776148156953
20231211,26.7046,27.1152,26.7046,27.1058,4078800,0.009732286279774849
20231212,27.1805,27.1991,26.8726,27.0685,3288900,-0.0013767952925788363
20231213,27.0778,28.2069,26.9286,28.1789,6219600,0.04102025289857858
20231214,28.5054,28.5054,27.6563,27.7123,6284300,-0.01655621922094208
20231215,27.2458,27.4791,26.6953,26.9286,9030300,-0.02828288737646034
20231218,27.0405,27.1711,26.7979,26.8819,3470200,-0.0017325720716266924
20231219,26.9659,27.0592,26.8352,27.0312,2342800,0.005553696983543466
20231220,26.9565,27.0405,26.3967,26.406,4627700,-0.023127366617066936
20231221,26.4713,26.7139,26.2941,26.406,2855000,0.0
