datetime,open,high,low,close,volume,return
20230725,46.62,47.51,46.18,47.28,1687000,0.027156203196820883
20230726,47.22,47.48,45.97,47.12,1609800,-0.0033840916147013234
20230727,47.89,48.32,46.68,47.14,2123300,0.0004244579417878036
20230728,48.33,48.33,46.29,46.57,1856400,-0.012091635600432027
20230731,46.55,47.79,46.55,47.36,1420000,0.016963730313598102
20230801,46.94,47.81,46.33,46.94,2147700,-0.008868285013298283
20230802,45.64,46.63,45.16,46.1,2403100,-0.017895189117238863
20230803,45.57,47.56,45.08,47.02,2244100,0.019956659741735994
20230804,46.95,51.26,46.71,50.16,4163800,0.06678007994638335
20230807,50.42,51.61,49.88,50.67,3687400,0.01016743068350534
20230808,49.45,49.95,48.35,49.91,2426500,-0.014998980639375548
20230809,49.25,49.52,47.08,47.21,2219900,-0.05409739072719011
20230810,46.96,48.62,46.44,46.67,2532900,-0.011438274221550415
20230811,45.9,46.04,44.34,45.18,3660700,-0.03192624645871511
20230814,44.22,47.68,44.11,47.61,2947800,0.053784866949135424
20230815,47.58,48.88,46.68,47.01,4928700,-0.012602442367705136
20230816,35.74,36.48,29.6,32.97,33289500,-0.29865980859648267
20230817,33.3,34.55,32.24,33.44,9009800,0.014255304476929576
20230818,32.62,34.8,32.62,34.45,4634400,0.030203414405159945
20230821,34.39,35.79,34.09,35.69,2924600,0.03599413167803167
20230822,36.28,36.86,35.64,36.51,2892100,0.02297561575725493
20230823,35.89,37.69,35.52,37.62,3121600,0.030402647531673432
20230824,38.39,38.9,35.28,35.42,4351100,-0.05847955410426253
20230825,35.25,35.82,34.62,35.39,1923400,-0.0008469446879637577
20230828,35.53,36.55,35.48,35.96,1588700,0.0161062363564477
20230829,35.99,37.13,35.79,36.86,2177000,0.02502785174617883
20230830,36.3,37.23,36.01,36.45,1570500,-0.01112316442276362
20230831,36.79,37.99,36.78,37.63,1921900,0.032373121549438943
20230901,38.12,38.31,37.3,37.54,1218200,-0.0023917127300894236
20230905,36.02,36.6,35.38,35.66,3377900,-0.05007994198896315
20230906,35.23,35.48,34.49,34.88,2236900,-0.021873213197825647
20230907,34.57,34.57,33.11,33.55,2711800,-0.03813078527312541
20230908,33.16,33.68,33.15,33.2,1672000,-0.010432145516548141
20230911,33.72,33.82,32.24,32.83,2517000,-0.011144545885004575
20230912,32.87,33.32,32.21,32.76,1952800,-0.002132302942952191
20230913,32.97,33.04,32.47,32.72,1606300,-0.001220912786304651
20230914,33.01,33.86,32.41,33.75,2401700,0.0314791791219482
20230915,33.26,33.26,32.1,32.41,4474800,-0.039703708224826384
20230918,32.18,32.51,31.73,32.0,2115400,-0.012650411889614577
20230919,31.84,31.84,30.52,30.74,3499300,-0.03937500715255737
