datetime,open,high,low,close,volume,return
20230829,73.5,86.26,73.17,84.7,24067300,0.1490977886348206
20230830,83.56,86.5,82.57,83.83,9448000,-0.010271489356949215
20230831,84.43,84.57,78.9,79.6,8466400,-0.05045930173613089
20230901,80.0,80.35,77.15,77.99,6676500,-0.020226138708721142
20230905,78.0,79.29,76.28,77.5,4949000,-0.006282829557521463
20230906,77.38,79.97,76.75,78.04,6636200,0.006967753748739813
20230907,76.27,82.07,75.46,81.79,6424000,0.04805228031787312
20230908,81.64,82.69,80.35,82.09,5680600,0.003667874055572007
20230911,82.0,83.2,77.79,80.62,7220700,-0.01790709778153665
20230912,82.02,86.36,80.54,81.32,10519300,0.00868267085579899
20230913,81.89,83.15,79.62,79.86,5925700,-0.01795375172099989
20230914,81.67,84.1,81.26,83.45,7145100,0.04495362272042458
20230915,82.74,83.32,79.95,82.15,6272300,-0.01557813624810045
20230918,83.8,84.35,81.22,81.61,6246700,-0.006573352471055394
20230919,82.15,82.4,77.77,78.13,7567400,-0.042641873923625284
20230920,78.62,80.59,76.56,76.67,5459200,-0.018686792983456657
20230921,74.38,75.19,72.86,74.42,6534800,-0.029346550850856135
20230922,75.49,75.95,70.81,70.96,6321600,-0.04649286710029077
20230925,69.91,72.36,69.63,71.75,5057500,0.011133045740134628
20230926,71.74,73.09,69.71,70.52,5168200,-0.01714290392938811
20230927,72.72,73.48,69.95,71.52,5324600,0.014180375036905613
20230928,72.59,77.13,71.51,75.16,8252400,0.05089495511596698
20230929,76.75,77.5,74.57,75.08,5747200,-0.0010644202655224477
20231002,78.55,79.95,74.4,75.31,9709300,0.0030633420608672246
20231003,74.34,75.65,71.75,72.48,5815500,-0.03757793511357277
20231004,73.2,74.11,70.41,73.47,7613700,0.013658910291356019
20231005,73.53,75.48,72.1,74.62,6229300,0.01565266784771535
20231006,72.47,78.95,72.32,78.46,7931300,0.05146068341663956
20231009,76.54,80.06,76.5,79.1,5631300,0.008157015002758117
20231010,79.0,82.07,77.97,79.62,5645100,0.006574011156663451
20231011,79.27,80.49,75.6,77.35,6474100,-0.02851047719360178
20231012,77.04,77.18,74.45,75.19,5338600,-0.027924965421137204
20231013,75.0,75.19,72.1,73.43,6148400,-0.023407395652128016
20231016,77.61,79.3,73.36,75.21,12608600,0.02424075680102389
20231017,74.8,79.12,74.5,77.46,7459500,0.029916234907447548
20231018,76.88,78.38,73.78,73.93,5123400,-0.0455718928610791
20231019,74.28,76.17,72.72,73.1,5391200,-0.011226860917469494
20231020,74.64,76.76,73.5,74.66,8423300,0.021340700691540482
20231023,75.5,80.73,72.42,77.21,13635700,0.034154772264730404
20231024,83.29,89.4,80.89,82.07,23689500,0.06294522300193806
20231025,83.51,84.09,77.4,77.79,13773200,-0.052150588463652614
20231026,77.2,79.16,73.15,74.61,8294500,-0.04087929383917821
20231027,76.45,76.5,70.42,70.78,9010600,-0.051333625515656456
20231030,72.05,74.08,71.88,73.6,6454600,0.03984175958546454
20231031,73.6,77.47,73.56,77.12,6334600,0.04782614599779689
20231101,77.42,79.41,75.87,77.81,6878600,0.00894702784540935
20231102,81.71,84.8,80.81,84.6,12596200,0.08726386233869521
20231103,83.79,88.34,82.05,85.8,12193500,0.014184451528137965
20231106,86.82,89.27,84.09,86.37,9881900,0.006643352850236761
20231107,86.2,89.49,84.3,89.07,6762300,0.031260818135715907
20231108,88.8,89.15,84.69,88.32,7286000,-0.008420343578867007
20231109,92.9,99.82,91.37,92.86,20941400,0.051403996050889855
20231110,94.4,96.22,91.8,92.92,9827900,0.0006461076696036017
20231113,91.78,93.27,88.62,92.64,8860400,-0.003013331734981195
20231114,94.91,95.32,89.79,92.09,10137700,-0.00593699325757191
20231115,93.92,100.15,93.07,98.15,11968900,0.06580524952735689
20231116,97.68,97.89,94.45,96.92,7073800,-0.01253187302915404
20231117,97.0,99.43,94.9,99.05,7361800,0.02197693895020092
20231120,100.71,106.46,100.01,106.1,10962900,0.07117612524130212
20231121,104.0,106.06,101.34,105.49,9348200,-0.0057492989549886575
20231122,106.17,109.99,103.36,109.25,10340100,0.03564320990020464
20231124,108.45,116.94,107.98,115.54,11654600,0.05757437908949514
