datetime,open,high,low,close,volume,return
20230718,187.4406,188.4834,187.1775,187.4991,925400,0.00130093148813204
20230719,187.5186,187.889,184.3025,187.0606,1155700,-0.0023387156562681977
20230720,188.1716,188.9025,186.8851,188.4932,838900,0.007658572910490102
20230721,188.5809,189.8381,187.4894,187.694,1284200,-0.004239829529305683
20230724,188.0936,188.6297,186.0763,186.583,1120600,-0.005919167632193134
20230725,186.008,187.1873,185.2284,187.0118,1186700,0.002298185805484687
20230726,186.0568,186.661,182.1195,182.9381,1635700,-0.02178319400574802
20230727,183.0356,184.283,181.9928,182.5678,1409100,-0.002024433496846667
20230728,183.2402,183.2402,181.1546,181.8173,1104800,-0.004110487112071293
20230731,182.7627,182.7627,179.3614,182.1487,1527500,0.0018224877158738995
20230801,182.7432,184.5169,182.1292,184.2928,1528800,0.011771090222518543
20230802,183.1038,187.7915,182.2169,186.5635,1891000,0.012321354232041282
20230803,187.6063,189.4288,185.8618,186.4953,1640900,-0.00036559551542714175
20230804,182.4313,183.7178,179.3224,180.6186,9042300,-0.03151121360983988
20230807,181.5152,182.8212,180.5114,181.8369,4504300,0.006744770770891639
20230808,181.4568,184.1076,180.2288,180.6576,4106700,-0.00648526541387584
20230809,181.2716,182.1,180.1508,180.989,3870500,0.0018341873053562274
20230810,181.1697,184.5115,180.7887,182.7527,4037400,0.009744975505197928
20230811,182.8113,183.5539,182.0686,183.0849,3044400,0.0018175852141792959
20230814,183.7786,184.4919,182.7136,183.3389,2726700,0.0013878229123962527
20230815,183.7689,184.0913,181.0622,181.199,1470600,-0.011671950623625693
20230816,181.6387,182.1175,179.0884,179.7822,2195000,-0.007819245361223026
20230817,178.9614,180.0069,175.0138,175.8834,2302500,-0.021686008688526437
20230818,175.6685,177.6032,175.3656,176.2743,1174600,0.002222319387966909
20230821,176.5283,177.183,175.6489,176.841,1030400,0.003215027433469686
20230822,176.6358,176.9094,173.851,173.8901,1123400,-0.016686809981454664
20230823,174.4568,174.7109,173.0986,173.7044,1488200,-0.0010677372587126754
