datetime,open,high,low,close,volume,return
20230829,513.5163,521.906,513.5163,521.6177,1468500,0.012272082327469347
20230830,521.5792,523.2033,518.2925,521.1275,1292800,-0.0009398345577588119
20230831,518.9555,530.6801,518.9555,527.8739,2086500,0.01294577410360298
20230901,531.5163,531.9103,519.5707,523.04,1437700,-0.00915734482671704
20230905,524.4622,527.7874,522.7997,523.5012,1714300,0.0008818497536666747
20230906,520.6085,527.2973,519.1285,525.3848,1476600,0.003598092769490302
20230907,527.2684,529.5172,523.0783,527.2396,1340000,0.003530243421599133
20230908,527.6721,530.8531,526.7399,529.7095,1075300,0.004684606090578303
20230911,531.2664,537.59,530.3534,537.0038,1388600,0.013770400379777836
20230912,537.4843,538.5606,534.505,537.0133,1055500,1.7730758433254223e-05
20230913,536.5424,538.599,533.0058,537.9455,1162700,0.0017358786673888904
20230914,542.7987,544.615,538.4164,542.7603,1257300,0.008950271616945393
20230915,543.2986,543.4715,533.89,534.6781,2945300,-0.014890834879940362
20230918,536.4271,542.2028,535.7447,540.7901,1003100,0.011431176075887173
20230919,539.7522,543.2984,537.6283,542.3566,1144700,0.002896627147711106
20230920,542.3566,547.0368,540.7324,541.8569,1311500,-0.0009213400450372999
20230921,542.0875,542.568,532.6791,533.4479,1687700,-0.015518851947609047
20230922,533.5246,541.0302,533.1595,536.821,1527300,0.006323219309817718
20230925,537.6861,539.3968,533.1212,536.85,1313300,5.4119967823673676e-05
20230926,537.3593,539.4927,530.4879,531.4105,2425100,-0.010132278642267178
20230927,526.048,544.4228,523.5012,541.5686,4591400,0.019115317866958748
20230928,542.0875,549.8814,542.0875,546.4698,2192400,0.009049978248766521
20230929,547.7864,548.7378,538.8489,542.9429,1887500,-0.006454000905358304
20231002,545.7779,549.4586,542.0203,549.0454,1831700,0.011239744340332702
20231003,548.8435,553.7352,541.0689,543.0197,2007400,-0.010974858708073798
20231004,547.2963,550.2947,541.7896,549.5163,1798800,0.011963805105973169
20231005,549.8718,552.3513,542.3662,547.3251,1579700,-0.003987437904540259
20231006,544.0289,544.8554,521.4831,535.8025,4246700,-0.021052649186634853
20231009,533.371,537.9358,528.3544,537.1862,1781500,0.0025825337742242382
20231010,538.0993,544.8553,535.5237,540.1848,2176800,0.005581928676340553
20231011,542.837,544.4227,538.3683,543.481,1449800,0.006101993054089094
20231012,545.9123,546.9599,540.4633,541.8088,1458000,-0.0030767962596435217
20231013,541.876,545.3262,540.0789,544.7496,1243900,0.005427737652212272
20231016,547.4884,551.7265,546.364,549.939,1428300,0.009526309674306788
20231017,549.6508,553.6102,548.4687,551.9573,1404600,0.0036699514250571053
20231018,551.5536,554.8019,549.7085,552.2456,1311900,0.0005223775298930367
20231019,551.3422,553.4084,542.1259,543.5867,2019600,-0.015679501042883293
20231020,544.4613,544.5862,530.4976,531.3817,2295400,-0.022452640452794048
20231023,532.5446,535.2162,525.3273,530.7667,1776500,-0.0011574565956647964
20231024,530.584,534.3224,527.922,530.3342,1678600,-0.0008148498156813622
20231025,527.1723,532.2465,524.3468,528.5562,1757500,-0.0033526316910068577
20231026,528.2296,533.0443,524.2701,526.2594,1925300,-0.004345333829722908
20231027,526.2593,526.6726,519.1765,521.8674,1503100,-0.008345632929934399
20231030,524.4718,534.6779,522.4537,533.2556,1696200,0.021821985629469687
20231031,530.6416,532.4388,527.6624,530.9107,1394700,-0.004397346415073611
20231101,533.371,536.6769,528.2295,535.1008,1735300,0.007892333810161967
20231102,535.7941,538.6921,531.4712,535.2838,2100600,0.00034196059537183743
20231103,536.5932,542.0426,534.5713,540.0304,1826800,0.008867411850961515
20231106,539.6357,551.3433,539.2891,548.6185,2056900,0.01590305811869941
20231107,551.1987,552.537,548.3681,550.0145,1373100,0.0025445660631517875
20231108,550.8329,551.6705,543.2942,546.2693,1343600,-0.006809346077729206
20231109,547.8291,547.8291,541.0992,542.3123,1288400,-0.0072436256407207855
20231110,546.77,556.3883,543.9201,555.6469,1908800,0.024588404709155354
20231113,553.6058,558.3717,552.152,556.7156,1650700,0.0019233897707080505
20231114,560.095,569.54,559.5847,568.8179,2037600,0.021738627546792122
20231115,571.8891,577.5696,571.3115,574.5754,2165100,0.010121881918280673
20231116,564.5623,564.7645,550.9484,557.0525,2954700,-0.030497109416420032
20231117,557.3606,558.3426,552.7007,555.6757,1773600,-0.0024715265503112427
20231120,555.8587,560.6533,555.8587,559.1899,1624100,0.006324120396858923
20231121,560.3453,563.1855,556.2149,562.5597,1173700,0.006026239261487376
20231122,565.0149,569.1453,564.5335,567.1619,1068600,0.00818088097855929
20231124,569.0297,572.0914,568.4424,569.3571,645800,0.0038703750954680594
20231127,570.4737,577.6177,570.3678,572.7652,1627400,0.005985948634409599
20231128,571.1188,575.1914,569.4146,571.8986,1286800,-0.0015129710251875483
20231129,573.0542,573.0638,565.5636,565.9872,1319800,-0.010336407083595733
20231130,565.9583,571.0033,561.1444,570.6856,1755200,0.008301184011663798
20231201,571.2056,574.1613,568.6157,574.0651,1475300,0.005921746614185208
20231204,570.1176,577.223,569.4533,576.7897,1624000,0.004746274566258313
20231205,576.2602,586.2251,574.816,582.8264,2349700,0.010466001341993048
20231206,582.9709,585.84,581.3919,584.8291,2233900,0.003436161251176628
20231207,587.3034,589.566,583.7892,588.2181,1690400,0.005794816026984284
20231208,585.9556,590.7792,585.1179,588.0545,1502100,-0.0002780843103897812
20231211,598.828,601.7742,595.7374,600.6476,2139300,0.021414919117750175
20231212,604.0945,606.2608,600.0219,606.0779,2374400,0.009040636170409622
20231213,610.3335,618.6905,607.5221,618.1129,2436900,0.019857139692124326
20231214,617.3233,618.0166,606.8481,607.3103,3839200,-0.017476664980442203
20231215,617.6314,637.2531,616.6686,634.3069,8807700,0.04445279940889457
20231218,639.7757,656.5379,636.5022,655.8928,5733400,0.034030648107743255
20231219,649.885,655.4692,644.2238,652.5231,3437300,-0.005137654906669842
20231220,646.7945,649.2592,636.2134,636.4059,3782700,-0.024699703618148328
20231221,641.085,642.51,634.9136,640.4111,2388400,0.006293352514535666
20231222,643.1454,648.2193,641.2198,646.6114,1641700,0.009681777308447659
20231226,647.9691,650.713,645.8221,649.5192,1774800,0.004496945039404565
20231227,652.552,658.3419,650.2872,656.5892,1875900,0.010884986471174418
20231228,655.6537,656.6482,651.459,652.9458,1496900,-0.005548936436032825
