datetime,open,high,low,close,volume,return
20230718,99.455,99.4817,97.7273,98.511,651300,-0.001173803345625779
20230719,99.3214,99.544,98.1815,99.1967,570100,0.006960715871720868
20230720,99.4817,99.8824,98.1014,99.8468,577800,0.006553651997771803
20230721,99.829,100.8175,99.8201,100.5414,501900,0.0069569158870006476
20230724,100.5414,101.5566,100.1852,100.4791,770700,-0.0006200407082411763
20230725,100.4524,100.7908,97.567,98.6802,868200,-0.017903194503627762
20230726,98.8227,99.9448,98.324,99.6064,724700,0.009385419798702888
20230727,99.8557,99.9626,96.4004,96.8813,1010100,-0.027357906995340797
20230728,97.9767,98.1993,96.5964,96.632,884800,-0.0025738614931136716
20230731,96.908,97.9054,96.3292,97.1485,1407500,0.00534504639521427
20230801,96.8279,97.2286,95.9997,96.5429,1476700,-0.0062331914104941655
20230802,96.1155,96.534,95.2071,95.4565,744600,-0.011253529001527207
20230803,95.2427,95.2427,92.9897,94.8331,988000,-0.006530621966432615
20230804,95.2873,99.1344,95.0557,96.6587,1495500,0.019250741132535998
20230807,96.9704,98.1548,96.445,97.8698,906500,0.012529787677233228
20230808,96.8635,97.2643,95.5277,96.7299,693700,-0.011646717584482436
20230809,96.4628,96.908,95.8216,96.7477,751000,0.00018401102709542094
20230810,96.9437,97.7897,95.4654,95.9106,801900,-0.008652447247325279
20230811,95.3763,96.3381,95.2873,96.0531,614800,0.0014856179203257547
20230814,95.8572,95.9285,94.1029,94.468,730900,-0.016502863094124187
20230815,93.5329,94.7441,93.3993,94.4146,810200,-0.0005655741789342139
20230816,94.3967,94.842,93.6843,94.3433,806000,-0.0007547411318724606
20230817,94.4858,96.0976,94.3077,94.6995,562100,0.003775666428697866
20230818,93.9248,95.2427,93.9248,94.5659,510400,-0.0014103578075985723
20230821,94.3255,94.6105,93.1144,93.6131,527300,-0.010076202826845515
20230822,93.9871,94.1652,93.3993,93.6042,485500,-9.527261210684479e-05
20230823,94.1652,95.2962,93.7823,94.931,475400,0.014175535443973653
20230824,95.0468,96.534,94.842,94.9489,448300,0.00018773906391822415
20230825,95.1537,96.0353,95.0646,95.4298,440100,0.005064789157018579
20230828,95.7771,96.8635,95.7771,96.0709,350000,0.006718888534453793
20230829,96.3381,96.5964,95.599,96.445,318400,0.0038932797425328403
20230830,96.9615,97.1663,95.599,96.4628,644700,0.0001846338443487472
20230831,96.5162,96.6765,95.5188,95.8394,773800,-0.006462336191439655
20230901,96.1778,96.249,94.5481,95.0557,471400,-0.008177051445315109
20230905,94.9043,95.216,93.6754,93.7466,460400,-0.01377181289501106
20230906,93.2747,93.9604,92.8472,93.2925,528400,-0.004844656290154958
20230907,93.0787,93.3548,92.3218,92.6068,842800,-0.007349998323523899
20230908,92.7938,92.9363,90.8435,91.7162,838300,-0.009616371649263988
20230911,91.7964,91.9211,90.3893,90.612,578000,-0.012039916385980454
20230912,90.6298,92.2505,90.1043,92.1348,689700,0.016805689665102097
20230913,92.0992,92.6157,90.6921,90.8969,607900,-0.013435005856104132
20230914,91.6717,92.3574,91.5025,92.0992,608400,0.013226156729499783
20230915,91.6005,92.4108,91.3066,91.6094,1043000,-0.005318093180534222
20230918,91.5648,91.5737,90.042,90.7901,521400,-0.00894338518293103
20230919,90.9593,91.2353,90.4784,90.8079,434900,0.00019613387691719275
20230920,91.547,92.117,90.8702,91.0127,321400,0.0022555173680129936
20230921,90.4339,90.4873,88.3055,88.35,769400,-0.02925624192371412
20230922,88.5281,88.8309,87.1122,87.2279,553500,-0.012700373076103721
20230925,86.7114,87.0854,86.3819,87.0053,569000,-0.0025524051227230338
20230926,86.1682,86.7381,85.527,85.8476,570600,-0.01330599662082177
20230927,85.9812,86.4532,84.3604,84.494,825300,-0.015767562208862884
20230928,84.755,85.835,84.692,85.16,485800,0.007882403240872637
20230929,86.492,86.861,84.71,85.124,807100,-0.0004226806608188527
20231002,84.728,85.322,83.315,83.747,488400,-0.0161767469815699
20231003,83.495,83.792,82.6399,83.261,1304700,-0.005803377880587823
20231004,83.738,84.395,82.7929,84.341,638300,0.012971562825867533
20231005,84.224,84.818,83.729,84.8,609500,0.005442189916525342
20231006,84.044,86.483,83.666,86.213,741200,0.01666330331447785
20231009,85.61,88.4091,85.61,87.6801,843300,0.017016377002922356
20231010,87.5811,88.4721,86.6,86.681,645700,-0.011394050729695238
20231011,87.2751,88.1931,86.735,87.6801,944000,0.01152537139606058
20231012,87.4191,87.6801,86.555,86.933,683200,-0.00851980365112559
20231013,87.3921,87.5091,86.06,86.8251,441600,-0.0012422673138099416
20231016,87.392,87.6351,85.952,87.176,1316700,0.004042500338083288
20231017,86.672,88.1481,86.672,87.8241,775800,0.007433440180047102
20231018,87.4101,87.5091,85.664,85.808,1055200,-0.022955493635587687
20231019,85.043,86.51,84.575,84.638,742600,-0.013635335485961297
20231020,85.016,85.259,83.486,83.567,674400,-0.012654332366625942
20231023,82.8649,83.648,82.2619,82.6489,896400,-0.010985468473028392
20231024,82.8019,84.377,82.8019,84.323,792800,0.020254942300632406
20231025,83.702,84.179,82.2979,82.3429,700100,-0.02348190643428716
20231026,82.7299,83.0449,80.4079,80.8849,1341500,-0.017706720865506287
20231027,80.1019,80.1019,75.0528,75.5838,3526800,-0.06553911643790711
20231030,76.3668,77.1408,74.5307,75.5388,1421800,-0.0005955435576520118
20231031,74.8008,76.4568,74.6118,76.3938,1068700,0.011319141389126042
20231101,76.2318,76.5648,75.0168,76.2138,1420300,-0.0023562164195717328
20231102,77.8698,79.0398,77.5098,78.8238,1045200,0.03424647935120628
20231103,79.9939,83.243,79.9489,81.5149,1377700,0.03414031071085888
20231106,80.8039,81.0019,78.8418,79.2108,792200,-0.02826561870134403
20231107,79.2289,79.2289,77.6268,77.9778,573600,-0.015566264354685888
20231108,78.4009,79.3639,78.1488,79.0939,470600,0.01431221510051639
20231109,79.3369,79.4809,78.0228,78.4008,907300,-0.008762040981804664
20231110,79.1209,79.8769,78.0858,79.5979,968500,0.015267967445022013
20231113,79.0308,79.0308,76.7718,77.9868,1052400,-0.02023981287928145
20231114,80.6959,82.8829,80.1019,80.9839,1351600,0.03843076738856843
20231115,80.5699,81.5599,79.9489,80.0029,1413800,-0.012113834718060934
20231116,80.4349,80.5609,78.7698,78.8148,1356700,-0.014849890398161869
20231117,79.5169,79.7689,78.1038,78.6168,1306400,-0.002512385750046975
20231120,78.3828,79.9939,77.8518,79.7419,1760200,0.014310300019428457
20231121,79.4899,79.8229,78.7608,78.9318,1040900,-0.01015803211771682
20231122,79.8859,80.0119,79.1119,79.5799,503600,0.008209937312453341
20231124,79.2019,79.8769,79.1749,79.8589,186100,0.0035059990740786695
20231127,79.8049,80.2459,79.3099,79.5079,848300,-0.004395513898905579
20231128,79.2919,80.7229,78.8508,80.4619,1255100,0.011999131774352634
20231129,81.3169,82.4509,80.5969,80.7769,1881200,0.003915022330106321
20231130,80.6869,81.3079,80.1109,81.2359,1913700,0.0056825968593983145
20231201,81.2989,83.864,81.2989,83.36,795600,0.02614664087844254
20231204,82.6489,83.909,82.3969,83.738,804100,0.00453462274063976
20231205,83.351,83.792,82.2709,83.738,1087300,0.0
20231206,84.143,85.079,83.63,84.053,939200,0.0037618547076210263
20231207,84.062,84.674,83.45,84.062,667400,0.00010692573798731786
20231208,83.711,84.917,83.567,84.287,1075400,0.002676760296855152
20231211,83.927,84.548,83.504,84.08,698000,-0.002455994539297568
20231212,84.242,85.115,83.531,84.692,753900,0.007279051007528681
20231213,84.8,88.9581,84.728,88.3011,1136500,0.04261406144756541
20231214,90.3834,93.1112,90.3743,92.3929,1430500,0.04633941652856022
20231215,91.1108,91.82,89.1103,89.9742,2253300,-0.02617868361337461
20231218,90.447,90.8925,89.6377,90.4197,1202000,0.004951966375572603
20231219,90.8107,91.1108,89.174,89.5377,1901300,-0.009754468045035991
20231220,89.3376,90.0014,88.001,88.0101,940600,-0.017061258343745167
20231221,88.9739,89.2104,87.6464,88.4193,855000,0.0046494096825686615
20231222,88.983,89.6286,88.7012,88.9194,1602700,0.005656083218888552
20231226,89.1922,89.9196,88.8921,89.5286,693300,0.006851315530489455
20231227,89.5832,90.5107,89.174,89.9105,762200,0.004265897710319377
20231228,89.6014,91.3927,89.5195,91.3199,810900,0.0156755950400993
20231229,90.9289,91.2017,90.2197,90.2833,753500,-0.011351282030931165
20240102,90.1651,91.4745,89.7559,91.2744,960300,0.01097787861292776
20240103,90.7107,90.7107,88.783,88.9376,657300,-0.025602740463428697
20240104,88.5466,90.0287,88.3647,88.9376,840200,0.0
