datetime,open,high,low,close,volume,return
20230829,52.0611,52.4769,51.8394,52.2551,17859100,0.006405617029942912
20230830,52.3198,52.5785,52.2366,52.4861,12145400,0.0044201619068899856
20230831,52.754,53.1513,52.56,52.985,22619700,0.009505109268782563
20230901,53.0219,53.7611,53.0219,53.4377,14080400,0.008544175480874383
20230905,53.4192,53.4192,52.8741,52.9018,13885000,-0.010027717710523354
20230906,52.754,53.0959,52.7263,52.8095,11380400,-0.001746335061544979
20230907,52.6339,52.7448,52.3475,52.4676,14762000,-0.006472988905697252
20230908,52.4399,52.7263,52.2551,52.3567,13992000,-0.0021131923695033583
20230911,52.4029,52.6339,52.1443,52.5138,15842300,0.0029999256102382077
20230912,52.3383,52.5323,52.0519,52.0981,13916100,-0.00791701053473004
20230913,52.0334,52.2274,51.8117,51.9964,13092200,-0.0019506203104385778
20230914,52.1258,52.172,51.8117,52.0796,15760300,0.0015992013237320357
20230915,52.0242,52.0981,51.3128,51.7747,44029200,-0.005854302613937823
20230918,51.747,51.9964,51.5807,51.8394,11825000,0.0012492238860448701
20230919,51.904,51.9318,51.2388,51.5899,10748500,-0.004812139359979706
20230920,51.6916,51.7839,51.2204,51.2758,12219900,-0.0060887365472374055
20230921,49.3449,49.9824,48.8275,49.2802,37436100,-0.03891890009882715
20230922,49.3356,49.7329,49.1509,49.4927,17869500,0.004312029792909566
20230925,49.3911,49.5943,49.1139,49.4096,14224400,-0.0016800245718141538
20230926,49.1324,49.2432,48.5781,48.6982,15618400,-0.01439800661158408
20230927,48.8645,49.3079,48.5319,49.1509,15845500,0.009296150714922513
20230928,49.3079,50.0655,49.2894,49.7791,17204400,0.012781845121654145
20230929,50.0378,50.0747,49.428,49.6682,13951200,-0.002227094006326147
20231002,49.7422,50.2595,49.7144,50.2503,13934000,0.011718840604198144
20231003,50.12,50.1479,49.6454,49.9246,15700600,-0.006481607723544558
20231004,49.9339,50.1107,49.5244,49.7385,17009000,-0.0037278515546710356
20231005,49.6919,49.7571,48.9289,49.3849,14929400,-0.007109482175407411
20231006,49.3104,50.0176,49.0778,49.7385,15665500,0.007160388832178732
20231009,49.6454,50.2131,49.5524,50.1758,10163600,0.008793323047498136
20231010,50.2131,50.334,49.9246,50.1293,13105600,-0.0009272200671223141
20231011,50.1851,50.3713,49.6454,49.9339,12658000,-0.0038984559892246695
20231012,50.2689,50.455,49.7943,50.1107,11846100,0.0035409824543712887
20231013,50.1386,50.362,49.7292,50.0363,14413800,-0.0014856631903498174
20231016,50.3154,50.7993,50.2875,50.3992,11736600,0.007253193542128056
20231017,50.0549,50.2317,49.4779,50.1945,17105900,-0.004062113060229411
20231018,50.0549,50.4271,49.8781,50.0363,13087300,-0.0031516528697939084
20231019,50.0269,50.1851,49.5058,49.6175,16325600,-0.008369022555588468
20231020,49.6826,49.8688,49.1336,49.2546,23888700,-0.007314331105469862
20231023,49.1522,49.1801,48.5381,48.5753,17760000,-0.013791654358797811
20231024,48.6311,49.3663,48.445,49.329,14824200,0.01551706928667107
20231025,49.4221,49.664,48.6963,48.7614,14384700,-0.011507187710076416
20231026,48.2682,48.5101,47.7471,47.8029,17594500,-0.019656552478833134
20231027,48.0542,48.5288,47.8308,47.9797,13333900,0.003698754297856821
20231030,47.7843,48.0542,47.5424,47.989,13322400,0.00019407524299563939
20231031,48.1565,48.5474,48.0914,48.5101,13509300,0.010858871082811694
20231101,48.4264,48.6497,48.2031,48.566,14300700,0.0011509327698302485
20231102,48.6869,49.1336,48.5567,49.0871,17459700,0.010730108948999506
20231103,49.5617,49.7385,48.9754,49.329,17644900,0.004928781619607081
20231106,49.2918,49.5989,49.2081,49.5896,15429600,0.0052819865336137806
20231107,49.6361,49.7292,49.2918,49.4407,15153100,-0.003002320376946588
20231108,49.6826,49.785,49.1057,49.3197,13633800,-0.002446803511848228
20231109,48.5008,48.9196,48.1565,48.3892,21039400,-0.018868004793303306
20231110,48.6218,48.9754,48.324,48.9382,17369000,0.01134629921854513
20231113,48.8358,48.9847,48.4729,48.6032,14931600,-0.00684558311356831
20231114,48.8265,49.664,48.8265,49.4779,18331000,0.01799720352388956
20231115,49.571,49.7199,49.357,49.5803,32188200,0.0020691056778936456
20231116,44.1179,44.7228,42.9919,44.7041,79057800,-0.09834844879752713
20231117,44.7135,45.0019,44.4157,44.4436,32593700,-0.005828265959252454
20231120,44.2575,45.0112,44.2482,44.9182,27421000,0.010678228166702164
20231121,44.9182,44.9926,44.3505,44.4808,21510500,-0.009737045255935661
20231122,44.7414,44.9926,44.6204,44.7414,17308400,0.005857787090227662
20231124,44.7507,45.0391,44.7135,45.0019,8209500,0.005823758513319399
20231127,44.974,45.0112,44.5832,44.6018,17651600,-0.008891763446338241
20231128,44.6204,44.8437,44.4901,44.5273,16360900,-0.0016690772709649915
20231129,44.7693,45.0764,44.6948,44.7134,16700500,0.004179712204009256
20231130,44.8437,45.1322,44.6111,45.0205,37165000,0.006867887878558854
20231201,44.9275,45.3928,44.6855,45.1043,18744700,0.0018602995137293465
20231204,44.7228,44.8344,44.4622,44.7134,17812900,-0.008665221335443452
20231205,44.4343,44.6297,44.2854,44.6018,20985000,-0.0024974060181743862
20231206,44.7321,44.8623,44.3412,44.3878,19535500,-0.0047985436990771735
20231207,44.5832,45.0019,44.4808,44.9089,20478500,0.011739961141232325
20231208,44.9275,45.216,44.8623,45.0205,16039900,0.0024865386461263572
20231211,45.5417,46.0069,45.4579,45.9604,25618900,0.020876449760516724
20231212,46.1372,46.1465,45.6999,45.9046,18712200,-0.0012146998350962557
20231213,45.8208,46.2489,45.4207,46.2396,18689200,0.007297644455624308
20231214,46.528,46.5373,45.7557,46.0069,28418700,-0.005031256223483882
20231215,46.0535,46.4629,45.9976,46.4071,58860100,0.008697443874352784
20231218,46.4536,46.8072,45.9697,46.7514,20453100,0.007419277808625946
20231219,46.8724,46.9561,46.3792,46.6955,17035800,-0.001194230258788731
20231220,46.6397,46.8351,46.3326,46.3419,17812200,-0.007572773926090903
20231221,46.4629,46.5094,45.9511,46.2489,18772300,-0.0020081066760265776
20231222,46.3792,46.891,46.3792,46.6118,12903800,0.007847333160451164
20231226,46.6304,46.9003,46.5746,46.7886,9721200,0.0037931078506889815
20231227,46.8072,47.0492,46.7886,46.9375,10414300,0.0031820529895920657
20231228,47.0678,47.1143,46.9189,46.9747,8549900,0.0007930508653788415
20231229,46.9468,47.0771,46.7328,47.0119,12492900,0.0007923412266175323
20240102,46.984,47.3283,46.7607,47.0026,20242900,-0.00019790819396725556
20240103,47.0495,47.5278,46.8338,47.3684,20303900,0.007781303785745486
20240104,47.3027,47.3684,46.8807,46.9651,18134100,-0.008513099510732314
20240105,47.0589,47.2371,46.7682,46.9745,13989300,0.0001996487222157839
20240108,46.6556,47.359,46.5994,47.3215,18070300,0.007386665120469482
20240109,46.8526,46.9276,46.3556,46.8057,20489200,-0.010899600339926319
20240110,46.8901,47.1902,46.7213,47.1152,15174200,0.006611989471412505
20240111,47.3121,47.359,46.9276,47.3027,16458300,0.0039807431972900265
20240112,47.359,47.6591,47.1714,47.209,18785700,-0.0019824798554466394
20240116,47.1245,47.4434,46.9557,47.4434,17015900,0.004966165929042532
20240117,47.1152,47.2934,46.8057,47.1714,17370600,-0.005732330026159027
20240118,47.1714,47.6403,47.1527,47.5935,18487500,0.008946434045957297
20240119,47.5934,48.1936,47.5747,48.0811,23015300,0.010246195638495825
20240122,48.3437,48.5594,48.2124,48.3624,20298700,0.005851316068099077
20240123,48.1936,48.5969,48.1092,48.5406,15044300,0.0036843571550042586
20240124,48.7657,48.7657,48.0248,48.1186,19458500,-0.008694002515121424
20240125,48.5312,49.2909,48.5312,49.0752,18936600,0.01987917240565773
20240126,49.1596,49.3471,48.7563,48.897,13160300,-0.003630926090976261
20240129,48.6156,49.1314,48.6063,49.0377,13492400,0.0028768804243328727
20240130,49.047,49.1596,48.7657,48.9908,14322100,-0.0009560536594256375
20240131,48.625,48.7094,46.9557,47.0589,29311800,-0.03943341231244024
20240201,47.1058,47.3215,46.7213,47.0589,20635700,0.0
20240202,47.0214,47.2465,46.5337,47.0589,20533100,0.0
20240205,46.8338,47.0308,46.1961,46.4306,19602000,-0.013351996010443457
20240206,47.1808,47.4622,46.6932,46.8713,19265800,0.00949299983280616
20240207,47.1714,47.2183,46.3837,46.6744,16794400,-0.00420150045914236
20240208,46.7963,46.8807,46.4681,46.8432,19599000,0.0036165508076351216
20240209,46.8244,47.1339,46.5431,47.012,24076900,0.003603518499893932
20240212,46.9182,47.0776,46.4493,46.8807,19046300,-0.00279278135235439
20240213,46.5337,46.8338,46.0836,46.5525,23633700,-0.0070014256889440185
20240214,46.4868,47.2089,46.4681,47.1527,31176400,0.012892990205313204
20240215,45.2583,46.5994,45.1927,46.0086,42766500,-0.024264060102297647
20240216,45.7178,46.0273,45.3802,45.4271,24912300,-0.01263772950357056
20240220,44.9864,45.4553,44.8738,45.2771,26402500,-0.0033030335525698895
20240221,45.4365,45.5021,44.9207,45.4646,15981300,0.004142516799696905
20240222,45.2677,45.6709,45.1552,45.549,22020300,0.0018563918739624707
20240223,45.5959,46.0836,45.4834,45.821,13141900,0.005970818747704332
20240226,45.8116,45.8585,45.3521,45.3896,13018700,-0.009414570793476407
20240227,45.1552,45.4365,45.0332,45.3052,12515400,-0.0018595441570300464
20240228,45.202,45.4646,45.0239,45.0708,14635100,-0.005175014265579647
20240229,45.1927,45.4646,45.1364,45.3615,22962500,0.006450259787788903
20240301,45.1177,45.4084,44.6956,45.3896,18508100,0.0006203727484050958
20240304,45.3615,46.3931,45.2302,46.0742,25214500,0.01508259574748827
20240305,45.9898,46.0179,45.549,45.9054,18101300,-0.0036638282733253424
20240306,45.9335,46.3368,45.9242,46.1117,20903600,0.00449441470189238
20240307,46.3649,46.4024,45.7929,45.8585,21224700,-0.005491106403009316
20240308,45.8304,46.6838,45.8116,46.4212,19316200,0.012269898334106077
20240311,46.6275,47.1714,46.4962,47.0964,17715100,0.014545440202047288
20240312,47.3965,47.4059,46.7869,46.9557,17590400,-0.0029867874244059456
20240313,46.9182,47.0308,46.7307,46.9933,16669900,0.0007988355994223983
20240314,47.1433,47.2183,46.515,46.6932,17239400,-0.0063859084654523945
20240315,46.6932,46.8526,45.8585,45.8866,57049200,-0.017272572122436936
20240318,46.1586,46.5712,45.9335,46.2055,17406700,0.006948759858437681
20240319,46.0648,46.515,45.9242,46.0836,19601100,-0.00263868013980606
20240320,45.9898,46.4962,45.896,46.4681,18554100,0.008343505345045132
20240321,46.6181,47.0683,46.4775,46.7776,26102900,0.00666011127850763
20240322,46.937,46.9839,46.6275,46.6838,15022900,-0.0020048184470697894
20240325,46.4775,46.665,46.2243,46.59,16191200,-0.002008927531769622
20240326,46.4681,46.7119,46.4024,46.4681,13842900,-0.0026168219401687676
20240327,46.6744,46.7963,46.3368,46.6744,17231000,0.00444015627852723
20240328,46.7869,47.0777,46.7119,46.8057,18139700,0.0028129000937033855
20240401,46.8526,47.0776,46.7682,46.9276,15138100,0.002604518138471734
20240402,46.8526,46.9745,46.093,46.2899,16414400,-0.013588836550521233
20240403,46.1386,46.5357,46.0063,46.0819,22210000,-0.004493588675444471
20240404,46.4128,46.8477,45.4201,45.4863,17374000,-0.012925810014392303
