datetime,open,high,low,close,volume,return
20230718,90.6,91.45,90.15,91.23,1968500,0.006842542130070406
20230719,91.65,92.3,91.24,91.61,2101600,0.004165266243948862
20230720,91.46,91.99,90.03,90.22,1648400,-0.015173009282693717
20230721,90.52,91.37,89.92,90.68,6804200,0.005098637533238026
20230724,90.85,91.01,90.02,90.58,2530000,-0.0011027621723043168
20230725,90.24,91.93,90.24,91.8,2542000,0.013468770104229089
20230726,86.83,87.58,81.68,84.38,6483700,-0.08082794718597519
20230727,84.53,84.84,80.07,80.16,4846900,-0.050011776827092236
20230728,81.34,82.37,80.83,81.68,3090600,0.018962033104108933
20230731,81.83,84.05,81.56,83.97,2638600,0.028036250085349712
20230801,83.38,83.5,82.79,83.12,1897800,-0.010122644536910252
20230802,83.0,83.12,81.96,82.18,1528900,-0.011308979912719064
20230803,81.89,82.44,80.62,80.92,1752700,-0.015332223552585122
20230804,81.14,82.48,80.58,81.41,1220400,0.0060554313427074735
20230807,81.56,81.91,81.08,81.55,1260700,0.0017196828811052445
20230808,81.15,82.1,80.55,81.88,1249600,0.004046525926562072
20230809,81.94,82.25,81.11,81.25,1238900,-0.00769415332865897
20230810,82.24,82.43,80.37,80.73,1217800,-0.006399958683894202
20230811,79.99,80.88,79.5,80.84,1442600,0.001362479578636
20230814,80.74,81.56,80.22,81.31,1003800,0.005813968851985596
20230815,80.6,80.9,79.62,79.87,1097200,-0.01770993549684996
20230816,80.0,80.64,79.26,79.37,898000,-0.0062601725654929385
20230817,79.53,79.67,77.77,77.88,1063100,-0.018772904644106636
20230818,77.41,78.59,77.17,78.29,1240600,0.005264556709924317
20230821,78.05,78.99,77.84,78.52,1126200,0.002937740769568098
20230822,78.78,79.44,78.62,79.08,836600,0.007132007283876085
20230823,79.4,80.75,79.14,80.32,986600,0.015680296346207045
20230824,80.78,81.17,79.5,79.56,1023700,-0.009462178026868773
20230825,79.62,80.63,79.26,80.2,743400,0.008044235913621023
20230828,80.76,81.95,80.55,81.77,1021100,0.019576056790094887
20230829,81.72,82.72,81.37,82.37,1395500,0.00733772934019683
20230830,82.34,83.39,82.09,82.6,1259200,0.002792226780016893
20230831,82.47,82.82,81.94,81.99,2124200,-0.007384995419130402
20230901,82.93,83.21,82.03,82.57,1731000,0.007074055935681223
20230905,81.15,83.75,81.15,83.08,1393800,0.006176603344016263
20230906,83.26,83.66,82.46,82.99,1504900,-0.0010833409400757832
20230907,82.92,83.84,82.79,83.62,1192500,0.007591335088918516
20230908,83.8,84.16,82.17,82.57,1192700,-0.012556840675309933
20230911,82.86,82.89,81.91,82.41,1180400,-0.0019377017476829295
20230912,82.26,82.32,81.38,81.76,1320800,-0.007887410471961509
20230913,81.76,82.04,80.96,81.04,1691800,-0.00880627693115077
20230914,81.33,81.56,79.94,80.66,1889400,-0.004689008503517389
20230915,80.74,80.85,78.34,79.12,4510200,-0.01909249746601205
20230918,79.19,80.01,78.75,79.72,1182700,0.007583398044649581
20230919,79.67,80.17,78.91,80.06,1296500,0.004264881242906027
20230920,81.05,81.77,80.71,81.13,1940000,0.013364972863521674
20230921,80.5,80.5,78.07,78.23,2005700,-0.03574502643487021
20230922,78.36,79.03,77.98,78.06,1325800,-0.0021731534071930403
20230925,77.83,78.64,77.49,78.12,1100600,0.000768705993658747
20230926,78.0,78.11,76.03,76.3,1404100,-0.02329748631382178
20230927,76.42,76.95,75.78,76.35,1332300,0.0006552479733108463
20230928,76.56,77.4,76.1,76.81,1106900,0.006024873525420915
20230929,77.28,78.07,76.53,76.89,1599800,0.0010415549225042398
20231002,76.78,77.13,75.32,75.97,1553200,-0.01196512129338334
20231003,76.09,76.96,74.66,75.16,1602100,-0.010662071154120434
20231004,75.26,76.63,74.95,76.43,1344600,0.016897240303178185
20231005,76.67,79.63,76.44,79.49,2578700,0.04003660272635812
20231006,78.63,81.2,78.04,80.64,2284700,0.014467248166867286
20231009,80.03,81.91,79.9,81.57,1350800,0.011532741966949533
20231010,81.41,82.83,81.06,82.0,1528100,0.0052715496724842215
20231011,82.23,82.63,80.84,81.87,1629800,-0.0015853323587556867
20231012,82.05,82.63,79.78,80.18,1195100,-0.020642511111639172
20231013,80.48,80.68,79.38,80.3,1196000,0.0014966668262070826
20231016,81.85,81.92,80.15,81.62,1539300,0.01643835173920727
20231017,80.8,81.57,79.75,79.8,1569300,-0.022298451771375793
20231018,79.51,79.71,77.52,77.66,1672700,-0.026817033932447942
20231019,78.23,78.52,73.78,73.94,2731500,-0.04790112085093978
20231020,73.94,74.43,72.82,73.84,2729600,-0.00135253043296657
20231023,73.77,74.13,73.03,73.25,2184600,-0.007990199988510471
20231024,73.75,74.31,72.95,74.17,3232400,0.012559701965123793
20231025,68.0,71.3,67.35,70.91,7453900,-0.04395300778369016
20231026,70.91,72.47,70.46,70.86,2853400,-0.0007051621657796492
20231027,70.56,71.17,69.68,70.58,2436300,-0.003951436309414524
20231030,71.28,71.32,69.43,70.79,1928200,0.0029753340751581536
20231031,71.1,74.16,71.01,73.41,3544400,0.037010915562897706
20231101,73.38,73.81,72.3,73.67,2173400,0.0035416767996994114
20231102,74.34,75.09,73.84,74.02,2147900,0.004750895653865106
20231103,75.42,77.78,75.42,77.38,1598300,0.04539314729442512
20231106,77.21,77.37,76.13,77.03,1303800,-0.004523113033654602
