datetime,open,high,low,close,volume,return
20230718,122.5837,123.2435,122.0432,122.6422,1802400,0.00011920585507296799
20230719,122.1211,122.8004,121.1424,122.7225,2288000,0.0006549941797648895
20230720,123.1948,124.1224,122.535,123.4577,1921200,0.005991303586134533
20230721,124.4073,125.2156,123.4577,123.5405,7308800,0.0006705041338279649
20230724,122.9221,124.5095,122.7931,124.3075,1869200,0.006208042832129834
20230725,124.1346,125.9363,123.6915,125.7391,2386000,0.011516440356911462
20230726,125.3885,126.2893,124.9113,125.7561,1249600,0.00013567245756274104
20230727,125.6928,126.1018,122.7541,122.8418,2134000,-0.023174456511682706
20230728,124.0469,124.0469,121.9556,122.3768,1769200,-0.0037855756351825587
20230731,122.6908,122.7395,121.7851,122.2307,1769200,-0.0011936285447420314
20230801,122.3768,123.1437,121.734,122.647,1486800,0.0034061501702138397
20230802,121.2398,122.2258,121.0961,121.6269,1539200,-0.008317641840828283
20230803,121.1911,121.7827,120.7236,120.9817,1098400,-0.0053047071803769
20230804,121.4005,121.4005,119.1995,119.3212,1239200,-0.013724835583735717
20230807,120.0322,121.0036,119.6791,120.3681,1158400,0.008773904671792065
20230808,119.981,120.3949,118.4959,119.4722,1269600,-0.007443543703849476
20230809,119.4576,120.468,119.4576,119.8277,1151600,0.00297539033598726
20230810,119.9908,121.0523,119.0924,119.3383,914400,-0.004083967383016862
20230811,119.2993,119.7497,118.9146,119.3018,1090000,-0.0003061007646892877
20230814,119.4287,120.6177,119.1431,120.4712,1122800,0.009802316539107014
20230815,119.7046,120.0879,119.1382,119.3018,979200,-0.0097071638463877
20230816,119.585,121.355,119.436,119.6948,1392800,0.003294724348217537
20230817,119.5581,120.2026,118.0518,118.1445,1482000,-0.012951983090949915
20230818,118.0444,118.9893,117.5513,118.5156,2612000,0.0031410148409722893
20230821,118.5522,119.1211,117.7881,118.6572,994800,0.0011947279018307277
20230822,118.5083,118.9429,118.1982,118.5571,805600,-0.0008435866836755679
20230823,119.2871,120.0562,118.7085,119.9268,1091600,0.011552480385494501
20230824,120.0977,121.0864,119.0063,119.1162,1008400,-0.0067587460811856515
20230825,119.5312,121.3818,119.3848,121.0962,1149200,0.016622323774231562
20230828,121.25,122.1802,121.0205,121.8482,1257200,0.006209615229531673
20230829,121.582,122.8003,121.4136,122.6416,1054400,0.006511725934217338
20230830,122.8247,123.8428,122.8247,123.5327,1532400,0.007266057803607673
20230831,123.1763,123.9673,123.0518,123.0884,1406400,-0.0035967855095950796
20230901,124.1553,124.1553,122.8565,123.3545,694000,0.0021619069259988244
20230905,122.8857,123.1934,121.228,121.2744,953600,-0.016862728047024822
20230906,120.9766,121.853,120.6592,121.0278,894400,-0.0020331940522956282
20230907,121.0742,121.9287,120.5566,121.46,1376800,0.0035704289633469166
