datetime,open,high,low,close,volume,return
20230725,63.9418,64.6629,63.8944,64.3688,1588000,0.005782002691083532
20230726,64.1316,64.4542,63.7236,64.2929,2298100,-0.001179218307100549
20230727,64.9286,64.9286,62.6134,62.8981,3297400,-0.021694326186935453
20230728,63.0973,63.363,61.9208,62.3952,4911000,-0.007995036012080292
20230731,62.3098,62.8317,62.2909,62.6514,3111800,0.004105943980419857
20230801,62.4047,62.5945,61.8164,62.4806,2689200,-0.0027262448329212763
20230802,62.0916,62.3288,61.3705,61.9967,4792500,-0.007744896411026048
20230803,66.4182,68.1831,64.8717,66.8642,10687900,0.07851225278367746
20230804,67.2058,68.0787,66.9211,67.3671,6268200,0.007521202589130249
20230807,67.8415,68.9896,67.443,67.6802,3858300,0.004647709950464041
20230808,67.1014,67.3007,66.1716,66.665,5515900,-0.015000260963305201
20230809,66.7788,66.8547,65.7636,66.3613,3250700,-0.004554863907990869
20230810,67.0065,67.7751,66.6555,67.443,4131000,0.01629985909585896
20230811,66.9876,67.1014,66.4088,66.4942,2788800,-0.014068840223124934
20230814,66.2854,67.5284,66.2854,67.462,3620900,0.01455506456698008
20230815,67.2722,67.3196,65.5928,65.83,5545700,-0.024191569281476144
20230816,65.7636,66.4372,65.6497,65.6877,3636900,-0.002161797686657474
20230817,65.7636,66.4277,65.3651,65.5453,3302800,-0.0021668296202449477
20230818,65.0785,65.7073,64.9451,65.5549,2924600,0.00014549842989741713
20230821,65.4691,65.7645,65.1261,65.5168,3585000,-0.0005814435254937189
20230822,66.098,66.5553,65.7454,66.3076,3472900,0.012070924278467121
20230823,66.6125,67.3271,66.4505,67.1366,3031800,0.012501797822362493
20230824,66.9746,67.6035,66.7173,66.7269,2520100,-0.006102691402594007
20230825,67.0413,67.4415,66.0503,66.7554,2031600,0.00042819466953081253
20230828,66.8984,67.613,66.8984,67.289,2078100,0.007993355708786343
20230829,67.4415,68.0513,67.0603,68.0322,2323100,0.011044811352576733
20230830,68.0322,68.3371,67.8321,68.118,2058100,0.0012606089478002236
20230831,68.1275,68.461,68.0227,68.2323,2329300,0.001678471746211052
20230901,68.6039,68.9469,68.0703,68.3467,1744000,0.0016758828295360129
20230905,68.2895,68.3371,67.6034,67.6225,2187000,-0.010595385258017842
20230906,67.5082,68.3086,67.4129,67.937,1900900,0.004650012517745772
20230907,67.7273,68.0132,67.4319,67.8893,2328400,-0.0007013203914546517
20230908,68.0132,68.3467,67.7369,67.9751,1823300,0.001263262656479247
20230911,68.2609,68.5182,67.5939,67.9655,1794300,-0.0001404099026356409
20230912,67.3081,67.7368,66.7364,66.8221,2512000,-0.016823154206428437
20230913,66.9269,67.5082,66.765,67.3652,2833300,0.00812775232316909
20230914,67.6511,67.9941,67.3271,67.6225,2351200,0.0038189305929750006
20230915,67.4605,67.5844,66.5839,66.8602,9871500,-0.011272289231117116
20230918,66.9555,67.5844,66.7745,66.9079,4788900,0.000712500225366508
20230919,66.5553,66.8793,65.7931,66.784,5046500,-0.001851364063969907
20230920,66.9841,67.8988,66.2028,66.2314,3550100,-0.00827484824951441
20230921,65.936,66.6316,65.7168,65.9455,2585000,-0.004316052841351503
20230922,65.9169,66.7935,65.7359,66.3267,2048400,0.005779528280538182
20230925,66.1266,66.5649,65.9741,66.441,3463800,0.0017239181887114263
20230926,66.3362,66.4696,65.1452,65.4024,3122600,-0.015631755210824272
20230927,65.7835,65.7835,64.5639,64.9832,3222000,-0.006410321466796098
20230928,64.0399,65.0308,63.9065,64.6401,4173200,-0.005278560906503582
20230929,64.8212,65.1832,64.3066,64.5448,2866300,-0.0014744149699150721
20231002,64.3352,64.7831,64.0494,64.5639,3246500,0.00029562574371855277
20231003,64.2018,64.7545,63.8112,64.1256,4139600,-0.006788874522275945
20231004,64.3066,64.4496,63.7445,64.3543,2714900,0.0035661804641506922
20231005,64.2781,64.5734,63.6016,64.5067,2193000,0.002369044859867442
20231006,64.0208,64.9546,63.6683,64.6401,2171100,0.0020680002478998816
20231009,64.2495,65.1451,64.0113,64.9641,1584400,0.005011618158626607
20231010,64.9165,65.269,64.3066,64.6592,3083800,-0.00469337898154476
20231011,64.9165,65.3643,64.8212,65.1166,2391100,0.007073501978168695
20231012,64.9927,64.9927,62.6011,62.8488,3144300,-0.0348258890084755
20231013,62.8393,63.2585,62.077,62.6773,3259200,-0.0027290316538416404
20231016,62.9822,63.7445,62.8488,63.6206,5399800,0.015050322026521457
