datetime,open,high,low,close,volume,return
20230725,423.2249,431.8229,422.6875,428.3011,1160700,0.008450186466580911
20230726,425.6143,428.6658,414.0798,415.4616,1759500,-0.029977757782709724
20230727,415.9799,416.4693,407.3146,411.3066,1977000,-0.010001067295673294
20230728,411.4409,412.7555,407.8615,409.8575,1194700,-0.003523080432008663
20230731,412.151,415.4041,409.6848,412.247,1169600,0.0058300647696449825
20230801,413.9263,421.0754,412.6404,415.9319,1115800,0.008938513574035856
20230802,413.245,417.3905,409.7904,413.1394,1077900,-0.006713792741144475
20230803,409.9631,411.9687,404.2246,406.8156,1083400,-0.015306751076545111
20230804,411.1626,412.6308,406.2398,406.9116,961200,0.00023592455005361224
20230807,407.612,415.3369,407.0075,413.8879,1009400,0.01714455681320648
20230808,409.752,413.6672,407.257,413.0722,1354400,-0.001970686635386798
20230809,415.5096,421.6319,415.0106,418.4748,1361300,0.013078891284145078
20230810,419.041,423.6375,416.6228,417.0162,1283900,-0.003485412410690558
20230811,417.6975,419.7319,415.097,417.496,1217200,0.0011505484864124949
20230814,417.9183,420.682,416.6516,419.9622,1058500,0.005907236346250011
20230815,416.0181,417.6207,412.2373,414.2429,1576800,-0.013618821388030833
20230816,410.7116,418.1389,406.1055,406.8156,1870300,-0.01792976378950506
20230817,404.7429,408.2359,398.9756,402.2287,2149200,-0.011275018035662887
20230818,391.2412,396.2695,379.4092,380.983,4233700,-0.05282009093770812
20230821,380.0234,381.9234,369.9187,375.0046,2549100,-0.01569186281695445
20230822,376.8758,377.2117,368.7287,369.65,1663900,-0.014278957486854038
20230823,369.6117,379.6779,369.6117,378.3537,1582200,0.02354580196471634
20230824,374.6208,376.2617,370.2546,371.0223,1379900,-0.01937708286399953
20230825,372.5192,376.2041,370.6192,374.448,1099900,0.009233275027147547
20230828,377.039,380.0042,375.6668,378.7471,1247000,0.011481092001222937
20230829,378.2769,389.2356,377.3844,387.777,1875600,0.023841441133659158
20230830,387.5562,398.8028,387.1628,396.5765,1815500,0.022692323310990137
20230831,397.325,400.4342,394.0912,394.3407,1515500,-0.0056379289912597
20230901,397.92,402.459,397.8336,401.9792,1249700,0.019370279037174143
20230905,403.8984,406.2495,397.1428,397.6898,1474000,-0.01067062211183023
20230906,395.473,399.6089,394.0528,397.5554,1002600,-0.0003379503770057912
20230907,394.5518,398.6493,389.0245,395.0988,1028800,-0.0061792748114603
20230908,394.878,396.4902,382.9405,383.5163,1837500,-0.029315425512974613
20230911,387.0093,387.6811,381.6356,384.1977,1428200,0.0017767080324742057
20230912,383.2764,389.3219,383.1709,386.0113,1127800,0.004720562314774579
20230913,385.6083,390.4639,383.5355,385.9825,1104200,-7.455241473530716e-05
20230914,389.8785,395.5018,388.7654,395.0508,1272400,0.023493984286373504
20230915,395.1564,398.112,392.4599,395.4634,1986200,0.0010444939272036269
20230918,394.3407,396.8933,391.0493,394.2448,969300,-0.003081595728409603
20230919,386.328,387.633,382.3168,382.5855,1957300,-0.029573685658050186
20230920,385.5028,392.623,383.4108,386.0785,1289700,0.009129935304431847
20230921,382.9118,383.5643,370.4465,371.9819,2209100,-0.03651231284117806
20230922,366.3106,368.0667,362.3187,365.4854,2410500,-0.017464617163758245
20230925,363.7292,369.65,363.0767,368.8631,1383600,0.009241894607181722
20230926,362.7313,366.4449,362.002,364.2954,1270400,-0.012383151454710473
20230927,366.349,370.7536,364.9096,368.8344,1403900,0.012459420034776958
20230928,369.7877,374.7182,368.8247,370.4907,1309200,0.004490829196578838
20230929,369.5277,372.6574,361.8142,363.4128,2124300,-0.019104317542322113
20231002,365.1557,366.5425,356.8355,360.0038,1989800,-0.00938050902105414
20231003,358.6267,360.0134,356.7874,358.983,1212200,-0.002835392527831937
20231004,358.5978,364.5683,356.46,363.0468,1219000,0.011320347304783374
20231005,361.8045,364.8283,359.3874,361.7853,997200,-0.003474856674140714
20231006,359.6186,367.7462,358.5401,364.5298,1203400,0.00758617897288727
20231009,364.4239,369.6914,363.5572,368.767,831200,0.011623524455680379
20231010,372.0026,377.4435,371.8389,376.3745,1317400,0.020629761143803327
20231011,376.8946,377.9635,373.0427,374.9494,942500,-0.003786576238577366
20231012,375.3731,376.5287,363.875,368.1314,1375200,-0.018183688699507816
20231013,368.8247,371.5404,364.7417,366.5714,1074200,-0.004237776394292236
20231016,370.7026,378.0502,369.8455,376.0857,1202600,0.025955039248872547
20231017,374.5063,380.6791,373.6589,376.6441,899800,0.0014847961756558892
20231018,373.9864,375.9413,364.0387,368.0833,1495000,-0.02272928546108266
20231019,367.5151,372.07,366.1765,367.255,1348000,-0.0022501621501335167
20231020,366.3114,368.2566,360.9475,361.2653,1468100,-0.016309500255646148
20231023,359.3971,366.1476,357.7311,359.4549,1308100,-0.0050113444559319875
20231024,361.7756,363.8557,357.837,359.7437,899100,0.0008035748169754608
20231025,358.4629,362.0742,357.317,358.1452,773900,-0.004443555787955966
20231026,357.2688,360.9282,355.7955,355.8629,1124900,-0.006372520908635937
20231027,355.3429,356.2,345.5204,347.7834,1436400,-0.022703878726497928
20231030,351.7125,355.6703,348.2842,354.1873,1277500,0.018413471827852357
20231031,348.602,352.3576,346.0886,351.8376,1233200,-0.006634149031407022
20231101,351.3753,358.5881,347.9856,356.7585,1073000,0.013986191707287432
20231102,361.6023,364.4046,358.1356,359.7341,1259300,0.008340874510842866
20231103,365.4543,370.3944,363.509,368.0544,1173200,0.023128806064048657
20231106,369.0943,370.3173,361.2845,364.2505,925900,-0.010335059228939625
20231107,353.3206,358.723,349.5746,355.574,1711400,-0.02382010027011272
20231108,357.0763,359.2526,355.4873,355.6992,1178000,0.0003520592159824698
20231109,359.8015,360.3215,354.1584,355.9399,1094900,0.0006767590824321434
20231110,358.5689,360.6682,355.3621,360.1482,1311800,0.011823013778354818
20231113,359.0601,359.8016,353.5422,356.0748,1418100,-0.011310244873970254
20231114,359.8593,364.4238,356.8836,361.0822,2115800,0.014062818717399672
20231115,363.0083,367.8714,359.6282,366.7736,1515500,0.015761908251248347
20231116,367.2647,368.7284,361.506,364.5491,1736200,-0.0060650981487858635
20231117,368.2469,371.0492,365.3772,369.9321,1342600,0.014766342997857507
20231120,368.3528,370.5869,365.3964,366.2535,2197300,-0.009944121137085649
20231121,365.9358,369.3063,365.0595,368.4878,2163100,0.006100374673142062
20231122,347.6197,359.5222,342.4966,357.0377,6304700,-0.031073061011426706
