datetime,open,high,low,close,volume,return
20230718,151.9374,154.609,151.2343,154.1966,2421200,0.02085280077615881
20230719,155.3402,156.0996,153.4467,155.8465,2327100,0.010699695252887942
20230720,156.5308,159.3149,155.6402,158.2275,3105900,0.015278228839660457
20230721,157.7119,158.5369,155.5465,156.6339,2591400,-0.01007165369380758
20230724,158.2275,158.2275,156.3058,157.1776,2175100,0.003471061675712983
20230725,157.4119,157.4119,152.903,154.3841,2439600,-0.017772908679819732
20230726,155.134,156.2589,154.0185,154.5622,2171500,0.0011536201602833085
20230727,154.6747,162.6147,154.6747,157.4401,3052100,0.018619685475537606
20230728,158.2181,160.4023,157.3182,159.9149,2125300,0.015718851524710198
20230731,159.9242,160.9835,157.4588,158.2931,1442800,-0.010141238032171151
20230801,158.7338,159.2962,157.3839,157.8994,1179000,-0.002487011150485552
20230802,157.112,159.4837,156.7464,157.3745,1505800,-0.003324862211393831
20230803,157.3744,159.793,156.9432,158.2744,1562400,0.005718223891114871
20230804,158.8462,158.8462,157.0651,157.2713,1499500,-0.006337231655346498
20230807,157.2713,159.015,156.1089,156.512,1480500,-0.004827914877499007
20230808,155.8183,156.8683,154.4497,154.9278,1278100,-0.01012218473842641
20230809,155.1152,157.2057,155.0215,156.5964,1670100,0.010769945046697815
20230810,157.3275,158.6024,156.4745,156.6151,1086900,0.00011975407249109615
20230811,156.1746,156.4933,154.3372,154.5341,1665700,-0.013287602952787636
20230814,153.9341,154.9184,152.678,153.3435,1444700,-0.007704038836657823
20230815,153.0623,153.156,151.0468,152.378,1861800,-0.006296717396110929
20230816,154.6184,156.062,153.3435,153.4373,2703500,0.006951663403343966
20230817,153.6435,154.3466,149.8657,150.4563,1772500,-0.019428055670913436
20230818,150.5219,153.6904,150.3813,152.7905,1618600,0.015514129283261235
20230821,152.1905,153.6904,150.925,152.1249,1998400,-0.004356116819310696
20230822,151.5062,151.5062,148.8908,149.8282,1578000,-0.015097410071379547
20230823,151.1124,151.1218,147.7846,148.5908,2777200,-0.008258970922201847
20230824,146.6222,146.8097,143.06,143.4068,4520500,-0.03488729000533475
20230825,144.363,146.3972,144.0443,145.2817,2237400,0.013073625675932732
20230828,145.2723,146.9222,145.188,146.7722,1965100,0.010259441554571813
20230829,147.0628,147.6253,144.8693,145.2911,2668800,-0.010091109520948605
20230830,145.9191,147.9252,144.7192,147.794,4050200,0.017226473403447518
20230831,120.5712,130.4142,120.44,129.833,19302000,-0.12152718018341235
20230901,128.005,128.0425,120.5338,122.118,10694900,-0.05942229478556971
20230905,122.118,125.5771,119.2026,119.2589,8064000,-0.023412977842219296
20230906,118.4714,120.8712,117.7871,118.5464,5544000,-0.005973900004586863
20230907,118.7058,119.7463,115.5935,115.9779,5284200,-0.021666976871584698
20230908,115.8841,119.3151,115.8841,119.2401,3830300,0.028128102499682228
20230911,119.062,120.6556,117.5996,118.7152,3408600,-0.004402509687095324
20230912,118.6964,119.1276,116.1185,116.1372,2764700,-0.0217151632626581
20230913,116.5778,116.7841,111.6657,112.4907,6286700,-0.03139872056464377
20230914,112.2469,113.0531,109.8003,110.419,7703500,-0.018416646670344483
20230915,109.5472,109.9878,108.1317,108.441,6516800,-0.01791321341580876
20230918,108.741,108.9566,105.8443,106.5474,6052100,-0.01746203155981596
20230919,106.4349,107.9348,105.1413,107.8973,6695500,0.012669326720219587
20230920,106.7818,109.3503,104.9913,108.4223,6107300,0.00486539862815949
20230921,108.1785,108.6379,102.8821,102.8915,4403900,-0.0510115210458737
20230922,102.7509,103.6695,100.9791,101.3728,4580200,-0.014759540721354103
20230925,101.1385,102.2821,100.3042,101.1104,2987500,-0.002589270138002586
20230926,101.1104,101.3541,98.7949,99.1793,4001300,-0.019098845838497636
20230927,99.4136,100.0511,97.0232,97.8106,5405200,-0.013799627773906753
20230928,98.2044,99.6105,96.8076,98.7762,4432700,0.009871659148864342
20230929,99.3855,100.7823,98.7949,99.1793,3734900,0.004080778923398309
20231002,98.6356,98.9355,96.0577,97.2857,4503500,-0.019092626203246144
20231003,97.0888,99.5824,96.5545,98.9824,4011900,0.017440633516447424
20231004,99.3667,100.5479,98.195,100.3323,3323200,0.013637615808202108
20231005,100.1167,101.1291,99.6667,99.723,3440300,-0.006072959770975883
20231006,99.2139,99.3931,96.8762,97.7246,5607400,-0.020039721855206527
20231009,97.2532,98.7898,96.1315,96.1503,3594200,-0.016108810766969017
20231010,96.895,99.3553,96.32,99.3176,3756300,0.032941176657290905
20231011,100.0718,100.0906,96.2446,97.7151,3948600,-0.016134955926752736
20231012,98.2147,98.2807,95.2925,95.9901,4063300,-0.0176541179850902
20231013,104.7284,105.935,102.5038,104.785,12831900,0.09162332232334958
20231016,104.8604,108.7253,104.2194,107.0568,5816600,0.02168055638478039
20231017,107.1039,111.6475,107.1039,110.6012,6353500,0.03310733088709372
20231018,110.3844,110.9217,108.7724,109.3663,4932100,-0.011165149403492447
20231019,109.2155,110.5258,108.4142,108.8856,3674800,-0.004395578944695555
20231020,109.0552,110.0073,108.122,108.6122,3355400,-0.0025108170995095103
20231023,108.4048,111.0442,107.9335,109.979,3675200,0.01258463218707151
20231024,110.1016,110.2901,107.8675,109.8565,3658900,-0.0011142429200795556
20231025,109.7811,112.7504,109.0929,112.6184,2795600,0.02514155912585414
20231026,112.2037,115.5218,111.8643,114.0041,4052900,0.01230441613419253
20231027,113.3254,114.3906,111.6663,112.477,2915600,-0.013395191648123639
20231030,112.3168,113.316,111.1385,113.0521,2547000,0.005112399185787542
20231031,113.118,113.8439,112.1283,112.2131,2265300,-0.00742099502367366
20231101,112.3168,112.9484,109.4228,109.6868,3048300,-0.022513469714940726
20231102,110.4786,111.9869,109.5737,110.6954,2613200,0.009195675246908896
20231103,111.7041,113.5799,111.2422,112.4016,2029800,0.015413459937341223
20231106,112.675,114.7017,112.5147,112.7127,1770900,0.0027673800883978306
20231107,112.5524,115.2013,112.3545,114.0324,1721600,0.011708684982642437
20231108,113.759,114.0324,112.2319,112.609,1637400,-0.012482423927116848
20231109,112.9107,113.2783,110.9877,111.2327,1950800,-0.01222156970296795
20231110,111.9115,111.9115,109.9696,111.1762,1729000,-0.0005085222750109697
20231113,110.7614,111.195,109.6491,110.6577,1638400,-0.004663299726840764
20231114,111.4684,115.4558,111.4684,114.3718,2965500,0.03356326552759348
20231115,116.4927,120.7724,115.8612,115.9366,3270700,0.01368166646287694
20231116,113.6176,113.6931,110.9782,111.0536,3738600,-0.04211735980128506
20231117,111.8549,114.6263,110.884,114.1644,3029400,0.028011432519917445
20231120,113.9759,115.305,113.4857,114.796,2248800,0.0055319667067545986
20231121,114.8337,116.3231,114.089,116.2194,1630100,0.012399466056470798
20231122,116.8886,117.8313,115.5218,117.803,1802600,0.013626441465902195
20231124,117.5579,118.9436,117.2186,118.2838,1042600,0.004080909146664924
20231127,118.2461,119.2735,117.6051,118.4723,2098000,0.0015939432221583338
20231128,118.4629,120.9326,117.9161,120.1879,2739200,0.014481272089766462
20231129,120.301,123.2515,120.301,121.4888,3115000,0.010823465753654116
20231130,121.8752,123.9114,121.0645,123.6003,5372400,0.017380235857359816
20231201,123.1761,127.0787,122.8179,126.9656,2860200,0.02722730902236825
20231204,126.7488,128.7378,126.4283,127.0976,2761100,0.001039441261563745
20231205,127.4181,127.5595,125.3159,125.7401,2231500,-0.010680157088110875
20231206,126.1172,127.4652,124.3544,126.2397,4109700,0.00397329993894191
20231207,131.2075,131.7731,123.2421,124.7126,8273900,-0.012096821713601602
