datetime,open,high,low,close,volume,return
20230725,135.1758,136.8825,134.1197,136.6467,1174300,0.006248998557923491
20230726,130.3669,133.1768,128.0097,128.4623,2181400,-0.05989505632431369
20230727,128.236,130.0464,126.3124,126.6896,1067000,-0.013799066220385292
20230728,127.5476,127.6796,125.1244,126.8122,687000,0.0009674528739342936
20230731,127.3025,127.5288,125.5109,127.4911,960800,0.005353540063261386
20230801,127.6514,128.6791,126.5482,126.9159,1124900,-0.00451153223399714
20230802,126.8216,127.2554,125.3129,127.0668,914300,0.0011887501375853482
20230803,127.3213,129.0563,126.8216,128.8866,715400,0.014321796344065607
20230804,128.5377,129.8766,127.8117,127.9059,732200,-0.007608582796309715
20230807,128.3491,129.0469,127.8588,128.8111,583500,0.007076993719074887
20230808,128.8489,128.8489,126.7745,127.2176,486100,-0.012370871213440382
20230809,127.0384,128.1982,127.0384,127.6136,409800,0.003112805604285507
20230810,127.2176,128.7074,126.303,126.4633,656300,-0.00901415968471242
20230811,126.5293,127.3779,125.9353,127.3025,665200,0.0066360006701335905
20230814,127.3779,127.8682,126.8782,127.4439,443700,0.001111004966260598
20230815,127.2836,127.6042,125.6524,125.907,597000,-0.012060045262510366
20230816,125.8033,126.1993,124.7943,124.8038,571600,-0.008761926784038976
20230817,124.2663,125.1527,123.4649,124.6907,701000,-0.0009063911364765032
20230818,124.7001,126.2087,124.6058,125.8787,817800,0.009527913103797525
20230821,125.6053,126.7367,125.2658,125.3035,824700,-0.004569259596784669
20230822,125.247,126.0579,124.6529,124.8227,1110100,-0.003837605501728847
20230823,125.1432,125.8976,124.8792,125.8033,607300,0.007856116664542778
20230824,125.379,126.4727,125.3412,125.6147,546000,-0.0014990945333173133
20230825,126.0861,126.2653,124.7661,124.832,420200,-0.006230470183001491
20230828,125.2752,125.6901,124.3229,124.8792,527900,0.0003778269948404578
20230829,124.964,125.5298,124.4643,124.8415,598600,-0.0003022940624753945
20230830,125.2375,127.4345,125.0678,126.9913,791100,0.01722044927587607
20230831,127.3591,127.4345,123.9457,123.9929,1204800,-0.023611231767950547
20230901,124.4832,124.6058,122.6539,123.0688,695400,-0.007452439833071534
20230905,122.6539,122.6539,119.7686,119.9761,870100,-0.025130253310483575
20230906,119.4857,120.3438,118.3637,119.8818,725100,-0.000785984397446593
20230907,120.2872,120.9661,119.4197,119.8535,897700,-0.00023598079645814618
20230908,119.6555,120.5418,119.4009,119.7686,822000,-0.0007080458336025108
20230911,119.646,120.6549,119.2877,119.4763,521700,-0.0024406445737605864
20230912,119.514,120.3627,119.2312,119.9666,578700,0.004103959655678224
20230913,120.2307,121.4187,119.3726,120.8153,600800,0.007073907297167281
20230914,121.4093,121.909,119.2312,120.0798,736700,-0.006087715081647627
20230915,120.0043,120.4664,118.7691,119.0143,1071700,-0.008873127147836168
20230918,119.2312,119.5706,118.3825,118.6088,823100,-0.003406724638402081
20230919,118.8446,119.8629,118.1562,118.4014,793600,-0.0017489051091134078
20230920,118.92,118.986,117.5811,117.8734,1113600,-0.004459598808153276
20230921,117.4396,117.9582,116.3176,116.4684,1006200,-0.011919235723208521
20230922,116.1856,117.0153,116.0724,116.4307,770600,-0.0003237312496098266
20230925,115.9781,117.2322,115.9404,117.2039,658200,0.006640736626837729
20230926,116.987,118.5994,116.987,117.4679,690600,0.0022525492850935525
20230927,117.4868,117.5339,115.6952,116.3553,750700,-0.009471866602531964
20230928,116.8173,118.2788,116.0064,116.3081,612400,-0.00040515593880974254
20230929,116.393,116.987,114.7806,114.9032,803600,-0.012079314706535782
20231002,114.3374,114.3752,112.7628,114.0074,631200,-0.007795908169087373
20231003,113.536,114.7618,113.3097,114.1206,706200,0.0009924258434381716
