datetime,open,high,low,close,volume,return
20230829,111.8721,114.1401,110.7768,113.6264,3003100,0.013925125169339303
20230830,113.7912,116.7474,113.0836,115.342,2974500,0.015098323447754192
20230831,115.342,115.6715,114.5278,115.3614,2925100,0.00016807660959639037
20230901,115.5552,117.2611,115.5552,116.4857,1844400,0.009746276068742343
20230905,116.0786,116.1853,110.3891,110.7671,3266200,-0.049092950315682726
20230906,111.4553,112.5602,110.9222,112.0756,2783500,0.011813025688321765
20230907,111.9593,114.1401,110.9609,113.5101,2604200,0.01279947980840257
20230908,113.5683,114.8089,112.851,113.7039,1575300,0.0017077568780097252
20230911,113.8978,116.0689,113.5101,114.2564,1417300,0.004858822856845357
20230912,113.7621,114.7895,110.9028,111.116,2673900,-0.027485445368356176
20230913,111.3971,111.9399,109.226,110.36,2100000,-0.006804012578789043
20230914,111.4843,112.1337,110.2437,111.6588,2761800,0.011768874128462947
20230915,109.8366,109.8366,107.0257,108.9158,5875300,-0.024565942868575052
20230918,108.9255,110.1565,108.0144,109.7106,2113300,0.007297308202153463
20230919,109.7203,110.7671,108.9643,110.0983,2015800,0.003533869675960144
20230920,111.1354,112.2113,109.5167,109.7203,3550200,-0.0034333499367048548
20230921,107.7042,108.0532,104.6704,105.6979,4799400,-0.03666077056680295
20230922,106.638,107.1033,105.2035,105.9402,2160800,0.0022925459234606205
20230925,105.1454,106.1534,104.6123,104.8449,1793200,-0.010338553993791244
20230926,104.3215,105.4652,104.0501,104.1567,2046400,-0.006563635368694087
20230927,105.0484,105.6979,103.3232,103.7206,1565600,-0.004187727937663199
20230928,103.5364,105.9789,103.391,105.5719,2161500,0.01784887555313186
20230929,106.4927,107.0936,103.6818,104.1664,2122500,-0.013312578161613575
20231002,102.9839,104.748,101.6851,102.9161,3100900,-0.012003323445127001
20231003,102.2279,102.6834,98.8258,99.6884,4537100,-0.031361992886720036
20231004,100.4445,101.5785,99.64,101.1617,3115800,0.014779018061798599
20231005,100.774,102.2279,100.1149,100.5996,2540400,-0.005557160278653717
20231006,99.514,101.7336,99.0584,101.0939,2193900,0.004913700625332584
20231009,100.1343,102.8676,99.7369,102.8482,1659800,0.017353736169657852
20231010,102.7804,105.8529,102.7804,103.9047,3249200,0.01027230174971705
20231011,104.7189,105.9208,103.9435,105.3295,1974500,0.013712828674119049
20231012,103.8078,103.9047,98.5641,99.2038,3818300,-0.05815770728639669
20231013,99.514,101.375,99.4267,100.4735,2250000,0.012799200913215625
20231016,102.0438,102.257,100.0083,101.3071,2256200,0.008296436195509349
20231017,100.6286,103.0809,100.6092,101.7045,1972800,0.003922573640886551
20231018,100.8031,101.2877,99.262,99.291,1788900,-0.023730116537026502
20231019,99.6012,100.2409,97.7112,98.1279,2511100,-0.011714136076413362
20231020,98.2636,99.01,97.0424,97.5658,2136100,-0.00572889150645417
20231023,97.5755,99.9405,97.2459,98.9809,2290300,0.014504219182444045
20231024,98.3799,99.262,97.0036,98.632,2194000,-0.003525306693434871
20231025,98.1764,98.5059,97.2071,97.5658,1649200,-0.010809655127709594
20231026,98.3799,100.144,97.7111,98.5253,2382600,0.009834971322258745
20231027,98.8452,99.5818,97.9922,98.5738,2065700,0.0004918726409162133
20231030,99.3104,100.0761,97.8372,98.9906,1871700,0.004228086980265999
20231031,99.388,101.5591,99.0875,101.1908,1904000,0.022226620460501723
20231101,101.3653,106.1825,100.4639,105.9402,3186000,0.046934921075329816
20231102,108.7995,112.4245,108.1598,110.5248,4602300,0.043275316472788594
20231103,113.6458,117.077,113.6458,115.2063,4076400,0.04235732588705665
20231106,113.2193,114.7798,112.6475,114.1014,3634500,-0.009591054388843778
20231107,115.1482,118.5212,114.4406,117.4453,4306900,0.02930675705575192
20231108,118.2207,119.9363,117.2805,118.0656,2581700,0.005281805195471723
20231109,118.2886,119.5098,116.4082,116.9704,2276300,-0.009276646214236961
20231110,117.8039,119.4129,116.4663,118.9282,2374600,0.01673824025505599
20231113,118.0075,119.3741,117.4356,118.5599,2045900,-0.003096901155062337
20231114,123.0379,126.7696,122.9216,124.9377,3968800,0.05379324484191916
20231115,124.3271,125.7906,123.8133,123.9684,2534100,-0.007757775194159655
20231116,124.2689,125.2382,123.445,123.7067,2364400,-0.0021110496296062875
20231117,124.2495,124.8505,123.571,124.1235,1938700,0.003369209275631002
20231120,123.6086,124.823,123.0937,124.7453,1977500,0.0050092454310826096
20231121,124.2789,124.5413,122.8896,123.1423,2312900,-0.012850405058207892
20231122,124.0944,125.0076,122.9479,123.4046,1227900,0.002130169317544839
20231124,123.1714,124.0166,123.0645,123.8515,669800,0.0036214172306532344
20231127,122.9965,123.6086,122.4233,122.6759,1716500,-0.009491569233642694
20231128,122.5107,123.2588,121.7141,122.3747,1479500,-0.002455194473318545
20231129,123.6766,124.2692,123.0062,123.6377,2984100,0.01032070025374221
20231130,123.3851,124.1332,121.8598,124.0361,2428200,0.003221880450907655
20231201,124.3567,127.5239,124.0166,127.1353,2897400,0.024986383337572304
20231204,126.358,127.9319,125.6683,126.7758,2153600,-0.0028274936051788657
20231205,126.8535,127.3296,125.9403,127.009,1926400,0.0018391072434225109
20231206,128.5343,131.1769,128.2428,129.807,3113400,0.022030215317566437
20231207,130.351,132.7119,130.3219,132.4593,3864300,0.020432510472807808
20231208,132.2747,134.9173,132.1192,134.5189,2899100,0.015549397173157287
20231211,133.9457,136.2094,133.3434,134.9464,4111900,0.0031778052057021
20231212,135.1601,136.2968,134.8784,135.8208,2687600,0.006479532438820712
20231213,137.3655,140.523,135.4128,140.0664,3971700,0.03125887525569726
20231214,142.4273,149.2572,141.9901,148.7714,5732400,0.06214910530022033
20231215,146.974,150.2384,145.3127,145.8373,7538300,-0.019721980253506577
20231218,145.7596,145.9734,142.7673,144.3703,4054200,-0.010059224097775266
