datetime,open,high,low,close,volume,return
20230725,18.1327,18.2147,18.0425,18.0507,4018000,-0.0049731648863857725
20230726,18.0097,18.2967,17.9933,18.2147,3326700,0.009086888003968063
20230727,18.2475,18.3459,17.8948,17.8948,5730800,-0.017559427259919658
20230728,18.2885,18.3541,17.7554,17.821,5508800,-0.0041252160774175595
20230731,17.821,18.1491,17.821,17.903,7388200,0.004602203213814882
20230801,17.8538,18.0343,17.698,17.7882,4635100,-0.006413035267911926
20230802,17.739,17.8456,17.5012,17.7226,3220600,-0.0036884435559516593
20230803,17.6324,17.657,17.2306,17.6488,3549100,-0.004164551440594022
20230804,17.6155,17.8734,17.5407,17.6571,2528900,0.0004708712068364207
20230807,17.6488,17.9066,17.6488,17.8734,3083300,0.01224704339806193
20230808,17.707,17.732,17.3244,17.5157,3533400,-0.020009190256449982
20230809,17.5157,17.7403,17.3827,17.5989,2714900,0.004748297233715393
20230810,17.6738,17.7652,17.366,17.4159,2682600,-0.010397319922396453
20230811,17.3161,17.5157,17.2995,17.3827,2608700,-0.0019100944675928266
20230814,17.2745,17.3494,17.1082,17.1747,2679100,-0.011961787326764228
20230815,17.0001,17.0749,16.8254,16.9086,2676900,-0.015496350882952314
20230816,16.9419,16.9918,16.7755,16.8337,2904800,-0.004426749329100921
20230817,16.8753,17.0583,16.7838,16.867,2855000,0.001976267790744002
20230818,16.709,16.8587,16.6424,16.709,2863100,-0.009368926456115423
20230821,16.6341,16.6424,16.4345,16.526,3130600,-0.010950515723287646
20230822,16.5925,16.6092,16.4428,16.4927,2464300,-0.0020129523285430384
20230823,16.5842,16.8587,16.4844,16.8421,2640400,0.021179845325754787
20230824,16.867,17.0999,16.7589,16.8171,2697000,-0.0014815254389310972
20230825,16.8337,16.9918,16.7755,16.8254,1935900,0.0004943855090946414
20230828,16.867,17.1331,16.867,16.9502,1951100,0.00741461213769079
20230829,17.0001,17.0832,16.8836,17.025,2296300,0.004416226724394345
20230830,17.0583,17.2246,16.9335,17.208,3394300,0.01074756963295398
20230831,17.208,17.2496,17.0916,17.1165,5118700,-0.005316588396456545
20230901,17.208,17.3244,17.0666,17.1747,2393100,0.0034011645885301256
20230905,17.1831,17.3411,16.9585,16.9668,4226800,-0.012106492892947962
20230906,16.9252,17.0167,16.8171,16.9751,2420100,0.0004901357923461358
20230907,16.9086,16.9668,16.709,16.7423,2985700,-0.013718427291054436
20230908,16.7672,16.8337,16.6258,16.6508,2472500,-0.005464718683418357
20230911,16.684,16.7422,16.4262,16.4345,3274000,-0.012987018937674843
20230912,16.4096,16.6258,16.2848,16.5759,3656300,0.008603341062761505
20230913,16.6757,16.6923,16.5094,16.5177,3324600,-0.0035122057867453815
20230914,16.6757,16.9751,16.6341,16.9419,3183100,0.02567971208403863
20230915,16.8753,17.0167,16.7922,16.9585,8881900,0.0009817151058260087
20230918,16.9003,16.9502,16.5177,16.5343,3161500,-0.02501222003852377
20230919,16.5177,16.684,16.4844,16.5842,2833600,0.003018083236250968
20230920,16.7422,16.8088,16.526,16.551,3146800,-0.002006001212203512
20230921,16.4345,16.4512,15.844,15.8523,5395700,-0.04221104589495461
20230922,15.8357,15.9854,15.6527,15.661,4676700,-0.012067235193834569
20230925,15.5862,15.6527,15.4781,15.5695,4931200,-0.0058417540607655916
20230926,15.3949,15.5363,15.2202,15.3117,4901600,-0.01655999737349023
20230927,15.3367,15.4448,15.004,15.0123,5964900,-0.01955436806296562
20230928,15.1038,15.1786,14.979,15.0206,5228800,0.0005540755010136067
20230929,15.2535,15.5196,15.1703,15.2701,4980800,0.016611218901225744
20231002,15.187,15.3034,14.7378,14.8127,4123300,-0.02995655103800987
20231003,14.7046,14.7711,14.3303,14.4052,5546600,-0.027512277857865697
20231004,14.4717,14.5465,14.2471,14.5465,3971600,0.009815158019562231
20231005,14.4966,14.5382,14.3054,14.4634,3184200,-0.005717569717853199
20231006,14.2721,14.4634,14.0475,14.3636,4497700,-0.006900722592481534
20231009,14.2638,14.638,14.2638,14.5881,4071900,0.015634316099840673
20231010,14.6713,14.9957,14.5465,14.9042,5727600,0.021664515340334978
20231011,14.9458,15.1038,14.8626,15.0872,3471500,0.012277067514401274
20231012,14.9458,14.9458,14.5216,14.5881,4692800,-0.033076106682477846
20231013,14.6547,14.6963,14.3802,14.4634,3875200,-0.008551938923033742
20231016,14.5549,14.6297,14.3137,14.5715,5006700,0.0074756289550774735
20231017,14.4467,14.7877,14.3885,14.48,4776200,-0.006278746774317168
20231018,14.3636,14.3968,14.1224,14.1473,3956800,-0.02297530696047545
20231019,14.0891,14.2554,13.823,13.8729,5628800,-0.019400123158479055
20231020,13.9893,14.0725,13.823,13.823,4059900,-0.003597228879874459
20231023,13.6816,13.8729,13.5984,13.7232,5898100,-0.007220224327629365
20231024,13.7564,14.1307,13.6816,14.1057,6422700,0.02787869050322689
20231025,13.9727,14.0143,13.6234,13.64,4844400,-0.033018726328414516
20231026,13.7481,14.0725,13.7398,13.9228,4677800,0.02073139064176055
20231027,14.0143,14.0143,13.5901,13.6566,3631900,-0.0191157329567615
20231030,13.8146,13.9228,12.8998,13.2907,15403400,-0.026796574469752144
20231031,13.4404,13.4736,12.6752,12.933,12191600,-0.026908553397518298
20231101,13.0328,13.0328,12.7251,12.958,9205000,0.0019292440899709717
20231102,13.2491,14.0392,13.2491,13.9976,9267000,0.08023090159855806
20231103,14.322,14.4717,14.139,14.3137,6228100,0.022578813311336043
20231106,14.2713,14.4406,14.119,14.1952,6372300,-0.00827905078344171
20231107,14.0936,14.1105,13.7889,13.8566,5122100,-0.023852199442017885
20231108,13.8904,14.0005,13.8312,13.9582,3126600,0.00733072194186879
20231109,14.0174,14.0174,13.2641,13.3148,6424300,-0.04608877981676507
20231110,13.4587,13.5519,13.1963,13.4926,5939900,0.013350381972067282
20231113,13.3148,13.3826,13.0694,13.1794,6576700,-0.023211947173370495
20231114,13.7381,14.5422,13.6196,14.3391,6762700,0.08798958407880164
20231115,14.2629,14.6607,14.2629,14.3475,6750100,0.000590398983212781
20231116,14.3898,14.466,14.0089,14.0089,5266400,-0.023599033585226525
20231117,14.1952,14.2206,13.8566,13.9412,7548800,-0.004833813576381463
20231120,13.9666,14.0851,13.7465,14.0851,5582700,0.010321832760300964
20231121,13.882,13.992,13.7127,13.8566,4508600,-0.01622593321832011
20231122,14.0513,14.1105,13.9074,14.0767,5073300,0.01588273763058967
20231124,13.992,14.1613,13.9074,14.0936,1898900,0.001202809264896798
20231127,14.0343,14.1952,13.9243,14.1867,4044000,0.006606353047485802
20231128,14.0936,14.4406,13.9497,14.4068,3704800,0.015513286688089822
20231129,14.5845,14.9062,14.466,14.5084,5388400,0.007050625944868383
20231130,14.6099,14.7708,14.4152,14.6607,9913000,0.010501663926377303
20231201,14.6269,15.4225,14.5761,15.4056,6042800,0.05080818969723033
20231204,15.3294,15.6595,15.3125,15.6341,6098200,0.014835262521647907
20231205,15.541,15.6341,15.4225,15.541,6885500,-0.005955741731281328
20231206,15.6341,15.8796,15.5156,15.5749,4313700,0.0021786386757549625
20231207,15.541,15.9135,15.431,15.8881,6349000,0.020108919846046902
20231208,15.7865,15.9389,15.7019,15.8712,6310200,-0.0010656747739943295
20231211,15.7865,15.9897,15.7188,15.8881,6272300,0.0010668116482563939
20231212,15.9727,15.9727,15.4733,15.5241,4603700,-0.02290894639194896
20231213,15.4564,16.3282,15.3294,16.2436,6712100,0.046346812029113504
20231214,16.7176,17.2509,16.5145,17.0308,6923900,0.0484626878377703
20231215,16.9377,17.0477,16.3621,16.5483,10704500,-0.028330004684709476
20231218,16.6414,16.6584,16.3875,16.4975,5961100,-0.003069009550270896
20231219,16.5991,16.8192,16.4637,16.7769,4551400,0.016931573316351978
20231220,16.6838,16.9716,16.4637,16.4721,4356200,-0.01816343980742874
20231221,16.633,16.633,16.1589,16.4214,5468300,-0.003083435240275545
20231222,16.4467,16.743,16.3536,16.6753,5747900,0.015464164195951424
20231226,16.7092,16.9885,16.6499,16.8954,3155300,0.013198047229806775
20231227,16.9716,17.0393,16.8107,16.9462,3327300,0.0030059686998584745
20231228,16.8446,17.0816,16.8446,17.0816,2582200,0.007991968187901266
20231229,16.9377,17.0816,16.7515,16.7599,3244400,-0.018830739298741905
20240102,16.7515,17.1155,16.5483,16.9546,3662700,0.011616661549278096
20240103,16.7092,16.8023,16.396,16.5737,3070100,-0.022466478646343657
20240104,16.5737,16.7769,16.4637,16.6414,3727900,0.0040856661844317355
20240105,16.4721,16.8869,16.3282,16.616,5470400,-0.0015259765006037096
20240108,16.5314,17.0223,16.4637,16.9123,4316700,0.017829923374501844
20240109,16.7176,16.8446,16.5568,16.8446,4192800,-0.00400409702672333
20240110,16.8869,17.0477,16.7345,16.9038,5151300,0.003517783222482862
20240111,16.8954,17.1832,16.7684,17.1747,8259600,0.016023842533484656
20240112,17.4456,17.6657,17.3694,17.6403,6812900,0.02710702613762117
20240116,17.5472,17.6403,17.2763,17.5472,7463800,-0.005278109270215325
20240117,17.1662,17.4794,16.7007,16.9631,4727600,-0.033284991503041095
20240118,17.0308,17.0393,16.4383,16.5907,5195800,-0.02195591680620601
20240119,16.6838,16.8361,16.3621,16.7176,4598200,0.007652430675390898
20240122,16.7769,16.9462,16.5822,16.6838,4953100,-0.0020253638256010342
20240123,16.7938,16.8531,16.3029,16.396,4420800,-0.01724973085343895
20240124,16.7261,16.7261,16.1674,16.1928,4534600,-0.012390346999514246
20240125,16.4806,16.5399,16.2013,16.3875,5071600,0.01202292472594424
20240126,16.4721,16.5822,16.3029,16.4383,3230800,0.003099245335855816
20240129,16.396,16.4129,16.0574,16.269,5757400,-0.010298782940725504
20240130,16.0912,16.159,15.7527,15.7611,7506700,-0.03121750301712689
20240131,15.8712,15.9897,15.4902,15.6595,12125600,-0.006444590847020648
20240201,15.6003,15.9389,15.3971,15.9304,5702600,0.01729727129112768
20240202,15.6172,15.6511,15.2702,15.4987,6221400,-0.027098979929951916
20240205,15.2278,15.2448,15.0247,15.0755,5515300,-0.0273075652904331
20240206,15.084,15.3887,14.9739,15.304,5344800,0.015160567077514786
20240207,15.2786,15.3717,15.0924,15.1263,4954700,-0.01161524756501675
20240208,15.0924,15.3379,15.0501,15.2278,6993900,0.00671506784609277
20240209,14.9316,15.0839,14.4406,14.6776,13320400,-0.03613126969853997
20240212,14.7708,15.0162,14.703,14.8469,6339000,0.011534163717577206
20240213,14.4077,14.5025,14.1063,14.4508,8617200,-0.02668205021741832
20240214,14.5627,14.6747,14.2958,14.5197,8953000,0.004767582183410335
20240215,14.6833,15.0364,14.6144,15.0364,4813300,0.03558687306059061
20240216,14.7436,14.8469,14.6144,14.778,5215200,-0.017181920041383192
20240220,14.6403,14.8039,14.4508,14.5714,7113100,-0.013986020303948798
20240221,14.5972,14.735,14.4508,14.4852,10124300,-0.00591033181370515
20240222,14.4336,14.5714,14.313,14.4594,7721800,-0.001783608538119763
20240223,14.4766,14.4938,14.2872,14.3216,5331800,-0.009529422007178545
20240226,14.2786,14.3733,13.8738,13.9341,6725800,-0.027059463497325797
20240227,14.0719,14.1494,13.8652,13.9857,8349700,0.0037083179538726085
20240228,13.8566,14.4766,13.7963,14.2527,10612200,0.019088627920441636
20240229,14.3819,14.623,14.2441,14.425,66006500,0.01208466532343544
20240301,14.4163,14.7608,14.201,14.7264,9979000,0.020895416015510593
20240304,14.5455,14.6403,14.2958,14.5111,12337100,-0.0146198101390137
20240305,14.4336,14.7694,14.3819,14.6747,13550100,0.011275986194499321
20240306,14.7953,15.3292,14.7522,15.1311,10036400,0.031103349275020564
20240307,15.2259,15.3292,15.0536,15.1053,8759100,-0.0017075983747278922
20240308,15.2861,15.4928,15.1656,15.2775,6320100,0.01140276721141742
20240311,15.2775,15.4153,15.0106,15.1656,5687000,-0.007328245875895312
20240312,15.157,15.2689,14.9589,14.9761,5918500,-0.012492876013935894
