datetime,open,high,low,close,volume,return
20230829,138.9454,141.9699,138.8874,141.651,617400,0.018056737055099914
20230830,142.0584,144.0365,141.6608,143.7456,1324000,0.01478675070769997
20230831,143.9686,145.1807,143.7359,143.8038,905300,0.0004045427679515434
20230901,144.9479,145.4037,143.6777,144.1916,902400,0.0026969576488411473
20230905,144.114,144.114,139.3917,139.4208,719500,-0.03308651878252733
20230906,138.9553,140.5941,138.7226,139.4983,753400,0.0005561951349670746
20230907,138.6062,139.4208,136.8802,137.4232,681300,-0.014875582507115626
20230908,137.2487,138.6741,136.8996,137.8014,808100,0.002752224919632784
20230911,138.3445,138.6451,134.8148,135.9688,848000,-0.013299479401680081
20230912,135.2996,137.4329,134.5433,136.599,706100,0.004635361303436003
20230913,136.7639,137.1711,135.8039,136.919,800200,0.002342564967332539
20230914,138.3056,139.9735,137.7917,139.7893,951100,0.020963156198443356
20230915,140.0414,140.8462,138.6644,140.0704,1358800,0.002011520506691733
20230918,139.9832,140.2741,138.8002,139.1783,646900,-0.006368974352745416
20230919,138.8293,139.7214,138.1408,139.3917,586600,0.0015329136805803945
20230920,140.662,142.0292,138.9941,139.1493,626900,-0.0017391020685538772
20230921,138.4802,138.8681,137.1323,137.2681,843300,-0.01351914902996254
20230922,137.3069,138.2378,135.8233,137.0645,968300,-0.0014833255928577982
20230925,136.5505,139.2753,136.5505,138.2184,847300,0.008418554953333324
20230926,137.1614,138.0244,135.5615,135.5615,890000,-0.019222525603373453
20230927,136.696,136.8899,135.0669,136.3275,706600,0.005651071412973829
20230928,136.5699,137.7917,135.6196,136.4245,843000,0.0007111868436926461
20230929,137.5978,137.5978,134.8536,135.2802,733600,-0.00838747236658366
20231002,134.8245,135.639,132.9433,133.5057,765600,-0.013117257753877953
20231003,133.0112,133.719,132.3615,133.6027,551300,0.0007263329466795643
20231004,133.4379,134.65,132.313,133.7385,715500,0.001016242288242264
20231005,134.2427,135.4451,132.4294,134.1166,774300,0.002827597663532355
20231006,133.5154,135.9203,132.8851,134.6791,907600,0.004193655883798275
20231009,133.9906,136.5699,133.496,136.1142,648200,0.010655734826049423
20231010,136.599,138.0826,135.1542,136.7542,824000,0.004702042895491587
20231011,137.1226,138.0244,136.9578,137.8693,750800,0.008154025262649522
20231012,138.616,138.9166,135.9106,135.9688,874200,-0.01378499969176794
20231013,136.3469,136.5796,132.8173,133.9324,655300,-0.014976576864513924
20231016,135.4354,137.1227,135.1445,136.5118,651400,0.019258677461670315
20231017,135.7069,138.4705,135.5324,137.2972,664800,0.005753464927650054
20231018,136.2208,137.4232,131.4403,131.7118,762100,-0.04068078935681496
20231019,131.5082,132.9821,130.0052,130.3543,761900,-0.010307041374367998
20231020,130.3252,131.2949,129.5397,130.6064,1251000,0.0019342384673488588
20231023,130.6937,132.1191,129.7628,129.7919,1503700,-0.006236519970217569
20231024,131.8379,131.8379,124.6428,128.3179,2283500,-0.01135604817282776
20231025,127.1543,127.3095,124.478,126.1362,1192300,-0.017002965118387725
20231026,126.8343,127.9883,125.3798,126.5919,1014400,0.0036132760343168258
20231027,126.5337,127.5907,124.2453,124.5265,595500,-0.01631571122093345
20231030,125.2441,125.981,123.6344,124.5265,834000,0.0
20231031,123.7604,126.0489,123.392,126.0101,960600,0.011913966578474433
20231101,126.3107,126.6404,123.6344,125.1665,860400,-0.006694923438195777
20231102,126.9991,130.1991,126.2622,129.2197,916400,0.03238283928403707
