datetime,open,high,low,close,volume,return
20230829,368.6678,372.4583,367.9326,368.706,403000,-0.005357444964058544
20230830,369.3266,377.5758,369.3266,376.3633,425800,0.0207679196381918
20230831,377.1367,378.5689,369.5845,369.8804,519300,-0.017224977685289966
20230901,373.1553,374.1674,370.5106,373.4513,339400,0.009654097665706685
20230905,376.182,376.9744,371.5895,372.2578,559100,-0.0031957338134410707
20230906,371.8664,373.3272,365.202,367.0543,442400,-0.013978354905602397
20230907,366.8347,373.5659,365.0302,371.7422,570100,0.012771837522505436
20230908,372.6589,375.2463,368.5151,369.8518,421700,-0.005085356593124701
20230911,368.8206,378.206,366.7678,377.0412,499700,0.019438575020479743
20230912,374.1961,376.0579,369.7372,375.7905,410500,-0.0033170682432844822
20230913,376.3634,379.2086,373.7473,378.5307,383100,0.007291757350065486
20230914,380.3024,382.2945,377.64,382.1891,438000,0.009664782120552218
20230915,381.0111,382.0072,370.6871,372.0471,1434800,-0.026536676074791155
20230918,371.1181,372.3631,365.9369,368.0534,496900,-0.010734265811703003
20230919,365.7167,367.5267,363.1022,366.636,321700,-0.0038510411160515012
20230920,368.1492,372.3822,368.1492,368.561,329100,0.005250405154682891
20230921,366.32,366.32,359.8938,362.0582,430900,-0.017643856822815662
20230922,363.2649,367.2298,360.4397,365.2187,456200,0.008729153080309082
20230925,362.3552,369.672,362.3552,366.9042,388000,0.004615255419162745
20230926,370.1413,370.5244,362.4605,363.1788,543500,-0.010153694031582505
20230927,364.0408,368.0918,361.9243,364.127,490700,0.002610699270619188
20230928,364.2227,367.4501,361.8859,366.1381,390900,0.005523096769348701
20230929,368.6281,368.8196,361.7997,362.767,471400,-0.009207165559279584
20231002,361.7135,366.5786,360.593,364.443,398800,0.0046200316509898975
20231003,364.4717,364.5866,347.2139,348.775,663300,-0.04299163620502211
20231004,350.2498,355.9769,346.9553,355.3065,603400,0.01872704564262917
20231005,352.0694,352.6441,346.3807,347.8651,659100,-0.020943454356697644
20231006,345.107,345.2506,316.0887,327.1118,1941600,-0.059659202313918636
20231009,321.6912,335.8843,320.8484,335.3289,895700,0.025120071754307638
20231010,337.0335,343.4597,334.8021,340.5579,667600,0.0155936591513548
20231011,341.0559,344.2642,337.7327,339.0735,962000,-0.004358657275480793
