datetime,open,high,low,close,volume,return
20230718,99.6707,100.8709,98.0554,98.642,892300,-0.012199518721124791
20230719,98.9759,100.4197,98.9759,100.3836,1015700,0.017656236863552
20230720,100.7987,102.2065,99.788,102.0891,777800,0.0169902595329805
20230721,102.423,104.1557,101.9899,103.8849,1082900,0.017590500700656042
20230724,103.9662,104.2008,103.145,103.7857,829800,-0.000955538347558349
20230725,103.8037,104.6249,103.533,104.1737,768100,0.003738772014078462
20230726,104.2278,105.3107,103.8037,104.5617,1011100,0.0037247724281153083
20230727,104.5617,105.3378,102.8562,103.1811,1363400,-0.01320441213339607
20230728,104.1466,104.5347,102.0079,102.4862,816800,-0.0067343244099369315
20230731,102.8833,103.7315,102.5584,103.145,1191800,0.006427866983814257
20230801,102.8291,103.3525,102.0079,102.1072,1504200,-0.0100613058934933
20230802,101.7372,102.7299,101.7011,102.0531,921800,-0.000530283982502211
20230803,101.5206,101.9177,98.7593,98.7954,1126600,-0.031921388115007554
20230804,98.9036,99.4902,96.6837,97.3515,1211800,-0.014614757792462685
20230807,97.9742,98.3983,97.2432,97.2613,1198600,-0.0009268767373060705
20230808,97.2071,97.7035,96.5123,97.5952,1065000,0.0034329471620766494
20230809,97.0537,98.8134,97.0537,97.7395,945400,0.0014793627951983357
20230810,97.8839,98.5608,96.3859,96.8101,925600,-0.009509622963787656
20230811,97.0808,97.541,96.6657,97.3605,815600,0.0056859864902851776
20230814,97.171,97.2793,95.664,96.1423,946900,-0.012512654529445832
20230815,95.4294,95.5016,94.166,94.2021,1045700,-0.020180272861368587
20230816,94.4729,95.1226,94.3285,94.527,1089800,0.0034487000801231016
20230817,94.6443,95.5648,94.4729,94.6263,872400,0.0010501343721627254
20230818,94.7887,95.5918,94.4548,95.285,664400,0.0069617041368059684
20230821,94.9872,95.1677,93.8863,94.5721,1319300,-0.007481904964441677
20230822,94.6263,95.1045,94.2202,94.7255,697400,0.0016221681033412594
20230823,95.3031,95.3031,94.2743,94.9963,1170000,0.002858037104787936
20230824,94.6082,96.3047,94.1209,94.2563,953400,-0.00778967805014541
20230825,94.7165,95.3662,94.2021,94.6804,963600,0.004499708078696374
20230828,94.7526,95.4926,94.4909,94.7255,750200,0.00047671432628071386
20230829,94.9511,95.4655,94.4368,94.8699,586000,0.0015242596085136562
20230830,94.8248,95.1406,94.0126,94.518,700800,-0.0037098337575329765
20230831,95.0684,95.1316,93.2636,93.2907,801300,-0.012984457234996749
20230901,93.8592,93.9675,91.4227,92.2078,1110300,-0.011607731825468481
20230905,92.0634,92.1807,90.3037,90.9174,1386900,-0.013994948311915834
20230906,90.9625,91.3956,90.6015,91.0437,1203600,0.0013895602145557184
20230907,91.6573,92.65,91.5581,92.2349,980300,0.013083662922822814
20230908,92.3161,92.7583,92.0634,92.641,1082900,0.004402778961090759
20230911,92.4424,93.3719,92.4424,92.9658,1763700,0.003506487099960154
20230912,92.9929,94.0397,92.6049,93.778,1220600,0.008736325128444689
20230913,93.9314,95.8084,93.4802,95.7001,1702600,0.02049656560065194
20230914,96.2325,96.6928,95.8535,96.3228,1718300,0.006506422475323292
20230915,96.8172,97.7459,96.7444,97.2269,3064600,0.00938676712168185
20230918,97.2269,97.7459,96.6442,97.4273,1453400,0.0020602288341011743
20230919,97.4273,98.0009,96.8263,96.8627,1207800,-0.005794446900289962
20230920,97.1541,98.2103,96.4985,97.1359,806700,0.002820260570463695
20230921,96.9902,97.7459,96.2162,96.5987,1562100,-0.00553079863987771
20230922,96.2071,96.9993,95.9249,96.7079,1982300,0.0011313143694695604
20230925,95.9795,96.4166,95.3968,96.2071,1066600,-0.005178411011996786
20230926,95.8794,95.8976,92.9474,93.0203,1678000,-0.03312505258696963
20230927,92.7198,93.0385,91.0444,91.5452,1164100,-0.015857479203769786
20230928,92.0551,92.1006,89.7606,89.8061,1739600,-0.018997560966259375
20230929,90.7712,91.3449,89.5967,90.3979,1268400,0.006590314450811707
20231002,89.8425,90.143,85.6905,86.947,2346400,-0.038174939446621536
20231003,86.082,89.0777,85.4537,88.6497,2240200,0.019583433804397865
20231004,89.1414,89.2689,87.038,88.4221,1444200,-0.0025680117767596933
20231005,88.6224,88.85,84.7981,85.7724,3500500,-0.029966031778682622
20231006,84.3884,86.9015,82.0756,86.6465,2534100,0.010191187615411712
20231009,86.6556,87.9577,86.5282,87.9486,1059900,0.015027384594062498
20231010,88.067,88.9138,87.6026,88.6497,869700,0.007971912275219761
20231011,88.9684,89.3144,87.6299,89.0867,1494000,0.0049299044407695725
20231012,88.7043,89.0868,86.7831,87.4296,1774000,-0.018601706737937485
20231013,88.2491,89.1141,87.9668,89.1141,1241000,0.01926695329754957
20231016,89.5329,89.8789,88.6042,89.6331,1564200,0.005824049445047219
20231017,88.9684,90.3069,88.9684,89.715,939000,0.0009140828511962074
20231018,89.3781,89.9153,88.2582,88.4221,1385800,-0.014411869180424697
20231019,88.0943,89.1687,87.721,88.0852,1144500,-0.00380994914775723
20231020,88.1762,89.2871,88.0032,88.0032,1427800,-0.000930579013468491
20231023,86.8104,88.6497,86.1366,87.3841,1740000,-0.007035432739106007
20231024,88.3037,89.2507,88.1398,88.9593,1007400,0.01802646573078648
20231025,88.6497,89.4601,88.4767,89.1778,1646700,0.002456588604255572
20231026,89.5238,90.9625,89.2233,89.5511,1275100,0.00418608853187985
20231027,89.1869,89.9973,88.1034,88.24,1227700,-0.014641521817918224
20231030,88.3037,89.3053,86.9379,87.6936,1305000,-0.0061914496278636655
20231031,88.1944,88.4039,86.9743,87.7574,1871100,0.000726889608480219
20231101,85.7724,89.3053,84.2973,87.9668,3470300,0.002386343532099655
20231102,87.8211,91.008,87.8211,89.97,1846400,0.022771930993139344
20231103,91.4359,92.474,90.9625,91.2174,1728700,0.013865116806008881
20231106,91.1901,91.3904,89.8425,89.8425,1528200,-0.015072955957273204
20231107,89.9062,90.0155,89.3599,89.715,1375200,-0.001418922614071727
20231108,89.3235,90.1157,88.6042,89.7241,2276500,0.00010162319022488653
20231109,89.8789,91.008,89.5693,89.6877,2056000,-0.00040594126589388324
20231110,90.2613,90.2613,89.278,89.7514,1315000,0.0007105581126460869
20231113,89.7332,89.8607,88.7134,88.9229,1599900,-0.009232056611153006
20231114,90.5163,92.738,90.4252,92.647,1392100,0.04188018905740365
20231115,92.3647,93.8215,92.2008,92.9383,1238200,0.0031448301804879453
20231116,93.6394,94.5227,92.82,94.0856,1813700,0.012344590547177958
20231117,94.7048,94.7048,93.4755,94.3314,1502500,0.0026129607002536304
20231120,93.8215,94.204,92.3647,93.6668,1392700,-0.007046304855198637
20231121,93.8124,94.2313,92.9474,94.0218,1062400,0.0037909638025757086
20231122,94.1129,95.6881,93.7032,95.2966,1687600,0.013558260548372392
20231124,95.3877,96.453,95.2875,95.9431,1220300,0.006783917465753353
20231127,96.0615,96.1525,95.1327,95.4787,1382700,-0.004840143345918202
20231128,95.5971,96.5987,95.2693,95.6244,1186600,0.0015258194297582683
20231129,95.679,96.371,94.3861,94.8231,1193700,-0.00837934136193974
20231130,94.9597,94.9688,94.122,94.7958,1568900,-0.00028804397063619813
20231201,94.814,98.5654,94.4589,98.4926,2802700,0.03899709925362238
20231204,98.1193,99.4851,97.7095,98.7111,1365900,0.0022188104684723875
20231205,98.7839,98.7839,96.9082,97.1177,1403200,-0.01614250567154918
20231206,97.3635,98.0829,97.0995,97.7277,1152700,0.006281753244141486
20231207,97.9736,98.3105,97.0721,97.6276,1401800,-0.0010250308153304521
20231208,97.8643,98.9661,97.3362,98.8932,2139000,0.012963963401439571
20231211,98.8659,100.3228,98.1921,100.2408,1419100,0.013626848856873819
20231212,100.5504,100.5504,98.8659,100.086,1211900,-0.0015442091813202552
20231213,100.1589,103.3184,99.3394,103.1819,1227000,0.030931720340969582
20231214,104.0651,104.3655,102.1256,102.3715,1710300,-0.007854038803772667
20231215,101.4158,102.3163,100.1386,100.984,2690000,-0.013553477887070176
20231218,101.2872,102.0499,100.5429,100.9105,1026700,-0.0007279295500186578
20231219,101.1126,101.9028,100.7359,101.8018,886700,0.00883262254002104
20231220,101.6455,102.2244,100.451,100.4694,1165100,-0.01308800683725786
20231221,100.7359,101.8753,100.1386,100.837,897700,0.003658517230562097
20231222,101.5077,102.3531,100.6624,100.7267,950000,-0.0010935241173403165
20231226,100.5337,101.7099,100.5337,101.2321,522200,0.005017251346113971
20231227,101.0759,101.1494,100.4327,100.791,693100,-0.004356647771053157
20231228,100.5613,101.5537,100.5613,101.4526,518200,0.006563831738398029
20231229,101.0391,101.5812,100.791,101.3148,691600,-0.001358666736353431
20240102,100.9288,102.9687,100.8645,102.6931,954200,0.013604399192501448
20240103,102.9596,102.9596,101.5445,101.9764,1308000,-0.006979248729661158
20240104,102.2612,102.5828,101.3423,101.5629,1016300,-0.004054990458801977
20240105,101.2321,102.1142,100.9564,101.6731,985600,0.0010857083877264806
20240108,101.0391,102.5828,100.8002,102.4725,787500,0.007862605174847603
20240109,102.0958,102.5093,101.6272,101.9488,652900,-0.005111203102012629
20240110,101.7742,102.2888,101.4893,101.8385,676100,-0.0010815984577886573
20240111,101.4985,101.4985,98.8798,99.2565,519600,-0.025354098915529866
20240112,99.9916,100.1662,99.2197,100.0191,827300,0.007683777992283591
20240116,98.8246,99.3208,98.163,98.8706,1332400,-0.011483701775249044
20240117,98.2641,99.5046,96.8215,97.1339,760900,-0.017564947486573557
20240118,96.4999,96.7755,95.5626,96.3437,786000,-0.008135625437152738
20240119,96.7388,96.9961,95.5259,96.0404,1016900,-0.003147302698869092
20240122,95.774,96.8766,94.8918,95.4707,849000,-0.005931819387852699
20240123,95.4616,96.0129,94.8551,95.9945,765600,0.0054860570641035444
20240124,96.7664,96.7664,93.8811,94.0557,1491900,-0.020197118292036742
20240125,95.1767,95.6086,94.1843,95.3789,1458200,0.014067898884715602
20240126,95.8383,95.875,94.8551,95.1859,1165300,-0.0020231177114228283
20240129,95.1767,95.774,94.5794,95.4156,1566400,0.0024133139845008422
20240130,95.0848,97.1247,94.7081,96.0772,1614800,0.0069337776102536
20240131,97.2074,97.8322,96.068,96.8674,1533700,0.00822494665699991
20240201,96.3161,98.7879,95.774,98.7511,1316700,0.01944590393323198
20240202,97.8047,97.8966,95.8107,96.555,1437400,-0.022238645733025586
20240205,95.6178,96.6101,94.8827,95.4891,1395700,-0.011039252166896385
20240206,95.2226,95.9485,94.754,95.7556,1068000,0.002790599418390105
20240207,96.0221,97.2258,95.5443,96.6837,1692900,0.009692152165315049
20240208,96.4815,97.8414,94.4416,95.774,1847800,-0.009408940809804145
20240209,95.7464,96.1783,94.7724,95.9394,1118600,0.0017269581844945314
20240212,96.0313,98.062,95.7189,97.7496,1459800,0.018868044563145947
20240213,97.0971,97.4647,94.754,95.9118,1697600,-0.01880078643608485
20240214,95.9761,97.3544,95.774,96.7847,1273600,0.009101488702486282
20240215,97.2993,99.0635,97.2993,99.0268,1231900,0.02316532984049524
20240216,98.4846,99.7803,98.2733,99.0544,1273300,0.00027843611663125323
20240220,99.0452,100.5245,98.6317,98.9073,1023100,-0.0014843738687349006
20240221,99.5414,100.5981,98.9992,100.304,1135600,0.014121280656094859
20240222,99.4403,99.4403,98.1263,98.3376,1486800,-0.01960432486441066
20240223,98.5949,100.01,98.5122,99.6516,1127000,0.013361926539273705
20240226,99.0727,99.0727,97.3636,97.575,897300,-0.02083905145911258
20240227,98.209,98.7511,97.6393,98.6225,780600,0.010735342584002439
20240228,98.4663,99.477,98.1906,99.33,906700,0.007174175073915157
20240229,99.8078,100.3959,98.9349,99.5597,1387800,0.0023127059573724296
