datetime,open,high,low,close,volume,return
20230718,81.8052,82.6784,80.3439,81.0033,2279900,-0.00947907843635365
20230719,81.2795,82.527,81.2528,81.6627,1970400,0.008139950179255173
20230720,81.9745,83.1685,81.4221,83.0437,2428700,0.01691202135189296
20230721,83.3467,84.6387,83.017,84.4516,2694300,0.01695268105008596
20230724,84.6476,84.906,83.8546,84.4426,2248700,-0.00010542734935403697
20230725,84.2555,85.0664,83.8546,84.906,2648500,0.005487046654126582
20230726,84.701,85.9039,84.5407,85.1466,2196700,0.0028333697853084594
20230727,84.7723,85.3069,83.7655,84.1486,2841800,-0.0117204419582575
20230728,84.6921,84.9416,82.9279,83.1685,2567000,-0.011647554029067031
20230731,83.5249,83.908,82.821,83.418,2902800,0.0029998920288387687
20230801,83.3823,83.5962,82.0903,82.1082,2422100,-0.01570173337427072
20230802,81.9745,82.9724,81.8587,82.4467,2295000,0.004123458639322841
20230803,82.2329,82.4022,80.3707,80.5221,2880500,-0.023343539266655222
20230804,80.8429,81.5824,79.2301,79.7113,3043500,-0.010069926677517271
20230807,79.8182,80.2816,79.7648,79.8895,3604500,0.0022358521573389023
20230808,80.4419,82.1527,79.5153,82.0903,5240800,0.027548308811971234
20230809,81.8587,83.0794,81.7517,82.7051,3219200,0.007489490456278558
20230810,83.1685,83.7477,82.5893,82.7854,3635500,0.0009698967623583687
20230811,82.8655,83.7476,82.8121,83.5962,2428700,0.009794169909195016
20230814,83.6496,83.6496,82.3933,82.6784,2340400,-0.010978434292667094
20230815,82.028,82.2596,81.3953,81.4755,2669700,-0.014549093987483053
20230816,81.6983,82.2686,81.3686,81.7072,2382100,0.0028434820716236597
20230817,81.8559,83.0724,81.5856,81.7297,2578600,0.00027573582621687187
20230818,81.5585,82.4055,81.4774,82.1803,2766400,0.005512449545992171
20230821,81.8198,82.0902,80.315,80.7656,3910700,-0.017214637362135465
20230822,80.7655,80.9818,80.2519,80.7295,2365900,-0.00044643434888169686
20230823,81.4144,81.4684,80.315,81.4053,2231500,0.008371689242335778
20230824,81.2251,82.3245,80.9728,81.09,2376000,-0.003874240964891973
20230825,81.2792,82.3064,81.0899,81.6216,2374600,0.006556164425062461
20230828,81.6306,82.1532,81.099,81.117,2128800,-0.006182380649796371
20230829,81.099,81.964,81.0539,81.3603,2279700,0.002999389117832596
20230830,81.108,81.8469,80.6214,81.0539,2250900,-0.003765828289520212
20230831,81.3332,81.4864,79.9455,80.0176,3139600,-0.01278476370627124
20230901,80.4231,80.7655,78.8462,79.2337,3777700,-0.009797320231973994
20230905,79.0985,79.2878,77.5306,78.0803,3155500,-0.014556897974322802
20230906,78.3146,78.9453,77.6387,78.8372,3249700,0.009694122778672432
20230907,79.477,81.2972,79.3689,80.5583,4765200,0.0218310615628039
20230908,80.7115,82.1532,80.4502,82.0181,3302700,0.0181206670595091
20230911,81.8649,83.3247,81.7568,82.7029,3992900,0.008349927485562514
20230912,82.8201,83.5049,81.91,83.0093,3689300,0.0037045999012734754
20230913,83.2886,85.0277,83.1895,84.5952,4383300,0.01910526419793035
20230914,85.2891,86.2442,85.0278,86.0099,4594400,0.016723568695130142
20230915,85.9108,86.5777,85.5414,85.7667,9702900,-0.0028285813025524797
20230918,85.8297,86.019,84.8475,85.5684,3701700,-0.002311502055577841
20230919,85.5684,85.8117,84.5141,84.5592,3291000,-0.011794529826831712
20230920,84.9557,85.9739,84.4871,85.0368,2855800,0.00564802667787867
20230921,84.9286,85.3612,83.9825,84.1717,3129300,-0.010172673652708797
20230922,83.8113,84.5592,83.5319,84.0996,1973000,-0.0008564652521559912
20230925,83.6491,84.1537,83.1805,84.0816,2376500,-0.00021436789231632503
20230926,83.8023,83.8563,81.7748,82.1082,3000600,-0.023470105418482268
20230927,82.0902,82.3695,80.4321,81.1801,3715400,-0.01130385050852134
20230928,81.6486,81.6486,79.7203,79.9095,4489700,-0.01565086831060991
20230929,80.7746,81.0629,78.9633,79.531,3900500,-0.004736249152655692
20231002,79.0625,79.2878,75.8185,76.99,6498300,-0.03195094381940333
20231003,76.5935,77.5486,75.1337,77.2783,5606500,0.0037452333596301735
20231004,77.2783,77.864,76.4763,77.6027,3322900,0.004197937786879935
20231005,77.3864,77.5126,76.3502,77.026,3716400,-0.007431714876662721
20231006,75.9897,78.4317,74.8453,78.3236,3511900,0.016845962985157392
20231009,78.0983,79.522,77.837,79.504,3008500,0.015071459978768909
20231010,79.522,80.2069,79.1706,80.1438,2619500,0.008047117529928371
20231011,80.5583,81.2071,79.8825,80.9818,2658900,0.010456554919189287
20231012,80.6754,81.126,78.5669,79.3238,3172500,-0.020473978442027474
20231013,80.1438,80.6845,79.3418,79.9095,3277000,0.007383865295890857
20231016,80.1979,80.9728,79.6752,80.6124,2993500,0.008795482103132635
20231017,79.9906,80.8827,79.7293,80.1618,2911500,-0.005589047080438836
20231018,80.1708,80.5763,78.9634,79.468,2790100,-0.008655493320671281
20231019,79.2247,80.0627,78.639,79.0985,3134300,-0.0046490859373814475
20231020,78.8552,80.0717,78.4047,78.4227,3468400,-0.008544117390320127
20231023,77.6748,78.9544,77.3053,77.7919,3172100,-0.008043082710519345
20231024,78.4948,79.531,78.2425,79.0805,3213100,0.0165642704875395
20231025,78.9724,79.6933,78.5488,79.4319,2652800,0.004443988218699069
20231026,79.7023,80.8737,79.495,80.3781,3033500,0.011911382457256536
20231027,80.0717,80.306,78.4768,78.8732,2764300,-0.018721984107736733
20231030,79.1526,79.9005,78.4497,79.2066,2426900,0.004227093385778868
20231031,79.6121,80.1348,79.2157,80.0987,3094500,0.011262719768579066
20231101,80.3781,81.0899,79.5851,80.6845,3944500,0.007312619657671826
20231102,80.6484,81.6396,80.1888,80.9998,4553000,0.0039088558970363785
20231103,82.1442,82.8741,81.3062,81.3513,4022900,0.0043385909384654475
20231106,81.2612,81.6216,80.6214,80.8467,3370700,-0.006202831075639792
20231107,81.099,81.108,80.306,80.4502,3054500,-0.0049041530064030114
20231108,79.9996,80.1708,78.5399,79.6212,3623800,-0.010304544482499178
20231109,79.7743,80.5313,79.2157,79.2607,3441800,-0.004527263329828224
20231110,79.7203,79.9095,79.0535,79.54,2491100,0.0035243523855699177
20231113,79.468,79.6482,78.0442,78.4137,3396400,-0.014161180025117348
20231114,79.8645,81.0089,79.7473,80.9638,5739200,0.03252153468881969
20231115,80.8917,81.928,80.3601,80.7475,3175600,-0.002671105127577622
20231116,81.4448,82.566,81.4448,82.2014,3872300,0.01800516471444258
20231117,82.6207,82.6572,81.7456,82.0464,3340600,-0.0018851335441373296
20231120,81.5998,82.0738,80.4604,81.3993,3637300,-0.007887861549459974
20231121,81.6089,81.9735,80.8797,81.928,2483900,0.006495071873471536
20231122,82.0373,82.4384,81.5998,82.3655,2553200,0.005340242826184616
20231124,82.2561,82.7574,81.9644,82.7119,1472400,0.004205242979011592
20231127,82.8212,83.0674,82.1923,82.8851,2439400,0.002094047084051809
20231128,82.9124,83.7966,82.6936,83.0674,2774300,0.0021994843477164405
20231129,83.1494,83.5778,82.3655,82.6845,2986800,-0.004608826113252418
20231130,83.5505,84.225,83.0582,84.1156,4959400,0.01730794339165631
20231201,84.0427,84.4529,83.4502,84.4438,4016400,0.0039012437141741074
20231204,83.8786,84.9816,83.8786,84.5258,2796500,0.0009714304403583007
20231205,84.6443,84.7446,83.7692,84.2888,2601200,-0.0028038717692607795
20231206,84.6352,85.647,84.4529,85.6288,3260400,0.01589722645982916
20231207,85.5923,86.4947,85.0727,86.1027,3813000,0.005535155463079144
20231208,86.0936,86.358,85.5011,86.0389,3271700,-0.000740851861792402
20231211,85.7199,86.9596,85.3097,86.9231,4989100,0.010276488264562733
20231212,87.0416,87.0507,85.7928,86.8958,3942700,-0.0003145739642472778
20231213,87.0507,89.4572,86.4582,89.4025,3970200,0.028847274132381973
20231214,90.0223,90.6786,89.3204,89.6121,6870800,0.0023447363161561707
20231215,89.3204,89.4663,87.1601,88.0808,8742700,-0.017088641757901923
20231218,88.6003,89.6303,88.1901,88.573,4277100,0.005588258247934297
20231219,88.8829,88.9102,87.9258,88.2448,2711900,-0.0037048308199614244
20231220,88.0899,88.6641,87.0963,87.2148,3428500,-0.011672317792894682
20231221,87.4518,87.9623,86.7955,87.8346,3072500,0.007107079182383291
20231222,88.2722,89.0014,87.7982,88.2904,1927500,0.005188895045394881
20231226,88.0716,88.8829,87.8985,88.1719,2228300,-0.0013421588138883278
