datetime,open,high,low,close,volume,return
20230718,104.64,106.96,104.64,106.16,633600,0.015593656384269794
20230719,106.14,106.72,104.14,104.76,439400,-0.013187655214621952
20230720,105.4,105.76,103.85,105.49,493600,0.006968267589282595
20230721,105.58,105.58,102.7,102.78,726700,-0.025689630669747165
20230724,102.86,103.11,101.41,102.1,818100,-0.0066160762137774665
20230725,101.76,103.31,101.16,102.95,374900,0.008325156580061499
20230726,102.42,103.17,101.02,101.2,374900,-0.01699854348591978
20230727,101.13,101.44,99.85,100.03,370400,-0.011561247077346182
20230728,101.11,101.16,99.73,101.04,471500,0.010096992387842674
20230731,101.23,102.03,99.94,101.99,547600,0.009402186655129041
20230801,101.91,102.71,101.55,102.39,457300,0.0039219681758715375
20230802,101.91,102.75,100.84,101.97,583700,-0.0041019452236442655
20230803,101.99,102.76,101.23,101.56,682100,-0.004020826294019231
20230804,106.63,109.6,106.23,108.81,1637600,0.07138637430369377
20230807,111.07,116.97,110.96,112.68,1523300,0.03556660999370065
20230808,112.21,113.08,110.22,110.79,1478200,-0.016773157477189216
20230809,111.15,111.67,109.48,109.96,597600,-0.00749166733636486
20230810,110.11,110.95,107.41,108.43,643400,-0.013914139614729426
20230811,108.71,109.19,107.2,108.35,472300,-0.0007378200758970666
20230814,108.46,108.48,104.47,106.96,1055400,-0.012828790117430766
20230815,106.99,106.99,104.18,105.2,744800,-0.01645476955212477
20230816,104.97,105.89,103.8,104.29,513100,-0.008650152653165488
20230817,103.65,104.21,100.22,100.64,754400,-0.03499857602681711
20230818,100.14,101.86,99.71,101.56,526300,0.009141476296947726
20230821,101.74,102.4,100.49,101.89,403400,0.0032493288596653347
20230822,101.91,102.4,100.88,101.66,337900,-0.002257294424544143
20230823,102.03,102.45,101.35,102.06,490700,0.003934624061335379
20230824,101.51,102.0,101.02,101.05,477600,-0.009896085939607113
20230825,101.02,101.36,100.06,100.61,416900,-0.0043543040882529915
20230828,101.05,101.51,100.23,100.55,622400,-0.0005963379209797948
20230829,100.68,102.59,100.17,102.19,366700,0.016310286821217268
20230830,102.49,104.02,102.4,103.31,379900,0.010959928470788416
20230831,103.79,103.92,102.04,102.42,797400,-0.00861484280980318
20230901,102.8,103.86,102.56,102.99,340700,0.005565316393425279
20230905,102.36,102.47,96.62,96.65,976400,-0.06155934041553124
20230906,96.21,99.56,96.21,98.89,772800,0.023176387257166864
20230907,99.06,99.17,94.7,95.34,823600,-0.035898504132556575
20230908,95.44,96.52,95.01,95.55,707000,0.0022027136766704647
20230911,95.74,96.7,95.07,96.26,526800,0.007430654754537969
20230912,95.88,98.17,95.51,97.16,1053500,0.009349693599686404
20230913,97.0,101.53,97.0,101.13,1185400,0.040860368893304466
20230914,101.29,103.62,95.35,98.39,1833800,-0.027093819224611182
20230915,97.04,100.27,97.04,98.33,1492100,-0.000609793261164171
20230918,98.62,100.38,98.52,99.77,765800,0.014644511188821596
20230919,100.08,102.93,100.08,101.96,814000,0.021950511326978672
20230920,102.21,103.93,101.43,103.33,660700,0.013436668878811897
20230921,103.6,104.16,102.29,102.36,670300,-0.009387411240823207
20230922,102.35,102.6,98.5,98.71,655800,-0.03565847503042885
20230925,98.38,98.87,97.85,98.59,560800,-0.001215710137727144
20230926,98.57,99.02,95.68,95.68,777800,-0.02951613896750349
