datetime,open,high,low,close,volume,return
20230718,136.5103,136.9044,135.3083,136.8256,1641900,0.004484951434776674
20230719,136.727,137.5547,134.6777,134.8255,2290300,-0.014618042308682688
20230720,134.3821,136.2049,134.3821,135.1112,1829300,0.002119416866674051
20230721,135.5053,136.2048,134.8747,135.0422,4562700,-0.0005106922375683887
20230724,135.6334,135.9093,134.7663,135.7319,1319800,0.005107271919066569
20230725,135.6728,137.7222,135.5053,137.5153,1507900,0.013138922620711257
20230726,136.9931,137.2098,135.9191,136.7862,1602400,-0.005302034430878733
20230727,137.5054,138.1163,135.0127,135.4856,2311500,-0.009508146541136298
20230728,136.3132,136.5497,135.4954,135.8206,1508700,0.002472637403688971
20230731,135.4166,136.0176,133.8402,134.3427,2246800,-0.010881417634464263
20230801,133.5249,135.3279,133.4657,134.116,2298800,-0.0016871337932080621
20230802,128.0861,128.2241,123.6228,124.4505,5112600,-0.0720686342807102
20230803,123.7312,124.9825,121.8986,122.007,4083400,-0.01963404788017631
20230804,122.2139,122.4799,120.667,120.7852,2798100,-0.010013819668953317
20230807,121.3961,122.8149,120.8739,122.2237,2662000,0.011909690275665685
20230808,121.0808,121.741,120.6867,120.8049,2409800,-0.011608284112388456
20230809,121.071,121.5144,119.662,120.1251,2404200,-0.005627458887107584
20230810,121.2779,121.8493,119.7507,120.4699,1683300,0.00287061848497161
20230811,119.7606,120.5783,119.3073,120.401,1894200,-0.0005725056565015763
20230814,120.3123,121.741,119.9872,120.9626,1713200,0.004664475071187502
20230815,120.0758,120.6769,119.4354,119.6325,1500000,-0.010996159650750736
20230816,119.1103,119.8295,118.5979,118.9034,1554900,-0.006094525507086335
20230817,118.5585,118.9329,116.9427,117.0116,1790700,-0.015909821948820846
20230818,116.1347,117.6718,116.0855,116.6175,1518500,-0.0033681407800300045
20230821,116.6865,117.3762,116.0855,116.854,1412000,0.0020275701653309497
20230822,117.2678,117.9378,117.0116,117.7703,1839900,0.00784152395199289
20230823,118.3812,119.7901,117.9673,119.5339,1821200,0.014975396443182909
20230824,119.7605,120.6177,118.1151,118.1447,1795100,-0.011622173010818804
20230825,118.1644,118.4206,117.2382,117.9279,1308900,-0.001834624103215221
20230828,118.2334,118.8245,117.9969,118.7457,1182800,0.006934440469918979
20230829,118.8937,119.7622,118.3905,119.3674,1538600,0.005235720838740798
20230830,119.3674,120.0384,118.8937,118.9628,1767600,-0.003389743410453172
20230831,119.2391,119.4957,117.4826,118.4003,4374900,-0.004728048242086724
20230901,119.476,120.4135,117.9168,118.953,2333100,0.0046673847985649886
20230905,118.9529,120.7687,118.6075,119.9003,1963800,0.007964004776478628
20230906,119.8016,119.8707,118.2622,119.3082,2273400,-0.004938223056723645
20230907,119.2687,120.0779,118.8247,119.3477,1724600,0.00033079751745201946
20230908,119.8016,120.6306,118.9431,120.147,1750100,0.006697569247295476
20230911,120.897,121.8444,120.1964,120.9167,3626400,0.006406564833464579
20230912,120.4727,121.6273,119.5944,119.8214,2379300,-0.009058982955112205
20230913,119.8214,121.0746,119.5944,120.0779,4107100,0.0021413892510295796
20230914,120.0779,121.943,119.7621,121.42,3112500,0.011176797093765956
20230915,120.9365,121.1437,118.6273,118.874,5405600,-0.020968891405629186
20230918,119.5845,119.5845,118.42,119.0121,2449500,0.0011622450886015212
20230919,118.5977,119.8904,118.5385,119.4069,2403000,0.0033168452660270464
20230920,119.8806,120.2655,118.8345,118.8641,1317000,-0.004545361608597642
20230921,118.5187,118.7655,117.1964,117.2359,1813800,-0.01369866970359812
20230922,117.3247,118.578,117.078,117.4332,1994300,0.0016834198438548942
20230925,116.8905,118.1536,116.7326,118.1339,1291200,0.005966395852134765
20230926,117.5516,117.8181,116.6734,116.8017,1363400,-0.011277222622024463
20230927,117.1174,117.3148,115.9234,116.4168,1245300,-0.003295094146573474
20230928,116.5747,118.4891,116.1503,117.6108,1738400,0.010256845477220722
20230929,118.3707,119.2293,118.0648,118.8148,1770600,0.010236652239834942
20231002,118.3707,119.1898,117.7984,118.5681,1590700,-0.0020763753739414526
20231003,118.5385,118.8148,117.0385,117.976,1659500,-0.004993708237768679
20231004,118.4891,119.2983,117.147,119.1306,2011300,0.009786625135344229
20231005,119.4266,119.6635,118.0451,119.1997,1320000,0.0005798388606417237
20231006,118.9628,121.8542,118.8641,121.3411,1667000,0.01796503614980205
