datetime,open,high,low,close,volume,return
20230829,433.1935,436.0402,431.0703,435.8688,698400,0.007482253877320932
20230830,437.3159,441.029,435.7069,437.5444,875700,0.0038442017597839495
20230831,438.8393,438.8393,420.0644,420.826,2054900,-0.03820943383671882
20230901,424.463,426.5671,418.4744,421.1783,1319600,0.0008370784186491065
20230905,423.2157,429.5565,422.9777,428.5759,1053800,0.017563944392834596
20230906,428.5759,431.8701,423.9583,424.6248,1149900,-0.009219091949100755
20230907,427.3186,432.6393,425.3508,430.1748,980800,0.013070334024358754
20230908,429.2291,430.5855,426.9365,428.6655,993400,-0.0035085922093887056
20230911,429.659,433.308,427.0225,429.1527,766600,0.0011365812575507839
20230912,426.0385,428.1209,416.0848,425.3698,1217100,-0.008814735670641172
20230913,426.0386,427.0034,420.7847,423.3543,1372000,-0.0047381651334812425
20230914,426.6308,427.6243,420.1065,424.472,878600,0.002639975923546478
20230915,422.9818,428.484,421.1095,422.1412,1581600,-0.005491010272556829
20230918,425.4463,425.4463,419.8391,422.9054,786600,0.0018102726411857173
20230919,421.2624,423.0869,414.3178,419.1417,1235100,-0.00889955984241031
20230920,421.6922,427.4714,415.3016,425.8762,1085700,0.016067205089455472
20230921,426.6977,435.505,424.7107,430.6523,1340400,0.011214959968069094
20230922,428.1688,431.3594,426.1915,427.0894,820700,-0.00827332603154729
20230925,427.8058,433.9767,427.204,433.7188,706200,0.01552212075485393
20230926,430.853,432.7252,423.5645,428.1019,886000,-0.012950517643562254
20230927,428.0159,428.847,424.0039,424.8541,1001500,-0.007586447203394409
20230928,427.3759,431.1969,425.4368,427.2613,1045300,0.005665935836916658
20230929,425.6183,425.9144,415.6551,415.9321,1374400,-0.02651577108185721
20231002,416.5052,421.0331,412.0729,420.4886,1174800,0.01095481017903821
20231003,418.8265,419.6003,412.2353,414.1076,887400,-0.0151751596863825
20231004,414.098,418.5685,413.6108,418.3488,747600,0.01024180885955972
20231005,417.0401,425.0546,415.827,424.0038,1088300,0.013517498034424591
20231006,424.2428,432.8782,422.4947,429.8214,1112700,0.013720477929729302
20231009,428.3789,433.1933,426.1245,432.7348,712100,0.006778285771329662
20231010,435.2089,438.772,432.8399,434.76,898600,0.004679878602425802
20231011,431.493,433.6041,429.0667,433.2697,922000,-0.0034277174674115507
20231012,433.8142,435.9253,429.955,433.2315,852300,-8.825570177262154e-05
20231013,438.0651,445.7739,430.4996,433.7856,1665100,0.0012789401055075533
20231016,416.4861,448.7638,416.4766,441.9147,2759100,0.01873994937206125
20231017,442.3732,450.6074,440.6729,444.8473,1453600,0.006636161153140696
20231018,459.4434,460.9049,442.5929,448.3053,2076700,0.007773333945266359
20231019,447.4265,452.0499,440.0138,442.5452,1238000,-0.012848545891587793
20231020,442.9941,443.3571,433.2411,433.4704,1159600,-0.02050599390221075
20231023,432.8208,434.3969,424.3668,431.5503,1644200,-0.004429610706368603
20231024,431.8082,440.5392,431.77,432.3336,1180300,0.001815213153715245
20231025,432.7062,434.8841,427.6625,429.9264,640100,-0.005567983754588557
20231026,426.8028,433.4608,426.8028,429.659,676200,-0.0006220263336548237
20231027,427.9013,429.6972,419.6385,421.7018,880100,-0.018519766760079603
20231030,423.3161,429.0476,421.1955,427.9681,1114500,0.014859689206882187
20231031,429.8595,432.0375,428.2261,429.9455,1253700,0.004620334491851619
20231101,428.4458,430.5187,423.2302,426.6691,1556700,-0.007620566458179212
20231102,426.2392,431.6937,417.8426,431.302,1183900,0.01085837930256095
20231103,431.8369,432.773,426.4493,429.7258,673100,-0.0036545921489312683
20231106,430.7766,435.8012,430.0888,434.1773,723000,0.01035894956514527
20231107,436.0686,440.4722,434.3396,436.7755,1202400,0.005984134105557981
20231108,438.6095,439.1635,429.9072,432.9067,973800,-0.008857512210861507
20231109,434.5116,435.7344,430.3372,432.7827,793200,-0.00028656048255515376
20231110,434.0053,438.9057,430.9772,437.7403,762200,0.011455268731161095
20231113,438.0842,442.2491,435.4096,440.7398,581900,0.006852332919265791
20231114,439.2973,444.2264,435.9444,441.0836,687300,0.0007800770563246573
20231115,440.2813,441.5517,432.4196,436.2788,1316000,-0.010893331956036145
20231116,437.3296,444.3697,435.6101,442.8604,1082400,0.015085846142933956
20231117,444.3314,444.704,436.9187,442.2299,983400,-0.0014237526401201794
20231120,439.2974,446.5477,439.2974,444.5417,799600,0.005227524498155445
20231121,446.1178,450.2349,443.7202,449.5376,868300,0.011238478119436568
20231122,451.4767,459.5294,451.4767,458.4882,979800,0.019910662600983953
20231124,458.2589,460.6183,456.6063,457.3036,310000,-0.002583643941702407
20231127,457.5138,460.2649,454.5717,456.0428,1048100,-0.002757237506544885
20231128,455.9568,458.7174,454.0176,454.2087,767700,-0.004021719251353528
20231129,448.5919,451.5341,442.0294,444.5321,1687800,-0.021304181607698758
20231130,446.7291,458.9658,444.2742,458.0297,2083800,0.030363447348694672
20231201,457.0075,463.5032,457.0075,461.4972,1361500,0.007570467720223295
20231204,461.6405,463.9044,456.2051,461.4781,877800,-4.132958532410136e-05
20231205,461.0373,464.8126,457.8562,461.8901,1037800,0.0008928220703023904
20231206,461.8997,463.0399,456.9363,458.2969,596900,-0.007779275021861265
20231207,459.5234,459.5234,454.8284,457.013,803800,-0.002801536396866755
20231208,460.0408,460.0408,452.6341,457.9807,1099200,0.002117539148531744
20231211,458.3544,460.4145,448.9164,456.189,1423100,-0.003912344766111908
20231212,459.2168,465.8762,455.4704,463.3083,1178700,0.01560601803537498
20231213,462.4267,468.5495,456.9268,467.6488,822900,0.009368591167581153
20231214,463.7777,465.6654,454.8858,459.8013,1107500,-0.016780762828509377
20231215,454.6272,456.1507,443.5602,448.8685,3222500,-0.023777227884757557
20231218,449.4051,451.6568,447.1055,449.7404,926600,0.0019425471884566559
20231219,448.6194,449.5105,442.8607,446.3006,1790600,-0.007648590173300773
20231220,445.8598,446.7988,439.852,440.0245,1386300,-0.014062411000482222
20231221,441.8929,445.7161,441.0306,444.6812,1525100,0.010582906683206383
20231222,445.9939,448.3319,444.1159,447.0767,613400,0.0053868851232712345
20231226,446.5113,449.0792,446.1472,447.0,396200,-0.00017153807261238718
20231227,447.1534,448.102,445.2562,446.3293,488700,-0.001500413455152394
20231228,447.2491,451.0339,447.2491,449.0697,489700,0.006139763515585539
20231229,450.2674,452.385,447.9773,451.8388,606100,0.0061663806229173
20240102,452.0209,460.5583,451.4556,458.8048,1358900,0.015417077596469708
20240103,462.0817,467.5817,459.0539,460.3953,1205400,0.003466582041366406
20240104,464.9563,468.2908,462.7813,464.5635,1037600,0.009053419163457255
20240105,463.8161,466.1253,457.5879,459.9546,1044200,-0.009920831993239676
20240108,461.4877,464.4293,449.0792,459.9737,815800,4.153454071453844e-05
20240109,459.9737,463.7202,457.9328,463.0303,688000,0.006645184160551709
20240110,462.3884,463.5861,458.9485,460.1558,574100,-0.006208107811342289
20240111,459.2073,462.4363,456.5531,462.1393,749600,0.004310474895023564
20240112,450.3633,457.3484,450.0471,455.25,1218800,-0.014907438101665504
20240116,458.5652,458.5652,451.9059,453.4965,775600,-0.0038516839570572614
20240117,456.0644,463.2029,455.3937,456.2081,1111100,0.0059794054887516435
20240118,435.6647,450.6698,430.2414,449.7021,2246100,-0.01426119477467025
20240119,451.0819,451.0819,444.1351,445.1795,2008800,-0.010056775193699519
20240122,446.7126,454.7517,445.3999,452.1071,1727100,0.015561390936245978
20240123,450.5836,457.243,450.5836,452.4138,1581200,0.000678247728632897
20240124,469.0285,476.2053,453.324,453.8606,2378900,0.003197974946396842
20240125,452.0783,460.587,442.1804,460.2229,2233600,0.014018192316177513
20240126,460.8265,465.3779,459.7055,463.5669,1272400,0.007266164709945233
20240129,463.5574,466.911,460.817,466.1828,1256000,0.005642928998579988
20240130,469.2681,472.2193,466.3361,471.7594,1016200,0.011962192942363226
20240131,473.9344,476.5023,471.9702,472.8038,1018600,0.0022138470267476507
20240201,470.2647,476.2054,467.9746,474.7106,997300,0.004033025849240923
20240202,475.2376,476.7227,470.0634,474.4135,1005200,-0.0006258310261372246
20240205,475.1034,477.3935,468.147,469.8238,916900,-0.00967445284454449
20240206,469.8239,475.0556,466.1253,473.1775,773600,0.007138204946779858
20240207,476.8186,481.14,475.1609,476.9719,852600,0.00801891973347324
20240208,479.4248,482.9988,479.0799,481.1495,913300,0.008758677148184901
20240209,479.9997,485.6242,479.2619,484.9152,800900,0.007826309114346897
20240212,484.7139,485.7775,482.6635,484.1103,703100,-0.0016598173659666537
20240213,483.4587,491.7661,482.4527,484.1774,1064800,0.00013855858475086968
20240214,484.2924,486.0554,481.2932,484.9439,649200,0.0015831812425484149
20240215,485.9787,489.8306,485.0972,487.5501,690600,0.005374295135464058
20240216,489.2366,492.8393,484.9535,491.1913,620100,0.0074681822025641775
20240220,491.1912,493.7974,487.0327,487.6268,611200,-0.0072567520256621165
20240221,489.4761,490.1372,484.896,488.0771,647600,0.0009235503460731653
20240222,492.9543,492.9543,485.1547,490.7505,815900,0.005477289507013872
20240223,490.3672,492.7339,487.1573,492.5902,598100,0.003748730171522663
