datetime,open,high,low,close,volume,return
20230829,219.6537,223.2179,218.7303,223.1087,157300,0.009886654066841638
20230830,223.7044,224.8958,222.5229,222.7811,180800,-0.0014685071153383022
20230831,223.2974,224.737,221.8975,222.6421,350100,-0.0006238279254091594
20230901,223.5059,225.8688,223.1782,224.3795,251400,0.007803813181101349
20230905,223.2676,223.2676,213.7364,218.9984,427900,-0.023982284046352276
20230906,219.3161,221.5003,218.9289,221.3812,227700,0.010880292190509122
20230907,220.4678,221.9273,218.4722,220.994,257700,-0.0017489134081086766
20230908,221.4606,222.9796,220.3089,221.1628,284300,0.0007636506172761237
20230911,221.6294,224.5483,220.1898,220.855,240900,-0.0013916675055124506
20230912,220.6862,222.2251,217.9063,218.363,215600,-0.011283234876003467
20230913,217.8566,218.5119,213.6768,214.3817,359100,-0.01823244929873502
20230914,215.5037,216.705,214.5307,216.6454,333100,0.010559142064102245
20230915,215.454,215.454,209.2786,211.3337,1006000,-0.02451783248911088
20230918,211.7011,215.1562,210.6984,214.1633,225000,0.013389272812760256
20230919,213.9647,215.2256,212.8329,214.898,186400,0.0034303952239653768
20230920,215.8114,217.4198,213.3392,213.4187,158200,-0.006883914829464932
20230921,211.9493,211.9493,207.2234,207.412,233000,-0.0281447836594525
20230922,207.4021,209.9041,207.0249,208.524,214200,0.00536123268551747
20230925,208.4049,210.7182,208.0574,209.5963,130600,0.0051421680833021455
20230926,209.0105,210.2218,206.1413,206.727,172700,-0.013689544989579638
20230927,208.2857,210.9366,207.7298,210.748,143600,0.019450531005836824
20230928,210.7083,213.518,210.5594,211.1848,179400,0.0020729708022522164
20230929,212.8825,213.5279,207.9383,208.8814,206900,-0.010907059936229313
20231002,208.1071,209.4077,203.7386,205.4761,213800,-0.016302933673376208
20231003,203.8379,205.5158,201.3062,202.3586,213500,-0.015171973965101504
20231004,202.5373,204.7612,201.2168,203.8975,216800,0.007604715267311102
20231005,203.5301,205.6945,202.299,202.9344,198700,-0.00472332380227114
20231006,201.9515,206.9057,201.5544,205.2378,398100,0.01135041988019414
20231009,204.1159,207.2731,203.8279,206.5582,142000,0.006433756220882492
20231010,206.8164,208.5638,205.6746,205.7143,299800,-0.004085543325699881
20231011,205.8037,208.5042,205.8037,208.4744,166100,0.013417082452694684
20231012,208.5241,208.5241,203.5698,205.1882,183000,-0.015763348925557863
20231013,205.3968,206.1321,200.2594,200.7463,182400,-0.021647611538184397
20231016,202.4753,204.6515,200.5575,201.3127,163400,0.002821426483859968
20231017,200.6072,206.311,199.0968,205.0788,589300,0.01870785243643902
20231018,203.0417,203.0417,195.1121,195.2114,380000,-0.04811530793009877
20231019,194.7841,197.2386,192.7769,194.3568,344500,-0.0043776564041936306
20231020,195.1021,195.1915,190.9087,191.3161,274600,-0.015644987937070254
20231023,191.3758,193.711,190.6603,191.2864,241900,-0.00015560578824824756
20231024,193.6712,194.5457,191.0975,191.6043,200700,0.0016622337508434004
20231025,191.3559,193.2936,190.2927,190.392,319500,-0.006327078140836551
20231026,205.4366,208.4176,200.7463,204.741,719400,0.07536514432501562
20231027,205.8141,206.3209,200.6867,204.0255,382200,-0.0034944357549759886
20231030,205.9334,208.527,202.2866,203.6678,302200,-0.0017531952510710935
20231031,203.4094,206.5495,203.4094,205.3471,252700,0.008245319205221868
20231101,205.0689,206.4601,202.8232,205.3869,323400,0.0001937191308898356
20231102,208.3382,210.723,206.0427,206.0825,281600,0.0033867165023493406
20231103,208.1295,211.9452,206.1222,208.8946,301600,0.01364567174405762
