datetime,open,high,low,close,volume,return
20230829,40.3398,41.0013,40.0426,40.9725,3445900,0.009209048280579557
20230830,40.9917,41.4518,40.9341,41.2122,4574000,0.0058492495922517485
20230831,41.1738,41.5573,40.7999,41.4327,4111400,0.005350386295428278
20230901,41.864,42.4105,41.3847,42.3913,3947800,0.02313733079638003
20230905,42.1229,42.19,41.3943,41.4231,3681200,-0.022840510036153505
20230906,41.193,41.6819,40.2631,40.5795,5157600,-0.02036559083936118
20230907,40.7232,40.7904,39.8605,40.033,4978000,-0.013465649400338009
20230908,40.3494,40.7424,40.0522,40.7232,6495100,0.01724135795251902
20230911,40.9629,41.3464,40.0043,40.4644,4219700,-0.006355947881826918
20230912,41.0588,41.9599,40.9246,41.9599,4218000,0.03695808523457411
20230913,41.9311,42.1708,41.145,41.1738,3865300,-0.01873433570288785
20230914,41.7394,41.9311,40.5795,40.8287,4590100,-0.008381829490005432
20230915,40.3877,40.7808,39.6496,39.8125,7924200,-0.024888540575266904
20230918,39.7263,39.9947,39.3428,39.4866,5821800,-0.008186849070618285
20230919,39.9276,40.1672,39.0456,39.2949,8308000,-0.004855391751253713
20230920,38.7005,39.2853,38.3362,38.3458,5928600,-0.02415241987264427
20230921,38.4992,38.4992,36.9749,37.1379,6346100,-0.0314997171741449
20230922,37.4063,37.8665,36.7353,36.8599,4922900,-0.007485812465596209
20230925,36.8599,37.5597,36.5915,37.3105,3444500,0.012223515294271126
20230926,36.9558,37.7994,36.812,37.3488,4630000,0.0010275321356840728
20230927,37.8377,38.5567,37.6748,37.9719,6979500,0.016683985706531956
20230928,37.9911,38.9498,37.9528,38.7676,4248000,0.02095434903052662
20230929,38.6909,39.0744,38.5471,38.9018,4413400,0.0034618763109832695
20231002,38.6526,38.6526,37.0516,37.4734,5434300,-0.03671783122745431
20231003,37.4351,38.0103,37.0804,37.9815,5685800,0.013558495577158158
20231004,37.7898,38.3842,37.368,38.0103,5614800,0.0007573850820548067
20231005,38.0582,39.6879,37.9528,39.3907,6080000,0.03631763698862134
20231006,39.6016,41.3943,39.5345,41.0204,7244600,0.0413726769656757
20231009,41.308,42.5926,41.308,42.5159,4894100,0.03645722998555412
20231010,42.4584,42.7076,41.8065,42.2667,4067600,-0.005862565108208928
20231011,41.5189,41.9216,40.867,41.749,4939100,-0.012247616235160574
20231012,41.749,42.1325,41.3751,41.6148,3932900,-0.0032145650194910225
20231013,42.0366,42.3721,41.5285,41.5764,4254700,-0.0009217102689248469
20231016,41.7011,41.7969,40.6657,41.7011,4329300,0.002997610884581947
20231017,41.8353,42.8131,41.5669,42.4296,6792500,0.017471233160416988
20231018,42.8131,42.8131,41.2697,41.8736,5559500,-0.01310422295933511
20231019,41.9407,42.3242,41.193,41.308,4183900,-0.013507523057469717
20231020,41.193,41.2505,40.081,40.5986,4358200,-0.01717333344168792
20231023,40.1001,40.7232,39.6112,40.5219,5288700,-0.001888996996528558
20231024,40.7903,40.9533,40.3302,40.7712,3859900,0.006150859193260194
20231025,41.0108,41.0108,40.0905,40.2823,4324400,-0.011991576657719771
20231026,38.8251,41.3559,37.9432,41.0396,7130200,0.01880062736309962
20231027,41.3751,41.4231,39.6879,40.2152,4425300,-0.020088705596543077
20231030,39.7646,40.5028,38.7197,39.477,8406700,-0.018355244710668517
20231031,39.64,40.7424,39.362,40.6274,4464700,0.029140294492233876
20231101,40.4836,41.2793,39.8413,40.9533,4276300,0.008022930599669076
20231102,40.9342,42.6597,40.7712,42.5159,3782800,0.03815533060864684
20231103,42.2475,43.3595,42.2283,42.8706,5232800,0.008342805195234115
20231106,42.3625,42.6309,40.3685,40.752,5785400,-0.04941879425445628
20231107,40.1439,40.1824,38.7583,39.2201,5791400,-0.037589630449354816
20231108,38.9988,39.4511,38.104,38.383,4498600,-0.02134452099422579
20231109,38.5755,38.7775,37.8442,37.9212,3042600,-0.012033043138969024
20231110,38.2868,38.3926,37.161,37.6517,4538200,-0.007104758750853257
20231113,38.0366,38.5466,37.7287,38.2964,3706100,0.01712239144696026
20231114,38.3253,38.97,38.0559,38.3926,3782600,0.002512556807451105
20231115,38.4696,40.1439,38.3349,39.7686,5968300,0.035839394300703376
20231116,39.1913,39.5858,37.7961,38.537,6232600,-0.030970152618171043
20231117,38.3445,39.3067,38.2772,38.8449,4708400,0.007990014090941244
20231120,38.7487,38.9507,38.1906,38.5755,3285100,-0.0069359062087300805
20231121,38.46,38.8256,37.9308,38.5081,3956400,-0.0017458894711047668
20231122,37.8923,39.0277,37.6998,38.7968,3271300,0.007496233903261151
20231124,38.4408,39.5473,38.4408,39.3067,1873400,0.013144790327089373
20231127,38.9796,38.9796,38.2002,38.7102,3773000,-0.015177462638882533
20231128,38.8353,38.9507,38.2387,38.3445,4503900,-0.009445645435356975
20231129,38.5851,38.5947,37.8249,38.2483,4361700,-0.002509304812238433
20231130,38.7294,39.249,37.7672,38.4504,11829000,0.00528276633124114
20231201,38.306,38.9796,38.1521,38.7198,3301600,0.007007169875826502
20231204,38.1521,38.4023,37.3438,37.4978,6762400,-0.03156048149773372
20231205,37.7961,38.0462,36.882,36.9108,2946800,-0.015653189102789122
20231206,36.7569,37.2091,35.4386,35.4771,6001800,-0.038842697616254696
20231207,35.5637,35.785,34.7266,35.5926,6629500,0.0032548002120404984
20231208,35.8428,35.9294,35.1403,35.7273,4769200,0.0037848404888118914
20231211,34.8902,35.8235,34.7554,35.4964,5518800,-0.0064638028959733695
20231212,34.9479,35.2654,34.4956,34.6496,6437800,-0.02385483918808029
20231213,34.7843,35.8812,34.6015,35.8524,6643300,0.034712721300451665
20231214,36.2084,37.3631,35.9678,37.3534,9302400,0.04186802447415716
20231215,37.3727,37.3919,36.5548,36.9878,19031900,-0.00978882618338417
20231218,37.7479,38.0655,37.2476,37.44,6630800,0.012226735019717605
20231219,37.1129,37.4112,36.2565,37.3727,7433600,-0.0017989377341963708
20231220,37.3823,37.6229,36.4489,36.5644,7190900,-0.021627279709911962
20231221,37.0648,37.5748,36.7569,37.5459,5239600,0.026842273176547637
20231222,37.6036,37.8442,37.3342,37.517,3310900,-0.0007688142835472478
20231226,37.5266,38.0655,37.5266,37.7287,2657000,0.0056424787658433395
20231227,38.0366,38.1617,37.4689,37.6998,3209000,-0.0007652910335371743
20231228,37.7191,38.3734,37.517,37.5459,4005500,-0.0040835650999626605
20231229,37.4785,37.8153,37.1995,37.1995,2090900,-0.009226177806311853
20240102,37.6325,37.8346,37.1225,37.4497,4707200,0.006725343407008921
20240103,37.3053,37.517,36.7376,37.2668,8412300,-0.004881838046759568
20240104,37.9115,37.9115,36.728,36.7569,5823500,-0.013684429903622397
20240105,36.6606,37.2476,36.1314,37.2476,8312300,0.013350608177536749
20240108,36.5837,36.8338,35.7177,36.7665,6001700,-0.01291632562601952
20240109,37.0744,37.1321,36.2276,36.6318,6252500,-0.00366399484380453
20240110,36.2854,36.449,35.8235,36.2854,4098100,-0.009456304411213368
20240111,36.1218,36.6703,35.6214,35.6503,6627500,-0.017501905226381065
20240112,36.5259,36.9397,35.9871,36.3912,4357200,0.020782589295506915
20240116,35.5156,35.9582,34.8805,34.9286,5563700,-0.04019040772499127
20240117,34.3898,34.9671,34.3609,34.6015,5684800,-0.009366413388416484
20240118,34.5437,34.6592,33.5238,33.8798,6872600,-0.02085657011008457
20240119,33.7259,34.0145,33.3314,33.9953,6086200,0.0034084754751226853
20240122,33.5719,34.3224,33.4564,34.0434,7055600,0.0014149998058723412
20240123,34.1011,34.3321,33.6874,33.9279,3559800,-0.003391649201189728
20240124,34.2166,34.8709,34.13,34.3128,4359400,0.01134404706811476
