datetime,open,high,low,close,volume,return
20230829,265.632,265.651,263.7651,265.1748,104800,-0.0017214616661712645
20230830,265.6796,267.556,264.7462,267.3179,84400,0.00808182803412083
20230831,267.5654,269.0608,265.4414,265.4796,179900,-0.006876898516257612
20230901,265.6987,269.6895,265.6987,268.8799,113400,0.012808254152032239
20230905,267.6512,268.3751,262.9365,263.0318,143000,-0.021749912832824236
20230906,262.7841,263.7842,260.8887,260.9363,141100,-0.007966446320784581
20230907,261.6792,262.6984,260.422,261.4792,96200,0.0020804967087943993
20230908,262.1174,263.4794,260.5172,263.2794,126600,0.006884565876581705
20230911,264.4319,269.7085,264.4319,269.4894,113800,0.02358730976746748
20230912,270.461,275.509,269.7847,274.3946,102100,0.018201759104390147
20230913,274.6517,275.2994,272.5944,274.947,108300,0.0020131541791827967
20230914,276.2138,276.3852,273.185,275.347,118000,0.0014549145209969971
20230915,275.6994,275.6994,271.2134,271.9087,285900,-0.012487459230028919
20230918,272.9468,276.89,271.8991,275.2423,62100,0.012260066130910685
20230919,275.7852,280.0998,275.7852,279.6522,89200,0.016021928478982206
20230920,279.5379,281.9476,278.3759,278.6997,75400,-0.0034059598349696074
20230921,278.5569,278.6997,275.3947,275.4328,60900,-0.011721959714564578
20230922,274.6899,278.033,274.6899,276.3472,75300,0.0033197486821057165
20230925,275.6995,282.2906,275.6995,281.6238,80300,0.01909436019216937
20230926,280.4047,283.7764,279.8522,281.1285,109100,-0.001758729986725549
20230927,281.9191,286.5957,280.4999,285.3956,116300,0.015178212813259151
20230928,285.5955,289.653,284.8621,285.0622,90500,-0.0011682190524604508
20230929,285.1479,287.4243,279.2903,279.8237,99500,-0.01837667543775412
20231002,280.7951,280.7951,275.69,277.4044,112000,-0.008645733975100711
20231003,276.8043,280.3189,276.4709,277.833,114000,0.0015449967090161998
20231004,277.1062,288.8407,277.1062,288.3052,165400,0.03769242437772902
20231005,287.6549,290.5048,287.3871,289.4433,159300,0.003947525527183471
20231006,289.9214,291.1456,289.1563,290.3613,107300,0.003171814323551958
20231009,288.659,293.6704,288.659,293.4982,62100,0.010803442303164879
20231010,294.8085,295.3727,289.9023,290.9543,87000,-0.008667564349846946
20231011,292.6088,292.9435,289.5293,291.9776,88500,0.003516890250892857
20231012,291.9394,293.9668,291.0691,292.4462,59100,0.0016051179819724926
20231013,294.0529,295.0953,292.408,293.1443,50500,0.0023871742914811644
20231016,293.7661,300.1354,293.7661,297.8306,78500,0.01598614746952709
20231017,297.4671,300.1736,295.5735,298.1939,141300,0.001219962921570339
20231018,298.1749,298.1749,292.8671,293.307,80700,-0.016388538625528692
20231019,293.1443,295.1431,289.5867,290.8013,94500,-0.008542949842385128
20231020,290.983,290.983,286.2489,286.8036,82400,-0.013746912574866377
20231023,286.775,286.775,281.5437,284.6997,95400,-0.007335936587237524
20231024,284.6996,286.4211,278.598,279.5831,173000,-0.017971947592887116
20231025,280.616,286.2394,280.5968,281.4958,423400,0.006841438045673831
20231026,281.1707,284.4319,278.1773,279.0572,140700,-0.008663218074913881
20231027,276.5132,280.8169,258.5623,261.3358,151800,-0.0635045704109023
20231030,262.0434,266.2036,260.4558,265.9932,117000,0.017821672340003092
20231031,266.347,268.0111,260.5324,264.1378,109300,-0.006975165972259223
20231101,264.6543,266.7009,262.5407,263.8223,75000,-0.0011947635596305517
20231102,264.2239,268.6232,262.6077,265.8211,67200,0.007576349970757512
20231103,266.6818,267.9442,265.582,266.1367,51100,0.0011871980988298336
20231106,265.8307,269.6944,265.8307,267.9634,65700,0.006863846593292422
20231107,267.7434,271.4923,267.7434,269.57,98500,0.00599581533157556
20231108,268.6136,269.2639,262.6268,267.0261,58900,-0.009437160933928102
20231109,266.1941,271.301,265.8593,265.9645,77800,-0.003975355175081852
20231110,267.3895,268.6997,264.2239,266.2132,73700,0.0009348114989962131
20231113,266.481,272.114,266.0793,271.8271,79500,0.021088070956853056
20231114,272.6782,276.408,271.6549,275.5951,64800,0.013861885232558269
20231115,276.4559,276.4559,265.3143,265.7446,123400,-0.035742740236887505
20231116,265.0847,271.9323,265.0847,268.7285,92000,0.011228400264173377
20231117,267.7816,269.2735,266.7296,267.7912,113300,-0.0034879700012321324
20231120,266.6148,271.4349,265.8211,271.0237,75700,0.012071023287685723
20231121,272.2574,275.0021,268.5563,272.3721,152600,0.0049753943967867365
20231122,272.9173,278.818,272.3243,276.3411,401600,0.01457172980888699
20231124,274.9256,281.9071,274.9256,280.0135,42400,0.013289462873257385
20231127,278.8372,282.6052,278.0434,279.8892,125200,-0.0004440093719326743
20231128,280.4343,280.4343,274.6292,275.2317,80000,-0.016640411156062407
20231129,275.2317,276.628,269.9526,274.4475,84000,-0.002849272940322778
20231130,275.8056,283.5425,275.8056,282.7392,195900,0.03021240184830698
20231201,282.3853,286.3733,282.3853,285.4361,70600,0.0095384702397181
20231204,285.2162,293.3357,282.6914,290.4475,74100,0.017556935242276195
20231205,290.4475,295.2962,284.3554,291.6716,96200,0.0042147090224275985
20231206,290.6196,292.1019,285.3117,288.2478,76100,-0.011738744122937628
20231207,293.4504,293.4504,288.8981,292.6661,78600,0.015328359503130828
20231208,294.1007,294.1007,289.1372,292.4079,58800,-0.0008822654733785518
20231211,294.2442,305.9692,294.2442,305.2232,107700,0.04382681305661884
20231212,304.0755,312.6445,301.436,312.3959,146600,0.02349964580507735
20231213,312.5107,313.1132,306.3613,308.7905,182900,-0.011541150234824382
20231214,309.0582,310.4737,295.7074,307.4133,169800,-0.004459874569672118
20231215,307.9489,312.702,307.3942,310.0816,381700,0.008679760861340702
20231218,310.0816,316.317,309.6034,315.2076,86800,0.01653135353255797
20231219,314.9207,319.1765,313.2853,313.8878,74500,-0.004187061247836632
20231220,315.1694,315.5997,311.6117,312.2429,71200,-0.005240593119794079
20231221,312.6829,315.5519,311.1144,315.2363,70500,0.009586891558728716
20231222,316.4796,319.1861,315.2268,318.2776,79900,0.009647458039293344
20231226,318.2776,318.7079,312.2716,316.4796,56300,-0.00564897861499869
20231227,315.4276,318.268,315.4276,317.4073,55000,0.0029313226369966916
20231228,317.3499,320.8502,317.3499,319.5017,83200,0.006598528978964513
20231229,319.6069,321.3857,317.3117,320.3051,63800,0.0025143673014575985
20240102,317.9716,320.7833,317.0917,320.3816,59800,0.0002388584263146587
20240103,320.1616,322.6482,317.4647,318.1341,88700,-0.007014969332072463
20240104,318.1341,323.2507,318.1341,319.4348,97100,0.004088494744987736
20240105,319.7276,321.1292,316.6075,316.6267,74600,-0.008790951578448558
20240108,317.6443,317.6443,311.9706,315.7915,86300,-0.0026378228207721843
20240109,314.8891,314.9179,308.2169,314.5819,82600,-0.003830359045425391
20240110,315.129,315.4651,312.489,315.177,86800,0.0018918884047767204
20240111,315.0811,321.2444,312.441,321.2156,75500,0.0191594060296556
20240112,322.55,328.8478,319.958,327.7918,85900,0.020472668810900263
20240116,327.2734,330.4703,323.8269,323.9613,108300,-0.011685695322472656
20240117,321.9068,328.099,321.9068,324.8733,54100,0.0028152060502861787
20240118,326.4958,330.0767,323.5677,329.0015,79700,0.012706932323850229
20240119,330.9887,332.0256,322.9629,326.4478,117300,-0.007761819247694035
20240122,328.3966,331.4495,326.6974,328.4734,66600,0.006204986387825739
20240123,329.1454,330.6239,322.3868,324.9405,100100,-0.010755506360108469
20240124,325.4973,328.2717,322.8476,325.0172,113300,0.00023610841489829504
20240125,325.171,326.6878,320.4572,324.0478,147600,-0.002982864584727074
20240126,325.7949,332.304,324.7677,331.4303,104400,0.022782346525563213
20240129,331.2095,334.0224,328.5503,328.9727,134800,-0.007415258626619181
20240130,328.9727,332.6784,325.7662,331.0655,91800,0.006361727148901153
20240131,331.5839,336.0576,324.8637,332.0063,1057900,0.0028416289843022913
20240201,329.8943,333.12,324.0861,333.12,121800,0.0033543882251441115
20240202,333.6288,334.8864,326.1982,333.504,81900,0.0011529291592136115
20240205,332.5152,332.7168,329.4431,329.8751,57200,-0.01088114667842821
20240206,331.1999,334.416,330.0095,333.5999,91400,0.01129161536847545
20240207,334.1664,336.6145,332.2368,336.0097,84400,0.00722340947452027
20240208,336.0097,336.3937,334.1856,336.1825,92900,0.0005142427158408847
20240209,336.2018,340.8579,335.4337,340.5315,75400,0.0129364243569845
20240212,339.8498,343.1619,338.5921,341.0114,78800,0.001409324790395905
20240213,340.6178,342.221,335.2417,335.5009,78700,-0.016159368391341467
20240214,336.0193,340.0802,336.0193,337.757,105600,0.0067245835157105915
20240215,339.0818,343.4595,338.5346,341.2707,85700,0.010403049616810156
20240216,341.645,348.4228,339.6386,345.4275,117000,0.012180538305536004
20240220,345.8596,348.3749,339.9746,341.2707,103900,-0.01203395821651243
20240221,339.7442,340.8386,335.8656,336.7776,120900,-0.013165536906507014
20240222,339.1489,339.1489,332.5344,337.7857,126000,0.0029932409227286794
20240223,338.0449,338.2081,333.8592,335.5392,102700,-0.006650547740528534
20240226,334.368,340.253,333.8976,340.2146,84100,0.013933760499138304
20240227,337.6033,374.958,337.6033,373.7772,194900,0.09865124718888363
20240228,376.0236,396.4914,376.0236,395.973,170600,0.05938252423062518
20240229,398.3251,398.3251,385.9119,390.6161,210500,-0.01352853276042687
20240301,391.5569,396.261,384.2319,388.1296,122600,-0.006365536336105149
20240304,387.5055,400.7539,386.0655,395.6849,94300,0.0194660735023664
20240305,395.3106,395.3106,389.6752,392.0945,74800,-0.009074022713901897
20240306,392.2288,399.8995,389.6752,395.2529,61700,0.008055321885980238
20240307,396.6258,403.538,394.8977,400.6675,92200,0.013699028880340247
20240308,398.9587,401.9348,397.0482,399.2467,70300,-0.003546175727715095
20240311,399.2467,399.2467,386.2671,386.632,109200,-0.0315962947491365
20240312,385.0479,392.8625,382.1486,392.0945,71300,0.014128486538487639
20240313,394.965,397.9795,389.3872,391.5377,106700,-0.0014200485797490892
20240314,393.4481,394.6674,389.8672,392.3537,78500,0.0020841148731631787
20240315,390.52,402.338,390.52,400.1299,311000,0.01981939924300624
20240318,398.8435,403.0004,393.1121,394.8402,89300,-0.013220041067899646
20240319,396.3378,397.9123,392.3153,395.5314,100300,0.0017506403363145573
20240320,397.7874,400.1587,385.8543,389.944,100600,-0.01412631792872232
20240321,390.0784,393.8993,384.7214,391.1536,76900,0.003102048610526875
20240322,391.9985,392.8721,379.0093,384.2126,90500,-0.017744892419805036
20240325,386.6703,389.9248,384.6831,388.5328,58400,0.0112441103489469
20240326,386.1231,392.0465,385.2495,389.7328,111800,0.0030886524872830723
20240327,392.6225,393.6113,385.7103,391.8545,389300,0.005443918199105502
20240328,393.6497,394.3601,385.2399,385.5183,61300,-0.016169808652267026
20240401,387.5727,389.1664,382.3982,385.8255,91900,0.0007969024425016347
20240402,385.4415,386.1327,378.0013,384.9135,91300,-0.002363809082373769
20240403,382.9934,386.9583,381.323,383.243,58000,-0.004339861466623907
20240404,385.6622,386.6991,379.7965,380.8813,64200,-0.006162473372778199
20240405,382.4559,386.3536,378.5389,384.5679,74400,0.009679170701557327
20240408,386.3833,388.3865,381.9531,383.7733,61500,-0.0020661791540877994
20240409,385.8729,385.8729,376.8005,377.6577,36300,-0.015935450277699048
20240410,376.8101,383.1955,376.8101,378.8423,48000,0.003136543352257437
20240411,378.7074,379.4586,369.5966,370.0974,52700,-0.023083231760389955
20240412,367.8726,372.2643,365.1471,367.0829,40300,-0.008145060544966554
20240415,370.7523,371.4746,364.3862,364.887,41400,-0.00598192370632189
20240416,364.1743,369.1342,363.1438,366.9095,55800,0.005542704467099258
20240417,368.6238,368.6238,361.7955,364.2321,64600,-0.007297080818339019
20240418,366.3124,369.7025,362.8838,366.4184,38900,0.006002350366874021
20240419,367.2081,371.3398,366.1295,367.4778,49800,0.0028913622842128284
20240422,370.762,373.2467,364.8101,368.1038,56500,0.0017035234691853418
20240423,369.8084,375.4136,367.9111,371.4553,56600,0.009104772282865214
20240424,368.5757,371.1279,365.8501,368.5371,61400,-0.007856079044036735
