datetime,open,high,low,close,volume,return
20230725,47.0844,47.4725,46.949,47.134,1434400,-9.557267087745291e-05
20230726,47.1115,47.7207,47.0664,47.107,2510800,-0.0005745429635766186
20230727,46.9581,47.2559,46.588,46.764,2609800,-0.007280297233522637
20230728,47.1205,47.3326,46.2812,46.6016,2100200,-0.003474045726429398
20230731,46.9174,46.9355,46.033,46.3443,2633800,-0.005519502684851574
20230801,46.3082,46.3895,45.5411,45.6539,2601200,-0.01489765731684134
20230802,46.0781,46.3714,45.4238,45.7577,3441200,0.0022734147177032593
20230803,45.4373,45.4734,44.0745,44.3498,3396200,-0.030769293615363846
20230804,44.5438,44.9274,43.6593,44.061,3725800,-0.006511940837570784
20230807,44.2731,44.5303,43.8714,43.876,2614000,-0.004199104803945253
20230808,43.7586,43.9707,43.172,43.9436,4057200,0.0015426256962161045
20230809,43.8083,44.2099,43.551,43.727,3573200,-0.004929180895001162
20230810,43.8959,44.1696,43.654,43.8776,2248200,0.003443580304566707
20230811,44.0328,44.1468,43.7407,43.9461,2925200,0.001560129268598942
20230814,43.7727,44.0419,43.4852,43.9552,3428600,0.0002076353381803564
20230815,43.686,43.9278,43.0426,43.1749,2626000,-0.017751479289940808
20230816,43.3803,43.7499,43.2342,43.613,2775000,0.010145832593364545
20230817,43.5947,44.1058,43.362,43.3711,1763400,-0.005544973500545836
20230818,43.3985,43.8137,43.3894,43.613,6893400,0.00557589167210959
20230821,43.5947,43.7635,42.8966,43.3848,1650200,-0.005231229199789356
20230822,43.3118,43.4624,43.0973,43.2251,1639400,-0.003681152378482877
20230823,43.3894,43.581,42.9148,43.5765,2638600,0.008128439672292487
20230824,43.3848,43.9826,43.2525,43.257,2972400,-0.007330013337642605
20230825,43.3346,43.7362,43.1932,43.257,2199600,0.0
20230828,43.2981,43.8776,43.2981,43.4761,1898200,0.00506332909302154
20230829,43.7407,44.991,43.6723,44.7081,5518400,0.028337479603169013
20230830,44.4389,44.7948,44.1058,44.1331,3719800,-0.012859607884093016
20230831,44.2837,44.3795,43.4578,43.4624,3355600,-0.015198752484930078
20230901,43.6951,43.759,42.673,43.0471,2369400,-0.00955368813930102
20230905,42.9011,43.0472,41.8882,42.2851,2382600,-0.017701721787448887
20230906,42.3764,42.8829,42.1984,42.8236,2846600,0.012733116604040307
20230907,43.0973,43.3072,42.8373,43.0517,3016200,0.0053276607571393075
20230908,43.1247,43.5673,42.8829,43.4715,2659800,0.009751059477847601
20230911,43.4533,43.8366,43.3894,43.4989,2256600,0.0006298814053884438
20230912,43.5491,43.8594,43.3027,43.686,2120600,0.004300544752623203
20230913,43.5901,44.4434,43.5673,44.302,2421200,0.014100665097044551
20230914,44.7446,45.0822,44.4845,45.0594,2055200,0.017097782975562748
20230915,45.0549,45.3788,44.813,44.8997,3490400,-0.0035443439623862316
20230918,45.0047,45.1005,44.416,45.0731,2091000,0.003861703882001022
20230919,45.1233,45.3651,44.9088,44.9271,1856400,-0.003239433544302228
20230920,45.2283,45.4108,44.667,44.813,2254800,-0.0025392765957085173
20230921,44.7081,44.8267,44.2244,44.2427,1709200,-0.012727683183366256
20230922,44.0647,44.3659,43.832,44.0556,1644000,-0.004228421135949456
20230925,43.7818,44.1331,43.4715,43.8776,1474200,-0.00403960375464163
20230926,43.5673,43.6266,42.3855,42.527,2962200,-0.030782059026354114
20230927,42.5042,42.9331,42.3216,42.5498,2739600,0.0005366790964882462
20230928,42.7095,42.7232,41.6783,42.1117,3509000,-0.01029489235059311
20230929,42.5087,42.746,41.9612,42.2076,2485000,0.0022754981479420344
20231002,41.9338,42.0114,40.1725,40.5512,6052800,-0.039243303401765295
20231003,40.1223,41.2813,39.7435,41.1079,4894000,0.013727704556475873
20231004,41.1535,41.6189,40.5968,41.5322,3444600,0.010323320388738733
20231005,41.7467,42.0524,41.1216,41.8699,2983000,0.008130109676939279
20231006,41.3497,42.1893,40.8706,41.9749,4199200,0.002506480990340121
20231009,41.9384,42.4448,41.7923,42.4448,2717200,0.011196753892890099
20231010,42.4129,42.9057,42.3262,42.7141,2866000,0.00634269403396881
20231011,43.0471,43.3529,42.5635,43.3301,2776200,0.014421509313952807
20231012,43.184,43.289,42.5315,42.7049,2392600,-0.01442707334650739
20231013,43.1202,43.2616,42.6547,42.6867,2541800,-0.00042733970049235737
20231016,43.1384,43.6038,42.5635,43.4396,3936400,0.017637622399957475
20231017,43.1658,43.7133,43.0928,43.2434,3411200,-0.004517000905297053
20231018,43.216,43.4441,42.7916,43.2251,3896800,-0.0004219306551719315
20231019,43.1293,43.4487,42.5772,42.6045,3771800,-0.014356463298733635
20231020,42.6547,43.216,42.4677,42.4722,2379000,-0.0031060497055699354
20231023,41.9794,42.2943,41.4592,41.4866,2773000,-0.023205836406622438
20231024,41.9384,42.4448,41.8517,42.1619,3078400,0.016278105574684787
20231025,42.0022,42.5361,41.9931,42.2349,4904800,0.0017313731491854778
20231026,42.3125,42.9605,42.1847,42.527,3573600,0.006914425918123301
20231027,42.4038,42.4448,41.4227,41.6965,2729800,-0.019527656016596007
20231030,42.1209,43.4168,42.1209,43.2434,5152800,0.037097601562454896
20231031,43.3483,43.7864,43.1795,43.6175,4968800,0.008652710050982781
20231101,43.7772,44.8723,43.3255,44.5986,5474200,0.022491897681604867
20231102,44.5393,45.4884,44.1788,45.0138,3999000,0.009310469618852402
20231103,45.7119,45.9857,44.6989,44.7993,3156200,-0.004764451956246418
20231106,45.1142,45.1781,44.699,44.7491,2941800,-0.0011203284911788236
20231107,44.9453,44.9453,44.4343,44.5575,3283600,-0.004282772071961483
20231108,44.197,44.3659,43.7362,44.2609,3255800,-0.006656318918400572
20231109,44.3522,44.6624,44.0875,44.1833,4216600,-0.0017525184372541025
20231110,44.448,44.4571,43.9278,44.083,3506200,-0.0022720685536853358
20231113,44.083,44.3184,43.7921,43.8983,3838600,-0.004189309507262928
20231114,44.6924,45.468,44.6416,45.408,5301600,0.03439193463072332
20231115,45.3064,45.7912,45.1772,45.3942,4294000,-0.00030495386207685105
20231116,45.8005,45.8974,45.408,45.6389,6865800,0.005390506234973502
20231117,45.9528,46.1144,45.5881,45.7589,4389600,0.002630150094166117
20231120,45.4727,45.9205,45.0941,45.6897,2568000,-0.001513327208219284
20231121,45.9205,46.4884,45.6389,46.4468,3358400,0.01657230737889348
20231122,46.5807,46.7885,46.1929,46.7192,2228200,0.0058648490225785554
20231124,46.7377,46.8439,46.4007,46.6777,744200,-0.000889429966269728
20231127,46.7562,47.1394,46.2806,46.9224,2423200,0.0052422808015870626
20231128,46.8485,47.458,46.7285,46.9316,2817800,0.00019690379753600773
20231129,46.8855,47.1856,46.2021,46.4422,2962000,-0.010428075782471402
20231130,46.5577,47.0332,46.3083,46.8208,4105000,0.008152169895396577
20231201,46.8162,47.1994,46.6361,47.1071,3860000,0.006113673525206087
20231204,46.7377,47.3148,46.4284,46.8116,2954800,-0.006272655473547828
20231205,46.8531,46.8947,46.3083,46.3637,2003000,-0.00956714148705562
20231206,46.5761,46.8901,46.336,46.8855,2546400,0.011252779440471095
20231207,46.9686,47.2825,46.5761,47.0424,3088800,0.0033482928327916994
20231208,46.9824,47.1809,46.6592,47.0978,3046800,0.0011775968881990728
20231211,46.9501,47.2641,46.6777,47.144,2528400,0.0009803654761024738
20231212,47.2825,47.2825,46.3776,46.9039,2906000,-0.005092761916475452
20231213,46.9039,48.6907,46.6131,48.663,3256600,0.03750388045916653
20231214,48.9446,49.1478,47.6703,47.6796,4415800,-0.020208967623556284
20231215,47.0701,47.3425,46.1791,46.5761,6296400,-0.023143052519847163
20231218,46.6315,47.1394,46.6315,46.8762,4085000,0.006443182237001022
20231219,46.6869,47.0932,46.5807,46.8855,3082200,0.00019709774786935697
20231220,46.7839,47.0932,45.9805,45.999,2380400,-0.018906996738439097
20231221,46.0544,46.2668,45.6204,46.0452,1970800,0.0010037849259767473
20231222,46.3314,46.7562,46.1606,46.2714,2341200,0.004913315677011365
20231226,46.1698,46.6038,46.1698,46.3314,3039600,0.0012970567455112825
20231227,46.2252,46.3407,46.0452,46.313,1489600,-0.0003985837391831115
20231228,46.3176,46.7239,46.3083,46.59,1433200,0.005981387176415831
20231229,46.3407,46.7516,46.2622,46.7192,1688200,0.002774848361783322
20240102,46.4515,47.4026,46.4007,47.3887,2159200,0.014329514491919326
20240103,47.4303,47.6519,47.0886,47.5872,2521600,0.004189197391284649
20240104,47.7488,48.2105,47.4441,47.5734,2480200,-0.00029090863617076135
20240105,47.458,48.0813,47.3841,47.9889,2146000,0.008734529605219477
20240108,47.9935,48.349,47.7996,48.3306,2066400,0.0071193124137372
20240109,48.0489,48.2706,47.8735,48.1875,1770400,-0.002961190152655613
20240110,48.1874,48.4368,47.9612,48.2659,1535800,0.0016287141335955546
20240111,48.1459,48.1875,47.0609,47.3102,2258800,-0.01980095039566887
20240112,47.6103,47.7627,47.4256,47.6149,1944200,0.0064406881065459665
20240116,47.4626,47.8873,47.144,47.5364,2923600,-0.0016482976363745294
20240117,47.241,47.4256,45.9159,46.4976,3858200,-0.021853171334349053
20240118,46.1698,46.276,45.5973,45.6435,2437800,-0.018369484014946535
20240119,45.8005,45.9067,45.4311,45.7451,2840400,0.0022252928020143337
20240122,45.7404,46.0359,45.1633,45.4034,2644400,-0.007468858076519536
20240123,45.4496,45.6158,45.011,45.3988,2250400,-0.00010140958482729445
20240124,45.7266,45.8236,44.8309,44.8771,4028800,-0.011491955186029856
20240125,45.6758,45.8559,45.0433,45.7451,2581600,0.019341471261886012
20240126,45.8097,46.1098,45.6481,45.8512,2229400,0.0023213376014745712
20240129,45.8836,46.2252,45.6019,46.0498,2261000,0.004329916977477755
20240130,46.0498,46.493,45.6897,46.2853,2803200,0.0051133753280614425
20240131,46.5946,46.6731,45.7681,46.059,5430400,-0.004887747466683079
20240201,45.8697,47.1302,45.5927,47.0886,1863200,0.022353474744610358
20240202,46.6361,46.8901,45.8235,46.4422,3296800,-0.013726837521145896
20240205,45.9851,46.3222,45.6158,45.9851,3579000,-0.009841842203613282
20240206,45.8836,46.0913,45.5696,45.9159,4461400,-0.0015061307884954855
20240207,46.0821,46.1929,45.5235,45.5973,3034200,-0.006937937655681736
20240208,45.4058,45.658,44.9481,45.4899,2674200,-0.0023558811066450858
20240209,45.3358,45.7841,45.2097,45.7468,1896200,0.005646669721897091
20240212,45.7935,46.4053,45.5553,46.2605,2694800,0.011230428074285648
20240213,46.013,46.2325,44.9061,45.8869,3865800,-0.008076824789544634
20240214,45.985,46.1765,45.588,45.8075,2056800,-0.001730239292268676
20240215,45.9569,46.7276,45.7047,46.7042,2514200,0.01957569016199745
20240216,46.4006,47.0638,46.2372,46.7743,3153000,0.0015001763832362958
20240220,46.7929,47.2133,46.5921,46.7089,2515400,-0.0013979422251299
20240221,47.0358,47.4935,46.7696,47.2927,3112400,0.01249863917971683
20240222,46.8397,47.4328,46.6201,47.4141,3799800,0.002567696756731186
20240223,47.6383,48.1474,47.4375,47.8718,4086000,0.009653380211717133
20240226,47.7457,47.7644,46.6061,46.6809,3075400,-0.024878180553353113
20240227,46.9751,47.0965,46.6855,47.0638,1750600,0.008204145653392336
20240228,47.0358,47.1339,46.7462,46.9704,1596200,-0.001984680690198082
20240229,47.2366,47.5496,46.9798,47.4375,2774600,0.009943462263304337
20240301,47.2927,47.3067,46.5174,46.9237,2876200,-0.01083016785320734
20240304,46.7042,47.8158,46.6295,47.6476,2169000,0.015427406948718803
20240305,47.8765,48.535,47.4702,47.657,2211000,0.00019622850573308703
20240306,47.9746,48.2221,47.6616,47.9652,2226600,0.006467946707077621
20240307,48.4463,48.5584,47.9559,48.0306,2942000,0.0013631524929427208
20240308,48.096,48.3715,47.8204,48.2688,2486000,0.004959202791532169
20240311,48.1661,48.6891,48.0353,48.2735,2091200,9.681210769363346e-05
20240312,48.1053,48.2875,47.6009,47.9979,2249200,-0.005708279541962624
20240313,48.1567,48.521,48.0166,48.1007,2034600,0.0021407740118808416
20240314,47.2787,47.8718,47.2226,47.8671,3410800,-0.004854908293489113
20240315,47.5682,48.1567,47.4562,47.6196,5287600,-0.005171068347964547
20240318,47.6196,48.0073,47.4702,47.9232,2910800,0.00637496948898586
20240319,48.054,48.3856,47.8485,48.2174,2655200,0.0061397253171013855
20240320,48.1193,48.5677,47.9232,48.1147,2454200,-0.0021309488857870207
20240321,48.2081,48.6564,48.1287,48.2781,2571600,0.0033973747983624403
20240322,48.563,48.6191,48.0633,48.1847,1849800,-0.0019348402810563936
20240325,48.2688,48.3669,47.9932,48.1474,2539000,-0.0007753731235756733
20240326,48.1147,48.2641,47.7083,47.8018,2043400,-0.007178281833030931
20240327,48.0399,48.9974,47.9559,48.9834,3338000,0.024719129278618635
20240328,49.0394,49.4131,48.9413,49.357,2014400,0.007627856961347268
20240401,49.2776,49.329,48.6891,48.918,1835400,-0.008894827000418326
20240402,48.96,49.6606,48.96,49.1655,2030400,0.0050601404898813485
20240403,49.1842,49.3337,48.6658,48.7592,3059600,-0.008264378808740758
20240404,49.1982,49.2776,48.2735,48.7218,2986000,-0.0007663161379919403
20240405,48.5163,48.9507,48.2781,48.6798,4088200,-0.0008626591511395887
20240408,48.6424,49.4084,48.6424,49.3944,2990800,0.014678964648708659
20240409,49.6232,49.7306,49.2823,49.6559,2984400,0.005295001605599037
20240410,48.8946,48.9367,48.3389,48.8339,3329200,-0.016553737420296533
20240411,49.1142,49.1142,48.2828,48.493,2123600,-0.006981592810853754
20240412,48.6051,48.6705,47.7644,48.0633,2660400,-0.008860660415689114
20240415,48.3902,48.5257,47.5496,47.7737,2030600,-0.006024680172009855
20240416,47.727,47.8345,46.8817,46.9891,3157000,-0.016423952890858295
20240417,47.4001,48.2781,47.1806,48.1941,3326800,0.02564363181032636
20240418,48.4509,48.5397,47.7924,48.4556,3605400,0.005426796777023624
20240419,48.876,50.0716,48.6891,49.8661,4237600,0.02910847434596553
20240422,49.6559,50.3611,49.3617,50.1837,5620600,0.006368680766166479
20240423,50.1136,50.6507,49.9548,50.0576,3043400,-0.0025126665225934097
20240424,49.3477,50.0109,48.3342,49.7213,5335600,-0.006717652678358332
20240425,49.7727,50.3331,49.4037,50.221,3991400,0.010050604792444684
20240426,50.207,50.2257,49.5578,49.74,4289800,-0.00957862816823396
20240429,50.0015,50.3378,49.9128,50.0529,2665400,0.006291184978523656
20240430,49.754,50.221,49.4411,49.8194,3024200,-0.004665549735314967
20240501,49.7108,50.924,49.5834,50.4991,2465200,0.013644182185219345
20240502,50.603,50.7918,50.164,50.5841,2383800,0.0016825749848372595
20240503,50.9806,51.1033,50.3906,51.0184,3441000,0.008585239704299585
20240506,51.2166,51.632,50.9098,51.4621,5119000,0.008697144344018692
20240507,51.7925,52.2646,51.632,52.1985,4548400,0.014309279056626378
20240508,52.1182,52.3543,51.7878,52.3165,3198800,0.002260895518374051
20240509,52.3165,52.6469,52.2598,52.6233,3180200,0.005864907627012084
20240510,52.8688,53.1567,52.477,52.8641,3164600,0.004574738452007621
20240513,52.8641,53.2039,52.6516,52.798,2958600,-0.001250108691769669
20240514,52.9632,53.0859,52.4109,52.5383,2591200,-0.004917319398748843
20240515,52.9821,53.3739,52.831,53.1473,2816800,0.011590176213488013
20240516,53.1378,53.7043,53.067,53.5155,2895800,0.006927960394592647
20240517,53.5485,53.5674,53.152,53.355,4794600,-0.002999053159434384
20240520,53.5485,53.5627,53.1662,53.2464,2759400,-0.002034863435861345
20240521,53.4022,53.945,53.1284,53.9167,3157400,0.012588633212513356
20240522,53.7373,53.7751,53.0859,53.1992,3270600,-0.013307610856192809
20240523,52.9301,52.9301,51.6131,51.6415,3256200,-0.029281321121052972
20240524,51.7406,51.9436,51.4715,51.5187,2570200,-0.0023765835641735844
20240528,51.3866,51.8444,50.7304,50.7587,4185600,-0.014751734630342517
20240529,50.3811,50.6266,50.1876,50.3717,3069400,-0.007625825749092541
20240530,50.5322,50.9806,50.164,50.8768,4948400,0.010027316176220102
20240531,51.4574,53.1898,51.0703,53.1001,6212800,0.04370003622243823
20240603,52.8829,53.1001,52.5053,52.7649,3310800,-0.0063116268504308515
20240604,52.5808,52.9585,52.1513,52.6752,2463200,-0.00169982538328306
20240605,52.7508,52.7508,51.9436,52.3401,3791800,-0.006362531707831742
20240606,52.1607,52.713,51.7028,51.8539,4223000,-0.009289289712433257
20240607,51.4526,51.8822,51.1458,51.2025,3894200,-0.012562618694588523
20240610,51.0845,51.1741,50.603,51.0089,4181800,-0.0037798700815404596
20240611,50.636,51.2874,50.3575,51.0561,4264800,0.0009253883056166146
20240612,51.4054,51.4999,50.3481,50.6785,4368000,-0.007396411462054386
20240613,50.7399,50.8012,49.8619,50.5558,3729200,-0.0024218174635816103
20240614,50.2773,50.6643,50.0979,50.518,3052800,-0.0007468559687735521
20240617,50.1215,50.603,49.8666,50.2112,3176200,-0.006073551958651002
20240618,50.1215,50.4991,49.8383,50.0601,3000400,-0.0030085332944351784
20240620,50.0365,50.5322,49.9657,50.1734,3494000,0.0022631327078646013
20240621,50.1262,50.6974,49.843,49.9468,5143600,-0.004515968976311124
20240624,50.0365,51.1505,50.0318,50.8532,2731000,0.018145745498715282
20240625,50.7918,50.8107,49.9043,50.3433,3646600,-0.010025167939416324
20240626,50.1168,50.315,49.7297,50.2253,1871200,-0.0023439053951196387
20240627,50.2489,50.4142,49.9988,50.3953,1894000,0.003383493824219874
20240628,50.5982,50.6643,50.2489,50.5086,5106600,0.002247854410248662
20240701,50.721,50.8484,49.8288,49.9138,2091000,-0.011775598473654614
20240702,49.9657,50.282,49.8902,49.9846,3060400,0.0014185377146769262
20240703,50.0224,50.6643,49.8005,49.8241,2248400,-0.0032109806777936845
20240705,49.7722,50.0365,49.5362,49.7391,5158200,-0.0017052178195262613
20240708,49.7014,49.8666,49.2388,49.4465,3738000,-0.005884123221004067
20240709,49.3615,49.843,49.1538,49.5409,2723800,0.0019094137104698206
20240710,49.8383,50.0035,49.522,49.9988,2584000,0.009242353261500691
20240711,50.2584,51.3346,50.164,51.2119,2771800,0.024263758411331215
20240712,51.429,51.8586,51.2685,51.5329,2085400,0.006267684030303311
20240715,51.2497,51.2638,50.4047,50.4283,2688000,-0.0214343167885086
20240716,50.8862,51.4054,50.7776,51.2025,2663600,0.015351434749972359
20240717,51.4102,52.4628,51.193,52.2268,2693600,0.02000555935558257
20240718,51.9341,52.9726,51.9341,52.2693,1945800,0.0008134575400289279
20240719,52.5856,52.5856,51.9341,52.1513,2024400,-0.002257759570646223
20240722,52.0333,52.6328,51.9625,52.4062,1634600,0.004887740549564867
20240723,52.3306,52.3778,51.9955,52.0899,1364400,-0.006035100980028796
20240724,52.5006,52.8971,52.1229,52.8027,2209400,0.013683944420871619
20240725,53.1378,53.6429,52.2551,52.595,2840200,-0.0039335614762385784
20240726,52.8688,53.8978,52.8688,53.6382,2811000,0.019834906513969575
20240729,53.6382,54.2235,53.3078,53.9828,2728400,0.006424395420673967
20240730,53.794,55.0118,53.794,54.9174,2826400,0.01731364407158731
20240731,55.0638,55.229,54.2566,54.7428,3755400,-0.003180266675891219
20240801,55.465,57.2021,54.8514,57.0322,4210200,0.04182114161513484
20240802,57.8913,58.3492,55.7058,57.0228,4969200,-0.00016547778835251936
20240805,57.1927,57.4901,54.4879,54.5256,3623400,-0.0437915054903365
20240806,54.6578,55.6255,54.5351,54.8325,3938000,0.005627215594144808
20240807,55.0496,56.0173,54.6625,55.2196,3835000,0.0070593417853050955
20240808,54.3604,55.6633,54.3604,55.3328,4598200,0.0020515390376854015
20240809,55.3328,55.5783,54.4312,55.4792,2296600,0.002644574131528632
20240812,55.5264,55.701,55.1015,55.4744,2820400,-8.505499799194016e-05
20240813,55.6746,55.9892,55.4459,55.8939,2489200,0.007560774111704749
20240814,55.5984,56.89,55.4649,56.237,3989800,0.006139673476658336
20240815,55.7843,56.075,55.4935,55.8129,3247400,-0.00754303715081972
20240816,56.0464,56.4277,55.7223,56.0512,2419600,0.0042698368478335524
20240819,56.2466,56.5278,56.0416,56.4277,2173200,0.006717675245802912
20240820,56.4468,56.7661,56.3514,56.6612,3082400,0.004138943125497008
20240821,56.6469,56.9186,56.4849,56.6612,3434400,0.0
20240822,56.6231,56.8138,56.4706,56.6231,2626800,-0.0006730442835805039
20240823,56.8614,56.9853,56.4944,56.6231,2665200,0.0
20240826,56.7327,57.2427,56.6613,56.9568,4961200,0.005892446943960072
20240827,56.8471,57.0378,56.5993,56.7566,2232200,-0.0035147308533131083
20240828,56.952,57.2618,56.6565,56.8567,2678600,0.0017635638790340913
20240829,56.8281,57.1426,56.2895,57.114,2159800,0.0045267800604831265
20240830,57.1951,57.6574,57.0664,57.5239,2729800,0.007176813626194489
20240903,57.3667,58.6774,57.1951,58.2341,3772200,0.012345655269956124
20240904,58.4343,58.9729,57.9815,58.4009,2624200,0.002864718559350221
20240905,58.8394,58.9252,58.0673,58.2961,2346600,-0.001795687697569881
20240906,58.5058,58.6154,58.0387,58.1007,3047600,-0.0033520560577161573
20240909,58.0911,58.5106,57.7003,58.2293,7794800,0.0022149287841468634
20240910,58.2103,58.5534,57.6336,57.972,4613600,-0.004420067433707042
20240911,57.686,58.3437,57.1951,58.2579,4381400,0.004933077923324758
20240912,58.358,58.9443,58.1864,58.8871,3143400,0.01079926094673711
20240913,59.5067,60.6935,59.3923,60.5743,6034200,0.02865239043831158
20240916,60.9175,61.4466,60.5076,61.2273,4948600,0.010779824501245372
20240917,61.6611,61.7993,60.9128,61.5228,5259000,0.004826428988330189
20240918,61.3131,61.723,60.9652,61.2988,3653400,-0.0036412187073757707
20240919,61.0939,61.2654,60.2264,60.8556,3873200,-0.0072312000715409885
20240920,61.3894,61.8183,60.9604,61.6039,6308800,0.012296371109034698
20240923,61.8994,62.0376,61.5371,61.9756,3758400,0.006034832570348758
20240924,61.5848,62.4522,61.3989,61.9756,6605600,0.0
20240925,62.2854,62.2854,61.5467,61.8374,5282000,-0.0022302597636493227
20240926,61.5514,62.0519,61.437,61.7611,1909600,-0.0012331662626438034
20240927,62.0662,62.7001,61.9089,62.4999,1658200,0.011961596297638266
20240930,62.7907,62.7954,62.1186,62.7287,2933400,0.0036605888582843527
20241001,62.8717,63.5723,62.3712,63.3674,3382800,0.010181373077552847
20241002,62.7621,63.3435,62.5428,63.2625,2249200,-0.0016546494982684345
20241003,63.3912,63.4722,62.9718,63.3912,1689200,0.002034324039955182
20241004,62.8193,63.2577,62.376,63.1529,2066800,-0.003759442384783762
20241007,62.9146,62.9432,62.2902,62.3903,2524200,-0.012075576960910883
20241008,62.8145,62.8955,62.1806,62.2139,4944800,-0.0028264339534527227
20241009,62.1996,62.5857,61.7516,61.9851,2719600,-0.003677476212383457
20241010,62.0614,62.4618,61.3703,61.5133,2308600,-0.007612452062537911
20241011,61.7993,62.3903,61.6992,62.2664,1758800,0.012242346517964853
20241014,62.2711,62.967,62.2473,62.8669,1594600,0.009644880961249713
20241015,63.3912,64.1681,63.2434,63.5628,2230000,0.011068991163508235
20241016,63.6724,64.13,63.5866,64.0203,3147200,0.007198635603250958
20241017,64.0871,64.4207,63.7391,64.1681,2143600,0.0023081116993544093
20241018,64.0156,64.721,63.7296,64.4779,2034200,0.00482793051613295
20241021,64.4779,64.8306,64.2777,64.3635,2045200,-0.0017741756277681597
20241022,63.7582,64.4684,63.6343,64.3349,2022600,-0.0004445100343695163
20241023,64.2491,65.3215,64.2348,65.2739,2192000,0.014595069911016889
20241024,65.3168,65.6313,65.1595,65.5217,3878000,0.0037969380911493378
20241025,65.8887,65.8887,64.5113,64.5256,4111800,-0.015203078971358308
20241028,64.7114,65.2262,64.5303,64.9736,3359600,0.006943069924462364
20241029,64.578,64.5971,63.8964,63.9298,5491000,-0.016065110584873366
20241030,64.2825,64.4636,63.7248,64.0585,4791800,0.002012911417934804
20241031,67.6808,74.7587,67.3996,73.7721,12033200,0.1516369407756204
20241101,73.5719,73.6529,68.7914,69.0106,7743000,-0.06454323133139739
20241104,68.7151,68.9725,66.9325,67.8858,5933800,-0.01629940834852439
20241105,67.6951,69.5683,67.4854,69.5635,3213600,0.024713851825004074
20241106,69.43,70.6979,68.7961,69.6159,3949800,0.0007536883514021042
20241107,69.3586,70.0354,68.963,69.5683,2840600,-0.0006845157303271288
20241108,69.5873,71.184,69.2489,71.0077,4929200,0.020690461419277995
20241111,70.8838,72.7235,70.8838,71.6607,3857000,0.009195972372973094
20241112,71.4843,71.8227,70.7551,71.1268,3078200,-0.007449397436691818
20241113,71.3479,71.641,70.3821,70.925,3292600,-0.002837257217194633
20241114,71.1412,71.3623,70.5599,70.6511,3501800,-0.0038615425409181947
20241115,70.8722,71.9629,70.6896,71.6506,5180200,0.014145737105803358
20241118,71.4343,72.6596,71.4343,71.7226,2800200,0.001006028718669949
20241119,71.2902,72.1551,70.8385,72.0205,2150400,0.004153463045284189
20241120,72.3473,72.9719,71.9485,72.4145,3683200,0.005470622707332229
20241121,72.3281,73.3995,71.9677,72.8182,3386000,0.005573713288011373
20241122,73.5149,73.6542,72.5299,72.5827,3700000,-0.003233197697377399
20241125,73.1833,73.4476,72.2031,73.2746,5319000,0.009532601984409306
20241126,73.5917,74.9756,73.3563,74.9227,3712800,0.022491811178195986
20241127,75.062,75.9509,74.9707,75.1485,3827600,0.00301407252836694
20241129,75.3695,75.6194,74.7161,75.038,1542200,-0.0014705782321731142
20241202,75.062,75.2158,73.4956,73.635,3390200,-0.01869749441353674
20241203,74.1828,74.4662,72.7077,72.7125,3542200,-0.01252843474346177
