datetime,open,high,low,close,volume,return
20230725,53.8907,54.235,53.6877,53.8378,643600,-0.002452933663849799
20230726,53.8378,54.4909,53.8201,54.1202,714100,0.005245920270826376
20230727,53.9613,53.9702,52.6375,52.7963,1611200,-0.024461965604424818
20230728,53.1229,53.3082,52.6286,53.0876,1319700,0.005516594689355392
20230731,53.2641,53.3965,52.6198,52.9287,1063000,-0.0029924711452343766
20230801,52.8758,53.1582,52.4698,52.5139,1410900,-0.007837219125954142
20230802,52.4168,52.8934,52.2844,52.6993,1096200,0.0035295127793379955
20230803,52.5845,52.6463,51.4989,51.5254,1744900,-0.022274454472502425
20230804,51.3577,51.852,50.431,50.5722,1170700,-0.018499561378083507
20230807,50.6075,51.1283,50.484,50.8723,1414400,0.005933831286571545
20230808,50.9164,51.3401,50.3251,51.2606,1331600,0.007633473876615948
20230809,51.2606,51.7814,51.1371,51.2783,1321600,0.000344405022091987
20230810,51.5078,51.7549,51.0929,51.1989,1280200,-0.0015490658403196633
20230811,51.3666,51.4813,51.0576,51.4372,1203600,0.004654482012107275
20230814,51.4725,51.4901,50.7046,50.8635,1636800,-0.011153044117217403
20230815,50.5546,50.5546,49.9368,50.0338,1403000,-0.016311028829145702
20230816,50.2368,50.4575,49.8926,50.3427,1248300,0.0061738763079279835
20230817,50.4928,50.8017,50.025,50.1309,1287800,-0.0042076076407390195
20230818,50.3031,50.5708,49.9998,50.321,1093300,0.003790961776111157
20230821,50.2674,50.3923,49.4823,50.0355,1022100,-0.00567379854311989
20230822,49.9908,50.4726,49.7589,50.3567,1353900,0.006419474594354213
20230823,50.6868,50.7492,50.1782,50.4548,1331500,0.0019489125383171935
20230824,50.3656,51.124,50.1425,50.1693,985000,-0.005658673222433075
20230825,50.1782,50.9366,50.1247,50.7581,1266100,0.01173737478498782
20230828,50.8474,51.3113,50.5797,50.6065,1260100,-0.002988138458131062
20230829,50.6511,51.0615,50.4637,50.9277,959900,0.006347115820729998
20230830,49.7321,49.9641,48.7417,49.4644,4911100,-0.02873175567595987
20230831,49.7321,49.8927,49.0183,49.0451,2888000,-0.008477647346435746
20230901,49.1522,49.2503,47.5462,47.8228,2657900,-0.024922615344301735
20230905,47.8317,47.9031,46.645,47.0465,1967700,-0.016231469036290136
20230906,47.1001,47.5997,46.8413,47.564,1697100,0.010999463632630047
20230907,47.8763,48.3224,47.6443,47.8317,2100000,0.005627406591314221
20230908,48.019,48.2332,47.7603,48.1261,1342300,0.00615569911188385
20230911,47.7068,47.8763,46.9395,47.0287,2532700,-0.022803157774922145
20230912,47.0376,47.3766,46.7075,47.2963,1755900,0.005691463405137931
20230913,47.2696,48.0458,47.1714,47.9298,1522700,0.013393766674457908
20230914,48.1797,48.7507,48.0637,48.5722,1625500,0.01340298344958124
20230915,48.6168,48.9737,48.1975,48.3046,3197600,-0.005510755664962286
20230918,48.5633,48.6882,48.0637,48.3046,1915300,0.0
20230919,48.3403,48.715,47.5105,48.367,1840200,0.001293005073937259
20230920,48.4116,48.831,48.2778,48.4919,1401600,0.002582591871693296
20230921,48.4651,48.6168,48.0458,48.0547,2744500,-0.009015905451504103
20230922,47.8674,48.0993,47.5016,47.8317,1221300,-0.004641644662541244
20230925,47.5283,47.7603,47.1536,47.5462,905300,-0.005968918684080005
20230926,47.341,47.341,45.8064,45.8956,1356000,-0.03471565661719922
20230927,45.9134,46.19,45.4584,45.5476,1701800,-0.00758175584415588
20230928,45.7617,45.8331,44.7981,44.9855,2133100,-0.012340837947502958
20230929,45.4673,45.842,44.9944,45.2353,2605400,0.005553528874941316
20231002,45.0658,45.9045,42.5498,42.9156,4860400,-0.05128226751287912
20231003,42.755,43.9238,42.1929,43.7186,3100900,0.018711101870665825
20231004,43.674,43.7186,42.7639,43.442,2853200,-0.006326479683366304
20231005,43.5758,43.6204,42.9067,43.1297,1603500,-0.007188321447341051
20231006,42.5498,43.6383,41.8628,43.5312,2395100,0.009308968163822318
20231009,43.5491,44.0755,43.2457,44.0308,2501700,0.011477864806405336
20231010,44.0041,44.6375,44.0041,44.3431,1360300,0.007092099041258404
20231011,44.5662,45.0212,44.1825,44.8784,1167000,0.012072401547037481
20231012,44.7535,44.8695,43.7543,43.9327,1770300,-0.02107344779238418
20231013,44.2004,44.6197,44.013,44.5662,1912900,0.014419155358299962
20231016,44.7446,45.3067,44.2182,44.9944,1380600,0.00960971962520829
20231017,44.7089,45.2086,44.4948,44.6911,1686600,-0.006742165742279593
20231018,44.6197,44.816,43.6026,43.9059,2747400,-0.017568351121877046
20231019,43.6561,43.9238,43.2457,43.2903,3001100,-0.01402150555571624
20231020,43.4241,43.8613,43.1208,43.1565,2312400,-0.003091566009833735
20231023,42.8888,43.5937,42.3446,43.1119,2466200,-0.0010335704897195264
20231024,43.3528,43.8792,43.2279,43.665,1788200,0.01283102082667309
20231025,43.4687,43.8078,43.2189,43.6293,2304400,-0.0008173658263331829
20231026,43.7186,44.5037,43.7186,43.8524,2007800,0.005112540504990326
20231027,43.7721,43.9862,42.987,43.1119,1795000,-0.016887005199534677
20231030,43.1743,43.7543,42.9602,43.2546,2412400,0.0033111484060059926
20231031,43.4866,43.9149,43.3617,43.8435,3140300,0.013613973372109456
20231101,43.9416,44.7625,43.3082,44.4413,3814500,0.013634458179395903
20231102,44.3342,45.7707,44.3074,45.5387,3072700,0.024693710589629436
20231103,46.2703,46.4041,45.6725,45.6904,2149000,0.0033307105485120836
20231106,45.6011,45.9134,45.2889,45.4405,2823300,-0.005467522563643357
20231107,45.2978,45.7617,44.6108,44.9052,3586200,-0.011780841904615702
20231108,45.0837,45.0837,43.5401,44.2361,2849900,-0.014901669555815289
20231109,44.2896,44.4234,43.5937,44.013,3548500,-0.005042592769693766
20231110,44.1647,44.2717,43.9416,44.0844,1808600,0.0016218944746728692
20231113,43.8613,44.0933,42.8085,42.871,2825000,-0.02752487678963833
20231114,43.7899,44.5929,43.665,44.5573,5418000,0.03933410242504132
20231115,44.5483,45.4941,44.4769,44.8517,2060200,0.0066078125984554426
20231116,45.0658,45.3959,44.7714,44.9052,1737100,0.001193781246815906
20231117,45.1818,45.1997,44.6019,44.9588,3568600,0.0011921029824746299
20231120,44.8338,45.2443,44.1647,45.0301,2118300,0.0015875215208438487
20231121,45.0328,45.4034,44.4635,45.3672,2104600,0.007485782604198521
20231122,45.4214,45.9908,44.9605,45.9366,2578900,0.01255000739106249
20231124,46.0179,46.0269,45.557,45.6835,772800,-0.005508638268938104
20231127,45.7197,46.0179,45.3943,45.8372,1527200,0.0033630711490579834
20231128,45.8191,46.768,45.7106,46.3252,2172400,0.010646777745820124
20231129,46.3975,46.6415,45.6745,45.7649,4231800,-0.012095323507742672
20231130,45.8281,46.2167,45.3943,46.1263,2080100,0.00789881922813418
20231201,46.3523,46.8584,45.8462,46.777,1867000,0.014106731493262581
20231204,45.4214,46.515,45.0419,45.5931,9573700,-0.02530924001330903
20231205,45.313,46.3794,45.1413,46.28,8994400,0.015064378508312881
20231206,46.3613,47.003,45.9727,46.9487,3751600,0.014450521384775206
20231207,46.9307,47.1024,46.4336,46.7228,3352200,-0.004812496744826866
20231208,46.8042,46.8764,46.2981,46.5963,2020300,-0.002707766034645065
20231211,46.4878,46.9307,46.045,46.7951,2722000,0.004266824418853066
20231212,46.9759,46.9759,46.1806,46.4065,2338900,-0.00830443615738996
20231213,46.4155,48.2501,46.1896,48.1959,3398800,0.038558963376395194
20231214,48.5755,49.1629,48.1326,48.232,4486400,0.0007500239032522948
20231215,47.4458,47.988,46.5059,46.777,5910400,-0.03016670700283297
20231218,47.0301,47.2018,46.5059,46.5059,2158400,-0.005796048382361585
20231219,46.6867,47.021,46.524,46.8584,2230000,0.007578716106728001
20231220,46.8313,47.0662,46.0812,46.1354,2766400,-0.015429220049657966
20231221,46.2438,46.6415,45.9908,46.1535,2453300,0.00039184350337695406
20231222,46.5059,47.1295,46.4246,46.4336,1858200,0.006070244840564731
20231226,46.4427,47.0301,46.4065,46.8041,1698400,0.00797959563257411
20231227,46.9487,46.9487,46.4698,46.8584,1906900,0.001158570906250933
20231228,46.7409,47.2741,46.6867,47.2108,1318900,0.007521711192959746
20231229,47.0391,47.2108,46.8493,47.1747,1447900,-0.0007656733356038448
20240102,47.1024,48.4851,46.9849,48.2863,2267900,0.02356322401405264
20240103,48.4128,48.8466,47.9248,48.6839,3929300,0.008235058506686155
20240104,48.6026,48.8556,48.3224,48.4489,2222200,-0.004826599564306866
20240105,48.3947,49.0183,48.1778,48.5303,1772900,0.0016789763252054168
20240108,48.5032,48.7562,48.2772,48.7291,2051600,0.004096708672904681
20240109,48.9912,49.2261,48.3766,48.9912,3153200,0.005378487209760863
20240110,48.7652,49.1719,48.6297,48.8737,3066300,-0.0023980858294836427
20240111,48.7743,48.9008,47.9157,48.214,2983400,-0.013498653014823225
20240112,48.5483,48.8195,48.1778,48.6658,2408300,0.009372022361577415
20240116,48.5032,48.5032,47.6085,47.7711,2690900,-0.018384232465192496
20240117,47.4819,47.8163,46.6776,46.8041,2999300,-0.020242247054560236
20240118,46.5692,46.6776,45.9275,45.9908,3763200,-0.017377830063117883
20240119,45.9998,46.1806,45.4305,45.5841,2491900,-0.00884266282687507
20240122,45.4395,46.0812,44.9063,45.06,2883200,-0.011498626606863294
20240123,45.1594,45.3311,44.6352,45.2226,3388700,0.003609997361202044
20240124,45.4937,45.7197,44.5719,44.599,5393700,-0.01378896836979393
20240125,44.9605,45.322,44.6081,45.2588,2525900,0.014792274611373779
20240126,45.3582,45.566,44.9063,44.9696,2154900,-0.006389665142909617
20240129,45.1322,45.9546,44.8882,45.7287,2357400,0.01688093470029206
20240130,45.4937,46.0089,45.0419,45.81,2495800,0.0017786850927385967
20240131,46.1535,46.5782,45.3763,45.8823,11112100,0.0015781721931422688
20240201,45.7016,46.8764,45.4486,46.768,2676100,0.019302812380770806
20240202,46.2348,46.3071,45.4214,45.8191,2182700,-0.02028980376838374
20240205,45.304,45.4395,44.8431,44.8882,1967700,-0.02031579028871311
20240206,44.7346,45.0057,44.6081,44.8792,2157300,-0.0002012376455127196
20240207,45.0509,45.0961,44.599,44.6262,1848900,-0.005638423182890984
20240208,44.3912,44.3912,43.4152,43.9393,3527400,-0.015390804223352483
20240209,43.9393,44.5267,43.7405,44.355,2495900,0.009461098430949333
20240212,44.355,44.9877,44.1201,44.9786,4081100,0.014058852502539798
20240213,44.9334,45.0328,43.5326,44.4544,2089100,-0.011653757672776655
20240214,44.4544,44.7346,44.1743,44.4544,1909400,0.0
20240215,44.7527,45.3672,44.7436,45.1322,2554300,0.015247050512950278
20240216,44.9154,45.566,44.599,45.2136,2748100,0.0018021074539851245
20240220,45.304,45.7377,45.1413,45.3491,2043000,0.002998278249029873
20240221,45.5841,45.8462,45.322,45.7377,2018300,0.00856914103172568
20240222,45.4757,45.7016,45.1413,45.4214,3162900,-0.006915667851777663
20240223,45.3582,45.9275,45.304,45.7016,3482800,0.006167990178515881
20240226,45.5841,45.5841,44.6533,44.7075,1810900,-0.021752111782578187
20240227,44.8792,45.3943,44.7256,45.3672,1653500,0.014756308575546662
20240228,45.0871,45.4034,44.9154,44.9967,2136900,-0.008167166158990047
20240229,44.9696,45.5118,44.7256,44.7708,3767200,-0.0050210196808779806
20240301,44.6985,44.7888,43.9212,44.3912,2653700,-0.008478078345412254
20240304,44.2737,45.2317,44.1562,45.1774,2804800,0.017711700142409192
20240305,45.5028,46.2348,45.2317,45.5028,2728500,0.007201473478874787
20240306,45.9004,46.2619,45.548,45.801,3005400,0.006554088267545666
20240307,46.2077,46.4878,46.0992,46.4155,3266400,0.013417611304048949
20240308,46.6471,47.5623,46.2444,47.187,4148600,0.016621660371100022
20240311,47.0223,47.7179,46.9766,47.2511,2310300,0.001357580339604425
20240312,47.0223,47.0681,46.3085,46.9216,2258000,-0.006972699115455061
20240313,47.5074,47.91,46.9399,47.0772,2793700,0.003315792464643197
20240314,47.1321,47.242,46.3085,46.6196,2273000,-0.009720029443290423
20240315,46.5098,47.3335,46.5007,47.2237,3810100,0.012956489770074686
20240318,46.9674,47.544,46.8667,47.3701,2235600,0.003100715955596911
20240319,47.306,47.9833,47.306,47.7728,1651900,0.008500792089796372
20240320,47.8826,47.9192,47.1321,47.3792,2270100,-0.008237575503988737
20240321,47.3518,47.7636,47.306,47.3975,2158700,0.0003862261932856548
20240322,47.7087,47.846,47.004,47.2511,2400400,-0.003089340988878808
20240325,47.3884,47.4616,46.7844,47.0589,1694200,-0.004067542371410382
20240326,47.306,47.3701,46.7295,46.9308,1925400,-0.0027225537304319536
20240327,47.0864,48.569,47.0864,48.5507,2169900,0.03451637073255753
20240328,48.6147,49.054,48.4958,48.8527,2158400,0.006220580881930005
20240401,48.8527,48.8527,48.1846,48.267,1453500,-0.011989671758089848
20240402,48.331,48.8893,48.3219,48.5141,2071000,0.005119540241149467
20240403,48.3859,48.4409,47.9924,48.2487,1310800,-0.0054704198591079
20240404,48.5873,48.7063,47.8917,48.2121,2306300,-0.0007588491552090737
20240405,47.8917,48.029,47.4433,47.7728,2040500,-0.009111601992071505
20240408,47.7087,48.4225,47.6904,48.3036,1997400,0.011110929228572708
20240409,48.5232,48.6605,48.2029,48.4775,1651100,0.003600002558738158
20240410,47.6538,47.7453,47.0132,47.2969,1890800,-0.024353411169401262
20240411,47.5897,47.6172,46.6562,47.0955,2053700,-0.004257015978670453
20240412,47.1138,47.3609,46.3817,46.6288,1882000,-0.00991064984800516
20240415,46.8118,47.0498,46.0065,46.1163,1985600,-0.010991082308561717
20240416,46.0522,46.0888,45.3475,45.3567,1956200,-0.016471441312533752
20240417,45.558,46.3725,45.4848,46.2444,1260500,0.01957219275623734
20240418,46.583,46.7478,46.0888,46.6379,1713000,0.008509659651559254
20240419,46.7112,47.5623,46.7112,47.3701,1932300,0.015698698839361258
20240422,47.3975,47.9283,47.2328,47.8277,1461100,0.009659855574875476
20240423,47.6446,48.2578,47.5257,47.8185,1938500,-0.00019126257064872032
20240424,47.3792,48.2395,47.123,48.029,2108200,0.0044018750189465106
20240425,47.8002,48.1297,47.4342,47.9741,1679400,-0.0011432411960142774
20240426,47.8643,48.1114,47.306,47.306,1191600,-0.013926149748034522
20240429,47.544,48.3036,47.4982,48.2761,2010700,0.020507075726546864
20240430,47.91,48.331,47.5074,48.0016,1823900,-0.00568726326116753
20240501,47.7636,48.8344,47.6904,48.45,2208600,0.009342127619399676
20240502,48.6971,49.0266,48.3493,49.0083,2149400,0.011522590132948984
20240503,49.3469,49.594,48.8069,49.5116,3072000,0.010270701281459793
20240506,49.5574,49.6947,49.1364,49.3835,2469400,-0.0025877609777016364
20240507,49.594,50.0424,49.3377,49.8319,1877400,0.00908077787434447
20240508,49.7313,50.0607,49.5391,49.9418,1541000,0.0022039106515177043
20240509,49.5574,51.1224,49.5574,50.9942,4723700,0.021073816983328664
20240510,51.3145,51.4518,50.6007,50.7197,4709000,-0.005384119935696319
20240513,50.9668,51.3054,50.7471,51.0125,2802500,0.0057741299243914135
20240514,51.525,51.5616,50.4726,50.6098,2419000,-0.007893811149162322
20240515,51.2871,51.3969,50.8661,50.921,1846200,0.006148306931743175
20240516,50.9668,51.1864,50.7471,50.921,2121900,0.0
20240517,51.0256,51.5071,50.8682,51.0256,2062200,0.002054816532953918
20240520,51.0349,51.1367,50.7849,51.0071,978900,-0.00036296172581684605
20240521,51.1182,51.5349,51.0534,51.5071,1153800,0.009802029150538516
20240522,51.1275,51.359,50.7108,50.7757,1311900,-0.014200865098595195
20240523,50.5627,50.646,49.4424,49.4516,1853600,-0.026075817255087896
20240524,49.6183,49.7572,49.4516,49.4701,1191900,0.00037443738930886816
20240528,49.4979,49.7757,49.1553,49.3127,1305300,-0.0031819120820973934
20240529,48.822,48.9239,48.535,48.6739,2166100,-0.012955248297773392
20240530,49.0813,49.3776,48.7109,49.3405,1493500,0.013696077123626305
20240531,49.5813,50.6368,49.4794,50.609,3494200,0.025708344047720377
20240603,50.5442,50.859,50.1275,50.2664,2002300,-0.006769056268251306
20240604,50.109,50.896,50.0905,50.5349,1919800,0.005341640511319801
20240605,50.2942,50.396,49.7942,49.822,1575700,-0.01410779830797304
20240606,49.6924,50.0535,49.4331,49.4516,1039400,-0.0074333872897837105
20240607,48.9239,49.3776,48.8035,49.035,811400,-0.008425458379170525
20240610,48.6183,49.2294,48.6183,49.1183,1473400,0.0016993633066666458
20240611,48.7017,49.3868,48.6276,49.3313,1672200,0.004335484351980057
