datetime,open,high,low,close,volume,return
20230725,38.1318,38.5964,38.1229,38.4356,3928500,0.004436379789679146
20230726,38.3998,38.8912,38.3105,38.5964,3553500,0.004183946769112934
20230727,38.5249,38.6679,37.3902,37.4885,5815600,-0.028703642389015016
20230728,37.5957,37.828,37.1043,37.2562,8594800,-0.006196354027599549
20230731,37.0775,37.5957,36.9346,37.3992,6893200,0.0038367898094076036
20230801,37.3545,37.5332,37.0329,37.0507,5352700,-0.009316633975828159
20230802,36.7827,37.2116,36.6576,37.0775,6935800,0.0007233880009842597
20230803,36.7648,36.8542,36.1216,36.1841,4357800,-0.024096428927114277
20230804,36.3896,36.604,35.3354,35.6659,4777700,-0.014320885457480337
20230807,35.5945,35.9518,35.5945,35.7106,5013300,0.001252672973313107
20230808,35.5319,35.8446,35.2817,35.8089,5565500,0.0027516421564097726
20230809,35.7642,36.202,35.6302,35.9608,5648500,0.004241682022882998
20230810,36.1126,36.2913,35.8446,35.9071,4205000,-0.0014907347541263105
20230811,35.9697,36.3092,35.7999,36.193,3302700,0.007962207375838304
20230814,36.166,36.2561,35.9046,36.1299,3798500,-0.001743504203139401
20230815,35.9406,35.9497,35.6161,35.6882,3716900,-0.012225317320939899
20230816,35.8415,35.9587,35.6972,35.8866,5557200,0.00555675628066532
20230817,35.9497,36.3373,35.8685,36.0218,4263700,0.0037678672336503016
20230818,36.1299,36.2922,35.9767,36.0668,5361800,0.001251311833559532
20230821,36.0668,36.1029,35.517,35.8235,6239800,-0.0067481738723551565
20230822,35.8325,36.193,35.7333,36.0578,3982500,0.006542394640601135
20230823,36.4184,36.4454,36.1299,36.2832,3236600,0.006249878998254799
20230824,36.3373,36.8691,36.0849,36.1299,3766200,-0.004223554865998458
20230825,36.166,36.5807,36.1209,36.3283,3412900,0.0054890343372948625
20230828,36.4995,36.6257,36.2111,36.2832,3167000,-0.0012407548485362518
20230829,36.3283,36.6798,36.2471,36.5085,3606000,0.00621127089449014
20230830,36.4364,36.6618,36.3012,36.4364,2260000,-0.0019752370226958638
20230831,36.4995,36.5987,36.166,36.166,8455200,-0.007422322119462144
20230901,36.3733,36.4815,35.7153,36.0488,3931300,-0.003240162274971703
20230905,36.0488,36.0578,35.3186,35.6161,3584100,-0.012002883815932286
20230906,35.6612,35.9677,35.5801,35.9316,5607400,0.00885851650587921
20230907,36.2652,36.9142,36.148,36.5717,4917900,0.017812333452946305
20230908,36.6528,36.8962,36.4725,36.5807,4545800,0.0002464786051250556
20230911,36.5807,37.0494,36.5446,36.5807,3597000,0.0
20230912,36.5085,36.6438,36.2652,36.5626,5485900,-0.0004929400185746946
20230913,36.6348,37.2477,36.6257,37.0765,4013700,0.014053475991621989
20230914,37.2838,37.7976,37.2207,37.7165,3764700,0.017262224631156675
20230915,37.7526,38.005,37.4911,37.5452,10297200,-0.004540944100074884
20230918,37.6624,37.6985,37.1576,37.401,3536300,-0.0038417013013481993
20230919,37.3289,37.392,36.9232,37.0224,4230600,-0.010122757611013666
20230920,37.2567,37.2928,36.7429,36.806,4908800,-0.005843880519659783
