datetime,open,high,low,close,volume,return
20230718,118.5337,120.0399,118.0124,118.8234,737400,0.00868779694251609
20230719,118.8234,120.3682,118.8234,120.2137,734000,0.011700724649778227
20230720,119.9627,121.2371,119.0648,120.1848,899000,-0.0002409141231272116
20230721,120.0785,121.4013,119.8854,120.4454,620800,0.002168940032207578
20230724,118.9875,120.9958,118.9875,120.6771,975000,0.0019238586020935422
20230725,120.6771,122.0385,120.3006,121.1213,787900,0.003680252026329267
20230726,121.1213,122.1254,120.6096,121.8744,1011100,0.006217778003700936
20230727,122.6178,122.9557,121.382,121.7488,795100,-0.0010299657237322624
20230728,122.7723,123.3226,121.8744,122.8495,850900,0.009040432413734534
20230731,122.8495,123.6219,122.193,122.9074,1063700,0.00047161459560851604
20230801,121.8357,122.2219,120.5323,121.1406,1004500,-0.01437560231475088
20230802,120.2427,121.1503,119.6924,120.1365,643500,-0.008288692288730526
20230803,119.7213,121.0537,119.0165,120.1365,666000,0.0
20230804,120.8027,121.1599,119.2675,119.4896,668300,-0.005384615238062995
20230807,120.0496,121.7006,119.673,120.5034,1030800,0.008484114791843078
20230808,119.6248,119.7116,114.0732,115.2028,2027500,-0.043986887683752474
20230809,115.2511,115.2511,113.1173,113.3201,1157800,-0.016342535626158172
20230810,113.9187,115.9269,113.1656,113.8994,1029400,0.005112067589976288
20230811,111.8236,113.1849,111.6112,112.9339,955700,-0.008476778783871985
20230814,112.876,113.3008,111.8043,112.9049,699700,-0.000256511244407176
20230815,112.3449,112.4608,111.0994,111.2057,846900,-0.015050403505773802
20230816,111.2829,112.4029,109.8829,110.1822,660800,-0.009202969796748062
20230817,110.8291,111.1381,109.9795,109.9988,876300,-0.0016648888418033803
20230818,109.265,112.2677,109.0622,111.8332,1296000,0.016676861268542398
20230821,111.8622,112.6346,110.2305,110.6457,571200,-0.010619036274839622
20230822,111.0415,111.0415,109.9698,110.5684,680800,-0.0006981531797033425
20230823,110.5491,110.9739,109.8829,110.7422,537900,0.0015719248603218716
20230824,110.385,110.6746,109.7767,110.0471,917300,-0.0062771422296235
20230825,109.9891,111.3408,109.854,110.3753,720800,0.0029828571507803936
20230828,111.1767,111.9105,110.7422,111.0415,734700,0.006035688525320992
20230829,111.2829,113.1077,111.0126,113.0208,718100,0.017824465039313786
20230830,113.1366,114.247,112.9146,113.7159,688500,0.006150726829518227
20230831,113.5421,113.629,112.2773,112.6828,1555900,-0.009084818995000021
20230901,113.6677,114.1021,112.0263,112.3546,1020700,-0.0029131526275044672
20230905,111.9105,113.5808,111.4856,111.5725,1175800,-0.006960562358843236
20230906,111.6305,112.3353,111.0898,111.6015,1023800,0.0002597094440761616
20230907,111.5919,112.3353,110.2884,111.5146,1320000,-0.0007786525864768024
20230908,111.8236,112.2967,110.4719,110.7712,1114800,-0.006666601443319653
20230911,111.2925,112.6056,110.8291,112.2098,989600,0.012986843929551295
20230912,111.8236,113.0497,111.5532,112.4222,1147700,0.001893040428128101
20230913,112.6346,114.2952,112.1519,114.1987,1236000,0.0158022867246419
20230914,115.2511,115.4345,112.0263,114.2566,1218500,0.0005071400454776942
20230915,114.7297,114.7973,113.8221,114.3532,2527700,0.0008450275553770759
20230918,114.0539,114.8938,113.3684,113.687,1130500,-0.0058257338393746805
20230919,113.5711,114.2276,111.9201,113.3201,818900,-0.0032271943045580898
20230920,113.938,114.2566,110.8484,110.8774,973800,-0.021555784015312662
20230921,110.8774,111.1863,109.0816,109.1009,1018800,-0.01602231347864025
20230922,109.2167,110.5395,109.1685,109.9795,858900,0.008053177925225308
20230925,109.6705,111.9394,109.5547,111.8718,772100,0.01720659330444252
20230926,111.5339,111.6981,109.9602,110.0664,797000,-0.016138831816947752
20230927,110.8098,110.8098,108.6857,109.7381,739100,-0.002982472885712184
20230928,109.6995,110.9546,109.1202,110.4526,988600,0.006510682449835992
20230929,111.2539,112.1229,110.4815,110.6746,1003600,0.0020103971482408056
20231002,110.4622,110.8195,109.796,110.7712,1095400,0.0008725148114507864
20231003,109.8347,111.3505,109.0912,109.9795,743200,-0.0071472548283453285
20231004,110.4912,111.6594,109.4871,111.3601,1336800,0.01255366719781792
20231005,111.1188,111.5146,109.4485,110.2691,1221200,-0.009797074497639557
20231006,110.0567,111.1767,109.6705,110.6457,1141700,0.003414746941056812
20231009,110.8098,113.127,110.2112,112.7794,769400,0.019284473321515616
20231010,112.7891,114.2952,112.7794,113.6484,934900,0.007704863314865751
20231011,113.8994,114.0539,111.7174,112.9629,915300,-0.006031773246679029
20231012,113.3973,113.5904,112.3063,112.7311,992300,-0.0020512935502243757
20231013,112.8084,113.9187,112.2967,112.4318,1257000,-0.0026550675948902036
20231016,113.3684,115.5118,113.3684,114.8359,1454000,0.021382654853228544
20231017,115.0097,117.1917,114.4014,116.2552,1430600,0.01235914200938315
20231018,115.1063,115.1063,113.0884,113.1366,1606300,-0.02682500098439411
20231019,113.1366,113.5422,110.2691,110.8195,1083100,-0.020481290569872135
20231020,111.7174,112.2677,110.6939,111.225,3286400,0.0036591256321372168
20231023,110.4526,111.0126,109.3229,109.7767,1100400,-0.013020837977736788
20231024,110.3464,110.8677,108.2319,108.3092,1340700,-0.013368449891143386
20231025,107.5754,107.8554,104.6403,105.123,1230200,-0.029417031198269994
20231026,104.9299,105.6444,103.4817,104.7561,1254200,-0.00349010032668573
20231027,105.2389,106.272,103.6844,104.032,1281100,-0.0069125175757093205
20231030,104.8044,105.6444,104.0127,105.2196,941800,0.011415414773808585
20231031,105.3354,106.2334,104.9782,105.4803,1384600,0.002477496388676226
20231101,105.5961,106.5906,104.8817,106.1271,853700,0.00613264899450372
20231102,107.1699,109.2264,107.1699,108.9174,1817800,0.026291818212077045
20231103,109.2843,110.636,108.8209,109.0526,1495700,0.0012411719117311204
20231106,109.3422,109.3422,107.3823,107.643,1491800,-0.012926215337718094
