datetime,open,high,low,close,volume,return
20230718,119.0434,120.6337,118.6582,119.5175,2251000,-0.0011556712438262062
20230719,119.4286,119.4286,116.416,117.6408,2256800,-0.015702438769361837
20230720,116.821,119.9324,116.6037,117.4136,1557200,-0.001931201544857486
20230721,118.3619,118.7372,117.2358,117.542,1158100,0.001093722932274277
20230724,116.9,117.058,114.5294,115.3986,1772700,-0.01823532580792353
20230725,115.3986,116.6926,115.0233,115.9913,2570900,0.005135688486378687
20230726,115.9913,118.1939,115.7739,118.0952,1433100,0.018138277132036862
20230727,118.9249,120.1299,117.3148,117.3642,1491600,-0.006189236905199347
20230728,119.0533,119.8138,117.8383,118.6187,1306200,0.010688307640202677
20230731,118.6088,121.088,118.4409,121.0288,1885400,0.020318139440948624
20230801,120.0114,120.0114,117.7198,119.2607,1389700,-0.01460864552885388
20230802,117.4334,119.2903,115.2998,116.5543,2319800,-0.022693316463382573
20230803,104.9877,108.1979,96.0783,97.4611,13985700,-0.16381360925307142
20230804,99.8515,102.953,99.7725,101.9257,5802000,0.04580943075154398
20230807,102.795,107.1608,102.7554,106.173,5171500,0.041670599540660325
20230808,105.5606,108.9881,104.2766,108.4942,3014100,0.021862398333351685
20230809,108.9585,110.5982,108.1881,108.4646,3156300,-0.000272985068518361
20230810,109.6499,111.1908,109.0276,110.3018,2268600,0.016938277273815583
20230811,109.1067,111.092,109.1067,110.1734,2840500,-0.0011641031266717006
20230814,109.6499,110.687,107.9707,110.5586,1795700,0.0034963795263538433
20230815,110.608,110.9537,105.3532,106.1138,3225700,-0.04020366372781381
20230816,105.7384,107.0324,105.4816,105.8273,1989200,-0.0026993477750548722
20230817,106.6768,106.6768,104.2864,104.3358,3045800,-0.01409379178907133
20230818,102.0838,106.6373,101.8072,105.8965,2535200,0.014957837757520576
20230821,106.094,107.5164,105.9162,106.7459,1713900,0.008021650047384421
20230822,107.2793,108.8005,106.9138,107.2596,1429800,0.004811668994167295
20230823,107.2596,107.6843,106.173,106.2718,1839000,-0.009208943200752606
20230824,105.9656,107.2892,104.6124,104.6618,2426900,-0.015150123922600622
20230825,104.9482,106.7854,104.8791,105.6298,1894800,0.009248861496626182
20230828,106.1138,107.2201,105.7088,106.8447,1163600,0.011501752929753417
20230829,106.578,109.0968,106.578,108.6029,1405000,0.01645552988892729
20230830,107.7238,109.2746,107.3386,107.5263,1646500,-0.009913522488094184
20230831,107.6349,108.2572,106.7756,107.062,1704200,-0.00431746650733289
20230901,107.8917,108.6325,106.904,108.2276,1593900,0.010886540159068314
20230905,108.0597,110.1043,107.2102,108.8696,2004100,0.005932423594007474
20230906,107.8522,108.3659,104.6322,107.0818,2368900,-0.01642165315078592
20230907,105.6891,105.6891,102.2616,104.4642,3926900,-0.02444429181476815
20230908,104.6914,108.9486,104.6025,108.4548,2622200,0.0381997581421083
20230911,109.4227,110.0154,106.7262,107.1608,1774500,-0.011930878818451784
20230912,106.173,109.3832,106.173,108.3066,1799000,0.010692250626166633
20230913,107.4473,108.4251,105.0174,105.5113,2488800,-0.02580931294471711
20230914,106.4002,106.578,103.6247,105.6199,2217100,0.0010296774889579918
20230915,105.3927,107.793,104.7803,105.6002,5677000,-0.00018694271585439903
20230918,104.9482,105.7582,104.1679,104.4445,2265900,-0.010943901280414114
20230919,104.1185,104.5136,102.5184,103.2987,2122300,-0.010970326115572027
20230920,103.5851,104.6618,102.9332,103.0123,1282200,-0.002772983803691842
20230921,101.4714,101.8862,100.375,100.7108,1805100,-0.022341468559301747
20230922,100.7108,101.6887,99.2786,99.6342,2335000,-0.010690536104034032
20230925,98.9032,99.9404,98.2809,99.4564,1768000,-0.0017844825368198425
20230926,98.4093,99.5749,97.6883,98.1723,1667500,-0.012911071112303052
20230927,99.0316,99.9009,98.2118,99.0218,1676100,0.00865302686522984
20230928,98.5378,101.7874,98.4686,101.3232,1695200,0.02324181098976963
20230929,102.3801,103.4172,101.3232,101.8072,2227900,0.004776729425964854
20231002,101.4516,102.0344,100.3651,100.7997,1910400,-0.009896078955803023
20231003,99.7626,100.1972,96.7401,97.5599,2056800,-0.032141189018877414
20231004,97.9945,99.3773,97.8167,98.9526,1722300,0.01427557146430991
20231005,99.328,99.486,96.8783,98.676,1311700,-0.0027948523336619457
20231006,97.6488,99.812,97.2636,99.2489,1453700,0.00580577805196314
20231009,97.3623,99.1699,95.456,98.4489,1637100,-0.008061415860101007
20231010,99.3576,101.4714,98.9625,100.2466,1546700,0.01826031038087117
20231011,100.7503,102.4196,99.9799,102.3406,1707900,0.020888743475121707
20231012,102.1134,102.7061,100.7306,101.3627,1364700,-0.009555027831028573
20231013,101.2343,101.7282,97.6982,97.9451,1526200,-0.03371663941705039
20231016,98.8341,100.3355,98.0735,98.4489,1627000,0.005143146510154573
20231017,98.0933,100.9775,97.8957,100.3058,1385700,0.018862299486790413
20231018,98.4192,99.4366,97.6488,97.6982,1670000,-0.02599700242293368
20231019,97.8562,98.0735,94.1028,94.488,2381500,-0.032858159719714064
20231020,93.8657,94.0534,91.9001,92.5026,2719900,-0.021011923554247858
20231023,92.3841,96.0486,91.3766,94.0633,2325400,0.016871289487082386
20231024,95.3276,96.256,94.646,96.098,1229700,0.021631740102793007
